MUNICIPALITY,2014 TANF RECIPIENTS
"ANDOVER",2.0000000000000000e+00
"ANSONIA",2.5100000000000000e+02
"ASHFORD",3.0000000000000000e+01
"AVON",1.7000000000000000e+01
"BARKHAMSTED",3.0000000000000000e+00
"BEACON FALLS",2.3000000000000000e+01
"BERLIN",6.7000000000000000e+01
"BETHANY",1.0000000000000000e+00
"BETHEL",4.4000000000000000e+01
"BETHLEHEM",2.0000000000000000e+00
"BLOOMFIELD",1.8400000000000000e+02
"BOLTON",1.4000000000000000e+01
"BOZRAH",4.0000000000000000e+00
"BRANFORD",9.5000000000000000e+01
"BRIDGEPORT",2.8130000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.5300000000000000e+02
"BROOKFIELD",8.0000000000000000e+00
"BROOKLYN",7.0000000000000000e+01
"BURLINGTON",1.1000000000000000e+01
"CANAAN",8.0000000000000000e+00
"CANTERBURY",2.1000000000000000e+01
"CANTON",1.5000000000000000e+01
"CHAPLIN",1.7000000000000000e+01
"CHESHIRE",1.9000000000000000e+01
"CHESTER",4.0000000000000000e+00
"CLINTON",3.5000000000000000e+01
"COLCHESTER",7.0000000000000000e+01
"COLEBROOK",1.0000000000000000e+00
"COLUMBIA",2.0000000000000000e+01
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.8000000000000000e+01
"CROMWELL",3.9000000000000000e+01
"DANBURY",3.2900000000000000e+02
"DARIEN",1.2000000000000000e+01
"DEEP RIVER",1.2000000000000000e+01
"DERBY",1.3100000000000000e+02
"DURHAM",4.0000000000000000e+00
"EAST GRANBY",6.0000000000000000e+00
"EAST HADDAM",1.1000000000000000e+01
"EAST HAMPTON",3.3000000000000000e+01
"EAST HARTFORD",9.6500000000000000e+02
"EAST HAVEN",2.4900000000000000e+02
"EAST LYME",5.0000000000000000e+01
"EAST WINDSOR",4.7000000000000000e+01
"EASTFORD",3.0000000000000000e+00
"EASTON",5.0000000000000000e+00
"ELLINGTON",3.7000000000000000e+01
"ENFIELD",2.6400000000000000e+02
"ESSEX",3.0000000000000000e+00
"FAIRFIELD",5.5000000000000000e+01
"FARMINGTON",4.3000000000000000e+01
"FRANKLIN",6.0000000000000000e+00
"GLASTONBURY",5.8000000000000000e+01
"GOSHEN",5.0000000000000000e+00
"GRANBY",1.0000000000000000e+01
"GREENWICH",1.1900000000000000e+02
"GRISWOLD",1.4900000000000000e+02
"GROTON",3.1200000000000000e+02
"GROTON (City of)",
"GUILFORD",3.1000000000000000e+01
"HADDAM",1.7000000000000000e+01
"HAMDEN",4.9500000000000000e+02
"HAMPTON",1.0000000000000000e+01
"HARTFORD",5.7720000000000000e+03
"HARTLAND",0.0000000000000000e+00
"HARWINTON",1.0000000000000000e+01
"HEBRON",9.0000000000000000e+00
"KENT",2.0000000000000000e+00
"KILLINGLY",2.3000000000000000e+02
"KILLINGWORTH",5.0000000000000000e+00
"LEBANON",2.9000000000000000e+01
"LEDYARD",6.2000000000000000e+01
"LISBON",1.9000000000000000e+01
"LITCHFIELD",1.8000000000000000e+01
"LYME",0.0000000000000000e+00
"MADISON",9.0000000000000000e+00
"MANCHESTER",7.0600000000000000e+02
"MANSFIELD",2.6000000000000000e+01
"MARLBOROUGH",1.3000000000000000e+01
"MERIDEN",1.1530000000000000e+03
"MIDDLEBURY",9.0000000000000000e+00
"MIDDLEFIELD",9.0000000000000000e+00
"MIDDLETOWN",4.3500000000000000e+02
"MILFORD",1.4800000000000000e+02
"MONROE",1.1000000000000000e+01
"MONTVILLE",9.2000000000000000e+01
"MORRIS",7.0000000000000000e+00
"NAUGATUCK",2.6800000000000000e+02
"NEW BRITAIN",2.6250000000000000e+03
"NEW CANAAN",2.4000000000000000e+01
"NEW FAIRFIELD",1.6000000000000000e+01
"NEW HARTFORD",1.4000000000000000e+01
"NEW HAVEN",4.4810000000000000e+03
"NEW LONDON",7.0300000000000000e+02
"NEW MILFORD",7.4000000000000000e+01
"NEWINGTON",6.8000000000000000e+01
"NEWTOWN",2.8000000000000000e+01
"NORFOLK",1.0000000000000000e+00
"NORTH BRANFORD",2.7000000000000000e+01
"NORTH CANAAN",5.0000000000000000e+00
"NORTH HAVEN",5.0000000000000000e+01
"NORTH STONINGTON",1.5000000000000000e+01
"NORWALK",3.7500000000000000e+02
"NORWICH",8.9700000000000000e+02
"OLD LYME",1.1000000000000000e+01
"OLD SAYBROOK",1.3000000000000000e+01
"ORANGE",1.2000000000000000e+01
"OXFORD",1.5000000000000000e+01
"PLAINFIELD",1.5600000000000000e+02
"PLAINVILLE",1.1700000000000000e+02
"PLYMOUTH",7.5000000000000000e+01
"POMFRET",6.0000000000000000e+00
"PORTLAND",2.6000000000000000e+01
"PRESTON",1.9000000000000000e+01
"PROSPECT",1.6000000000000000e+01
"PUTNAM",1.3000000000000000e+02
"REDDING",1.0000000000000000e+00
"RIDGEFIELD",2.0000000000000000e+00
"ROCKY HILL",5.7000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.3000000000000000e+01
"SALISBURY",6.0000000000000000e+00
"SCOTLAND",8.0000000000000000e+00
"SEYMOUR",6.4000000000000000e+01
"SHARON",6.0000000000000000e+00
"SHELTON",1.3400000000000000e+02
"SHERMAN",0.0000000000000000e+00
"SIMSBURY",2.7000000000000000e+01
"SOMERS",3.2000000000000000e+01
"SOUTH WINDSOR",3.8000000000000000e+01
"SOUTHBURY",2.2000000000000000e+01
"SOUTHINGTON",1.5400000000000000e+02
"SPRAGUE",5.8000000000000000e+01
"STAFFORD",5.1000000000000000e+01
"STAMFORD",8.2000000000000000e+02
"STERLING",3.1000000000000000e+01
"STONINGTON",1.3100000000000000e+02
"STRATFORD",2.3600000000000000e+02
"SUFFIELD",1.8000000000000000e+01
"THOMASTON",1.7000000000000000e+01
"THOMPSON",6.0000000000000000e+01
"TOLLAND",2.4000000000000000e+01
"TORRINGTON",2.9900000000000000e+02
"TRUMBULL",2.8000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",2.7200000000000000e+02
"VOLUNTOWN",1.5000000000000000e+01
"WALLINGFORD",1.5300000000000000e+02
"WARREN",2.0000000000000000e+00
"WASHINGTON",2.0000000000000000e+00
"WATERBURY",3.7060000000000000e+03
"WATERFORD",5.2000000000000000e+01
"WATERTOWN",8.4000000000000000e+01
"WEST HARTFORD",2.2300000000000000e+02
"WEST HAVEN",7.2400000000000000e+02
"WESTBROOK",8.0000000000000000e+00
"WESTON",4.0000000000000000e+00
"WESTPORT",1.6000000000000000e+01
"WETHERSFIELD",6.6000000000000000e+01
"WILLINGTON",1.6000000000000000e+01
"WILTON",3.0000000000000000e+00
"WINCHESTER",1.0600000000000000e+02
"WINDHAM",7.1900000000000000e+02
"WINDSOR",1.8500000000000000e+02
"WINDSOR LOCKS",8.1000000000000000e+01
"WOLCOTT",4.3000000000000000e+01
"WOODBRIDGE",1.3000000000000000e+01
"WOODBURY",1.5000000000000000e+01
"WOODSTOCK",4.0000000000000000e+00
