Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2013 ESTIMATE,Population_Range,PercentOfStateMedian
1,"WESTON",1.5800000000000000e+02,2.0726200000000000e+05,"0 to 10,000",2.9838614474309324e+00
2,"DARIEN",3.5000000000000000e+01,2.0568800000000000e+05,"10,000 to 30,000",2.9612012496220901e+00
3,"WILTON",1.6200000000000000e+02,1.6709400000000000e+05,"10,000 to 30,000",2.4055801097018472e+00
4,"NEW CANAAN",9.1000000000000000e+01,1.6184800000000000e+05,"10,000 to 30,000",2.3300557147176115e+00
5,"WESTPORT",1.5900000000000000e+02,1.6010600000000000e+05,"10,000 to 30,000",2.3049768935085875e+00
6,"EASTON",4.7000000000000000e+01,1.5000000000000000e+05,"0 to 10,000",2.1594851787333900e+00
7,"RIDGEFIELD",1.1900000000000000e+02,1.4799300000000000e+05,"10,000 to 30,000",2.1305912670419374e+00
8,"WOODBRIDGE",1.6800000000000000e+02,1.3808200000000000e+05,"0 to 10,000",1.9879068829990929e+00
9,"GREENWICH",5.7000000000000000e+01,1.3216400000000000e+05,"30,000 to 70,000",1.9027079944141316e+00
10,"DURHAM",3.8000000000000000e+01,1.2417900000000000e+05,"0 to 10,000",1.7877514000662242e+00
11,"REDDING",1.1800000000000000e+02,1.1911200000000000e+05,"0 to 10,000",1.7148039907286103e+00
12,"FAIRFIELD",5.1000000000000000e+01,1.1770500000000000e+05,"30,000 to 70,000",1.6945480197520910e+00
13,"AVON",4.0000000000000000e+00,1.1557100000000000e+05,"10,000 to 30,000",1.6638257439426440e+00
14,"SIMSBURY",1.2900000000000000e+02,1.1500000000000000e+05,"10,000 to 30,000",1.6556053036955989e+00
15,"KILLINGWORTH",7.1000000000000000e+01,1.1276100000000000e+05,"0 to 10,000",1.6233713882610386e+00
16,"SHERMAN",1.2800000000000000e+02,1.1234400000000000e+05,"0 to 10,000",1.6173680194641598e+00
17,"HEBRON",6.8000000000000000e+01,1.1179200000000000e+05,"0 to 10,000",1.6094211140064210e+00
18,"CHESHIRE",2.5000000000000000e+01,1.1163800000000000e+05,"10,000 to 30,000",1.6072040425562546e+00
19,"MADISON",7.7000000000000000e+01,1.1076100000000000e+05,"10,000 to 30,000",1.5945782525445933e+00
20,"MARLBOROUGH",8.0000000000000000e+01,1.1069400000000000e+05,"0 to 10,000",1.5936136824980924e+00
21,"NEWTOWN",9.8000000000000000e+01,1.0915900000000000e+05,"10,000 to 30,000",1.5715149508357207e+00
22,"TRUMBULL",1.4500000000000000e+02,1.0885400000000000e+05,"30,000 to 70,000",1.5671239976389628e+00
23,"BROOKFIELD",1.8000000000000000e+01,1.0753700000000000e+05,"10,000 to 30,000",1.5481637177696836e+00
24,"ORANGE",1.0800000000000000e+02,1.0694200000000000e+05,"10,000 to 30,000",1.5395977598940414e+00
25,"GLASTONBURY",5.4000000000000000e+01,1.0667800000000000e+05,"10,000 to 30,000",1.5357970659794704e+00
26,"BURLINGTON",2.0000000000000000e+01,1.0542200000000000e+05,"0 to 10,000",1.5177149767495428e+00
27,"TOLLAND",1.4300000000000000e+02,1.0386900000000000e+05,"10,000 to 30,000",1.4953571068657232e+00
