Municipality,numbered,Moody's,SandP,Fitch
"DARIEN",3.5000000000000000e+01,"Aaa"," "," "
"DEEP RIVER",3.6000000000000000e+01," "," "," "
"DERBY",3.7000000000000000e+01,,"AA-"," "
"DURHAM",3.8000000000000000e+01," "," "," "
"EAST GRANBY",3.9000000000000000e+01,"Aa2"," "," "
"EAST HADDAM",4.0000000000000000e+01,,"AA+"," "
"EAST HAMPTON",4.1000000000000000e+01,"Aa3","AA+"," "
"EAST HARTFORD",4.2000000000000000e+01,"Aa2"," "," "
"EAST HAVEN",4.3000000000000000e+01,"A3","A-"," "
"EAST LYME",4.4000000000000000e+01,"Aa2"," "," "
"EAST WINDSOR",4.5000000000000000e+01,"Aa2"," "," "
"EASTFORD",4.6000000000000000e+01," "," "," "
"EASTON",4.7000000000000000e+01,"Aaa","AAA"," "
"ELLINGTON",4.8000000000000000e+01,"Aa3"," "," "
"ENFIELD",4.9000000000000000e+01,"Aa2","AA"," "
"ESSEX",5.0000000000000000e+01,"Aa2"," "," "
"FAIRFIELD",5.1000000000000000e+01,"Aaa","AAA","AAA"
"FARMINGTON",5.2000000000000000e+01,"Aaa"," "," "
"FRANKLIN",5.3000000000000000e+01," "," "," "
"GLASTONBURY",5.4000000000000000e+01,"Aaa","AAA"," "
"GOSHEN",5.5000000000000000e+01," "," "," "
"GRANBY",5.6000000000000000e+01,,"AA+"," "
"GREENWICH",5.7000000000000000e+01,"Aaa","AAA","AAA"
"GRISWOLD",5.8000000000000000e+01," ","AA","AA-"
"GROTON",5.9000000000000000e+01,"Aa2","AA+","AA"
"GROTON (City of)",6.0000000000000000e+01,"Aa3","AA-",
"GUILFORD",6.1000000000000000e+01,"Aa2"," ","AA+"
"HADDAM",6.2000000000000000e+01,"Aa3"," "," "
"HAMDEN",6.3000000000000000e+01,"A3","A","BBB+"
"HAMPTON",6.4000000000000000e+01," "," "," "
"HARTFORD",6.5000000000000000e+01,"A2","AA-"," "
"HARTLAND",6.6000000000000000e+01,"A1"," "," "
"HARWINTON",6.7000000000000000e+01," "," "," "
"HEBRON",6.8000000000000000e+01,"Aa2","AAA"," "
"KENT",6.9000000000000000e+01,"Aa2","AA+"," "
"KILLINGLY",7.0000000000000000e+01,"Aa3"," "," "
"KILLINGWORTH",7.1000000000000000e+01,"Aa2"," "," "
"LEBANON",7.2000000000000000e+01,," "," "
"LEDYARD",7.3000000000000000e+01,"Aa2"," "," "
"LISBON",7.4000000000000000e+01,"Aa3"," "," "
"LITCHFIELD",7.5000000000000000e+01,"Aa2"," "," "
"LYME",7.6000000000000000e+01," "," "," "
"MADISON",7.7000000000000000e+01,"Aaa"," ","AAA"
"MANCHESTER",7.8000000000000000e+01,"Aa1"," ","AAA"
"MANSFIELD",7.9000000000000000e+01,"Aa2"," "," "
"MARLBOROUGH",8.0000000000000000e+01,"Aa2"," "," "
"MERIDEN",8.1000000000000000e+01,"A1","AA","AA-"
"MIDDLEBURY",8.2000000000000000e+01,"Aa2"," "," "
"MIDDLEFIELD",8.3000000000000000e+01," "," "," "
"MIDDLETOWN",8.4000000000000000e+01,"Aa2","AA+"," "
"MILFORD",8.5000000000000000e+01,"Aa1","AA+","AA+"
"MONROE",8.6000000000000000e+01,"Aa2"," "," "
"MONTVILLE",8.7000000000000000e+01,"Aa3"," "," "
"MORRIS",8.8000000000000000e+01," "," "," "
"NAUGATUCK",8.9000000000000000e+01,"Aa2","AA","AA"
"NEW BRITAIN",9.0000000000000000e+01,"Baa1","BBB","BBB+"
"NEW CANAAN",9.1000000000000000e+01,"Aaa"," "," "
"NEW FAIRFIELD",9.2000000000000000e+01,"Aa1","AAA"," "
"NEW HARTFORD",9.3000000000000000e+01,"Aa3"," "," "
"NEW HAVEN",9.4000000000000000e+01,"A3","BBB+","A-"
"NEW LONDON",9.5000000000000000e+01," ","A+","A+"
"NEW MILFORD",9.6000000000000000e+01,"Aa1"," "," "
"NEWINGTON",9.7000000000000000e+01,"Aa2","AA+"," "
"NEWTOWN",9.8000000000000000e+01,"Aa1","AAA"," "
"NORFOLK",9.9000000000000000e+01," "," "," "
"NORTH BRANFORD",1.0000000000000000e+02,"Aa2"," "," "
"NORTH CANAAN",1.0100000000000000e+02,," "," "
"NORTH HAVEN",1.0200000000000000e+02,"Aa1","AAA"," "
"NORTH STONINGTON",1.0300000000000000e+02,," "," "
"NORWALK",1.0400000000000000e+02,"Aaa","AAA","AAA"
"NORWICH",1.0500000000000000e+02,"Aa2","AA","AA"
"OLD LYME",1.0600000000000000e+02," ","AAA"," "
"OLD SAYBROOK",1.0700000000000000e+02,"Aa2"," "," "
"ORANGE",1.0800000000000000e+02,"Aa1","AAA"," "
"OXFORD",1.0900000000000000e+02,"Aa2"," "," "
"PLAINFIELD",1.1000000000000000e+02,"Aa3"," "," "
"PLAINVILLE",1.1100000000000000e+02,"Aa3","AA+"," "
"PLYMOUTH",1.1200000000000000e+02,"Aa3","AA"," "
"POMFRET",1.1300000000000000e+02," "," "," "
"PORTLAND",1.1400000000000000e+02,"Aa3"," "," "
"PRESTON",1.1500000000000000e+02," ","AA+"," "
"PROSPECT",1.1600000000000000e+02,"A2"," "," "
"PUTNAM",1.1700000000000000e+02,," "," "
"REDDING",1.1800000000000000e+02,"Aa1","AAA"," "
"RIDGEFIELD",1.1900000000000000e+02,"Aaa","AAA","AAA"
"ROCKY HILL",1.2000000000000000e+02,"Aa2","AA+"," "
"ROXBURY",1.2100000000000000e+02," "," "," "
"SALEM",1.2200000000000000e+02,"A1","AA"," "
"SALISBURY",1.2300000000000000e+02,," "," "
"SCOTLAND",1.2400000000000000e+02,"A1"," "," "
"SEYMOUR",1.2500000000000000e+02,"Aa3","AA+"," "
"SHARON",1.2600000000000000e+02,"Aa2"," "," "
"SHELTON",1.2700000000000000e+02,"Aa2","AA+"," "
"SHERMAN",1.2800000000000000e+02,"Aa2"," "," "
"SIMSBURY",1.2900000000000000e+02,"Aaa"," "," "
"SOMERS",1.3000000000000000e+02,"Aa2"," "," "
"SOUTH WINDSOR",1.3100000000000000e+02,"Aa2","AA+"," "
"SOUTHBURY",1.3200000000000000e+02,"Aa2"," "," "
"SOUTHINGTON",1.3300000000000000e+02,"Aa2","AA+"," "
"SPRAGUE",1.3400000000000000e+02,"A2"," AA"," "
"STAFFORD",1.3500000000000000e+02,"A1",," "
"STAMFORD",1.3600000000000000e+02,"Aa1","AAA"," "
"STERLING",1.3700000000000000e+02,"A1","AA"," "
"STONINGTON",1.3800000000000000e+02,"Aa1"," "," "
"STRATFORD",1.3900000000000000e+02,"A1","AA"," "
"SUFFIELD",1.4000000000000000e+02,,"AA+"," "
"THOMASTON",1.4100000000000000e+02,"Aa3","AA"," "
"THOMPSON",1.4200000000000000e+02,"A1"," "," "
"TOLLAND",1.4300000000000000e+02,"Aa2","AAA","AA+"
"TORRINGTON",1.4400000000000000e+02,"Aa3"," "," "
"TRUMBULL",1.4500000000000000e+02,"Aa2","AA+","AA+"
"UNION",1.4600000000000000e+02," "," "," "
"VERNON",1.4700000000000000e+02,"Aa2"," "," "
"VOLUNTOWN",1.4800000000000000e+02," "," "," "
"WALLINGFORD",1.4900000000000000e+02,"Aaa","AA+"," "
"WARREN",1.5000000000000000e+02,"Aa2"," "," "
"WASHINGTON",1.5100000000000000e+02,," "," "
"WATERBURY",1.5200000000000000e+02,"A1","AA-","A+"
"WATERFORD",1.5300000000000000e+02,"Aa2","AA"," "
"WATERTOWN",1.5400000000000000e+02,"Aa2"," "," "
"WEST HARTFORD",1.5500000000000000e+02,"Aaa","AAA"," "
"WEST HAVEN",1.5600000000000000e+02,"Baa1","BBB"," "
"WESTBROOK",1.5700000000000000e+02,"Aa2"," "," "
"WESTON",1.5800000000000000e+02,"Aaa"," "," "
"WESTPORT",1.5900000000000000e+02,"Aaa"," "," "
"WETHERSFIELD",1.6000000000000000e+02,"Aa2","AA+"," "
"WILLINGTON",1.6100000000000000e+02,"Aa3"," "," "
"WILTON",1.6200000000000000e+02,"Aaa"," "," "
"WINCHESTER",1.6300000000000000e+02,," "," "
"WINDHAM",1.6400000000000000e+02,"Aa3","AA"," "
"WINDSOR",1.6500000000000000e+02,"Aa1","AAA"," "
"WINDSOR LOCKS",1.6600000000000000e+02,"Aa1","AA+"," "
"WOLCOTT",1.6700000000000000e+02,"A1","AA"," "
"WOODBRIDGE",1.6800000000000000e+02,"Aaa"," "," "
"WOODBURY",1.6900000000000000e+02,"Aa2"," "," "
"WOODSTOCK",1.7000000000000000e+02,"Aa3"," ",
"Regional S.D.1",1.7100000000000000e+02,," "," "
"Regional S.D.4",1.7200000000000000e+02,"Aa3"," "," "
"Regional S.D.5",1.7300000000000000e+02,"Aa1"," ","AA+"
"Regional S.D.6",1.7400000000000000e+02,"Aa3"," "," "
"Regional S.D.7",1.7500000000000000e+02,," "," "
"Regional S.D.8",1.7600000000000000e+02,"Aa3","AA+"," "
"Regional S.D.9",1.7700000000000000e+02,"Aa1","AAA"," "
"Regional S.D.10",1.7800000000000000e+02,"Aa2","AA"," "
"Regional S.D.11",1.7900000000000000e+02," "," "," "
"Regional S.D.12",1.8000000000000000e+02,"Aa2"," ","AA+"
"Regional S.D.13",1.8100000000000000e+02,"Aa3"," "," "
"Regional S.D.14",1.8200000000000000e+02,"Aa2"," "," "
"Regional S.D.15",1.8300000000000000e+02,"Aa2"," "," "
"Regional S.D.16",1.8400000000000000e+02,"A1","AA-"," "
"Regional S.D.17",1.8500000000000000e+02,"Aa3"," "," "
"Regional S.D.18",1.8600000000000000e+02,"Aa1"," "," "
"Regional S.D.19",1.8700000000000000e+02,"Aa3"," "," "
