Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7884818.0000,7980881.0000,7955705.0000,8093543.0000
"ANSONIA",2.0000000000000000e+00,"NH",31264549.0000,32474853.0000,32144191.0000,35210753.0000
"ASHFORD",3.0000000000000000e+00,"W",9007948.0000,9201569.0000,9143754.0000,9780039.0000
"AVON",4.0000000000000000e+00,"H",68527991.0000,68686698.0000,68689037.0000,68881493.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",8566023.0000,8797618.0000,8705339.0000,9343436.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",14116778.0000,14555631.0000,14436989.0000,15740410.0000
"BERLIN",7.0000000000000000e+00,"H",58577996.0000,59323912.0000,59364511.0000,61230527.0000
"BETHANY",8.0000000000000000e+00,"NH",17454329.0000,17724295.0000,17698838.0000,18069215.0000
"BETHEL",9.0000000000000000e+00,"F",55353730.0000,56056266.0000,55895490.0000,56830904.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8110836.0000,8284463.0000,8279789.0000,8793879.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",67473456.0000,68561240.0000,68150374.0000,69955403.0000
"BOLTON",1.2000000000000000e+01,"T",14169656.0000,14331829.0000,14412714.0000,14624510.0000
"BOZRAH",1.3000000000000000e+01,"NL",5310634.0000,5452163.0000,5321097.0000,5704654.0000
"BRANFORD",1.4000000000000000e+01,"NH",85450722.0000,86677790.0000,86825176.0000,89802021.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",278613368.0000,286087295.0000,281439779.0000,324525416.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6708723.0000,6744343.0000,6741799.0000,6789505.0000
"BRISTOL",1.7000000000000000e+01,"H",123491000.0000,125182000.0000,124837000.0000,127599000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",52403685.0000,52885463.0000,52868371.0000,53746716.0000
"BROOKLYN",1.9000000000000000e+01,"W",12014720.0000,12277485.0000,12365244.0000,13009537.0000
"BURLINGTON",2.0000000000000000e+01,"H",24890754.0000,25137190.0000,25159425.0000,25718700.0000
"CANAAN",2.1000000000000000e+01,"L",3797031.0000,3867998.0000,3859326.0000,3964325.0000
"CANTERBURY",2.2000000000000000e+01,"W",7937039.0000,8139019.0000,8034785.0000,8463910.0000
"CANTON",2.3000000000000000e+01,"H",29614732.0000,29937826.0000,29927138.0000,30813107.0000
"CHAPLIN",2.4000000000000000e+01,"W",5100944.0000,5205533.0000,5224374.0000,5373733.0000
"CHESHIRE",2.5000000000000000e+01,"NH",77548720.0000,77777955.0000,77772946.0000,78063353.0000
"CHESTER",2.6000000000000000e+01,"M",11177921.0000,11285650.0000,11313924.0000,11483286.0000
"CLINTON",2.7000000000000000e+01,"M",37296701.0000,37573535.0000,37469902.0000,38196112.0000
"COLCHESTER",2.8000000000000000e+01,"NL",33608023.0000,34157365.0000,34062090.0000,35489171.0000
"COLEBROOK",2.9000000000000000e+01,"L",4840598.0000,4923843.0000,4977884.0000,5146473.0000
"COLUMBIA",3.0000000000000000e+01,"T",12460200.0000,12599969.0000,12749734.0000,13000662.0000
"CORNWALL",3.1000000000000000e+01,"L",5628083.0000,5713031.0000,5724835.0000,6014044.0000
