Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"Tolland",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"Hartford",3.5000000000000000e+01,2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,5.0000000000000000e+00
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"New Haven",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"Hartford",5.7000000000000000e+01,5.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"Fairfield",4.2000000000000000e+01,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"Hartford",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"Tolland",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"New London",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"New Haven",3.0000000000000000e+01,3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.4000000000000000e+01
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"Fairfield",1.7500000000000000e+02,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5300000000000000e+02,8.0000000000000000e+00
