MUNICIPALITY,Numbered,ANNUAL2013 LF,ANNUAL2013 UNEMP,2013 UNEMP RATE
"ANDOVER",1.0000000000000000e+00,1.9900000000000000e+03,1.2700000000000000e+02,6.3819095477386928e-02
"ANSONIA",2.0000000000000000e+00,1.0040000000000000e+04,9.3200000000000000e+02,9.2828685258964150e-02
"ASHFORD",3.0000000000000000e+00,2.5030000000000000e+03,1.8000000000000000e+02,7.1913703555733122e-02
"AVON",4.0000000000000000e+00,9.4590000000000000e+03,4.6500000000000000e+02,4.9159530605772279e-02
"BARKHAMSTED",5.0000000000000000e+00,2.2130000000000000e+03,1.4400000000000000e+02,6.5070040668775420e-02
"BEACON FALLS",6.0000000000000000e+00,3.3560000000000000e+03,2.3600000000000000e+02,7.0321811680572111e-02
"BERLIN",7.0000000000000000e+00,1.1263000000000000e+04,7.1300000000000000e+02,6.3304625765781761e-02
"BETHANY",8.0000000000000000e+00,3.0570000000000000e+03,1.7800000000000000e+02,5.8227019954203464e-02
"BETHEL",9.0000000000000000e+00,1.0972000000000000e+04,6.8500000000000000e+02,6.2431644185198684e-02
"BETHLEHEM",1.0000000000000000e+01,1.9920000000000000e+03,1.1500000000000000e+02,5.7730923694779120e-02
"BLOOMFIELD",1.1000000000000000e+01,9.9810000000000000e+03,9.1400000000000000e+02,9.1573990582105996e-02
"BOLTON",1.2000000000000000e+01,2.8790000000000000e+03,1.7300000000000000e+02,6.0090309135116357e-02
"BOZRAH",1.3000000000000000e+01,1.5040000000000000e+03,1.1600000000000000e+02,7.7127659574468085e-02
"BRANFORD",1.4000000000000000e+01,1.6387000000000000e+04,1.0730000000000000e+03,6.5478733142124851e-02
"BRIDGEPORT",1.5000000000000000e+01,6.5801000000000000e+04,7.7550000000000000e+03,1.1785535174237474e-01
"BRIDGEWATER",1.6000000000000000e+01,9.1900000000000000e+02,5.3000000000000000e+01,5.7671381936887922e-02
"BRISTOL",1.7000000000000000e+01,3.3365000000000000e+04,2.7050000000000000e+03,8.1072980668365047e-02
"BROOKFIELD",1.8000000000000000e+01,9.1220000000000000e+03,5.5100000000000000e+02,6.0403420302565229e-02
"BROOKLYN",1.9000000000000000e+01,4.0440000000000000e+03,3.4200000000000000e+02,8.4569732937685466e-02
"BURLINGTON",2.0000000000000000e+01,5.3910000000000000e+03,3.0000000000000000e+02,5.5648302726766831e-02
"CANAAN",2.1000000000000000e+01,6.5700000000000000e+02,3.1000000000000000e+01,4.7184170471841702e-02
"CANTERBURY",2.2000000000000000e+01,3.0210000000000000e+03,2.2700000000000000e+02,7.5140681893412775e-02
"CANTON",2.3000000000000000e+01,5.7850000000000000e+03,3.2600000000000000e+02,5.6352636127917029e-02
"CHAPLIN",2.4000000000000000e+01,1.3040000000000000e+03,9.2000000000000000e+01,7.0552147239263799e-02
"CHESHIRE",2.5000000000000000e+01,1.4474000000000000e+04,8.9100000000000000e+02,6.1558656902031231e-02
"CHESTER",2.6000000000000000e+01,2.4590000000000000e+03,1.3500000000000000e+02,5.4900366002440019e-02
"CLINTON",2.7000000000000000e+01,7.5710000000000000e+03,4.9600000000000000e+02,6.5513142253335099e-02
"COLCHESTER",2.8000000000000000e+01,9.0260000000000000e+03,5.9600000000000000e+02,6.6031464657655664e-02
"COLEBROOK",2.9000000000000000e+01,7.8900000000000000e+02,4.3000000000000000e+01,5.4499366286438533e-02
"COLUMBIA",3.0000000000000000e+01,3.0680000000000000e+03,1.9700000000000000e+02,6.4211212516297259e-02
"CORNWALL",3.1000000000000000e+01,7.7600000000000000e+02,4.2000000000000000e+01,5.4123711340206188e-02
"COVENTRY",3.2000000000000000e+01,7.0420000000000000e+03,4.9800000000000000e+02,7.0718545867651236e-02
"CROMWELL",3.3000000000000000e+01,8.0100000000000000e+03,5.0700000000000000e+02,6.3295880149812730e-02
"DANBURY",3.4000000000000000e+01,4.5623000000000000e+04,2.8110000000000000e+03,6.1613659776866933e-02
"DARIEN",3.5000000000000000e+01,9.2220000000000000e+03,4.9200000000000000e+02,5.3350683148991544e-02
"DEEP RIVER",3.6000000000000000e+01,2.4930000000000000e+03,1.7000000000000000e+02,6.8190934616927393e-02
"DERBY",3.7000000000000000e+01,6.8950000000000000e+03,5.7900000000000000e+02,8.3973894126178394e-02
