MUNICIPALITY,Numbered,November 2014 Labor Force,November 2014 Unemployed
"ANDOVER",1.0000000000000000e+00,2.0570000000000000e+03,1.1200000000000000e+02
"ANSONIA",2.0000000000000000e+00,1.0299000000000000e+04,7.5800000000000000e+02
"ASHFORD",3.0000000000000000e+00,2.5390000000000000e+03,1.1300000000000000e+02
"AVON",4.0000000000000000e+00,9.8090000000000000e+03,4.1800000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.2670000000000000e+03,1.0600000000000000e+02
"BEACON FALLS",6.0000000000000000e+00,3.4880000000000000e+03,2.1900000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1630000000000000e+04,6.1400000000000000e+02
"BETHANY",8.0000000000000000e+00,3.1950000000000000e+03,1.8100000000000000e+02
"BETHEL",9.0000000000000000e+00,1.1315000000000000e+04,5.4800000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,2.0540000000000000e+03,1.0000000000000000e+02
"BLOOMFIELD",1.1000000000000000e+01,1.0219000000000000e+04,7.5200000000000000e+02
"BOLTON",1.2000000000000000e+01,2.9480000000000000e+03,1.2200000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.5080000000000000e+03,9.4000000000000000e+01
"BRANFORD",1.4000000000000000e+01,1.6936000000000000e+04,9.0500000000000000e+02
"BRIDGEPORT",1.5000000000000000e+01,6.7335000000000000e+04,6.5300000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,9.5400000000000000e+02,4.7000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.4370000000000000e+04,2.3540000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.4110000000000000e+03,4.4100000000000000e+02
"BROOKLYN",1.9000000000000000e+01,4.1120000000000000e+03,2.8100000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.5710000000000000e+03,2.5500000000000000e+02
"CANAAN",2.1000000000000000e+01,6.7900000000000000e+02,2.7000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,3.0750000000000000e+03,2.2900000000000000e+02
"CANTON",2.3000000000000000e+01,5.9300000000000000e+03,2.2900000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.3320000000000000e+03,6.7000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.4956000000000000e+04,7.3700000000000000e+02
"CHESTER",2.6000000000000000e+01,2.5450000000000000e+03,1.1200000000000000e+02
"CLINTON",2.7000000000000000e+01,7.7910000000000000e+03,3.8500000000000000e+02
"COLCHESTER",2.8000000000000000e+01,9.3280000000000000e+03,5.2500000000000000e+02
"COLEBROOK",2.9000000000000000e+01,8.0900000000000000e+02,3.3000000000000000e+01
"COLUMBIA",3.0000000000000000e+01,3.1960000000000000e+03,1.9800000000000000e+02
"CORNWALL",3.1000000000000000e+01,7.9800000000000000e+02,3.4000000000000000e+01
"COVENTRY",3.2000000000000000e+01,7.2370000000000000e+03,4.0400000000000000e+02
"CROMWELL",3.3000000000000000e+01,8.2270000000000000e+03,3.9200000000000000e+02
"DANBURY",3.4000000000000000e+01,4.6981000000000000e+04,2.1730000000000000e+03
"DARIEN",3.5000000000000000e+01,9.5570000000000000e+03,4.1200000000000000e+02
"DEEP RIVER",3.6000000000000000e+01,2.5700000000000000e+03,1.3800000000000000e+02
"DERBY",3.7000000000000000e+01,7.1370000000000000e+03,5.2100000000000000e+02
"DURHAM",3.8000000000000000e+01,4.3110000000000000e+03,1.8000000000000000e+02
"EAST GRANBY",3.9000000000000000e+01,3.0090000000000000e+03,1.3300000000000000e+02
