MUNICIPALITY,PER CAPITA INCOME - 2013 ESTIMATE
"ANDOVER",3.8340000000000000e+04
"ANSONIA",2.5374000000000000e+04
"ASHFORD",3.7447000000000000e+04
"AVON",6.4364000000000000e+04
"BARKHAMSTED",3.8415000000000000e+04
"BEACON FALLS",3.4471000000000000e+04
"BERLIN",3.8738000000000000e+04
"BETHANY",4.4641000000000000e+04
"BETHEL",3.8900000000000000e+04
"BETHLEHEM",4.2575000000000000e+04
"BLOOMFIELD",4.1702000000000000e+04
"BOLTON",4.5492000000000000e+04
"BOZRAH",3.2496000000000000e+04
"BRANFORD",4.2521000000000000e+04
"BRIDGEPORT",2.0132000000000000e+04
"BRIDGEWATER",5.8719000000000000e+04
"BRISTOL",3.0573000000000000e+04
"BROOKFIELD",4.8277000000000000e+04
"BROOKLYN",2.6491000000000000e+04
"BURLINGTON",4.3049000000000000e+04
"CANAAN",4.0111000000000000e+04
"CANTERBURY",3.1550000000000000e+04
"CANTON",4.4830000000000000e+04
"CHAPLIN",3.3840000000000000e+04
"CHESHIRE",4.3722000000000000e+04
"CHESTER",4.1055000000000000e+04
"CLINTON",3.7847000000000000e+04
"COLCHESTER",3.6860000000000000e+04
"COLEBROOK",3.7227000000000000e+04
"COLUMBIA",4.0206000000000000e+04
"CORNWALL",4.0852000000000000e+04
"COVENTRY",3.8946000000000000e+04
"CROMWELL",3.8463000000000000e+04
"DANBURY",3.0770000000000000e+04
"DARIEN",9.4820000000000000e+04
"DEEP RIVER",4.0835000000000000e+04
"DERBY",2.7568000000000000e+04
"DURHAM",4.7679000000000000e+04
"EAST GRANBY",3.6769000000000000e+04
"EAST HADDAM",3.9539000000000000e+04
"EAST HAMPTON",4.1278000000000000e+04
"EAST HARTFORD",2.5578000000000000e+04
"EAST HAVEN",3.1147000000000000e+04
"EAST LYME",3.8114000000000000e+04
"EAST WINDSOR",3.2769000000000000e+04
"EASTFORD",3.9044000000000000e+04
"EASTON",6.4002000000000000e+04
"ELLINGTON",3.8939000000000000e+04
"ENFIELD",2.9557000000000000e+04
"ESSEX",5.6197000000000000e+04
"FAIRFIELD",5.8576000000000000e+04
"FARMINGTON",5.2634000000000000e+04
"FRANKLIN",3.6893000000000000e+04
"GLASTONBURY",5.2928000000000000e+04
"GOSHEN",3.8536000000000000e+04
"GRANBY",5.5309000000000000e+04
"GREENWICH",9.0629000000000000e+04
"GRISWOLD",2.8449000000000000e+04
"GROTON",3.3139000000000000e+04
"GROTON (City of)",
"GUILFORD",5.3106000000000000e+04
"HADDAM",4.3782000000000000e+04
"HAMDEN",3.3888000000000000e+04
"HAMPTON",3.5867000000000000e+04
"HARTFORD",1.6619000000000000e+04
"HARTLAND",3.4568000000000000e+04
"HARWINTON",4.3330000000000000e+04
"HEBRON",4.2218000000000000e+04
"KENT",4.2335000000000000e+04
"KILLINGLY",2.6977000000000000e+04
"KILLINGWORTH",5.2335000000000000e+04
"LEBANON",3.5917000000000000e+04
"LEDYARD",3.8210000000000000e+04
"LISBON",3.7021000000000000e+04
"LITCHFIELD",4.4902000000000000e+04
"LYME",6.0410000000000000e+04
"MADISON",5.3943000000000000e+04
"MANCHESTER",3.2773000000000000e+04
"MANSFIELD",1.9452000000000000e+04
"MARLBOROUGH",4.1729000000000000e+04
"MERIDEN",2.6941000000000000e+04
"MIDDLEBURY",4.2903000000000000e+04
"MIDDLEFIELD",4.2590000000000000e+04
"MIDDLETOWN",3.2966000000000000e+04
"MILFORD",4.0158000000000000e+04
"MONROE",4.8118000000000000e+04
"MONTVILLE",2.9925000000000000e+04
"MORRIS",3.7454000000000000e+04
"NAUGATUCK",2.8820000000000000e+04
"NEW BRITAIN",2.0655000000000000e+04
"NEW CANAAN",9.7498000000000000e+04
"NEW FAIRFIELD",4.2261000000000000e+04
"NEW HARTFORD",3.7461000000000000e+04
"NEW HAVEN",2.3339000000000000e+04
"NEW LONDON",2.1668000000000000e+04
"NEW MILFORD",4.1224000000000000e+04
"NEWINGTON",3.6462000000000000e+04
"NEWTOWN",4.8433000000000000e+04
"NORFOLK",4.1176000000000000e+04
"NORTH BRANFORD",3.8271000000000000e+04
"NORTH CANAAN",2.5391000000000000e+04
"NORTH HAVEN",3.8975000000000000e+04
"NORTH STONINGTON",3.7662000000000000e+04
"NORWALK",4.3767000000000000e+04
"NORWICH",2.7417000000000000e+04
"OLD LYME",4.9209000000000000e+04
"OLD SAYBROOK",4.4150000000000000e+04
"ORANGE",4.8101000000000000e+04
"OXFORD",4.2719000000000000e+04
"PLAINFIELD",2.6896000000000000e+04
"PLAINVILLE",3.2531000000000000e+04
"PLYMOUTH",3.0527000000000000e+04
"POMFRET",3.8733000000000000e+04
"PORTLAND",4.2569000000000000e+04
"PRESTON",3.3599000000000000e+04
"PROSPECT",3.7951000000000000e+04
"PUTNAM",2.4092000000000000e+04
"REDDING",6.0405000000000000e+04
"RIDGEFIELD",7.7027000000000000e+04
"ROCKY HILL",4.2229000000000000e+04
"ROXBURY",6.1595000000000000e+04
"SALEM",4.0877000000000000e+04
"SALISBURY",5.1106000000000000e+04
"SCOTLAND",2.9592000000000000e+04
"SEYMOUR",3.3667000000000000e+04
"SHARON",5.2725000000000000e+04
"SHELTON",4.1679000000000000e+04
"SHERMAN",5.9178000000000000e+04
"SIMSBURY",5.6673000000000000e+04
"SOMERS",3.3700000000000000e+04
"SOUTH WINDSOR",4.1398000000000000e+04
"SOUTHBURY",4.3058000000000000e+04
"SOUTHINGTON",3.8046000000000000e+04
"SPRAGUE",2.9898000000000000e+04
"STAFFORD",2.8339000000000000e+04
"STAMFORD",4.3647000000000000e+04
"STERLING",2.6472000000000000e+04
"STONINGTON",4.4787000000000000e+04
"STRATFORD",3.4215000000000000e+04
"SUFFIELD",3.8398000000000000e+04
"THOMASTON",3.3870000000000000e+04
"THOMPSON",3.1898000000000000e+04
"TOLLAND",4.3846000000000000e+04
"TORRINGTON",2.8899000000000000e+04
"TRUMBULL",4.4571000000000000e+04
"UNION",3.3647000000000000e+04
"VERNON",3.5361000000000000e+04
"VOLUNTOWN",3.3579000000000000e+04
"WALLINGFORD",3.6306000000000000e+04
"WARREN",5.2866000000000000e+04
"WASHINGTON",5.5826000000000000e+04
"WATERBURY",2.1120000000000000e+04
"WATERFORD",3.9042000000000000e+04
"WATERTOWN",3.7140000000000000e+04
"WEST HARTFORD",4.7485000000000000e+04
"WEST HAVEN",2.6602000000000000e+04
"WESTBROOK",4.1130000000000000e+04
"WESTON",9.0552000000000000e+04
"WESTPORT",9.1226000000000000e+04
"WETHERSFIELD",3.9587000000000000e+04
"WILLINGTON",3.4916000000000000e+04
"WILTON",7.7526000000000000e+04
"WINCHESTER",2.9382000000000000e+04
"WINDHAM",2.0297000000000000e+04
"WINDSOR",3.5933000000000000e+04
"WINDSOR LOCKS",3.5857000000000000e+04
"WOLCOTT",3.5884000000000000e+04
"WOODBRIDGE",6.3756000000000000e+04
"WOODBURY",4.4474000000000000e+04
"WOODSTOCK",3.8391000000000000e+04
