TANF14%,TANF13%,MUNICIPALITY,numbered,2014 TANF RECIPIENTS,2013 TANF RECIPIENTS,Sort ID
4.6169720917955161e-02,4.2738187606485518e-02,"HARTFORD",6.5000000000000000e+01,5.7720000000000000e+03,5.3430000000000000e+03,1
3.5988977090445441e-02,3.6893842800148069e-02,"NEW BRITAIN",9.0000000000000000e+01,2.6250000000000000e+03,2.6910000000000000e+03,2
3.4295117097811113e-02,3.3223633858870352e-02,"NEW HAVEN",9.4000000000000000e+01,4.4810000000000000e+03,4.3410000000000000e+03,3
3.3790437288011961e-02,3.3279842445019879e-02,"WATERBURY",1.5200000000000000e+02,3.7060000000000000e+03,3.6500000000000000e+03,4
2.8517034862967517e-02,2.7446158727640502e-02,"WINDHAM",1.6400000000000000e+02,7.1900000000000000e+02,6.9200000000000000e+02,5
2.5521873298239246e-02,2.5086222544926484e-02,"NEW LONDON",9.5000000000000000e+01,7.0300000000000000e+02,6.9100000000000000e+02,6
2.2232136218306192e-02,2.0968101717599823e-02,"NORWICH",1.0500000000000000e+02,8.9700000000000000e+02,8.4600000000000000e+02,7
1.9469620678079894e-02,1.4770057066129574e-02,"SPRAGUE",1.3400000000000000e+02,5.8000000000000000e+01,4.4000000000000000e+01,8
1.9107977393761549e-02,2.3176828605586348e-02,"BRIDGEPORT",1.5000000000000000e+01,2.8130000000000000e+03,3.4120000000000000e+03,9
1.9071721582638614e-02,2.2016011644832606e-02,"MERIDEN",8.1000000000000000e+01,1.1530000000000000e+03,1.3310000000000000e+03,10
1.8848024375476082e-02,1.8359733588546652e-02,"EAST HARTFORD",4.2000000000000000e+01,9.6500000000000000e+02,9.4000000000000000e+02,11
1.4083344340245675e-02,1.4545634658565579e-02,"BRISTOL",1.7000000000000000e+01,8.5300000000000000e+02,8.8100000000000000e+02,12
1.3734812466983624e-02,1.3523507659799261e-02,"PUTNAM",1.1700000000000000e+02,1.3000000000000000e+02,1.2800000000000000e+02,13
1.3346486392386701e-02,1.0677189113909359e-02,"KILLINGLY",7.0000000000000000e+01,2.3000000000000000e+02,1.8400000000000000e+02,14
1.3196635120925341e-02,1.4984227129337540e-02,"ANSONIA",2.0000000000000000e+00,2.5100000000000000e+02,2.8500000000000000e+02,15
1.3152635977182719e-02,1.3043636231515460e-02,"WEST HAVEN",1.5600000000000000e+02,7.2400000000000000e+02,7.1800000000000000e+02,16
1.2459235722050339e-02,1.1706664436825822e-02,"GRISWOLD",5.8000000000000000e+01,1.4900000000000000e+02,1.4000000000000000e+02,17
1.2128291903592105e-02,1.0925770043462575e-02,"MANCHESTER",7.8000000000000000e+01,7.0600000000000000e+02,6.3600000000000000e+02,18
1.0244286840031520e-02,1.1032308904649330e-02,"PLAINFIELD",1.1000000000000000e+02,1.5600000000000000e+02,1.6800000000000000e+02,19
1.0233575501913913e-02,1.1092883368486838e-02,"DERBY",3.7000000000000000e+01,1.3100000000000000e+02,1.4200000000000000e+02,20
9.6249886497775348e-03,7.5365477163352405e-03,"WINCHESTER",1.6300000000000000e+02,1.0600000000000000e+02,8.3000000000000000e+01,21
9.3275264908610819e-03,9.2932341140564458e-03,"VERNON",1.4700000000000000e+02,2.7200000000000000e+02,2.7100000000000000e+02,22
9.1902055648279222e-03,9.5916168423721294e-03,"MIDDLETOWN",8.4000000000000000e+01,4.3500000000000000e+02,4.5400000000000000e+02,23
8.9004982344120347e-03,8.5135200503071648e-03,"BLOOMFIELD",1.1000000000000000e+01,1.8400000000000000e+02,1.7600000000000000e+02,24
8.5505305449675491e-03,7.7607225026613096e-03,"EAST HAVEN",4.3000000000000000e+01,2.4900000000000000e+02,2.2600000000000000e+02,25
8.4541062801932361e-03,8.3333333333333332e-03,"BROOKLYN",1.9000000000000000e+01,7.0000000000000000e+01,6.9000000000000000e+01,26
8.4523922162298547e-03,8.2000820008200082e-03,"NAUGATUCK",8.9000000000000000e+01,2.6800000000000000e+02,2.6000000000000000e+02,27
8.3962820476818963e-03,8.3120384150964597e-03,"TORRINGTON",1.4400000000000000e+02,2.9900000000000000e+02,2.9600000000000000e+02,28
8.2010582010582003e-03,7.4074074074074077e-03,"STERLING",1.3700000000000000e+02,3.1000000000000000e+01,2.8000000000000000e+01,29
8.0348012401188183e-03,7.5478435892025256e-03,"HAMDEN",6.3000000000000000e+01,4.9500000000000000e+02,4.6500000000000000e+02,30
7.7658303464755076e-03,7.3426921545201116e-03,"GROTON",5.9000000000000000e+01,3.1200000000000000e+02,2.9500000000000000e+02,31
7.4692442882249559e-03,6.1511423550087872e-03,"CHAPLIN",2.4000000000000000e+01,1.7000000000000000e+01,1.4000000000000000e+01,32
7.0654225769915327e-03,5.1777142548945576e-03,"STONINGTON",1.3800000000000000e+02,1.3100000000000000e+02,9.6000000000000000e+01,33
7.0077084793272598e-03,6.0733473487502923e-03,"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+01,2.6000000000000000e+01,34
6.5897858319604614e-03,4.9423393739703456e-03,"CANAAN",2.1000000000000000e+01,8.0000000000000000e+00,6.0000000000000000e+00,35
6.5656565656565654e-03,5.7800224466891138e-03,"PLAINVILLE",1.1100000000000000e+02,1.1700000000000000e+02,1.0300000000000000e+02,36
6.4844689061808059e-03,6.2314164610615553e-03,"STAMFORD",1.3600000000000000e+02,8.2000000000000000e+02,7.8800000000000000e+02,37
6.4423765211166790e-03,7.3968026723932236e-03,"WINDSOR LOCKS",1.6600000000000000e+02,8.1000000000000000e+01,9.3000000000000000e+01,38
6.4143681847338039e-03,6.7350865939704938e-03,"THOMPSON",1.4200000000000000e+02,6.0000000000000000e+01,6.3000000000000000e+01,39
