MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2011 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,258506273.0000
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,1174493645.0000
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,294930180.0000
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2668106790.0000
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,374141996.0000
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,471512634.0000
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,2351626782.0000
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,619479650.0000
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,2340464670.0000
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,405598145.0000
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1980601704.0000
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,479708927.0000
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,244343654.0000
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3466384192.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,6980962874.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,385571838.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,4320751637.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2170169449.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,527808438.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,934393860.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,191449465.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,383171804.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,1130952090.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,172699060.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2863684660.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,502446675.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1496831086.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1176520440.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,183495360.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,463524396.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,390739580.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,983240670.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1410488569.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,7862871107.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,8856220791.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,482257259.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,745348974.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,732475338.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,573755871.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,988069591.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1125663813.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2692719154.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1970326497.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2046376158.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,1091167948.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,162723350.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1317809160.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1256058634.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2841582637.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1120189036.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,10857288637.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3749372288.0000
