MUNICIPALITY,NUMBERED,TOWN CODE,Net Grand List - 2012 GL Year
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,567632905.0000
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,3218470206.0000
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,927388544.0000
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,403493320.0000
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,3573042211.0000
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,6440527586.0000
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2307984642.0000
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1241891661.0000
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,353616808.0000
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1566229089.0000
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2441301264.0000
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,8299347038.0000
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1687072376.0000
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,715256311.0000
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,6077165950.0000
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1508781044.0000
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,2947446080.0000
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,2534836971.0000
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,3037125308.0000
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,309443430.0000
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,1261064588.0000
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,308491940.0000
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,2813316822.0000
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,524625576.0000
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,12804127889.0000
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,2423927020.0000
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1607851495.0000
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,2488991824.0000
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1892490448.0000
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1408304205.0000
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,835558360.0000
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,1339175184.0000
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,757086852.0000
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,358044798.0000
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,795869961.0000
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,381825751.0000
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,806651649.0000
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,627661365.0000
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1626710439.0000
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4618881301.0000
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,2161927354.0000
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,694043380.0000
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,360941990.0000
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,1156066100.0000
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,127867900.0000
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1208751805.0000
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,851634816.0000
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,4495499170.0000
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,763304091.0000
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,2234667295.0000
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,834794596.0000
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,2545217411.0000
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,2040817495.0000
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,3711454678.0000
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,163859991.0000
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,763713549.0000
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,18839166277.0000
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,224123451.0000
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2592616626.0000
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4531278020.0000
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1428862977.0000
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,527643734.0000
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,613190008.0000
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1295797756.0000
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,2360288625.0000
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,4465363903.0000
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,98614334.0000
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1734380865.0000
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,199289624.0000
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,4217052785.0000
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,342705650.0000
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,1254795221.0000
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,4016431515.0000
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,3173071768.0000
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1957587145.0000
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,5900026028.0000
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,2800061014.0000
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1142332341.0000
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2660640912.0000
