Entity,Initials,DBplans,DCplans,CSplans,Comment,NOPEBO
"COLCHESTER","JG",1,0,0,,0
"COVENTRY","JG",1,0,0,,0
"CROMWELL","JG",1,0,0,,0
"DANBURY","JG",1,0,0,,0
"DARIEN","JG",2,0,0,,0
"EAST GRANBY","JG",1,,0,,0
"EAST HAMPTON","JG",1,0,0,,0
"EAST HARTFORD","JG",1,0,0,,0
"EAST LYME","JG",1,0,0,,0
"ELLINGTON","JG",1,0,0,,0
"ENFIELD","JG",1,0,0,,0
"ESSEX","JG",2,0,0,,0
"FARMINGTON","JG",1,0,0,,0
"GLASTONBURY","JG",1,0,0,,0
"GRANBY","JG",1,0,0,,0
"GREENWICH","JG",1,0,0,,0
"GRISWOLD","JG",1,0,0,,0
"GROTON","JG",1,0,0,,0
"GROTON (CITY)","JG",1,0,0,,0
"HADDAM","JG",0,0,0,,0
"HAMDEN","JG",1,0,0,,0
"KENT","JG",0,0,0,,0
"KILLINGLY","JG",1,0,0,,0
"LEDYARD","JG",1,0,0,,0
"LITCHFIELD","JG",1,0,0,,0
"LYME","JG",0,0,0,,0
"MANSFIELD","JG",1,0,0,,0
"MERIDEN","JG",1,0,0,,0
"MIDDLEBURY","JG",1,0,0,,0
"MIDDLETOWN","JG",1,0,0,,0
"MONROE","JG",2,0,0,,0
"NAUGATUCK","JG",1,0,0,,0
"NEW BRITAIN","JG",1,0,0,,0
"NEW CANAAN","JG",1,0,0,,0
"NEW HAVEN","JG",1,0,0,,0
"NEWTOWN","JG",1,0,0,,0
"NORFOLK","JG",0,0,0,,0
"NORTH BRANFORD","JG",1,0,0,,0
"NORTH STONINGTON","JG",1,0,0,,0
"NORWALK","JG",1,0,0,,0
"NORWICH","JG",1,0,0,,0
"OLD SAYBROOK","JG",1,0,0,,0
"ORANGE","JG",1,0,0,,0
"PLAINFIELD","JG",1,0,0,,0
"PLAINVILLE","JG",1,0,0,,0
"PLYMOUTH","JG",1,0,0,,0
"POMFRET","JG",1,0,0,,0
"PRESTON","JG",1,0,0,,0
"RIDGEFIELD","JG",1,0,0,,0
"ROCKY HILL","JG",2,0,0,,0
"ROXBURY","JG",1,0,0,,0
"SALEM","JG",1,0,0,,0
"SCOTLAND","JG",1,0,0,,0
"SEYMOUR","JG",1,0,0,,0
