MUNICIPALITY,MEDIAN HOUSEHOLD INCOME - 2013 ESTIMATE
"ANDOVER",8.8438000000000000e+04
"ANSONIA",4.5505000000000000e+04
"ASHFORD",7.5127000000000000e+04
"AVON",1.1557100000000000e+05
"BARKHAMSTED",8.9911000000000000e+04
"BEACON FALLS",8.5280000000000000e+04
"BERLIN",8.7432000000000000e+04
"BETHANY",1.0008300000000000e+05
"BETHEL",8.5589000000000000e+04
"BETHLEHEM",8.3871000000000000e+04
"BLOOMFIELD",7.3104000000000000e+04
"BOLTON",8.6890000000000000e+04
"BOZRAH",7.8580000000000000e+04
"BRANFORD",7.0785000000000000e+04
"BRIDGEPORT",4.1050000000000000e+04
"BRIDGEWATER",8.7875000000000000e+04
"BRISTOL",5.7610000000000000e+04
"BROOKFIELD",1.0753700000000000e+05
"BROOKLYN",5.9262000000000000e+04
"BURLINGTON",1.0542200000000000e+05
"CANAAN",6.5000000000000000e+04
"CANTERBURY",7.3038000000000000e+04
"CANTON",8.7891000000000000e+04
"CHAPLIN",7.5368000000000000e+04
"CHESHIRE",1.1163800000000000e+05
"CHESTER",7.4911000000000000e+04
"CLINTON",7.1599000000000000e+04
"COLCHESTER",9.6774000000000000e+04
"COLEBROOK",7.9667000000000000e+04
"COLUMBIA",9.0725000000000000e+04
"CORNWALL",6.7500000000000000e+04
"COVENTRY",9.3816000000000000e+04
"CROMWELL",7.5859000000000000e+04
"DANBURY",6.4969000000000000e+04
"DARIEN",2.0568800000000000e+05
"DEEP RIVER",7.1500000000000000e+04
"DERBY",5.3098000000000000e+04
"DURHAM",1.2417900000000000e+05
"EAST GRANBY",7.1250000000000000e+04
"EAST HADDAM",8.9615000000000000e+04
"EAST HAMPTON",9.4747000000000000e+04
"EAST HARTFORD",5.0400000000000000e+04
"EAST HAVEN",6.3673000000000000e+04
"EAST LYME",7.8257000000000000e+04
"EAST WINDSOR",7.2785000000000000e+04
"EASTFORD",8.3015000000000000e+04
"EASTON",1.5000000000000000e+05
"ELLINGTON",8.4699000000000000e+04
"ENFIELD",6.7191000000000000e+04
"ESSEX",8.6298000000000000e+04
"FAIRFIELD",1.1770500000000000e+05
"FARMINGTON",8.8935000000000000e+04
"FRANKLIN",8.9643000000000000e+04
"GLASTONBURY",1.0667800000000000e+05
"GOSHEN",7.9850000000000000e+04
"GRANBY",9.7894000000000000e+04
"GREENWICH",1.3216400000000000e+05
"GRISWOLD",5.9387000000000000e+04
"GROTON",6.0684000000000000e+04
"GROTON (City of)",
"GUILFORD",9.6151000000000000e+04
"HADDAM",9.3824000000000000e+04
"HAMDEN",6.8794000000000000e+04
"HAMPTON",7.4559000000000000e+04
"HARTFORD",2.9430000000000000e+04
"HARTLAND",8.8362000000000000e+04
"HARWINTON",8.9102000000000000e+04
"HEBRON",1.1179200000000000e+05
"KENT",6.4038000000000000e+04
"KILLINGLY",5.7205000000000000e+04
"KILLINGWORTH",1.1276100000000000e+05
"LEBANON",8.3651000000000000e+04
"LEDYARD",8.7518000000000000e+04
"LISBON",8.0129000000000000e+04
"LITCHFIELD",8.6801000000000000e+04
"LYME",8.5263000000000000e+04
"MADISON",1.1076100000000000e+05
"MANCHESTER",6.3274000000000000e+04
"MANSFIELD",6.6143000000000000e+04
"MARLBOROUGH",1.1069400000000000e+05
"MERIDEN",5.2590000000000000e+04
"MIDDLEBURY",9.6181000000000000e+04
"MIDDLEFIELD",9.6765000000000000e+04
"MIDDLETOWN",5.9994000000000000e+04
"MILFORD",8.0460000000000000e+04
"MONROE",1.0358900000000000e+05
"MONTVILLE",6.8298000000000000e+04
"MORRIS",8.3958000000000000e+04
"NAUGATUCK",5.9056000000000000e+04
"NEW BRITAIN",4.0294000000000000e+04
"NEW CANAAN",1.6184800000000000e+05
"NEW FAIRFIELD",1.0310000000000000e+05
"NEW HARTFORD",8.6354000000000000e+04
"NEW HAVEN",3.7428000000000000e+04
"NEW LONDON",4.3307000000000000e+04
"NEW MILFORD",8.0792000000000000e+04
"NEWINGTON",7.7368000000000000e+04
"NEWTOWN",1.0915900000000000e+05
"NORFOLK",7.1538000000000000e+04
"NORTH BRANFORD",8.4783000000000000e+04
"NORTH CANAAN",4.9746000000000000e+04
"NORTH HAVEN",8.6250000000000000e+04
"NORTH STONINGTON",8.2900000000000000e+04
"NORWALK",7.4728000000000000e+04
"NORWICH",4.8597000000000000e+04
"OLD LYME",8.7416000000000000e+04
"OLD SAYBROOK",7.5549000000000000e+04
"ORANGE",1.0694200000000000e+05
"OXFORD",1.0216700000000000e+05
"PLAINFIELD",6.2708000000000000e+04
"PLAINVILLE",6.0630000000000000e+04
"PLYMOUTH",7.0273000000000000e+04
"POMFRET",8.4918000000000000e+04
"PORTLAND",8.8693000000000000e+04
"PRESTON",7.4141000000000000e+04
"PROSPECT",9.8151000000000000e+04
"PUTNAM",4.6627000000000000e+04
"REDDING",1.1911200000000000e+05
"RIDGEFIELD",1.4799300000000000e+05
"ROCKY HILL",7.7560000000000000e+04
"ROXBURY",9.0250000000000000e+04
"SALEM",1.0062500000000000e+05
"SALISBURY",6.8094000000000000e+04
"SCOTLAND",7.8250000000000000e+04
"SEYMOUR",7.5426000000000000e+04
"SHARON",7.4083000000000000e+04
"SHELTON",8.6138000000000000e+04
"SHERMAN",1.1234400000000000e+05
"SIMSBURY",1.1500000000000000e+05
"SOMERS",9.8846000000000000e+04
"SOUTH WINDSOR",9.0499000000000000e+04
"SOUTHBURY",7.3341000000000000e+04
"SOUTHINGTON",8.0029000000000000e+04
"SPRAGUE",6.6622000000000000e+04
"STAFFORD",6.1959000000000000e+04
"STAMFORD",7.6779000000000000e+04
"STERLING",6.8833000000000000e+04
"STONINGTON",8.1026000000000000e+04
"STRATFORD",6.6361000000000000e+04
"SUFFIELD",9.2737000000000000e+04
"THOMASTON",7.6692000000000000e+04
"THOMPSON",6.4974000000000000e+04
"TOLLAND",1.0386900000000000e+05
"TORRINGTON",5.1951000000000000e+04
"TRUMBULL",1.0885400000000000e+05
"UNION",8.3850000000000000e+04
"VERNON",6.1038000000000000e+04
"VOLUNTOWN",7.5938000000000000e+04
"WALLINGFORD",7.5346000000000000e+04
"WARREN",1.0097200000000000e+05
"WASHINGTON",8.0160000000000000e+04
"WATERBURY",4.0639000000000000e+04
"WATERFORD",7.3156000000000000e+04
"WATERTOWN",8.0067000000000000e+04
"WEST HARTFORD",8.2322000000000000e+04
"WEST HAVEN",5.2353000000000000e+04
"WESTBROOK",6.2832000000000000e+04
"WESTON",2.0726200000000000e+05
"WESTPORT",1.6010600000000000e+05
"WETHERSFIELD",7.7740000000000000e+04
"WILLINGTON",7.2011000000000000e+04
"WILTON",1.6709400000000000e+05
"WINCHESTER",5.8458000000000000e+04
"WINDHAM",4.1639000000000000e+04
"WINDSOR",6.6583000000000000e+04
"WINDSOR LOCKS",7.9528000000000000e+04
"WOLCOTT",8.3993000000000000e+04
"WOODBRIDGE",1.3808200000000000e+05
"WOODBURY",8.1597000000000000e+04
"WOODSTOCK",7.7366000000000000e+04
