MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.1558819000000000e+08,4.4915000000000000e+06,1.0683000000000000e+06,6.1680000000000000e+05,1.6705000000000000e+06,2.2998951000000000e+08,9.8000000000000000e+05,2.2900951000000000e+08,2.4650100000000000e+07,4.0198000000000000e+05,2.4248120000000000e+07,6.2152950000000000e+06,4.7848000000000000e+05,5.7368150000000000e+06,2.6085490500000000e+08,2.5899444500000000e+08,6.5542200000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,6.5053900000000000e+08,8.0310300000000000e+07,1.5324500000000000e+07,3.3000000000000000e+04,1.5706400000000000e+07,7.6201621000000000e+08,6.5124800000000000e+06,7.5550373000000000e+08,9.2401747000000000e+07,7.1795000000000000e+05,9.1683797000000000e+07,4.9728234000000000e+07,3.8006400000000000e+06,4.5927594000000000e+07,9.0414619100000000e+08,8.9311512100000000e+08,1.0301000000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2453900000000000e+08,1.2664300000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,9.2912000000000000e+06,2.6020183000000000e+08,6.4257500000000000e+05,2.5955925500000000e+08,2.9627470000000000e+07,1.0154100000000000e+06,2.8612060000000000e+07,7.7794930000000000e+06,4.4287400000000000e+05,7.3366190000000000e+06,2.9760879300000000e+08,2.9550793400000000e+08,1.3707330000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.1205679100000000e+09,2.5239471000000000e+08,2.8765510000000000e+07,3.4009000000000000e+05,3.7355920000000000e+07,2.4448141400000000e+09,4.3326300000000000e+06,2.4404815100000000e+09,1.7038647000000000e+08,8.5168000000000000e+05,1.6953479000000000e+08,9.2975560000000000e+07,3.7622000000000000e+05,9.2599340000000000e+07,2.7081761700000000e+09,2.7026156400000000e+09,5.3900000000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.7942150000000000e+08,1.3167950000000000e+07,4.3317200000000000e+06,0.0000000000000000e+00,2.1320500000000000e+06,3.3604135000000000e+08,1.0332900000000000e+06,3.3500806000000000e+08,3.0928180000000000e+07,5.6861000000000000e+05,3.0359570000000000e+07,1.3042442000000000e+07,2.6700000000000000e+04,1.3015742000000000e+07,3.8001197200000000e+08,3.7838337200000000e+08,3.6988130000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.5751088000000000e+08,1.4471860000000000e+07,3.0697430000000000e+07,3.1364000000000000e+05,7.3214000000000000e+05,4.1727378000000000e+08,3.1504160000000000e+06,4.1412336400000000e+08,4.0894420000000000e+07,4.1780000000000000e+05,4.0476620000000000e+07,2.0246218000000000e+07,2.6850000000000000e+04,2.0219368000000000e+07,4.7841441800000000e+08,4.7481935200000000e+08,1.3547830000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.3732606500000000e+09,2.5819195000000000e+08,1.2240020000000000e+08,3.0052000000000000e+06,0.0000000000000000e+00,1.7939121000000000e+09,1.0203432000000000e+07,1.7837086680000000e+09,1.9450777000000000e+08,5.9714370000000000e+06,1.8853633300000000e+08,2.4438623000000000e+08,2.2077000000000000e+05,2.4416546000000000e+08,2.2328061000000000e+09,2.2164104610000000e+09,3.7054100000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.1768749000000000e+08,1.4328070000000000e+07,1.9740920000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,5.5896569000000000e+08,3.4042050000000000e+06,5.5556148500000000e+08,4.5148221000000000e+07,6.5530000000000000e+04,4.5082691000000000e+07,2.3058090000000000e+07,2.7879300000000000e+05,2.2779297000000000e+07,6.2717200100000000e+08,6.2342347300000000e+08,7.2092100000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.2559561100000000e+09,1.9863357000000000e+08,8.4265710000000000e+07,0.0000000000000000e+00,2.0778950000000000e+07,1.5888942000000000e+09,5.1337200000000000e+06,1.5837604800000000e+09,1.3850092500000000e+08,3.4791000000000000e+05,1.3815301500000000e+08,1.5481161000000000e+08,1.1467000000000000e+05,1.5469694000000000e+08,1.8822067350000000e+09,1.8766104350000000e+09,2.9259860000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.3279280000000000e+08,2.2362400000000000e+07,3.1460000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.7056037000000000e+08,2.8705400000000000e+06,3.6768983000000000e+08,3.2866944000000000e+07,1.5034000000000000e+05,3.2716604000000000e+07,7.8805980000000000e+06,1.1030870000000000e+06,6.7775110000000000e+06,4.1130791200000000e+08,4.0718394500000000e+08,1.2259170000000000e+07
