Municipality,numbered,Comptroller Town Code,Net Grand List - 2004 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,1.7546532500000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,7.9245145100000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.3417249000000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.1289005700000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.8746808000000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.1097952500000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.6222446100000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.0854644100000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.5953218170000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.4757586100000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.6574597410000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.8019519500000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.8129632500000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.2335148920000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,5.2512175170000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.1128118100000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.9606863500000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.7839435670000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,4.6006629300000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.3481130800000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.1391956000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.2539709100000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.2867550000000000e+08
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.2169029600000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.4533636350000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.0690097800000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,9.6363625800000000e+08
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.2642757100000000e+08
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.0838830100000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.4331780600000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,2.3881414000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,8.0405189500000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.0030841150000000e+09
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,5.6358986150000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,6.3248089820000000e+09
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.6863369600000000e+08
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,5.5224041600000000e+08
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,4.8550973600000000e+08
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,4.6465270200000000e+08
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,6.6859158900000000e+08
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,7.3026243800000000e+08
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2.3324748850000000e+09
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.2330743830000000e+09
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.3713411680000000e+09
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,7.2764483200000000e+08
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,9.8112321000000000e+07
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.2273858930000000e+09
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,7.5992378100000000e+08
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.0425159870000000e+09
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,9.9833607400000000e+08
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,7.2818862330000000e+09
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.6587823520000000e+09
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.6562522000000000e+08
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,2.9707557100000000e+09
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,3.7195537000000000e+08
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,8.0237075000000000e+08
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.0386768385000000e+10
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,4.7669161700000000e+08
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,2.5936895270000000e+09
"GROTON (City of)",6.0000000000000000e+01,5.0100000000000000e+02,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2.4776042420000000e+09
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,6.1198239900000000e+08
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,2.6235950960000000e+09
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,1.1498552300000000e+08
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3.4574185700000000e+09
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,1.4698071000000000e+08
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,4.5103400000000000e+08
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,5.8682399600000000e+08
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,4.5744301400000000e+08
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,7.8869734300000000e+08
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,5.6723254500000000e+08
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,4.6811075700000000e+08
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,8.1364409900000000e+08
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,2.4692552900000000e+08
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,8.5025695800000000e+08
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,5.0292781400000000e+08
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2.3987610360000000e+09
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,2.8759167000000000e+09
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,8.6686312000000000e+08
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,4.3922104900000000e+08
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,2.3749601880000000e+09
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,6.8121045900000000e+08
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,3.0833434000000000e+08
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,2.5929600420000000e+09
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,4.0036940640000000e+09
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2.0361199180000000e+09
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1.0200214000000000e+09
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,3.2702460600000000e+08
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1.3948403800000000e+09
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2.0564395570000000e+09
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,6.7055341480000000e+09
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1.7892674130000000e+09
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,5.4974819300000000e+08
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,3.9884402290000000e+09
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1.2827986640000000e+09
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,2.1522614220000000e+09
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,1.7651204450000000e+09
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,2.9197309010000000e+09
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,2.0192839200000000e+08
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,8.9289039100000000e+08
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,2.4010052000000000e+08
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,1.9500238410000000e+09
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,3.7120549600000000e+08
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,8.3409133720000000e+09
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1.7552032080000000e+09
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1.4562738670000000e+09
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,1.8718783410000000e+09
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.4103959400000000e+09
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,8.1699896300000000e+08
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,6.8607629500000000e+08
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,9.4422110000000000e+08
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,5.3763201700000000e+08
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,3.2352840000000000e+08
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,5.5038421000000000e+08
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,2.7582721100000000e+08
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,5.2300126300000000e+08
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,4.7808891000000000e+08
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.4675818170000000e+09
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.1040118190000000e+09
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,1.6071877100000000e+09
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,4.8492650000000000e+08
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,2.7007467700000000e+08
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,6.4570168000000000e+08
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,9.1800414000000000e+07
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,9.4340753200000000e+08
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,5.2350675900000000e+08
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,3.3067494200000000e+09
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,6.4459991800000000e+08
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,1.9486419560000000e+09
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,7.2266812400000000e+08
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,1.9999755290000000e+09
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,1.9951128410000000e+09
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,2.6720220610000000e+09
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.9259795700000000e+08
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,5.0776048300000000e+08
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.1149014687000000e+10
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,1.6437124100000000e+08
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2.0462469500000000e+09
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4.4878936780000000e+09
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1.0490793760000000e+09
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,3.8428678600000000e+08
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,6.2655099700000000e+08
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1.1409289550000000e+09
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.8595264160000000e+09
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,3.3551103740000000e+09
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,6.6511231000000000e+07
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.2859754760000000e+09
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,1.2583281600000000e+08
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,3.1225286150000000e+09
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,1.9794259000000000e+08
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,9.2930801000000000e+08
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,3.4261191600000000e+09
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,2.6098131220000000e+09
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.5835602010000000e+09
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,3.6617315900000000e+09
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,1.8471863150000000e+09
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,7.8648851300000000e+08
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3997678340000000e+09
