Municipality,numbered,Moody's,SandP,Fitch
"ANDOVER",1.0000000000000000e+00,"A3","A",
"ANSONIA",2.0000000000000000e+00,"A3","A",
"ASHFORD",3.0000000000000000e+00,"A2",,
"AVON",4.0000000000000000e+00,"Aaa","AAA",
"BARKHAMSTED",5.0000000000000000e+00,"A2",,
"BEACON FALLS",6.0000000000000000e+00,,,
"BERLIN",7.0000000000000000e+00,"Aa3","AA",
"BETHANY",8.0000000000000000e+00,"A1",,
"BETHEL",9.0000000000000000e+00,"Aa3",,"AA"
"BETHLEHEM",1.0000000000000000e+01,,,
"BLOOMFIELD",1.1000000000000000e+01,"Aa3","AA",
"BOLTON",1.2000000000000000e+01,"A2",,
"BOZRAH",1.3000000000000000e+01,"Baa1",,
"BRANFORD",1.4000000000000000e+01,"Aa2","AA+",
"BRIDGEPORT",1.5000000000000000e+01,"Baa1","A-","A-"
"BRIDGEWATER",1.6000000000000000e+01,,,
"BRISTOL",1.7000000000000000e+01,"Aa3","AA","AA"
"BROOKFIELD",1.8000000000000000e+01,"Aa2",,
"BROOKLYN",1.9000000000000000e+01,"A3",,
"BURLINGTON",2.0000000000000000e+01,"A2",,
"CANAAN",2.1000000000000000e+01,,,
"CANTERBURY",2.2000000000000000e+01,"A3",,
"CANTON",2.3000000000000000e+01,"A1",,
"CHAPLIN",2.4000000000000000e+01,"A3",,
"CHESHIRE",2.5000000000000000e+01,"Aa2",,"AA"
"CHESTER",2.6000000000000000e+01,"A2",,
"CLINTON",2.7000000000000000e+01,"A1",,
"COLCHESTER",2.8000000000000000e+01,"A1",,"AA-"
"COLEBROOK",2.9000000000000000e+01,"A3",,
"COLUMBIA",3.0000000000000000e+01,"A1",,
"CORNWALL",3.1000000000000000e+01,"A1",,
"COVENTRY",3.2000000000000000e+01,"A2",,
"CROMWELL",3.3000000000000000e+01,"A1","AA",
"DANBURY",3.4000000000000000e+01,"Aa2","AA+","AA+"
"DARIEN",3.5000000000000000e+01,"Aaa",,
"DEEP RIVER",3.6000000000000000e+01,"Baa1",,
"DERBY",3.7000000000000000e+01,"A2","A+",
"DURHAM",3.8000000000000000e+01,,,
"EAST GRANBY",3.9000000000000000e+01,"A1",,
"EAST HADDAM",4.0000000000000000e+01,"A1","AA",
"EAST HAMPTON",4.1000000000000000e+01,"A2","A+",
"EAST HARTFORD",4.2000000000000000e+01,"A1",,
"EAST HAVEN",4.3000000000000000e+01,"A3","A",
"EAST LYME",4.4000000000000000e+01,"Aa3",,
"EAST WINDSOR",4.5000000000000000e+01,"A1",,
"EASTFORD",4.6000000000000000e+01,,,
"EASTON",4.7000000000000000e+01,"Aa1",,
"ELLINGTON",4.8000000000000000e+01,"A2",,
"ENFIELD",4.9000000000000000e+01,"Aa3","AA",
"ESSEX",5.0000000000000000e+01,"Aa3",,
"FAIRFIELD",5.1000000000000000e+01,"Aaa","AAA","AAA"
"FARMINGTON",5.2000000000000000e+01,"Aa1",,
"FRANKLIN",5.3000000000000000e+01,"A3",,
"GLASTONBURY",5.4000000000000000e+01,"Aa1","AAA",
"GOSHEN",5.5000000000000000e+01,,,
"GRANBY",5.6000000000000000e+01,"A1","AA",
"GREENWICH",5.7000000000000000e+01,"Aaa","AAA","AAA"
"GRISWOLD",5.8000000000000000e+01,,,"A+"
"GROTON",5.9000000000000000e+01,"Aa3","AA","AA-"
"GROTON (City of)",6.0000000000000000e+01,"Aa3","AA-",
"GUILFORD",6.1000000000000000e+01,"Aa3",,"AA+"
"HADDAM",6.2000000000000000e+01,,,
"HAMDEN",6.3000000000000000e+01,"A2","A",
"HAMPTON",6.4000000000000000e+01,,,
"HARTFORD",6.5000000000000000e+01,"A2","A","A"
"HARTLAND",6.6000000000000000e+01,"A3",,
"HARWINTON",6.7000000000000000e+01,,,
"HEBRON",6.8000000000000000e+01,"A1","AA",
"KENT",6.9000000000000000e+01,"A1","AA",
"KILLINGLY",7.0000000000000000e+01,"A1",,
"KILLINGWORTH",7.1000000000000000e+01,"A1",,
"LEBANON",7.2000000000000000e+01,"A1",,
"LEDYARD",7.3000000000000000e+01,"A1",,
"LISBON",7.4000000000000000e+01,"A3",,
"LITCHFIELD",7.5000000000000000e+01,"Aa3",,
"LYME",7.6000000000000000e+01,,,
"MADISON",7.7000000000000000e+01,"Aa1",,"AAA"
"MANCHESTER",7.8000000000000000e+01,"Aa2",,"AA+"
"MANSFIELD",7.9000000000000000e+01,"Aa3",,
"MARLBOROUGH",8.0000000000000000e+01,"A1",,
"MERIDEN",8.1000000000000000e+01,"A3",,"A-"
"MIDDLEBURY",8.2000000000000000e+01,"Aa3",,
"MIDDLEFIELD",8.3000000000000000e+01,,,
"MIDDLETOWN",8.4000000000000000e+01,"Aa3","AA",
"MILFORD",8.5000000000000000e+01,"Aa2","AA","AA"
"MONROE",8.6000000000000000e+01,"Aa3",,
"MONTVILLE",8.7000000000000000e+01,"Aa3",,
"MORRIS",8.8000000000000000e+01,,,
"NAUGATUCK",8.9000000000000000e+01,"A1","A+","AA-"
"NEW BRITAIN",9.0000000000000000e+01,"A3","A","A"
"NEW CANAAN",9.1000000000000000e+01,"Aaa",,
"NEW FAIRFIELD",9.2000000000000000e+01,"Aa2",,
"NEW HARTFORD",9.3000000000000000e+01,"A2",,
"NEW HAVEN",9.4000000000000000e+01,"A3","A-","A-"
"NEW LONDON",9.5000000000000000e+01,"A1","A+","AA-"
"NEW MILFORD",9.6000000000000000e+01,"Aa2",,
"NEWINGTON",9.7000000000000000e+01,"Aa3","AA",
"NEWTOWN",9.8000000000000000e+01,"Aa2",,
"NORFOLK",9.9000000000000000e+01,"A3",,
"NORTH BRANFORD",1.0000000000000000e+02,"A1",,
"NORTH CANAAN",1.0100000000000000e+02,"A3",,
"NORTH HAVEN",1.0200000000000000e+02,"Aa2",,
"NORTH STONINGTON",1.0300000000000000e+02,"A3",,
"NORWALK",1.0400000000000000e+02,"Aaa","AAA","AAA"
