Municipality,numbered,Comptroller Town Code,Net Grand List - 2006 GL Year,Comments
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,269078771.0000,"2006 Reval"
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,810585353.0000,
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,244354303.0000,
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2226999410.0000,
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,298690976.0000,
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,502767105.0000,"2006 Reval"
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1706971942.0000,
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,526507423.0000,
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1672463798.0000,
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,356101399.0000,
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1695764929.0000,
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,392482175.0000,
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,184707335.0000,
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3292706081.0000,
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,5413924658.0000,
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,405914322.0000,"2006 Reval"
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,3041056860.0000,
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,2544473802.0000,"2006 Reval"
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,496025757.0000,
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,765198152.0000,
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,121081735.0000,
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,344008994.0000,
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,918826998.0000,
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,127147620.0000,
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2507990224.0000,
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,423310291.0000,
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1642748332.0000,
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,1223766001.0000,"2006 Reval"
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,183558000.0000,
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,515797688.0000,"2006 Reval"
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,443994670.0000,"2006 Reval"
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,840794475.0000,
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1048397397.0000,
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,6248215400.0000,
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,6503841127.0000,
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,506728718.0000,
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,896722123.0000,
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,750524750.0000,
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,489583623.0000,
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,700009220.0000,
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,1096024189.0000,
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2724586547.0000,"2006 Reval"
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,2218772876.0000,"2006 Reval"
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,2245262203.0000,"2006 Reval"
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,781962283.0000,
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,103932216.0000,
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1657825621.0000,"2006 Reval"
