Municipality,numbered,Comptroller Town Code,Net Grand List - 2006 GL Year,Comments
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,1183950091.0000,
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,3161669222.0000,"2006 Reval"
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1015542422.0000,
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,11765157367.0000,
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2723119181.0000,
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,174130748.0000,
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3088606980.0000,
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,396236253.0000,
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,836756310.0000,
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,33296934008.0000,
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,790017900.0000,"2006 Reval"
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,3206747142.0000,"2006 Reval"
"GROTON (City of)",6.0000000000000000e+01,,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2555149036.0000,
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,864190798.0000,
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,4263738904.0000,
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,119753962.0000,
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3334666569.0000,"2006 Reval"
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,191134776.0000,
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,478863216.0000,
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,846167744.0000,"2006 Reval"
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,472403647.0000,
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,851461433.0000,
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,794910796.0000,"2006 Reval"
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,490598782.0000,
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,1165823156.0000,
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,379829430.0000,"2006 Reval"
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,885192085.0000,
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,514751219.0000,
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2453875784.0000,
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,3386431677.0000,"2006 Reval"
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,905707189.0000,
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,615989726.0000,
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,3608414217.0000,"2006 Reval"
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,1041799655.0000,"2006 Reval"
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,445039992.0000,"2006 Reval"
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,2633277162.0000,
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,7097451920.0000,"2006 Reval"
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2094927905.0000,
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1468999735.0000,"2006 Reval"
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,366212598.0000,
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1451301450.0000,
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2089372606.0000,
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,6958849354.0000,
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1827615813.0000,
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,570034709.0000,
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,4406546092.0000,"2006 Reval"
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,1260897448.0000,
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,3021765660.0000,
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,2590253718.0000,
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,3042190785.0000,
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,207254284.0000,
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,1266894075.0000,
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,251302080.0000,
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,2582095214.0000,
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,601685723.0000,
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,10508527613.0000,
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1818112461.0000,
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1490337940.0000,
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,1930822271.0000,
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1574614691.0000,"2006 Reval"
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1333983051.0000,
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,691309960.0000,
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,1370713110.0000,"2006 Reval"
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,807948470.0000,"2006 Reval"
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,340763984.0000,
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,825332427.0000,"2006 Reval"
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,296144114.0000,
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,784036858.0000,
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,508258110.0000,
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1550443155.0000,
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4212750813.0000,
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,1635894255.0000,
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,510354880.0000,
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,425303111.0000,"2006 Reval"
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,1160035822.0000,
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,97012461.0000,
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1339069682.0000,
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,541255445.0000,
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,4927245820.0000,"2006 Reval"
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,666164192.0000,
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,2022421806.0000,
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,744106966.0000,
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,2113039277.0000,
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,2067049784.0000,
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,3872003267.0000,
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,183034630.0000,
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,781522365.0000,
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,9361731391.0000,"2006 Reval"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,182858545.0000,
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2137615581.0000,
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4527621341.0000,
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1112079793.0000,
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,613752141.0000,"2006 Reval"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,648933320.0000,
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1201951776.0000,
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1905788613.0000,
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,5041941013.0000,
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,72656043.0000,
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1406051810.0000,"2006 Reval"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,219786217.0000,
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,4168139955.0000,
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,210642986.0000,
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,966436640.0000,
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,3534261722.0000,
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,2728213930.0000,
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1666065319.0000,
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,4497443813.0000,"2006 Reval"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,3046675008.0000,
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,1303486930.0000,"2006 Reval"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2512825856.0000,
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,10404044276.0000,
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,1991317830.0000,
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,393277756.0000,
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,3814713540.0000,
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,587937928.0000,
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,913693948.0000,
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2401738783.0000,
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1070718762.0000,
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1337261519.0000,"2006 Reval"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1198054295.0000,
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,1041897566.0000,
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,770351439.0000,
