Municipality,July 2004 Population
"ANDOVER",3.1770000000000000e+03
"ANSONIA",1.8881000000000000e+04
"ASHFORD",4.3490000000000000e+03
"AVON",1.6992000000000000e+04
"BARKHAMSTED",3.6870000000000000e+03
"BEACON FALLS",5.5530000000000000e+03
"BERLIN",1.9471000000000000e+04
"BETHANY",5.4170000000000000e+03
"BETHEL",1.8742000000000000e+04
"BETHLEHEM",3.5980000000000000e+03
"BLOOMFIELD",2.0414000000000000e+04
"BOLTON",5.1730000000000000e+03
"BOZRAH",2.4460000000000000e+03
"BRANFORD",2.9166000000000000e+04
"BRIDGEPORT",1.4013200000000000e+05
"BRIDGEWATER",1.8920000000000000e+03
"BRISTOL",6.0994000000000000e+04
"BROOKFIELD",1.6201000000000000e+04
"BROOKLYN",7.6500000000000000e+03
"BURLINGTON",8.9520000000000000e+03
"CANAAN",1.1060000000000000e+03
"CANTERBURY",5.0100000000000000e+03
"CANTON",9.6030000000000000e+03
"CHAPLIN",2.4180000000000000e+03
"CHESHIRE",2.9303000000000000e+04
"CHESTER",3.8460000000000000e+03
"CLINTON",1.3638000000000000e+04
"COLCHESTER",1.5334000000000000e+04
"COLEBROOK",1.5300000000000000e+03
"COLUMBIA",5.2950000000000000e+03
"CORNWALL",1.4820000000000000e+03
"COVENTRY",1.2166000000000000e+04
"CROMWELL",1.3520000000000000e+04
"DANBURY",7.8221000000000000e+04
"DARIEN",2.0547000000000000e+04
"DEEP RIVER",4.7360000000000000e+03
"DERBY",1.2620000000000000e+04
"DURHAM",7.2060000000000000e+03
"EAST GRANBY",5.0180000000000000e+03
"EAST HADDAM",8.7890000000000000e+03
"EAST HAMPTON",1.1927000000000000e+04
"EAST HARTFORD",4.9416000000000000e+04
"EAST HAVEN",2.8808000000000000e+04
"EAST LYME",1.8629000000000000e+04
"EAST WINDSOR",1.0261000000000000e+04
"EASTFORD",1.7250000000000000e+03
"EASTON",7.4880000000000000e+03
"ELLINGTON",1.4141000000000000e+04
"ENFIELD",4.5567000000000000e+04
"ESSEX",6.8160000000000000e+03
"FAIRFIELD",5.7861000000000000e+04
"FARMINGTON",2.4682000000000000e+04
"FRANKLIN",1.9270000000000000e+03
"GLASTONBURY",3.2852000000000000e+04
"GOSHEN",3.0070000000000000e+03
"GRANBY",1.0989000000000000e+04
"GREENWICH",6.2317000000000000e+04
"GRISWOLD",1.1194000000000000e+04
"GROTON",4.0522000000000000e+04
"GROTON (City of)",
"GUILFORD",2.2245000000000000e+04
"HADDAM",7.5350000000000000e+03
"HAMDEN",5.8412000000000000e+04
"HAMPTON",1.9680000000000000e+03
"HARTFORD",1.2505300000000000e+05
"HARTLAND",2.0780000000000000e+03
"HARWINTON",5.5260000000000000e+03
"HEBRON",9.0850000000000000e+03
"KENT",2.9450000000000000e+03
"KILLINGLY",1.7214000000000000e+04
"KILLINGWORTH",6.3810000000000000e+03
"LEBANON",7.2240000000000000e+03
"LEDYARD",1.5149000000000000e+04
"LISBON",4.2310000000000000e+03
"LITCHFIELD",8.5940000000000000e+03
"LYME",2.1150000000000000e+03
"MADISON",1.8778000000000000e+04
"MANCHESTER",5.5563000000000000e+04
"MANSFIELD",2.4232000000000000e+04
"MARLBOROUGH",6.1850000000000000e+03
"MERIDEN",5.9163000000000000e+04
"MIDDLEBURY",6.8460000000000000e+03
"MIDDLEFIELD",4.3030000000000000e+03
"MIDDLETOWN",4.7141000000000000e+04
"MILFORD",5.4495000000000000e+04
"MONROE",1.9656000000000000e+04
"MONTVILLE",1.9846000000000000e+04
"MORRIS",2.3960000000000000e+03
"NAUGATUCK",3.1802000000000000e+04
"NEW BRITAIN",7.1832000000000000e+04
"NEW CANAAN",1.9965000000000000e+04
"NEW FAIRFIELD",1.4229000000000000e+04
"NEW HARTFORD",6.6620000000000000e+03
"NEW HAVEN",1.2501200000000000e+05
"NEW LONDON",2.6375000000000000e+04
"NEW MILFORD",2.8484000000000000e+04
"NEWINGTON",2.9646000000000000e+04
"NEWTOWN",2.6762000000000000e+04
"NORFOLK",1.6870000000000000e+03
"NORTH BRANFORD",1.4292000000000000e+04
"NORTH CANAAN",3.3920000000000000e+03
"NORTH HAVEN",2.3710000000000000e+04
"NORTH STONINGTON",5.2010000000000000e+03
"NORWALK",8.4412000000000000e+04
"NORWICH",3.6721000000000000e+04
