Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions*,Net Gain,Net Gain Ranking
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",4.7000000000000000e+01,4.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","45","34"
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",3.3000000000000000e+01,3.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","30","53"
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",1.0800000000000000e+02,1.0800000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","101","13"
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","24","61"
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",6.3100000000000000e+02,2.6200000000000000e+02,4.0000000000000000e+00,0.0000000000000000e+00,3.6500000000000000e+02,"5","626","1"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",6.4000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.8000000000000000e+01,"19","45","35"
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",4.8000000000000000e+01,4.4000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"10","38","44"
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","29","54"
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","7","117"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","21","69"
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",5.5000000000000000e+01,3.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"0","55","28"
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",5.7000000000000000e+01,5.4000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,"3","54","29"
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",3.9000000000000000e+01,2.7000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"4","35","46"
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","0","143"
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",1.8300000000000000e+02,3.8000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,1.3900000000000000e+02,"na","na","NR"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","5","128"
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",1.4100000000000000e+02,3.5000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+00,9.8000000000000000e+01,"7","134","7"
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",1.4600000000000000e+02,7.1000000000000000e+01,1.0000000000000000e+01,3.0000000000000000e+00,6.2000000000000000e+01,"23","123","9"
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",6.4000000000000000e+01,6.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","60","24"
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",4.7000000000000000e+01,4.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","45","36"
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",1.0400000000000000e+02,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.4000000000000000e+01,"0","104","12"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"11","7","118"
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",2.6000000000000000e+01,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"15","11","96"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","9","103"
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",9.3000000000000000e+01,9.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"95","-2","144"
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","15","84"
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","3","134"
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"21","6","122"
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","20","73"
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","16","79"
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",7.5000000000000000e+01,6.1000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,"1","74","22"
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","20","74"
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","26","58"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","2","137"
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","27","56"
