Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions*,Net Gain,Net Gain Ranking
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"Tolland",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","8","104"
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"New Haven",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","13","87"
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"Windham",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","8","105"
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","8","106"
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"New Haven",2.2000000000000000e+01,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","20","70"
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"Hartford",7.4000000000000000e+01,7.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"New Haven",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","5","123"
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"Fairfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","6","119"
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"Litchfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","15","80"
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"Hartford",4.9000000000000000e+01,4.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","42","39"
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"Tolland",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"na","na","NR"
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","7","113"
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"New Haven",3.3000000000000000e+01,3.1000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"20","13","88"
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"Fairfield",2.4300000000000000e+02,4.1000000000000000e+01,3.6000000000000000e+01,2.5000000000000000e+01,1.4100000000000000e+02,"38","205","6"
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","0","141"
