Municipality,numbered,Comptroller Town Code,Net Grand List - 2005 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,1.8137340700000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,8.0330523600000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.4098116800000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.1875949900000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.9376533000000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,3.2133393200000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.6648833560000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.1883098700000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.6138588590000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.5162352800000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.7173208560000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.8809926500000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.8362899300000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,3.2717197270000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,5.3329767990000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.1581442900000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.9868137300000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.8359922200000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,4.7919289700000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.5060869200000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.1841041500000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.3595795100000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.9061251300000000e+08
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.2512677000000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.4828984340000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,4.1524790200000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.6292681450000000e+09
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.6049664000000000e+08
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.8196541100000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.5292287800000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,2.4345333400000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,8.2130932000000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,1.0259075800000000e+09
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,6.1040015900000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,6.4055747350000000e+09
