Municipality,Millrate FY 2004-2005,Revaluation / Phase-In,FY 2003-04 Millrate,Comments
"ANDOVER",3.1300000000000001e+01,"2001",3.1900000000000002e+01,
"ANSONIA",3.0270000000000000e+01,"2002",2.9400000000000002e+01,
"ASHFORD",3.1000000000000000e+01,"2002",2.9000000000000000e+01,
"AVON",2.3460000000000001e+01,"2003",2.8300000000000001e+01,
"BARKHAMSTED",2.6100000000000001e+01,"2003",3.2200000000000003e+01,
"BEACON FALLS",3.3000000000000000e+01,"2001",2.8400000000000002e+01,
"BERLIN",2.7430000000000000e+01,"2002",2.5300000000000001e+01,
"BETHANY",2.5660000000000000e+01,"2003",3.2930000000000000e+01,
"BETHEL",2.5480000000000000e+01,"2003",2.4550000000000001e+01,
"BETHLEHEM",1.9100000000000001e+01,"2003",2.8710000000000001e+01,
"BLOOMFIELD",4.2329999999999998e+01,"2004",3.9800000000000004e+01,
"BOLTON",2.7910000000000000e+01,"2003",3.6200000000000003e+01,
"BOZRAH",2.2000000000000000e+01,"2002",2.0500000000000000e+01,
"BRANFORD",2.3940000000000001e+01,"2002",2.2789999999999999e+01,
"BRIDGEPORT",3.8990000000000002e+01,"2004/Phase In",5.5200000000000003e+01,
"BRIDGEWATER",1.7500000000000000e+01,"2003",2.6000000000000000e+01,
"BRISTOL",3.2829999999999998e+01,"2002",3.0930000000000000e+01,
"BROOKFIELD",2.2620000000000001e+01,"2001",2.1870000000000001e+01,
"BROOKLYN",2.7340000000000000e+01,"2004",2.5969999999999999e+01,
"BURLINGTON",2.5500000000000000e+01,"2003",3.1500000000000000e+01,
"CANAAN",2.7500000000000000e+01,"2002",2.6500000000000000e+01,
"CANTERBURY",3.0500000000000000e+01,"2004",2.8500000000000000e+01,
"CANTON",2.7660000000000000e+01,"2003",3.4020000000000003e+01,
"CHAPLIN",3.1000000000000000e+01,"2003",4.2000000000000000e+01,
"CHESHIRE",2.5750000000000000e+01,"2003",3.3700000000000003e+01,
