Municipality,Millrate FY 2004-2005,Revaluation / Phase-In,FY 2003-04 Millrate,Comments
"CHESTER",2.1900000000000002e+01,"2003",2.7530000000000001e+01,
"CLINTON",2.8990000000000002e+01,"2004",2.7859999999999999e+01,
"COLCHESTER",3.1020000000000000e+01,"2005",3.0350000000000001e+01,"phone call 8/19/04"
"COLEBROOK",3.6660000000000004e+01,"2004",3.6750000000000000e+01,
"COLUMBIA",2.9199999999999999e+01,"2005",2.6600000000000001e+01,
"CORNWALL",2.1000000000000000e+01,"2005",2.0500000000000000e+01,
"COVENTRY",3.1850000000000001e+01,"2004",3.0350000000000001e+01,
"CROMWELL",2.9000000000000000e+01,"2003",2.6300000000000001e+01,
"DANBURY",2.4859999999999999e+01,"2002",2.4289999999999999e+01,
"DARIEN",1.1950000000000001e+01,"2003",2.4289999999999999e+01,"phone call 8/19/04"
"DEEP RIVER",2.8050000000000001e+01,"2005",1.6000000000000000e+01,
"DERBY",3.6200000000000003e+01,"2004",2.7250000000000000e+01,"phone call 8/19/04"
"DURHAM",3.5050000000000004e+01,"2004",3.3200000000000003e+01,
"EAST GRANBY",2.5199999999999999e+01,"2003",2.8300000000000001e+01,
"EAST HADDAM",2.5350000000000001e+01,"2002",3.1400000000000002e+01,
"EAST HAMPTON",3.0190000000000001e+01,"2004",2.4410000000000000e+01,
"EAST HARTFORD",4.0329999999999998e+01,"2005",2.8930000000000000e+01,
"EAST HAVEN",3.3899999999999999e+01,"2004",3.8600000000000001e+01,
"EAST LYME",2.5949999999999999e+01,"2005",3.3899999999999999e+01,
"EAST WINDSOR",2.6195000000000000e+01,"2002",2.1650000000000002e+01,
"EASTFORD",2.9400000000000002e+01,"2002",3.3500000000000000e+01,
"EASTON",2.3600000000000001e+01,"2002",2.4350000000000001e+01,
"ELLINGTON",3.2700000000000003e+01,"2004",2.4699999999999999e+01,
"ENFIELD",3.4240000000000002e+01,"2005",3.1400000000000002e+01,
"ESSEX",1.4900000000000000e+01,"2003",2.0000000000000000e+01,
"FAIRFIELD",2.3400000000000002e+01,"2005",2.1500000000000000e+01,
"FARMINGTON",2.3300000000000001e+01,"2002",2.1900000000000002e+01,
"FRANKLIN",2.0629999999999999e+01,"2003",2.6300000000000001e+01,
"GLASTONBURY",3.0900000000000002e+01,"2002",2.8750000000000000e+01,
"GOSHEN",2.1500000000000000e+01,"2002",2.0000000000000000e+01,
"GRANBY",3.1970000000000002e+01,"2002",3.0600000000000001e+01,
"GREENWICH",1.1120000000000001e+01,"2001",1.0746000000000000e+01,
"GRISWOLD",2.7280000000000001e+01,"2001",2.5879999999999999e+01,
"GROTON",2.2620000000000001e+01,"2001",2.2750000000000000e+01,
"GROTON (City of)",,,,
"GUILFORD",2.1650000000000002e+01,"2002",2.1170000000000002e+01,
"HADDAM",2.9500000000000000e+01,"2001",2.8500000000000000e+01,
"HAMDEN",4.0880000000000003e+01,"2004",3.7609999999999999e+01,
"HAMPTON",2.8250000000000000e+01,"2003",3.9700000000000003e+01,
"HARTFORD",5.6320000000000000e+01,"2006",5.2920000000000002e+01,
"HARTLAND",2.6500000000000000e+01,"2001",2.4000000000000000e+01,
"HARWINTON",2.4199999999999999e+01,"2002",3.1900000000000002e+01,
"HEBRON",3.1480000000000000e+01,"2001",3.0340000000000000e+01,
"KENT",1.5830000000000000e+01,"2003",2.1000000000000000e+01,
"KILLINGLY",2.3500000000000000e+01,"2002",2.1400000000000002e+01,
"KILLINGWORTH",2.4800000000000001e+01,"2001",2.3100000000000001e+01,
"LEBANON",2.3300000000000001e+01,"2003",2.7400000000000002e+01,
"LEDYARD",3.2329999999999998e+01,"2001",3.0900000000000002e+01,
"LISBON",2.1000000000000000e+01,"2001",1.8000000000000000e+01,
"LITCHFIELD",2.1400000000000002e+01,"2003",2.7370000000000001e+01,
"LYME",1.2400000000000000e+01,"2003",1.9000000000000000e+01,
"MADISON",2.0219999999999999e+01,"2002",1.9109999999999999e+01,
"MANCHESTER",3.6070000000000000e+01,"2004",3.4310000000000002e+01,
"MANSFIELD",3.0930000000000000e+01,"2004",2.9940000000000001e+01,
"MARLBOROUGH",2.9230000000000000e+01,"2001",2.8300000000000001e+01,
"MERIDEN",3.9090000000000003e+01,"2001",3.7300000000000004e+01,"phone call 8/19/04"
"MIDDLEBURY",3.0820000000000000e+01,"2005",2.8480000000000000e+01,
"MIDDLEFIELD",3.0850000000000001e+01,"2005",2.9580000000000002e+01,"phone call 8/19/04"
"MIDDLETOWN",2.8000000000000000e+01,"2002",2.7300000000000001e+01,
"MILFORD",3.1340000000000000e+01,"2004",2.9199999999999999e+01,
"MONROE",2.2879999999999999e+01,"2003",3.0580000000000002e+01,
"MONTVILLE",2.7969999999999999e+01,"2001",2.7370000000000001e+01,
"MORRIS",2.7460000000000001e+01,"2004",2.5810000000000002e+01,
"NAUGATUCK",3.5399999999999999e+01,"2002",3.3000000000000000e+01,"vote august 30"
"NEW BRITAIN",4.6899999999999999e+01,"2002",4.6930000000000000e+01,
"NEW CANAAN",1.2655000000000001e+01,"2001",1.3990000000000000e+01,
"NEW FAIRFIELD",2.8750000000000000e+01,"2004",2.7600000000000001e+01,
"NEW HARTFORD",2.6100000000000001e+01,"2003",3.2399999999999999e+01,
"NEW HAVEN",3.9530000000000001e+01,"2001",3.8530000000000001e+01,
"NEW LONDON",2.5340000000000000e+01,"2003",3.5399999999999999e+01,"Amended mill rate form 26.65 to 25.34 on 12/232/2004"
"NEW MILFORD",2.6160000000000000e+01,"2001",2.4760000000000002e+01,
"NEWINGTON",3.4240000000000002e+01,"2004",3.2289999999999999e+01,
"NEWTOWN",2.4900000000000002e+01,"2002",2.3400000000000002e+01,"phone call 8/19/04"
"NORFOLK",2.4820000000000000e+01,"2003",2.8260000000000002e+01,
"NORTH BRANFORD",2.9120000000000001e+01,"2001",2.7900000000000002e+01,
"NORTH CANAAN",2.3000000000000000e+01,"2002",2.2800000000000001e+01,
"NORTH HAVEN",3.0530000000000001e+01,"2004",2.8760000000000002e+01,
"NORTH STONINGTON",2.9500000000000000e+01,"2004",2.8500000000000000e+01,
"NORWALK",2.6410000000000000e+01,"2003/Phase-In",2.8969999999999999e+01,
"NORWICH",2.5690000000000001e+01,"2003",3.6770000000000003e+01,
"OLD LYME",2.5500000000000000e+01,"2004",2.3600000000000001e+01,
"OLD SAYBROOK",1.3800000000000001e+01,"2003",2.1570000000000000e+01,
"ORANGE",3.1199999999999999e+01,"2004",2.9500000000000000e+01,
"OXFORD",2.7690000000000001e+01,"2004",2.6770000000000000e+01,
"PLAINFIELD",2.4680000000000000e+01,"2002",2.2699999999999999e+01,
"PLAINVILLE",3.3329999999999998e+01,"2004",3.3549999999999997e+01,
"PLYMOUTH",3.9200000000000003e+01,"2001",3.5700000000000003e+01,
"POMFRET",2.6240000000000002e+01,"2004",2.5240000000000002e+01,
"PORTLAND",3.6020000000000003e+01,"2001",3.4030000000000001e+01,
"PRESTON",2.4699999999999999e+01,"2002",2.1850000000000001e+01,
"PROSPECT",3.2000000000000000e+01,"2004",3.0000000000000000e+01,
"PUTNAM",1.4350000000000000e+01,"2003",1.7250000000000000e+01,
"REDDING",2.2050000000000001e+01,"2002",3.4030000000000001e+01,
"RIDGEFIELD",2.2020000000000000e+01,"2002",2.1850000000000001e+01,
"ROCKY HILL",2.5800000000000001e+01,"2003",3.0000000000000000e+01,
"ROXBURY",1.5400000000000000e+01,"2002",1.7250000000000000e+01,
"SALEM",3.1000000000000000e+01,"2001",3.4030000000000001e+01,
"SALISBURY",1.5300000000000001e+01,"2004",2.1850000000000001e+01,
"SCOTLAND",3.1470000000000002e+01,"2003",3.0000000000000000e+01,
"SEYMOUR",3.0490000000000002e+01,"2001",1.7250000000000000e+01,
"SHARON",1.3750000000000000e+01,"2003",1.7000000000000000e+01,
"SHELTON",2.2730000000000000e+01,"2001",2.1850000000000001e+01,
"SHERMAN",1.4000000000000000e+01,"2003",3.0000000000000000e+01,
"SIMSBURY",3.4000000000000000e+01,"2002",1.7250000000000000e+01,
"SOMERS",2.8560000000000002e+01,"2002",2.7260000000000002e+01,
"SOUTH WINDSOR",3.1230000000000000e+01,"2002",2.9789999999999999e+01,
"SOUTHBURY",2.2500000000000000e+01,"2002",2.1000000000000000e+01,
"SOUTHINGTON",2.8430000000000000e+01,"2001",2.6600000000000001e+01,
"SPRAGUE",3.0500000000000000e+01,"2004",2.8750000000000000e+01,
"STAFFORD",3.3430000000000000e+01,"2004",3.1470000000000002e+01,
"STAMFORD",2.9160000000000000e+01,"2003",2.8680000000000000e+01,
"STERLING",2.7750000000000000e+01,"2002",2.4250000000000000e+01,
"STONINGTON",1.9240000000000002e+01,"2002",1.8400000000000002e+01,
"STRATFORD",3.6990000000000002e+01,"2004 Phase in",3.6439999999999998e+01,
"SUFFIELD",2.3609999999999999e+01,"2003",2.9990000000000002e+01,
"THOMASTON",3.7180000000000000e+01,"2006",3.5500000000000000e+01,
"THOMPSON",2.4629999999999999e+01,"2004",2.3629999999999999e+01,
"TOLLAND",3.5399999999999999e+01,"2004",3.3969999999999999e+01,
"TORRINGTON",3.2759999999999998e+01,"2003",3.8280000000000001e+01,
"TRUMBULL",2.8640000000000001e+01,"2004",2.7570000000000000e+01,
"UNION",2.2660000000000000e+01,"2003",2.7740000000000002e+01,
"VERNON",3.5329999999999998e+01,"2004",3.3539999999999999e+01,
"VOLUNTOWN",2.7650000000000002e+01,"2001",2.7650000000000002e+01,
"WALLINGFORD",2.5500000000000000e+01,"2001",2.5100000000000001e+01,
"WARREN",1.8719999999999999e+01,"2002",1.7719999999999999e+01,
"WASHINGTON",1.1000000000000000e+01,"2003",1.6000000000000000e+01,
"WATERBURY",5.3311999999999998e+01,"2001",5.3311999999999998e+01,
"WATERFORD",1.7900000000000002e+01,"2002",1.6980000000000000e+01,
"WATERTOWN",2.0370000000000001e+01,"2003",2.5910000000000000e+01,"vote on Nov. 2"
"WEST HARTFORD",4.2119999999999997e+01,"2006",3.9700000000000003e+01,
"WEST HAVEN",3.9300000000000004e+01,"2004",3.6740000000000002e+01,
"WESTBROOK",2.0180000000000000e+01,"2001",1.8960000000000001e+01,
"WESTON",2.0250000000000000e+01,"2003",2.5000000000000000e+01,
"WESTPORT",2.0600000000000001e+01,"2004",2.0100000000000001e+01,
"WETHERSFIELD",2.8350000000000001e+01,"2003",3.4859999999999999e+01,
"WILLINGTON",2.4770000000000000e+01,"2003",2.8800000000000001e+01,
"WILTON",2.1480000000000000e+01,"2002",2.0100000000000001e+01,
"WINCHESTER",3.1199999999999999e+01,"2002",3.0120000000000001e+01,"FY 04-05 budget not adopted as of 3-10-05, using previous year's mill rate."
"WINDHAM",2.7840000000000000e+01,"2001",2.5460000000000001e+01,
"WINDSOR",2.8830000000000002e+01,"2003",3.3570000000000000e+01,
"WINDSOR LOCKS",2.0690000000000001e+01,"2003",2.4000000000000000e+01,
"WOLCOTT",3.0830000000000002e+01,"2001",3.1100000000000001e+01,
"WOODBRIDGE",3.5579999999999998e+01,"2004",3.4570000000000000e+01,
"WOODBURY",2.1420000000000002e+01,"2003",2.7250000000000000e+01,
"WOODSTOCK",2.5000000000000000e+01,"2004",2.4500000000000000e+01,
