TANF08%,TANF07%,MUNICIPALITY,numbered,TANF RECIPIENTS FY 2007-08,TANF RECIPIENTS FY 2006-07,Sort ID
5.5128730040220612e-02,5.6172378635710445e-02,"HARTFORD",6.5000000000000000e+01,6.8670000000000000e+03,6.9970000000000000e+03,1
3.9360294354968857e-02,4.1926217603201754e-02,"NEW HAVEN",9.4000000000000000e+01,4.8780000000000000e+03,5.1960000000000000e+03,2
3.7481105492003661e-02,3.9067311101573146e-02,"WATERBURY",1.5200000000000000e+02,4.0170000000000000e+03,4.1870000000000000e+03,3
3.5081512509906036e-02,3.8223140495867766e-02,"NEW BRITAIN",9.0000000000000000e+01,2.4790000000000000e+03,2.7010000000000000e+03,4
3.1554989777417740e-02,3.2635111676889247e-02,"NEW LONDON",9.5000000000000000e+01,8.1800000000000000e+02,8.4600000000000000e+02,5
2.9521074415068842e-02,3.0281273756229410e-02,"WINDHAM",1.6400000000000000e+02,6.9900000000000000e+02,7.1700000000000000e+02,6
2.6277479059219431e-02,2.9693843959179195e-02,"BRIDGEPORT",1.5000000000000000e+01,3.5920000000000000e+03,4.0590000000000000e+03,7
2.4043900379907134e-02,2.4347826086956521e-02,"MERIDEN",8.1000000000000000e+01,1.4240000000000000e+03,1.4420000000000000e+03,8
2.3605621431708388e-02,2.3440931049626700e-02,"NORWICH",1.0500000000000000e+02,8.6000000000000000e+02,8.5400000000000000e+02,9
2.3245785161303573e-02,2.4087726143294248e-02,"EAST HARTFORD",4.2000000000000000e+01,1.1320000000000000e+03,1.1730000000000000e+03,10
1.8975741239892183e-02,2.0970350404312669e-02,"ANSONIA",2.0000000000000000e+00,3.5200000000000000e+02,3.8900000000000000e+02,11
1.7757210503659061e-02,1.7972449418854928e-02,"PUTNAM",1.1700000000000000e+02,1.6500000000000000e+02,1.6700000000000000e+02,12
1.5187182018376490e-02,1.4826486445440049e-02,"WEST HAVEN",1.5600000000000000e+02,8.0000000000000000e+02,7.8100000000000000e+02,13
1.3337630019514116e-02,1.2746835669656445e-02,"MANCHESTER",7.8000000000000000e+01,7.4500000000000000e+02,7.1200000000000000e+02,14
1.2871238364170675e-02,1.3905534304148676e-02,"BRISTOL",1.7000000000000000e+01,7.8400000000000000e+02,8.4700000000000000e+02,15
1.2465819527103104e-02,1.2948367379765161e-02,"DERBY",3.7000000000000000e+01,1.5500000000000000e+02,1.6100000000000000e+02,16
