TANF08%,TANF07%,MUNICIPALITY,numbered,TANF RECIPIENTS FY 2007-08,TANF RECIPIENTS FY 2006-07,Sort ID
1.1741026501174102e-02,1.0734652801073465e-02,"SPRAGUE",1.3400000000000000e+02,3.5000000000000000e+01,3.2000000000000000e+01,17
1.0276679841897233e-02,1.2083568605307736e-02,"KILLINGLY",7.0000000000000000e+01,1.8200000000000000e+02,2.1400000000000000e+02,18
1.0097087378640776e-02,1.1779935275080906e-02,"PLAINFIELD",1.1000000000000000e+02,1.5600000000000000e+02,1.8200000000000000e+02,19
9.9932478055367990e-03,1.1512491559756921e-02,"VERNON",1.4700000000000000e+02,2.9600000000000000e+02,3.4100000000000000e+02,20
9.9836744945372355e-03,1.0465067604336725e-02,"MIDDLETOWN",8.4000000000000000e+01,4.7700000000000000e+02,5.0000000000000000e+02,21
9.1393754760091400e-03,9.5624947110095632e-03,"TORRINGTON",1.4400000000000000e+02,3.2400000000000000e+02,3.3900000000000000e+02,22
8.3736509117975436e-03,8.9318943059173792e-03,"WINCHESTER",1.6300000000000000e+02,9.0000000000000000e+01,9.6000000000000000e+01,23
8.1650570676031608e-03,9.5697980684811244e-03,"GRISWOLD",5.8000000000000000e+01,9.3000000000000000e+01,1.0900000000000000e+02,24
8.0096399206124186e-03,8.3640487666572158e-03,"GROTON",5.9000000000000000e+01,3.3900000000000000e+02,3.5400000000000000e+02,25
7.9281922324671694e-03,8.9759709416037999e-03,"EAST HAVEN",4.3000000000000000e+01,2.2700000000000000e+02,2.5700000000000000e+02,26
7.9253853960276430e-03,8.1670129995650709e-03,"BLOOMFIELD",1.1000000000000000e+01,1.6400000000000000e+02,1.6900000000000000e+02,27
7.5314923018817625e-03,6.7094710181955525e-03,"ENFIELD",4.9000000000000000e+01,3.3900000000000000e+02,3.0200000000000000e+02,28
7.4848892925370326e-03,8.4557326735774010e-03,"NAUGATUCK",8.9000000000000000e+01,2.3900000000000000e+02,2.7000000000000000e+02,29
7.0193074283337381e-03,7.6952407362473572e-03,"HAMDEN",6.3000000000000000e+01,4.0500000000000000e+02,4.4400000000000000e+02,30
6.9162501275119859e-03,7.3038865653371416e-03,"STRATFORD",1.3900000000000000e+02,3.3900000000000000e+02,3.5800000000000000e+02,31
6.7248418861580337e-03,4.6433432071091183e-03,"WINDSOR LOCKS",1.6600000000000000e+02,8.4000000000000000e+01,5.8000000000000000e+01,32
6.7114093959731542e-03,6.9798657718120804e-03,"STERLING",1.3700000000000000e+02,2.5000000000000000e+01,2.6000000000000000e+01,33
6.5939639868120717e-03,5.7063149885873696e-03,"BROOKLYN",1.9000000000000000e+01,5.2000000000000000e+01,4.5000000000000000e+01,34
6.1937892414729344e-03,6.4483285253690821e-03,"STAFFORD",1.3500000000000000e+02,7.3000000000000000e+01,7.6000000000000000e+01,35
6.1904430687904294e-03,5.9122209083953539e-03,"WINDSOR",1.6500000000000000e+02,1.7800000000000000e+02,1.7000000000000000e+02,36
6.1229869631901843e-03,6.4584930981595092e-03,"NORWALK",1.0400000000000000e+02,5.1100000000000000e+02,5.3900000000000000e+02,37
5.9335443037974687e-03,5.1424050632911389e-03,"CHAPLIN",2.4000000000000000e+01,1.5000000000000000e+01,1.3000000000000000e+01,38
5.9112480226459077e-03,5.6614769794355174e-03,"PLYMOUTH",1.1200000000000000e+02,7.1000000000000000e+01,6.8000000000000000e+01,39
5.8823529411764705e-03,5.4901960784313726e-03,"CANTERBURY",2.2000000000000000e+01,3.0000000000000000e+01,2.8000000000000000e+01,40
5.7455024959969861e-03,6.7815767165866061e-03,"EAST WINDSOR",4.5000000000000000e+01,6.1000000000000000e+01,7.2000000000000000e+01,41
5.6418309777234920e-03,6.2234630372826148e-03,"PLAINVILLE",1.1100000000000000e+02,9.7000000000000000e+01,1.0700000000000000e+02,42
5.6141926790927461e-03,4.0422187289467773e-03,"ASHFORD",3.0000000000000000e+00,2.5000000000000000e+01,1.8000000000000000e+01,43
5.4516709371422341e-03,5.3971542277708121e-03,"STONINGTON",1.3800000000000000e+02,1.0000000000000000e+02,9.9000000000000000e+01,44
5.4479418886198543e-03,5.4479418886198543e-03,"NORFOLK",9.9000000000000000e+01,9.0000000000000000e+00,9.0000000000000000e+00,45
5.3598774885145481e-03,4.9770290964777945e-03,"VOLUNTOWN",1.4800000000000000e+02,1.4000000000000000e+01,1.3000000000000000e+01,46
4.9832087531145050e-03,5.9581843787238648e-03,"THOMPSON",1.4200000000000000e+02,4.6000000000000000e+01,5.5000000000000000e+01,47
4.7837831015070812e-03,5.0993360765405294e-03,"DANBURY",3.4000000000000000e+01,3.7900000000000000e+02,4.0400000000000000e+02,48
4.6182266009852221e-03,4.2487684729064041e-03,"SEYMOUR",1.2500000000000000e+02,7.5000000000000000e+01,6.9000000000000000e+01,49
4.5663642118590423e-03,4.9883941759864946e-03,"STAMFORD",1.3600000000000000e+02,5.4100000000000000e+02,5.9100000000000000e+02,50
4.4749403341288784e-03,4.1766109785202864e-03,"NORTH CANAAN",1.0100000000000000e+02,1.5000000000000000e+01,1.4000000000000000e+01,51
4.4570502431118316e-03,4.5583468395461908e-03,"MONTVILLE",8.7000000000000000e+01,8.8000000000000000e+01,9.0000000000000000e+01,52
4.1941910454021177e-03,5.0330292544825414e-03,"PORTLAND",1.1400000000000000e+02,4.0000000000000000e+01,4.8000000000000000e+01,53
3.6868035578480969e-03,3.9017293257943989e-03,"WEST HARTFORD",1.5500000000000000e+02,2.2300000000000000e+02,2.3600000000000000e+02,54
3.5671819262782403e-03,3.5671819262782403e-03,"LISBON",7.4000000000000000e+01,1.5000000000000000e+01,1.5000000000000000e+01,55
3.5249457700650758e-03,3.8864786695589301e-03,"WATERTOWN",1.5400000000000000e+02,7.8000000000000000e+01,8.6000000000000000e+01,56
3.4782608695652175e-03,1.1594202898550724e-03,"SCOTLAND",1.2400000000000000e+02,6.0000000000000000e+00,2.0000000000000000e+00,57
3.4448818897637795e-03,2.6246719160104987e-03,"COVENTRY",3.2000000000000000e+01,4.2000000000000000e+01,3.2000000000000000e+01,58
3.4207525655644243e-03,4.2352174621273827e-03,"WILLINGTON",1.6100000000000000e+02,2.1000000000000000e+01,2.6000000000000000e+01,59
3.2456779492614427e-03,3.1132012982711798e-03,"LEDYARD",7.3000000000000000e+01,4.9000000000000000e+01,4.7000000000000000e+01,60
3.1424766977363517e-03,3.5153129161118509e-03,"WATERFORD",1.5300000000000000e+02,5.9000000000000000e+01,6.6000000000000000e+01,61
3.0830764102991416e-03,3.3330555787017750e-03,"NORTH HAVEN",1.0200000000000000e+02,7.4000000000000000e+01,8.0000000000000000e+01,62
3.0599755201958386e-03,2.6519787841697267e-03,"PRESTON",1.1500000000000000e+02,1.5000000000000000e+01,1.3000000000000000e+01,63
3.0373499122016041e-03,3.2746428740923544e-03,"SOUTHINGTON",1.3300000000000000e+02,1.2800000000000000e+02,1.3800000000000000e+02,64
2.9991752268126266e-03,3.3240858763839945e-03,"SHELTON",1.2700000000000000e+02,1.2000000000000000e+02,1.3300000000000000e+02,65
2.8872624723024240e-03,2.7753530741511673e-03,"WALLINGFORD",1.4900000000000000e+02,1.2900000000000000e+02,1.2400000000000000e+02,66
2.8555887952134893e-03,2.9915692140331791e-03,"LEBANON",7.2000000000000000e+01,2.1000000000000000e+01,2.2000000000000000e+01,67
2.8496708449815130e-03,3.3186040220037874e-03,"MILFORD",8.5000000000000000e+01,1.5800000000000000e+02,1.8400000000000000e+02,68
2.7240533914464722e-03,2.9964587305911197e-03,"WASHINGTON",1.5100000000000000e+02,1.0000000000000000e+01,1.1000000000000000e+01,69
2.6911399392768424e-03,3.2431686447695280e-03,"BRANFORD",1.4000000000000000e+01,7.8000000000000000e+01,9.4000000000000000e+01,70
2.6861089792785879e-03,2.4942440521872602e-03,"NORTH STONINGTON",1.0300000000000000e+02,1.4000000000000000e+01,1.3000000000000000e+01,71
2.6816187225743538e-03,2.6816187225743538e-03,"SALEM",1.2200000000000000e+02,1.1000000000000000e+01,1.1000000000000000e+01,72
2.6513477684489617e-03,1.9148622772131390e-03,"CLINTON",2.7000000000000000e+01,3.6000000000000000e+01,2.6000000000000000e+01,73
2.6082420448617634e-03,2.0865936358894104e-03,"CHESTER",2.6000000000000000e+01,1.0000000000000000e+01,8.0000000000000000e+00,74
2.5988130793995578e-03,3.4521546875606068e-03,"WETHERSFIELD",1.6000000000000000e+02,6.7000000000000000e+01,8.9000000000000000e+01,75
2.5598829767782046e-03,3.1084293289449626e-03,"WOLCOTT",1.6700000000000000e+02,4.2000000000000000e+01,5.1000000000000000e+01,76
2.4983962996725077e-03,2.5996826361457171e-03,"NEWINGTON",9.7000000000000000e+01,7.4000000000000000e+01,7.7000000000000000e+01,77
2.4884792626728111e-03,1.7511520737327189e-03,"SOMERS",1.3000000000000000e+02,2.7000000000000000e+01,1.9000000000000000e+01,78
2.4350649350649350e-03,2.5826446280991736e-03,"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,3.5000000000000000e+01,79
2.4073182474723159e-03,1.4443909484833895e-03,"HARTLAND",6.6000000000000000e+01,5.0000000000000000e+00,3.0000000000000000e+00,80
2.3607176581680830e-03,1.8885741265344666e-03,"HAMPTON",6.4000000000000000e+01,5.0000000000000000e+00,4.0000000000000000e+00,81
2.3601277245592113e-03,1.9436345966958211e-03,"NORTH BRANFORD",1.0000000000000000e+02,3.4000000000000000e+01,2.8000000000000000e+01,82
2.3455824863174357e-03,3.7138389366692731e-03,"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,1.9000000000000000e+01,83
2.3428348301444747e-03,1.5618898867629833e-03,"EAST GRANBY",3.9000000000000000e+01,1.2000000000000000e+01,8.0000000000000000e+00,84
2.2855937269242940e-03,2.4965716094096134e-03,"NEW MILFORD",9.6000000000000000e+01,6.5000000000000000e+01,7.1000000000000000e+01,85
2.2530329289428075e-03,2.7729636048526864e-03,"BEACON FALLS",6.0000000000000000e+00,1.3000000000000000e+01,1.6000000000000000e+01,86
2.2314313037934334e-03,2.3111252789289128e-03,"EAST HAMPTON",4.1000000000000000e+01,2.8000000000000000e+01,2.9000000000000000e+01,87
2.2145403478448741e-03,1.9444744517662311e-03,"BETHEL",9.0000000000000000e+00,4.1000000000000000e+01,3.6000000000000000e+01,88
2.2043772634230828e-03,1.2596441505274760e-03,"MARLBOROUGH",8.0000000000000000e+01,1.4000000000000000e+01,8.0000000000000000e+00,89
2.1942562116811877e-03,3.2268473701193932e-03,"COLCHESTER",2.8000000000000000e+01,3.4000000000000000e+01,5.0000000000000000e+01,90
2.1936864633493847e-03,1.8726591760299626e-03,"EAST LYME",4.4000000000000000e+01,4.1000000000000000e+01,3.5000000000000000e+01,91
2.1828103683492498e-03,1.9099590723055935e-03,"BARKHAMSTED",5.0000000000000000e+00,8.0000000000000000e+00,7.0000000000000000e+00,92
2.0795785387494803e-03,2.2182171079994455e-03,"ELLINGTON",4.8000000000000000e+01,3.0000000000000000e+01,3.2000000000000000e+01,93
2.0489593443330100e-03,2.0489593443330100e-03,"PROSPECT",1.1600000000000000e+02,1.9000000000000000e+01,1.9000000000000000e+01,94
2.0458265139116204e-03,1.6366612111292963e-03,"BOZRAH",1.3000000000000000e+01,5.0000000000000000e+00,4.0000000000000000e+00,95
2.0113529700978858e-03,1.6537791087471506e-03,"GUILFORD",6.1000000000000000e+01,4.5000000000000000e+01,3.7000000000000000e+01,96
1.8132366273798731e-03,2.7198549410698096e-03,"WESTBROOK",1.5700000000000000e+02,1.2000000000000000e+01,1.8000000000000000e+01,97
1.8028275927507353e-03,1.9925989183034445e-03,"OLD SAYBROOK",1.0700000000000000e+02,1.9000000000000000e+01,2.1000000000000000e+01,98
1.7907393195190585e-03,3.3256587362496801e-03,"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+01,2.6000000000000000e+01,99
1.7770487321440776e-03,8.2017633791265125e-04,"TOLLAND",1.4300000000000000e+02,2.6000000000000000e+01,1.2000000000000000e+01,100
1.7329557462276513e-03,1.4370852529692717e-03,"SIMSBURY",1.2900000000000000e+02,4.1000000000000000e+01,3.4000000000000000e+01,101
1.7299042786299158e-03,1.6145773267212547e-03,"LITCHFIELD",7.5000000000000000e+01,1.5000000000000000e+01,1.4000000000000000e+01,102
1.7014036580178648e-03,1.4887282007656317e-03,"ROCKY HILL",1.2000000000000000e+02,3.2000000000000000e+01,2.8000000000000000e+01,103
1.6945323090826931e-03,2.1464075915047448e-03,"EAST HADDAM",4.0000000000000000e+01,1.5000000000000000e+01,1.9000000000000000e+01,104
1.6878315383378878e-03,1.6476450731393666e-03,"MANSFIELD",7.9000000000000000e+01,4.2000000000000000e+01,4.1000000000000000e+01,105
1.6769144773616546e-03,1.1179429849077697e-03,"EASTFORD",4.6000000000000000e+01,3.0000000000000000e+00,2.0000000000000000e+00,106
1.6547159404302261e-03,1.5168229453943740e-03,"MIDDLEBURY",8.2000000000000000e+01,1.2000000000000000e+01,1.1000000000000000e+01,107
1.5805705474171165e-03,1.2336160370084810e-03,"SOUTH WINDSOR",1.3100000000000000e+02,4.1000000000000000e+01,3.2000000000000000e+01,108
1.5547759527985967e-03,1.7939722532291501e-03,"FARMINGTON",5.2000000000000000e+01,3.9000000000000000e+01,4.5000000000000000e+01,109
1.4655593551538837e-03,1.5876893014167073e-03,"WOODSTOCK",1.7000000000000000e+02,1.2000000000000000e+01,1.3000000000000000e+01,110
1.4450867052023121e-03,9.6339113680154141e-04,"LYME",7.6000000000000000e+01,3.0000000000000000e+00,2.0000000000000000e+00,111
1.4405762304921968e-03,3.1212484993997599e-03,"POMFRET",1.1300000000000000e+02,6.0000000000000000e+00,1.3000000000000000e+01,112
1.4368963039833960e-03,1.1175860142093078e-03,"OXFORD",1.0900000000000000e+02,1.8000000000000000e+01,1.4000000000000000e+01,113
1.4318159375925742e-03,1.2836970474967907e-03,"BERLIN",7.0000000000000000e+00,2.9000000000000000e+01,2.6000000000000000e+01,114
1.4124293785310734e-03,1.8832391713747645e-03,"MIDDLEFIELD",8.3000000000000000e+01,6.0000000000000000e+00,8.0000000000000000e+00,115
1.2765957446808510e-03,1.7021276595744681e-03,"NEW FAIRFIELD",9.2000000000000000e+01,1.8000000000000000e+01,2.4000000000000000e+01,116
1.2188515709642470e-03,1.4897074756229686e-03,"OLD LYME",1.0600000000000000e+02,9.0000000000000000e+00,1.1000000000000000e+01,117
1.1846586702206428e-03,1.4808233377758032e-03,"ESSEX",5.0000000000000000e+01,8.0000000000000000e+00,1.0000000000000000e+01,118
1.1456480448611655e-03,1.1757966776206699e-03,"GLASTONBURY",5.4000000000000000e+01,3.8000000000000000e+01,3.9000000000000000e+01,119
1.1445219019873061e-03,1.4913467207713384e-03,"CHESHIRE",2.5000000000000000e+01,3.3000000000000000e+01,4.3000000000000000e+01,120
1.1394240729231406e-03,9.3225605966438781e-04,"WOODBURY",1.6900000000000000e+02,1.1000000000000000e+01,9.0000000000000000e+00,121
1.1254924029262803e-03,1.5006565372350403e-03,"COLUMBIA",3.0000000000000000e+01,6.0000000000000000e+00,8.0000000000000000e+00,122
1.1179997967273097e-03,1.2196361418843379e-03,"SOUTHBURY",1.3200000000000000e+02,2.2000000000000000e+01,2.4000000000000000e+01,123
1.0868383871318334e-03,7.6078687099228345e-04,"WOODBRIDGE",1.6800000000000000e+02,1.0000000000000000e+01,7.0000000000000000e+00,124
1.0783608914450035e-03,1.0783608914450035e-03,"HARWINTON",6.7000000000000000e+01,6.0000000000000000e+00,6.0000000000000000e+00,125
1.0773615069159658e-03,1.4075206783902134e-03,"FAIRFIELD",5.1000000000000000e+01,6.2000000000000000e+01,8.1000000000000000e+01,126
1.0256410256410256e-03,1.9230769230769232e-03,"HADDAM",6.2000000000000000e+01,8.0000000000000000e+00,1.5000000000000000e+01,127
1.0162601626016261e-03,1.3550135501355014e-03,"KENT",6.9000000000000000e+01,3.0000000000000000e+00,4.0000000000000000e+00,128
1.0032605969400551e-03,1.0032605969400551e-03,"SALISBURY",1.2300000000000000e+02,4.0000000000000000e+00,4.0000000000000000e+00,129
9.9311440677966097e-04,9.2690677966101697e-04,"SUFFIELD",1.4000000000000000e+02,1.5000000000000000e+01,1.4000000000000000e+01,130
9.4309965419679350e-04,1.2574662055957245e-03,"ANDOVER",1.0000000000000000e+00,3.0000000000000000e+00,4.0000000000000000e+00,131
8.9831117499101685e-04,1.4372978799856270e-03,"BETHANY",8.0000000000000000e+00,5.0000000000000000e+00,8.0000000000000000e+00,132
8.9232599643069600e-04,1.0906206623041840e-03,"CANTON",2.3000000000000000e+01,9.0000000000000000e+00,1.1000000000000000e+01,133
8.5852930197835011e-04,8.5852930197835011e-04,"NEWTOWN",9.8000000000000000e+01,2.3000000000000000e+01,2.3000000000000000e+01,134
8.5287846481876329e-04,1.7057569296375266e-03,"MORRIS",8.8000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,135
8.4530853761622987e-04,8.4530853761622987e-04,"BETHLEHEM",1.0000000000000000e+01,3.0000000000000000e+00,3.0000000000000000e+00,136
8.0813305102552088e-04,1.0990609493947083e-03,"GREENWICH",5.7000000000000000e+01,5.0000000000000000e+01,6.8000000000000000e+01,137
8.0570902394106814e-04,8.9203499079189687e-04,"TRUMBULL",1.4500000000000000e+02,2.8000000000000000e+01,3.1000000000000000e+01,138
7.9635126330268591e-04,7.9635126330268591e-04,"ORANGE",1.0800000000000000e+02,1.1000000000000000e+01,1.1000000000000000e+01,139
7.5823223570190641e-04,1.0831889081455806e-03,"HEBRON",6.8000000000000000e+01,7.0000000000000000e+00,1.0000000000000000e+01,140
7.3112776457685976e-04,8.5298239200633642e-04,"BROOKFIELD",1.8000000000000000e+01,1.2000000000000000e+01,1.4000000000000000e+01,141
7.2254335260115603e-04,2.1676300578034680e-03,"WARREN",1.5000000000000000e+02,1.0000000000000000e+00,3.0000000000000000e+00,142
7.2157509535099469e-04,7.2157509535099469e-04,"MONROE",8.6000000000000000e+01,1.4000000000000000e+01,1.4000000000000000e+01,143
6.7567567567567571e-04,0.0000000000000000e+00,"CORNWALL",3.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,144
6.3462758899209600e-04,4.6154733744879707e-04,"AVON",4.0000000000000000e+00,1.1000000000000000e+01,8.0000000000000000e+00,145
6.2082880645661961e-04,9.3124320968492936e-04,"KILLINGWORTH",7.1000000000000000e+01,4.0000000000000000e+00,6.0000000000000000e+00,146
5.4686645521163728e-04,1.2031062014656020e-03,"BURLINGTON",2.0000000000000000e+01,5.0000000000000000e+00,1.1000000000000000e+01,147
5.2882072977260709e-04,1.5864621893178213e-03,"FRANKLIN",5.3000000000000000e+01,1.0000000000000000e+00,3.0000000000000000e+00,148
4.9041798702278560e-04,4.1496906594235705e-04,"WESTPORT",1.5900000000000000e+02,1.3000000000000000e+01,1.1000000000000000e+01,149
4.5248868778280545e-04,5.6561085972850684e-04,"REDDING",1.1800000000000000e+02,4.0000000000000000e+00,5.0000000000000000e+00,150
4.4536817102137769e-04,8.9073634204275538e-04,"NEW HARTFORD",9.3000000000000000e+01,3.0000000000000000e+00,6.0000000000000000e+00,151
4.2799058420714745e-04,1.0699764605178687e-03,"DEEP RIVER",3.6000000000000000e+01,2.0000000000000000e+00,5.0000000000000000e+00,152
4.0727667662231876e-04,0.0000000000000000e+00,"EASTON",4.7000000000000000e+01,3.0000000000000000e+00,0.0000000000000000e+00,153
3.5193564605329311e-04,3.0165912518853697e-04,"NEW CANAAN",9.1000000000000000e+01,7.0000000000000000e+00,6.0000000000000000e+00,154
3.1565656565656568e-04,0.0000000000000000e+00,"GOSHEN",5.5000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,155
2.6749888542131073e-04,8.0249665626393228e-04,"GRANBY",5.6000000000000000e+01,3.0000000000000000e+00,9.0000000000000000e+00,156
2.6605651040280956e-04,5.3211302080561913e-04,"MADISON",7.7000000000000000e+01,5.0000000000000000e+00,1.0000000000000000e+01,157
2.5134048257372655e-04,2.9323056300268094e-04,"RIDGEFIELD",1.1900000000000000e+02,6.0000000000000000e+00,7.0000000000000000e+00,158
2.2579734688117414e-04,0.0000000000000000e+00,"WILTON",1.6200000000000000e+02,4.0000000000000000e+00,0.0000000000000000e+00,159
9.8784945174355430e-05,1.9756989034871086e-04,"DARIEN",3.5000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,160
9.8039215686274506e-05,9.8039215686274506e-05,"WESTON",1.5800000000000000e+02,1.0000000000000000e+00,1.0000000000000000e+00,161
0.0000000000000000e+00,0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,162
0.0000000000000000e+00,2.7422303473491772e-03,"CANAAN",2.1000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,163
0.0000000000000000e+00,0.0000000000000000e+00,"COLEBROOK",2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,164
0.0000000000000000e+00,8.1113965120995001e-04,"DURHAM",3.8000000000000000e+01,0.0000000000000000e+00,6.0000000000000000e+00,165
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,166
0.0000000000000000e+00,6.6181336863004633e-04,"SHARON",1.2600000000000000e+02,0.0000000000000000e+00,2.0000000000000000e+00,167
0.0000000000000000e+00,2.4330900243309004e-04,"SHERMAN",1.2800000000000000e+02,0.0000000000000000e+00,1.0000000000000000e+00,168
0.0000000000000000e+00,0.0000000000000000e+00,"UNION",1.4600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,169
