Municipality,numbered,Comptroller Town Code,Net Grand List - 2003 GL Year
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,1.6794266200000000e+08
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,7.7977813000000000e+08
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.2158712000000000e+08
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0628710750000000e+09
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.8212363200000000e+08
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,2.9824823200000000e+08
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.5945689870000000e+09
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,4.9283568500000000e+08
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.5659524900000000e+09
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.4052434100000000e+08
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.1408767110000000e+09
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.7454208500000000e+08
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.7248597200000000e+08
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.7234314380000000e+09
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,5.1653615210000000e+09
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.0995641300000000e+08
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.8752510200000000e+09
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.7478769000000000e+09
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.2094871600000000e+08
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.0686146900000000e+08
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.1349293000000000e+08
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.1370872400000000e+08
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,7.6035440900000000e+08
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.1902991200000000e+08
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.4120425000000000e+09
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.9872353800000000e+08
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,9.4181468200000000e+08
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,8.0002832200000000e+08
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.0691810500000000e+08
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,3.3020484000000000e+08
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,2.2710244000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,6.0404059500000000e+08
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,9.5733186000000000e+08
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,5.2004573400000000e+09
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,6.2224505810000000e+09
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,3.5989719000000000e+08
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,5.4145366000000000e+08
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,4.7236514400000000e+08
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,9.4159150000000000e+07
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,4.5966907600000000e+08
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,6.5074275900000000e+08
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,6.9173995100000000e+08
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,2.3527655900000000e+09
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.2111843960000000e+09
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.3269954870000000e+09
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.2119476150000000e+09
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,7.0028086700000000e+08
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,7.2759815000000000e+08
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.0111670380000000e+09
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,9.8374422800000000e+08
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,7.2006166070000000e+09
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.6106557460000000e+09
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.6105852300000000e+08
