Municipality,2006 LABOR FORCE,2006 UNEMPLOYED,2006 Unemp Rate,2005 LABOR FORCE,2005 UNEMPLOYED,2005 Unemp Rate,2004 LABOR FORCE,2004 UNEMPLOYED,2004 Unemp Rate,2003 LABOR FORCE,2003 UNEMPLOYED,2003 Unemp Rate
"ANDOVER",1.9580000000000000e+03,6.5000000000000000e+01,3.3197139938712969e-02,1.9400000000000000e+03,8.1000000000000000e+01,4.1752577319587626e-02,1.8900000000000000e+03,6.8000000000000000e+01,3.5978835978835978e-02,1.8940000000000000e+03,8.6000000000000000e+01,4.5406546990496302e-02
"ANSONIA",9.8270000000000000e+03,5.2100000000000000e+02,5.3017197517044874e-02,9.7530000000000000e+03,5.9100000000000000e+02,6.0596739464780065e-02,9.7140000000000000e+03,5.6900000000000000e+02,5.8575252213300393e-02,9.8390000000000000e+03,6.9400000000000000e+02,7.0535623538977535e-02
"ASHFORD",2.5920000000000000e+03,9.7000000000000000e+01,3.7422839506172839e-02,2.5360000000000000e+03,9.9000000000000000e+01,3.9037854889589906e-02,2.4760000000000000e+03,9.3000000000000000e+01,3.7560581583198707e-02,2.4470000000000000e+03,1.0700000000000000e+02,4.3727012668573761e-02
"AVON",9.1030000000000000e+03,2.6800000000000000e+02,2.9440843677908383e-02,8.8910000000000000e+03,2.7600000000000000e+02,3.1042627375998201e-02,8.7380000000000000e+03,2.9500000000000000e+02,3.3760585946440831e-02,8.5910000000000000e+03,3.0800000000000000e+02,3.5851472471190783e-02
"BARKHAMSTED",2.2080000000000000e+03,9.2000000000000000e+01,4.1666666666666664e-02,2.1690000000000000e+03,9.0000000000000000e+01,4.1493775933609957e-02,2.1600000000000000e+03,1.1200000000000000e+02,5.1851851851851850e-02,2.1340000000000000e+03,1.0700000000000000e+02,5.0140581068416117e-02
"BEACON FALLS",3.2780000000000000e+03,1.3900000000000000e+02,4.2403904820012203e-02,3.1910000000000000e+03,1.4800000000000000e+02,4.6380445001566906e-02,3.1540000000000000e+03,1.5300000000000000e+02,4.8509828788839568e-02,3.1500000000000000e+03,1.7500000000000000e+02,5.5555555555555552e-02
"BERLIN",1.1171000000000000e+04,4.1800000000000000e+02,3.7418315280637361e-02,1.0741000000000000e+04,4.6300000000000000e+02,4.3105856065543242e-02,1.0549000000000000e+04,4.3800000000000000e+02,4.1520523272348092e-02,1.0532000000000000e+04,4.9700000000000000e+02,4.7189517660463351e-02
"BETHANY",3.0800000000000000e+03,9.8000000000000000e+01,3.1818181818181815e-02,3.0100000000000000e+03,1.1100000000000000e+02,3.6877076411960134e-02,2.9560000000000000e+03,1.0800000000000000e+02,3.6535859269282815e-02,2.8990000000000000e+03,1.1200000000000000e+02,3.8634011728182129e-02
"BETHEL",1.0686000000000000e+04,3.5300000000000000e+02,3.3033876099569530e-02,1.0679000000000000e+04,3.8200000000000000e+02,3.5771139619814589e-02,1.0683000000000000e+04,3.9900000000000000e+02,3.7349059253018818e-02,1.0635000000000000e+04,4.2900000000000000e+02,4.0338504936530323e-02
"BETHLEHEM",2.0070000000000000e+03,6.9000000000000000e+01,3.4379671150971597e-02,1.9910000000000000e+03,7.7000000000000000e+01,3.8674033149171269e-02,1.9970000000000000e+03,7.3000000000000000e+01,3.6554832248372561e-02,2.0030000000000000e+03,8.5000000000000000e+01,4.2436345481777334e-02
"BLOOMFIELD",9.9350000000000000e+03,5.2500000000000000e+02,5.2843482637141420e-02,9.7890000000000000e+03,5.7200000000000000e+02,5.8432934926958828e-02,9.6440000000000000e+03,5.8400000000000000e+02,6.0555785980920783e-02,9.4070000000000000e+03,6.3800000000000000e+02,6.7821834803869455e-02
"BOLTON",3.0020000000000000e+03,9.7000000000000000e+01,3.2311792138574283e-02,2.9790000000000000e+03,1.0900000000000000e+02,3.6589459550184625e-02,2.9420000000000000e+03,1.0000000000000000e+02,3.3990482664853841e-02,2.9590000000000000e+03,1.1900000000000000e+02,4.0216289286921260e-02
