Municipality,EGL
"ANDOVER",283350872.1928
"ANSONIA",1127906908.5714
"ASHFORD",303408104.2857
"AVON",3131095074.3939
"BARKHAMSTED",404927944.6203
"BEACON FALLS",567255372.7015
"BERLIN",2282252420.0000
"BETHANY",740158457.9363
"BETHEL",2227348300.0000
"BETHLEHEM",492563605.0997
"BLOOMFIELD",2252300627.2901
"BOLTON",525022530.1001
"BOZRAH",252944457.1429
"BRANFORD",3922625755.7143
"BRIDGEPORT",7132633698.5918
"BRIDGEWATER",575895372.8252
"BRISTOL",4159899785.7143
"BROOKFIELD",2860020913.7756
"BROOKLYN",564772038.9775
"BURLINGTON",1025724041.2245
"CANAAN",162630728.5714
"CANTERBURY",402936330.8115
"CANTON",1161278984.0648
"CHAPLIN",185841286.9288
"CHESHIRE",3646226395.9784
"CHESTER",584984369.1556
"CLINTON",1874468271.8934
"COLCHESTER",1351728080.2355
"COLEBROOK",217017652.4089
"COLUMBIA",577919658.3991
"CORNWALL",423303573.5171
"COVENTRY",1053326858.3616
"CROMWELL",1357381132.8571
"DANBURY",7099246971.4286
"DARIEN",9287337517.4336
"DEEP RIVER",660473770.5217
"DERBY",1054070676.2092
"DURHAM",866034599.1703
"EAST GRANBY",653741034.0426
"EAST HADDAM",906220951.4286
"EAST HAMPTON",1165736975.3743
"EAST HARTFORD",3903131065.6581
"EAST HAVEN",2338884605.7495
"EAST LYME",2513188155.6422
"EAST WINDSOR",1005229275.7143
"EASTFORD",134670588.5714
"EASTON",1716222242.8571
"ELLINGTON",1282220212.2869
"ENFIELD",3630990392.9613
"ESSEX",1339381419.2123
"FAIRFIELD",13766904157.8881
"FARMINGTON",3764663292.8571
"FRANKLIN",223416351.4153
"GLASTONBURY",4126843485.7143
"GOSHEN",493770032.8571
"GRANBY",1087244585.7143
"GREENWICH",38418587047.2936
"GRISWOLD",846932399.0000
"GROTON",4880525377.6492
"GUILFORD",3421407384.2857
"HADDAM",973958247.5171
"HAMDEN",5160673501.5131
"HAMPTON",161962201.5479
"HARTFORD",6515441286.8058
"HARTLAND",205785542.8571
"HARWINTON",634044845.5754
"HEBRON",922483412.4263
"KENT",631430774.4620
"KILLINGLY",1127542314.2857
"KILLINGWORTH",888808332.4008
"LEBANON",639688667.9840
"LEDYARD",1407113336.0274
"LISBON",404800623.9943
"LITCHFIELD",1308074955.6693
"LYME",685543521.8200
"MADISON",3353859208.5714
"MANCHESTER",4912607624.4701
"MANSFIELD",1071073099.3152
"MARLBOROUGH",687165355.6565
"MERIDEN",4056950391.2452
"MIDDLEBURY",1207099667.3603
"MIDDLEFIELD",526450788.7497
"MIDDLETOWN",3622269297.1429
"MILFORD",8255126712.6939
"MONROE",3038091098.9338
"MONTVILLE",1715704552.7295
"MORRIS",429931272.7751
"NAUGATUCK",1975467528.5714
"NEW BRITAIN",2997328742.8571
"NEW CANAAN",8878786285.4112
"NEW FAIRFIELD",2179458580.4612
"NEW HARTFORD",764006769.7607
"NEW HAVEN",6739549068.0699
"NEW LONDON",1836729933.7750
"NEW MILFORD",3816746683.1881
"NEWINGTON",3286385834.4798
"NEWTOWN",4013475540.0000
"NORFOLK",299545069.7808
"NORTH BRANFORD",1538791834.1897
"NORTH CANAAN",360345457.1429
"NORTH HAVEN",3524217369.4421
"NORTH STONINGTON",697495572.5707
"NORWALK",15576343984.9845
"NORWICH",2512264379.8829
"OLD LYME",1828403402.6688
"OLD SAYBROOK",2505294065.9121
"ORANGE",2568986458.2730
"OXFORD",1393484667.4676
"PLAINFIELD",915951711.4286
"PLAINVILLE",1751125208.7576
"PLYMOUTH",909376599.6809
"POMFRET",410124913.4752
"PORTLAND",923746434.1439
"PRESTON",376015822.8571
"PROSPECT",963511595.2432
"PUTNAM",733671838.9094
"REDDING",1989709264.2857
"RIDGEFIELD",5759828441.4286
"ROCKY HILL",2350776824.0278
"ROXBURY",668679564.2857
"SALEM",456565757.0265
"SALISBURY",1121887711.0381
"SCOTLAND",126315289.9598
"SEYMOUR",1567336665.5604
"SHARON",803267013.6943
"SHELTON",6031447800.4561
"SHERMAN",824132602.6154
"SIMSBURY",2751608141.4286
"SOMERS",956452023.9389
"SOUTH WINDSOR",2822222232.8571
"SOUTHBURY",2780129998.5714
"SOUTHINGTON",4531714465.1923
"SPRAGUE",277587721.2008
"STAFFORD",927695299.1077
"STAMFORD",26594432346.7819
"STERLING",221515057.1429
"STONINGTON",2825019521.4286
"STRATFORD",5844716285.2863
"SUFFIELD",1526442131.5331
"THOMASTON",762055063.4982
"THOMPSON",763440589.1227
"TOLLAND",1428356781.0348
"TORRINGTON",2730835612.8563
"TRUMBULL",6382384166.8121
"UNION",90665115.9582
"VERNON",2208686376.3499
"VOLUNTOWN",235909779.3456
"WALLINGFORD",5241221721.9040
"WARREN",266620968.5714
"WASHINGTON",1278335372.8967
"WATERBURY",4907590914.2857
"WATERFORD",3545654928.5714
"WATERTOWN",2416972841.8240
"WEST HARTFORD",7498407342.0506
"WEST HAVEN",3584697304.6840
"WESTBROOK",1457406274.5606
"WESTON",3356869508.3944
"WESTPORT",11720374450.0167
"WETHERSFIELD",2934207369.8030
"WILLINGTON",537238777.5439
"WILTON",5188816214.2857
"WINCHESTER",816360584.2857
"WINDHAM",1102723758.9982
"WINDSOR",3402721291.9802
"WINDSOR LOCKS",1614994887.1874
"WOLCOTT",1427466296.5540
"WOODBRIDGE",1584600490.2080
"WOODBURY",1623909787.2905
"WOODSTOCK",798959825.7327
