Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions*,Net Gain,Net Gain Ranking
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,"Tolland",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,"104"
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,"New Haven",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,"87"
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,"Windham",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000000e+00,"105"
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,"106"
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"New Haven",2.2000000000000000e+01,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+01,"70"
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"Hartford",7.4000000000000000e+01,7.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"New Haven",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e+00,"123"
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"Fairfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,6.0000000000000000e+00,"119"
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"Litchfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,"80"
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"Hartford",4.9000000000000000e+01,4.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,4.2000000000000000e+01,"39"
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"Tolland",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,7.0000000000000000e+00,"113"
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"New Haven",3.3000000000000000e+01,3.1000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+01,1.3000000000000000e+01,"88"
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,"Fairfield",2.4300000000000000e+02,4.1000000000000000e+01,3.6000000000000000e+01,2.5000000000000000e+01,1.4100000000000000e+02,3.8000000000000000e+01,2.0500000000000000e+02,"6"
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,"141"
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"Hartford",1.0100000000000000e+02,1.0100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,9.2000000000000000e+01,"16"
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"Fairfield",1.2700000000000000e+02,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.0200000000000000e+02,2.0000000000000000e+00,1.2500000000000000e+02,"8"
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"Windham",3.8000000000000000e+01,3.0000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.8000000000000000e+01,"42"
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.5000000000000000e+01,"59"
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"129"
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"Windham",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,9.0000000000000000e+00,"98"
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"Hartford",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.1000000000000000e+01,"65"
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"Windham",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"New Haven",5.1000000000000000e+01,5.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,4.6000000000000000e+01,"31"
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"Middlesex",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,"99"
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"Middlesex",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+00,"120"
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"New London",5.8000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000000e+00,1.0000000000000000e+00,5.7000000000000000e+01,"25"
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,"138"
