Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions*,Net Gain,Net Gain Ranking
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"Tolland",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"130"
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,"107"
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"Tolland",3.4000000000000000e+01,3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,2.8000000000000000e+01,"55"
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"Middlesex",3.5000000000000000e+01,3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.2000000000000000e+01,"49"
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"Fairfield",2.9000000000000000e+02,2.3600000000000000e+02,4.0000000000000000e+00,7.0000000000000000e+00,4.3000000000000000e+01,2.7000000000000000e+01,2.6300000000000000e+02,"3"
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"Fairfield",5.5000000000000000e+01,5.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.5000000000000000e+01,0.0000000000000000e+00,"142"
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+00,"124"
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,-3.0000000000000000e+00,"145"
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"Middlesex",3.1000000000000000e+01,3.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"Hartford",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+01,"66"
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"Middlesex",3.5000000000000000e+01,3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,3.1000000000000000e+01,"50"
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"Middlesex",7.1000000000000000e+01,7.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"Hartford",3.6000000000000000e+01,3.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,3.4000000000000000e+01,"47"
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"New Haven",2.2000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,9.0000000000000000e+00,"100"
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"New London",1.1600000000000000e+02,3.9000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,7.1000000000000000e+01,5.0000000000000000e+00,1.1100000000000000e+02,"10"
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"Hartford",1.0800000000000000e+02,8.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+01,3.0000000000000000e+00,1.0500000000000000e+02,"11"
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"Windham",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+00,"125"
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,3.0000000000000000e+00,"133"
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"Tolland",9.5000000000000000e+01,7.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+01,2.0000000000000000e+00,9.3000000000000000e+01,"15"
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"Hartford",1.7000000000000000e+01,1.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.5000000000000000e+01,"81"
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"Middlesex",2.6000000000000000e+01,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.3000000000000000e+01,"62"
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"Fairfield",9.5000000000000000e+01,9.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+01,3.5000000000000000e+01,"45"
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"Hartford",4.8000000000000000e+01,4.4000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+01,"32"
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"New London",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,"131"
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"Hartford",8.8000000000000000e+01,8.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,7.6000000000000000e+01,"21"
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"Litchfield",3.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"Hartford",1.7000000000000000e+01,1.1000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.5000000000000000e+01,"82"
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"Fairfield",1.9100000000000000e+02,1.9100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7700000000000000e+02,1.4000000000000000e+01,"85"
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"New London",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,2.2000000000000000e+01,"64"
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,"New London",9.0000000000000000e+01,5.8000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,8.3000000000000000e+01,"18"
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,"New Haven",3.8000000000000000e+01,3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.2000000000000000e+01,2.6000000000000000e+01,"57"
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,"Middlesex",4.6000000000000000e+01,4.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,4.4000000000000000e+01,"37"
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,"New Haven",2.2000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+01,"71"
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,"Windham",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"Hartford",5.9000000000000000e+01,1.2000000000000000e+01,4.4000000000000000e+01,3.0000000000000000e+00,0.0000000000000000e+00,2.9000000000000000e+01,3.0000000000000000e+01,"52"
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,"135"
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"Litchfield",1.4000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"Tolland",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,"77"
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,7.0000000000000000e+00,"114"
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"Windham",7.1000000000000000e+01,6.3000000000000000e+01,0.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,2.4000000000000000e+01,4.7000000000000000e+01,"30"
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"Middlesex",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.3000000000000000e+01,"89"
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"New London",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.4000000000000000e+01,"86"
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"New London",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.5000000000000000e+01,"83"
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,"108"
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"Litchfield",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+01,"97"
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+00,"126"
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"New Haven",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,1.9000000000000000e+01,"75"
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"Hartford",3.6200000000000000e+02,3.4000000000000000e+01,8.0000000000000000e+00,0.0000000000000000e+00,3.2000000000000000e+02,1.2000000000000000e+01,3.5000000000000000e+02,"2"
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"Tolland",4.2000000000000000e+01,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2000000000000000e+01,"40"
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"Hartford",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.1000000000000000e+01,"93"
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"New Haven",7.0000000000000000e+01,6.6000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,5.7000000000000000e+01,"26"
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"New Haven",4.7000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,2.2000000000000000e+01,6.0000000000000000e+00,3.0000000000000000e+00,4.4000000000000000e+01,"38"
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"Middlesex",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,6.0000000000000000e+00,"121"
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"Middlesex",2.1500000000000000e+02,5.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.5700000000000000e+02,3.0000000000000000e+00,2.1200000000000000e+02,"5"
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"New Haven",2.7600000000000000e+02,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.3500000000000000e+02,1.7000000000000000e+01,2.5900000000000000e+02,"4"
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"Fairfield",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,1.1000000000000000e+01,"94"
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"New London",3.5000000000000000e+01,3.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+01,2.0000000000000000e+01,"72"
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"New Haven",4.2000000000000000e+01,4.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.1000000000000000e+01,"41"
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"Hartford",5.8000000000000000e+01,2.4000000000000000e+01,8.0000000000000000e+00,1.4000000000000000e+01,1.2000000000000000e+01,6.3000000000000000e+01,-5.0000000000000000e+00,"146"
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"Fairfield",5.1000000000000000e+01,5.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2000000000000000e+01,9.0000000000000000e+00,"101"
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"Fairfield",1.3000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"Litchfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.3000000000000000e+01,"90"
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"New Haven",3.2000000000000000e+01,2.2000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+01,-5.8000000000000000e+01,"148"
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"New London",5.2000000000000000e+01,5.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"Litchfield",3.4000000000000000e+01,3.2000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,2.3000000000000000e+01,"63"
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"Hartford",8.1000000000000000e+01,8.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,7.8000000000000000e+01,"20"
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"Fairfield",3.4000000000000000e+01,3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.1000000000000000e+01,"51"
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00,"139"
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"New Haven",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,-5.0000000000000000e+00,"147"
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,8.0000000000000000e+00,"109"
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"New Haven",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,8.0000000000000000e+00,"110"
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"New London",1.9000000000000000e+01,1.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.8000000000000000e+01,"76"
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"Fairfield",9.5000000000000000e+01,5.1000000000000000e+01,1.4000000000000000e+01,4.0000000000000000e+00,2.6000000000000000e+01,3.8000000000000000e+01,5.7000000000000000e+01,"27"
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"New London",8.0000000000000000e+01,7.8000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,6.9000000000000000e+01,"23"
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,5.0000000000000000e+00,"127"
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"Middlesex",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,8.0000000000000000e+00,"111"
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"New Haven",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"132"
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"New Haven",8.6000000000000000e+01,8.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,8.3000000000000000e+01,"19"
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"Windham",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,"95"
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"Hartford",4.4000000000000000e+01,3.0000000000000000e+01,1.0000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,3.8000000000000000e+01,"43"
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"Litchfield",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,1.2000000000000000e+01,"91"
