Municipality,numbered,SortID,2007 Population,2003 Population,Population0307Change
"GROTON",5.9000000000000000e+01,23,4.2324000000000000e+04,4.0020000000000000e+04,5.7571214392803598e-02
"SOUTHINGTON",1.3300000000000000e+02,24,4.2142000000000000e+04,4.1397000000000000e+04,1.7996473174384617e-02
"SHELTON",1.2700000000000000e+02,25,4.0011000000000000e+04,3.9121000000000000e+04,2.2749929705273383e-02
"NORWICH",1.0500000000000000e+02,26,3.6432000000000000e+04,3.6227000000000000e+04,5.6587628012256053e-03
"TORRINGTON",1.4400000000000000e+02,27,3.5451000000000000e+04,3.5756000000000000e+04,-8.5300369168810827e-03
"TRUMBULL",1.4500000000000000e+02,28,3.4752000000000000e+04,3.5013000000000000e+04,-7.4543740896238541e-03
"GLASTONBURY",5.4000000000000000e+01,29,3.3169000000000000e+04,3.2789000000000000e+04,1.1589252493214188e-02
"NAUGATUCK",8.9000000000000000e+01,30,3.1931000000000000e+04,3.1700000000000000e+04,7.2870662460567826e-03
"VERNON",1.4700000000000000e+02,31,2.9620000000000000e+04,2.9206000000000000e+04,1.4175169485722111e-02
"NEWINGTON",9.7000000000000000e+01,32,2.9619000000000000e+04,2.9695000000000000e+04,-2.5593534265027783e-03
"BRANFORD",1.4000000000000000e+01,33,2.8984000000000000e+04,2.9136000000000000e+04,-5.2169137836353650e-03
"CHESHIRE",2.5000000000000000e+01,34,2.8833000000000000e+04,2.9187000000000000e+04,-1.2128687429334978e-02
"WINDSOR",1.6500000000000000e+02,35,2.8754000000000000e+04,2.8565000000000000e+04,6.6164887099597405e-03
"EAST HAVEN",4.3000000000000000e+01,36,2.8632000000000000e+04,2.8710000000000000e+04,-2.7168234064785788e-03
"NEW MILFORD",9.6000000000000000e+01,37,2.8439000000000000e+04,2.8211000000000000e+04,8.0819538477898689e-03
"NEWTOWN",9.8000000000000000e+01,38,2.6790000000000000e+04,2.6299000000000000e+04,1.8669911403475417e-02
"WESTPORT",1.5900000000000000e+02,39,2.6508000000000000e+04,2.6320000000000000e+04,7.1428571428571426e-03
"SOUTH WINDSOR",1.3100000000000000e+02,40,2.5940000000000000e+04,2.5270000000000000e+04,2.6513652552433715e-02
"NEW LONDON",9.5000000000000000e+01,41,2.5923000000000000e+04,2.6201000000000000e+04,-1.0610282050303423e-02
"WETHERSFIELD",1.6000000000000000e+02,42,2.5781000000000000e+04,2.6398000000000000e+04,-2.3372982801727404e-02
"FARMINGTON",5.2000000000000000e+01,43,2.5084000000000000e+04,2.4507000000000000e+04,2.3544293467172645e-02
"MANSFIELD",7.9000000000000000e+01,44,2.4884000000000000e+04,2.3324000000000000e+04,6.6883896415709146e-02
"NORTH HAVEN",1.0200000000000000e+02,45,2.4002000000000000e+04,2.3628000000000000e+04,1.5828677839851025e-02
"RIDGEFIELD",1.1900000000000000e+02,46,2.3872000000000000e+04,2.4131000000000000e+04,-1.0733081927810700e-02
"WINDHAM",1.6400000000000000e+02,47,2.3678000000000000e+04,2.3014000000000000e+04,2.8852003128530458e-02
"SIMSBURY",1.2900000000000000e+02,48,2.3659000000000000e+04,2.3496000000000000e+04,6.9373510384746337e-03
"GUILFORD",6.1000000000000000e+01,49,2.2373000000000000e+04,2.2082000000000000e+04,1.3178154152703559e-02
"WATERTOWN",1.5400000000000000e+02,50,2.2128000000000000e+04,2.2178000000000000e+04,-2.2544864279917037e-03
"BLOOMFIELD",1.1000000000000000e+01,51,2.0693000000000000e+04,1.9803000000000000e+04,4.4942685451699237e-02
"BERLIN",7.0000000000000000e+00,52,2.0254000000000000e+04,1.9322000000000000e+04,4.8235172342407616e-02
"DARIEN",3.5000000000000000e+01,53,2.0246000000000000e+04,1.9921000000000000e+04,1.6314442046082026e-02
"NEW CANAAN",9.1000000000000000e+01,54,1.9890000000000000e+04,1.9839000000000000e+04,2.5706940874035988e-03
"MONTVILLE",8.7000000000000000e+01,55,1.9744000000000000e+04,1.9718000000000000e+04,1.3185921493052033e-03
"SOUTHBURY",1.3200000000000000e+02,56,1.9678000000000000e+04,1.9279000000000000e+04,2.0696094195757041e-02
"MONROE",8.6000000000000000e+01,57,1.9402000000000000e+04,1.9614000000000000e+04,-1.0808606097685327e-02
"ROCKY HILL",1.2000000000000000e+02,58,1.8808000000000000e+04,1.8528000000000000e+04,1.5112262521588947e-02
"MADISON",7.7000000000000000e+01,59,1.8793000000000000e+04,1.8698000000000000e+04,5.0807573002460155e-03
"WATERFORD",1.5300000000000000e+02,60,1.8775000000000000e+04,1.9034000000000000e+04,-1.3607229168855732e-02
"EAST LYME",4.4000000000000000e+01,61,1.8690000000000000e+04,1.8537000000000000e+04,8.2537627447807089e-03
"ANSONIA",2.0000000000000000e+00,62,1.8550000000000000e+04,1.8818000000000000e+04,-1.4241683494526517e-02
"BETHEL",9.0000000000000000e+00,63,1.8514000000000000e+04,1.8566000000000000e+04,-2.8008187008510179e-03
"STONINGTON",1.3800000000000000e+02,64,1.8343000000000000e+04,1.8206000000000000e+04,7.5249917609579260e-03
"WILTON",1.6200000000000000e+02,65,1.7715000000000000e+04,1.7909000000000000e+04,-1.0832542297169021e-02
"KILLINGLY",7.0000000000000000e+01,66,1.7710000000000000e+04,1.6940000000000000e+04,4.5454545454545456e-02
"AVON",4.0000000000000000e+00,67,1.7333000000000000e+04,1.6709000000000000e+04,3.7345143335926749e-02
"PLAINVILLE",1.1100000000000000e+02,68,1.7193000000000000e+04,1.7461000000000000e+04,-1.5348490922627569e-02
"BROOKFIELD",1.8000000000000000e+01,69,1.6413000000000000e+04,1.6037000000000000e+04,2.3445781629980671e-02
"WOLCOTT",1.6700000000000000e+02,70,1.6407000000000000e+04,1.6024000000000000e+04,2.3901647528706941e-02
"SEYMOUR",1.2500000000000000e+02,71,1.6240000000000000e+04,1.6045000000000000e+04,1.2153318790900591e-02
"COLCHESTER",2.8000000000000000e+01,72,1.5495000000000000e+04,1.5158000000000000e+04,2.2232484496635441e-02
"PLAINFIELD",1.1000000000000000e+02,73,1.5450000000000000e+04,1.5174000000000000e+04,1.8189007512850928e-02
"SUFFIELD",1.4000000000000000e+02,74,1.5104000000000000e+04,1.4217000000000000e+04,6.2390096363508472e-02
"LEDYARD",7.3000000000000000e+01,75,1.5097000000000000e+04,1.5003000000000000e+04,6.2654135839498764e-03
"TOLLAND",1.4300000000000000e+02,76,1.4631000000000000e+04,1.4264000000000000e+04,2.5729108244531687e-02
"ELLINGTON",4.8000000000000000e+01,77,1.4426000000000000e+04,1.3952000000000000e+04,3.3973623853211010e-02
"NORTH BRANFORD",1.0000000000000000e+02,78,1.4406000000000000e+04,1.4228000000000000e+04,1.2510542592071971e-02
"NEW FAIRFIELD",9.2000000000000000e+01,79,1.4100000000000000e+04,1.4179000000000000e+04,-5.5716200014105368e-03
"ORANGE",1.0800000000000000e+02,80,1.3813000000000000e+04,1.3572000000000000e+04,1.7757147067491895e-02
"CLINTON",2.7000000000000000e+01,81,1.3578000000000000e+04,1.3645000000000000e+04,-4.9102235251007693e-03
"CROMWELL",3.3000000000000000e+01,82,1.3552000000000000e+04,1.3471000000000000e+04,6.0129166357360255e-03
"EAST HAMPTON",4.1000000000000000e+01,83,1.2548000000000000e+04,1.1660000000000000e+04,7.6157804459691253e-02
"OXFORD",1.0900000000000000e+02,84,1.2527000000000000e+04,1.0729000000000000e+04,1.6758318575822537e-01
"WINDSOR LOCKS",1.6600000000000000e+02,85,1.2491000000000000e+04,1.2256000000000000e+04,1.9174281984334202e-02
"DERBY",3.7000000000000000e+01,86,1.2434000000000000e+04,1.2593000000000000e+04,-1.2626062097990947e-02
"COVENTRY",3.2000000000000000e+01,87,1.2192000000000000e+04,1.2108000000000000e+04,6.9375619425173438e-03
"PLYMOUTH",1.1200000000000000e+02,88,1.2011000000000000e+04,1.2067000000000000e+04,-4.6407557802270651e-03
"STAFFORD",1.3500000000000000e+02,89,1.1786000000000000e+04,1.1743000000000000e+04,3.6617559397087627e-03
"GRISWOLD",5.8000000000000000e+01,90,1.1390000000000000e+04,1.1087000000000000e+04,2.7329304590962389e-02
"GRANBY",5.6000000000000000e+01,91,1.1215000000000000e+04,1.0869000000000000e+04,3.1833655350078205e-02
"SOMERS",1.3000000000000000e+02,92,1.0850000000000000e+04,1.0870000000000000e+04,-1.8399264029438822e-03
"WINCHESTER",1.6300000000000000e+02,93,1.0748000000000000e+04,1.0781000000000000e+04,-3.0609405435488360e-03
"EAST WINDSOR",4.5000000000000000e+01,94,1.0617000000000000e+04,1.0185000000000000e+04,4.2415316642120768e-02
"OLD SAYBROOK",1.0700000000000000e+02,95,1.0539000000000000e+04,1.0535000000000000e+04,3.7968675842429994e-04
"WESTON",1.5800000000000000e+02,96,1.0200000000000000e+04,1.0239000000000000e+04,-3.8089657193085260e-03
"CANTON",2.3000000000000000e+01,97,1.0086000000000000e+04,9.4130000000000000e+03,7.1496866036332735e-02
"WOODBURY",1.6900000000000000e+02,98,9.6540000000000000e+03,9.5570000000000000e+03,1.0149628544522339e-02
"PORTLAND",1.1400000000000000e+02,99,9.5370000000000000e+03,9.2640000000000000e+03,2.9468911917098446e-02
"PUTNAM",1.1700000000000000e+02,100,9.2920000000000000e+03,9.0790000000000000e+03,2.3460733560964862e-02
"PROSPECT",1.1600000000000000e+02,101,9.2730000000000000e+03,9.1610000000000000e+03,1.2225739548084270e-02
"HEBRON",6.8000000000000000e+01,102,9.2320000000000000e+03,9.0470000000000000e+03,2.0448767547253232e-02
"THOMPSON",1.4200000000000000e+02,103,9.2310000000000000e+03,9.1570000000000000e+03,8.0812493174620501e-03
"WOODBRIDGE",1.6800000000000000e+02,104,9.2010000000000000e+03,9.2490000000000000e+03,-5.1897502432695424e-03
"BURLINGTON",2.0000000000000000e+01,105,9.1430000000000000e+03,8.8080000000000000e+03,3.8033605812897366e-02
"EAST HADDAM",4.0000000000000000e+01,106,8.8520000000000000e+03,8.7110000000000000e+03,1.6186430949374355e-02
"REDDING",1.1800000000000000e+02,107,8.8400000000000000e+03,8.5720000000000000e+03,3.1264582361175922e-02
"LITCHFIELD",7.5000000000000000e+01,108,8.6710000000000000e+03,8.5310000000000000e+03,1.6410737310983473e-02
"WOODSTOCK",1.7000000000000000e+02,109,8.1880000000000000e+03,7.6850000000000000e+03,6.5452179570592059e-02
"BROOKLYN",1.9000000000000000e+01,110,7.8860000000000000e+03,7.4870000000000000e+03,5.3292373447308666e-02
"THOMASTON",1.4100000000000000e+02,111,7.8180000000000000e+03,7.8570000000000000e+03,-4.9637266132111493e-03
"HADDAM",6.2000000000000000e+01,112,7.8000000000000000e+03,7.4590000000000000e+03,4.5716583992492288e-02
"DURHAM",3.8000000000000000e+01,113,7.3970000000000000e+03,7.1340000000000000e+03,3.6865713484721056e-02
"OLD LYME",1.0600000000000000e+02,114,7.3840000000000000e+03,7.4830000000000000e+03,-1.3229987972738206e-02
"EASTON",4.7000000000000000e+01,115,7.3660000000000000e+03,7.4820000000000000e+03,-1.5503875968992248e-02
"LEBANON",7.2000000000000000e+01,116,7.3540000000000000e+03,7.1450000000000000e+03,2.9251224632610217e-02
"MIDDLEBURY",8.2000000000000000e+01,117,7.2520000000000000e+03,6.7450000000000000e+03,7.5166790214974050e-02
"ESSEX",5.0000000000000000e+01,118,6.7530000000000000e+03,6.8000000000000000e+03,-6.9117647058823534e-03
"NEW HARTFORD",9.3000000000000000e+01,119,6.7360000000000000e+03,6.5480000000000000e+03,2.8711056811240074e-02
"WESTBROOK",1.5700000000000000e+02,120,6.6180000000000000e+03,6.5830000000000000e+03,5.3167248974631629e-03
"KILLINGWORTH",7.1000000000000000e+01,121,6.4430000000000000e+03,6.3730000000000000e+03,1.0983838066844500e-02
"MARLBOROUGH",8.0000000000000000e+01,122,6.3510000000000000e+03,6.0940000000000000e+03,4.2172628815228090e-02
"WILLINGTON",1.6100000000000000e+02,123,6.1390000000000000e+03,6.1980000000000000e+03,-9.5191997418522106e-03
"BEACON FALLS",6.0000000000000000e+00,124,5.7700000000000000e+03,5.5240000000000000e+03,4.4532947139753802e-02
"BETHANY",8.0000000000000000e+00,125,5.5660000000000000e+03,5.3310000000000000e+03,4.4081785781279310e-02
"HARWINTON",6.7000000000000000e+01,126,5.5640000000000000e+03,5.4950000000000000e+03,1.2556869881710645e-02
"COLUMBIA",3.0000000000000000e+01,127,5.3310000000000000e+03,5.2280000000000000e+03,1.9701606732976280e-02
"NORTH STONINGTON",1.0300000000000000e+02,128,5.2120000000000000e+03,5.1650000000000000e+03,9.0997095837366884e-03
"EAST GRANBY",3.9000000000000000e+01,129,5.1220000000000000e+03,4.9770000000000000e+03,2.9134016475788629e-02
"BOLTON",1.2000000000000000e+01,130,5.1160000000000000e+03,5.1990000000000000e+03,-1.5964608578572802e-02
"CANTERBURY",2.2000000000000000e+01,131,5.1000000000000000e+03,4.9180000000000000e+03,3.7006913379422531e-02
"PRESTON",1.1500000000000000e+02,132,4.9020000000000000e+03,4.8010000000000000e+03,2.1037283899187669e-02
"DEEP RIVER",3.6000000000000000e+01,133,4.6730000000000000e+03,4.7460000000000000e+03,-1.5381373788453435e-02
"ASHFORD",3.0000000000000000e+00,134,4.4530000000000000e+03,4.2940000000000000e+03,3.7028411737307872e-02
"MIDDLEFIELD",8.3000000000000000e+01,135,4.2480000000000000e+03,4.3010000000000000e+03,-1.2322715647523831e-02
"LISBON",7.4000000000000000e+01,136,4.2050000000000000e+03,4.2040000000000000e+03,2.3786869647954330e-04
"POMFRET",1.1300000000000000e+02,137,4.1650000000000000e+03,3.9960000000000000e+03,4.2292292292292290e-02
"SHERMAN",1.2800000000000000e+02,138,4.1100000000000000e+03,4.0550000000000000e+03,1.3563501849568433e-02
"SALEM",1.2200000000000000e+02,139,4.1020000000000000e+03,4.0080000000000000e+03,2.3453093812375248e-02
"SALISBURY",1.2300000000000000e+02,140,3.9870000000000000e+03,4.0330000000000000e+03,-1.1405901314158196e-02
"CHESTER",2.6000000000000000e+01,141,3.8340000000000000e+03,3.8390000000000000e+03,-1.3024225058609013e-03
"STERLING",1.3700000000000000e+02,142,3.7250000000000000e+03,3.2780000000000000e+03,1.3636363636363635e-01
"WASHINGTON",1.5100000000000000e+02,143,3.6710000000000000e+03,3.6970000000000000e+03,-7.0327292399242633e-03
"BARKHAMSTED",5.0000000000000000e+00,144,3.6650000000000000e+03,3.6560000000000000e+03,2.4617067833698032e-03
"BETHLEHEM",1.0000000000000000e+01,145,3.5490000000000000e+03,3.5790000000000000e+03,-8.3822296730930428e-03
"NORTH CANAAN",1.0100000000000000e+02,146,3.3520000000000000e+03,3.3750000000000000e+03,-6.8148148148148152e-03
"ANDOVER",1.0000000000000000e+00,147,3.1810000000000000e+03,3.1650000000000000e+03,5.0552922590837279e-03
"GOSHEN",5.5000000000000000e+01,148,3.1680000000000000e+03,2.9280000000000000e+03,8.1967213114754092e-02
"SHARON",1.2600000000000000e+02,149,3.0220000000000000e+03,3.0110000000000000e+03,3.6532713384257723e-03
"SPRAGUE",1.3400000000000000e+02,150,2.9810000000000000e+03,2.9890000000000000e+03,-2.6764804282368685e-03
"KENT",6.9000000000000000e+01,151,2.9520000000000000e+03,2.9200000000000000e+03,1.0958904109589041e-02
"VOLUNTOWN",1.4800000000000000e+02,152,2.6120000000000000e+03,2.5980000000000000e+03,5.3887605850654347e-03
"CHAPLIN",2.4000000000000000e+01,153,2.5280000000000000e+03,2.3720000000000000e+03,6.5767284991568295e-02
"BOZRAH",1.3000000000000000e+01,154,2.4440000000000000e+03,2.4230000000000000e+03,8.6669418076764336e-03
"MORRIS",8.8000000000000000e+01,155,2.3450000000000000e+03,2.3880000000000000e+03,-1.8006700167504188e-02
"ROXBURY",1.2100000000000000e+02,156,2.3190000000000000e+03,2.2790000000000000e+03,1.7551557700745943e-02
"HAMPTON",6.4000000000000000e+01,157,2.1180000000000000e+03,1.9120000000000000e+03,1.0774058577405858e-01
"HARTLAND",6.6000000000000000e+01,158,2.0770000000000000e+03,2.0680000000000000e+03,4.3520309477756286e-03
"LYME",7.6000000000000000e+01,159,2.0760000000000000e+03,2.0940000000000000e+03,-8.5959885386819486e-03
"FRANKLIN",5.3000000000000000e+01,160,1.8910000000000000e+03,1.9060000000000000e+03,-7.8698845750262321e-03
"BRIDGEWATER",1.6000000000000000e+01,161,1.8840000000000000e+03,1.8820000000000000e+03,1.0626992561105207e-03
"EASTFORD",4.6000000000000000e+01,162,1.7890000000000000e+03,1.6760000000000000e+03,6.7422434367541764e-02
"SCOTLAND",1.2400000000000000e+02,163,1.7250000000000000e+03,1.6400000000000000e+03,5.1829268292682924e-02
"NORFOLK",9.9000000000000000e+01,164,1.6520000000000000e+03,1.6700000000000000e+03,-1.0778443113772455e-02
"COLEBROOK",2.9000000000000000e+01,165,1.5290000000000000e+03,1.5220000000000000e+03,4.5992115637319315e-03
"CORNWALL",3.1000000000000000e+01,166,1.4800000000000000e+03,1.4640000000000000e+03,1.0928961748633880e-02
"WARREN",1.5000000000000000e+02,167,1.3840000000000000e+03,1.3170000000000000e+03,5.0873196659073652e-02
"CANAAN",2.1000000000000000e+01,168,1.0940000000000000e+03,1.0990000000000000e+03,-4.5495905368516830e-03
"UNION",1.4600000000000000e+02,169,7.5100000000000000e+02,7.3500000000000000e+02,2.1768707482993196e-02
