Municipality,numbered,SortID,2007 Population,2003 Population,Population0307Change
"BRIDGEPORT",1.5000000000000000e+01,1,1.3669500000000000e+05,1.3966400000000000e+05,-2.1258162447015696e-02
"HARTFORD",6.5000000000000000e+01,2,1.2456300000000000e+05,1.2438700000000000e+05,1.4149388601702750e-03
"NEW HAVEN",9.4000000000000000e+01,3,1.2393200000000000e+05,1.2466200000000000e+05,-5.8558341756108521e-03
"STAMFORD",1.3600000000000000e+02,4,1.1847500000000000e+05,1.2010700000000000e+05,-1.3587884136644825e-02
"WATERBURY",1.5200000000000000e+02,5,1.0717400000000000e+05,1.0813000000000000e+05,-8.8412096550448526e-03
"NORWALK",1.0400000000000000e+02,6,8.3456000000000000e+04,8.4170000000000000e+04,-8.4828323630747292e-03
"DANBURY",3.4000000000000000e+01,7,7.9226000000000000e+04,7.7353000000000000e+04,2.4213669799490647e-02
"NEW BRITAIN",9.0000000000000000e+01,8,7.0664000000000000e+04,7.1572000000000000e+04,-1.2686525456882579e-02
"GREENWICH",5.7000000000000000e+01,9,6.1871000000000000e+04,6.1972000000000000e+04,-1.6297682824501388e-03
"BRISTOL",1.7000000000000000e+01,10,6.0911000000000000e+04,6.0722000000000000e+04,3.1125457000757552e-03
"WEST HARTFORD",1.5500000000000000e+02,11,6.0486000000000000e+04,6.1424000000000000e+04,-1.5270903881219067e-02
"MERIDEN",8.1000000000000000e+01,12,5.9225000000000000e+04,5.8962000000000000e+04,4.4604999830399244e-03
"HAMDEN",6.3000000000000000e+01,13,5.7698000000000000e+04,5.8476000000000000e+04,-1.3304603598057322e-02
"FAIRFIELD",5.1000000000000000e+01,14,5.7548000000000000e+04,5.8407000000000000e+04,-1.4707141267313850e-02
"MANCHESTER",7.8000000000000000e+01,15,5.5857000000000000e+04,5.5390000000000000e+04,8.4311247517602460e-03
"MILFORD",8.5000000000000000e+01,16,5.5445000000000000e+04,5.3869000000000000e+04,2.9256158458482614e-02
"WEST HAVEN",1.5600000000000000e+02,17,5.2676000000000000e+04,5.3004000000000000e+04,-6.1882122103992148e-03
"STRATFORD",1.3900000000000000e+02,18,4.9015000000000000e+04,5.0182000000000000e+04,-2.3255350524092305e-02
"EAST HARTFORD",4.2000000000000000e+01,19,4.8697000000000000e+04,4.9596000000000000e+04,-1.8126461811436408e-02
"MIDDLETOWN",8.4000000000000000e+01,20,4.7778000000000000e+04,4.6918000000000000e+04,1.8329852082356452e-02
"ENFIELD",4.9000000000000000e+01,21,4.5011000000000000e+04,4.5539000000000000e+04,-1.1594457497968775e-02
"WALLINGFORD",1.4900000000000000e+02,22,4.4679000000000000e+04,4.4331000000000000e+04,7.8500372200040608e-03
