Municipality,July 2002 Population
"ANDOVER",3.1150000000000000e+03
"ANSONIA",1.8739000000000000e+04
"ASHFORD",4.2230000000000000e+03
"AVON",1.6346000000000000e+04
"BARKHAMSTED",3.6100000000000000e+03
"BEACON FALLS",5.4750000000000000e+03
"BERLIN",1.9116000000000000e+04
"BETHANY",5.2020000000000000e+03
"BETHEL",1.8449000000000000e+04
"BETHLEHEM",3.5400000000000000e+03
"BLOOMFIELD",1.9794000000000000e+04
"BOLTON",5.1540000000000000e+03
"BOZRAH",2.4070000000000000e+03
"BRANFORD",2.8951000000000000e+04
"BRIDGEPORT",1.4010400000000000e+05
"BRIDGEWATER",1.8670000000000000e+03
"BRISTOL",6.0541000000000000e+04
"BROOKFIELD",1.5923000000000000e+04
"BROOKLYN",7.3610000000000000e+03
"BURLINGTON",8.6400000000000000e+03
"CANAAN",1.0950000000000000e+03
"CANTERBURY",4.8250000000000000e+03
"CANTON",9.0610000000000000e+03
"CHAPLIN",2.3310000000000000e+03
"CHESHIRE",2.9096000000000000e+04
"CHESTER",3.8110000000000000e+03
"CLINTON",1.3406000000000000e+04
"COLCHESTER",1.4998000000000000e+04
"COLEBROOK",1.5110000000000000e+03
"COLUMBIA",5.1500000000000000e+03
"CORNWALL",1.4540000000000000e+03
"COVENTRY",1.1938000000000000e+04
"CROMWELL",1.3370000000000000e+04
"DANBURY",7.6917000000000000e+04
"DARIEN",1.9887000000000000e+04
"DEEP RIVER",4.7250000000000000e+03
"DERBY",1.2520000000000000e+04
"DURHAM",6.9820000000000000e+03
"EAST GRANBY",4.9100000000000000e+03
"EAST HADDAM",8.6380000000000000e+03
"EAST HAMPTON",1.1435000000000000e+04
"EAST HARTFORD",4.9650000000000000e+04
"EAST HAVEN",2.8563000000000000e+04
"EAST LYME",1.7983000000000000e+04
"EAST WINDSOR",1.0095000000000000e+04
"EASTFORD",1.6420000000000000e+03
"EASTON",7.4830000000000000e+03
"ELLINGTON",1.3571000000000000e+04
"ENFIELD",4.5379000000000000e+04
"ESSEX",6.7300000000000000e+03
"FAIRFIELD",5.7715000000000000e+04
"FARMINGTON",2.4189000000000000e+04
"FRANKLIN",1.8810000000000000e+03
"GLASTONBURY",3.2575000000000000e+04
"GOSHEN",2.8600000000000000e+03
"GRANBY",1.0696000000000000e+04
"GREENWICH",6.1784000000000000e+04
"GRISWOLD",1.0988000000000000e+04
"GROTON",4.0270000000000000e+04
"GROTON (City of)",
"GUILFORD",2.1868000000000000e+04
