Municipality,Millrate FY 2006-07,Grand List Year,Comments
"ANDOVER",4.1300000000000004e+01,2.0050000000000000e+03,
"ANSONIA",3.2299999999999997e+01,2.0050000000000000e+03,"sent 7/31"
"ASHFORD",3.3000000000000000e+01,2.0050000000000000e+03,
"AVON",2.4850000000000001e+01,2.0050000000000000e+03,
"BARKHAMSTED",2.6699999999999999e+01,2.0050000000000000e+03,
"BEACON FALLS",3.4060000000000002e+01,2.0050000000000000e+03,
"BERLIN",2.8740000000000002e+01,2.0050000000000000e+03,
"BETHANY",2.8210000000000001e+01,2.0050000000000000e+03,
"BETHEL",2.7750000000000000e+01,2.0050000000000000e+03,
"BETHLEHEM",2.1820000000000000e+01,2.0050000000000000e+03,
"BLOOMFIELD",3.2500000000000000e+01,2.0050000000000000e+03,
"BOLTON",3.0520000000000000e+01,2.0050000000000000e+03,
"BOZRAH",2.5000000000000000e+01,2.0050000000000000e+03,
"BRANFORD",2.1760000000000002e+01,2.0050000000000000e+03,
"BRIDGEPORT",4.2280000000000001e+01,2.0050000000000000e+03,
"BRIDGEWATER",1.9500000000000000e+01,2.0050000000000000e+03,
"BRISTOL",3.4210000000000001e+01,2.0050000000000000e+03,
"BROOKFIELD",2.4580000000000002e+01,2.0050000000000000e+03,
"BROOKLYN",2.1410000000000000e+01,2.0050000000000000e+03,
"BURLINGTON",2.7820000000000000e+01,2.0050000000000000e+03,
"CANAAN",2.9500000000000000e+01,2.0050000000000000e+03,
"CANTERBURY",2.1250000000000000e+01,2.0050000000000000e+03,
"CANTON",2.8910000000000000e+01,2.0050000000000000e+03,
"CHAPLIN",3.3799999999999997e+01,2.0050000000000000e+03,
"CHESHIRE",2.7150000000000002e+01,2.0050000000000000e+03,
"CHESTER",2.2370000000000001e+01,2.0050000000000000e+03,
"CLINTON",1.9570000000000000e+01,2.0050000000000000e+03,
"COLCHESTER",3.2469999999999999e+01,2.0050000000000000e+03,
"COLEBROOK",2.2590000000000000e+01,2.0050000000000000e+03,
"COLUMBIA",3.0300000000000001e+01,2.0050000000000000e+03,
"CORNWALL",2.1800000000000001e+01,2.0050000000000000e+03,
"COVENTRY",2.6920000000000002e+01,2.0050000000000000e+03,
"CROMWELL",3.1289999999999999e+01,2.0050000000000000e+03,
"DANBURY",2.2050000000000001e+01,2.0050000000000000e+03,
"DARIEN",1.3400000000000000e+01,2.0050000000000000e+03,
"DEEP RIVER",2.0750000000000000e+01,2.0050000000000000e+03,
"DERBY",2.4800000000000001e+01,2.0050000000000000e+03,
"DURHAM",2.6250000000000000e+01,2.0050000000000000e+03,
"EAST GRANBY",2.6900000000000002e+01,2.0050000000000000e+03,
"EAST HADDAM",2.7230000000000000e+01,2.0050000000000000e+03,
"EAST HAMPTON",2.2230000000000000e+01,2.0050000000000000e+03,"*Temporary"
"EAST HARTFORD",4.3619999999999997e+01,2.0050000000000000e+03,
"EAST HAVEN",3.7750000000000000e+01,2.0050000000000000e+03,
"EAST LYME",2.8390000000000001e+01,2.0050000000000000e+03,
"EAST WINDSOR",2.7812300000000000e+01,2.0050000000000000e+03,
"EASTFORD",3.1199999999999999e+01,2.0050000000000000e+03,
"EASTON",2.6570000000000000e+01,2.0050000000000000e+03,
"ELLINGTON",2.4300000000000001e+01,2.0050000000000000e+03,
"ENFIELD",3.6180000000000000e+01,2.0050000000000000e+03,
"ESSEX",1.6199999999999999e+01,2.0050000000000000e+03,
"FAIRFIELD",1.6670000000000002e+01,2.0050000000000000e+03,
"FARMINGTON",2.5240000000000002e+01,2.0050000000000000e+03,
"FRANKLIN",2.3629999999999999e+01,2.0050000000000000e+03,
"GLASTONBURY",3.4000000000000000e+01,2.0050000000000000e+03,
"GOSHEN",2.1199999999999999e+01,2.0050000000000000e+03,
