Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7477090.0000,7560022.0000,7623479.0000,7749426.0000
"ANSONIA",2.0000000000000000e+00,"NH",25172294.0000,26051162.0000,25641097.0000,27579624.0000
"ASHFORD",3.0000000000000000e+00,"W",7858270.0000,7990034.0000,7946103.0000,8258511.0000
"AVON",4.0000000000000000e+00,"H",54676535.0000,54780632.0000,54710689.0000,54859950.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",7764219.0000,7884337.0000,7861723.0000,8158612.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",10718821.0000,11036797.0000,11045758.0000,11968681.0000
"BERLIN",7.0000000000000000e+00,"H",47880413.0000,48323207.0000,48477983.0000,49447786.0000
"BETHANY",8.0000000000000000e+00,"NH",14550047.0000,14712741.0000,14700698.0000,14991008.0000
"BETHEL",9.0000000000000000e+00,"F",44094785.0000,44581196.0000,44511291.0000,45335820.0000
"BETHLEHEM",1.0000000000000000e+01,"L",7528995.0000,7675166.0000,7692237.0000,7963817.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",52709474.0000,53838811.0000,53498235.0000,55322326.0000
"BOLTON",1.2000000000000000e+01,"T",11772278.0000,11881057.0000,11868851.0000,12056665.0000
"BOZRAH",1.3000000000000000e+01,"NL",4515691.0000,4632080.0000,4588623.0000,4834042.0000
"BRANFORD",1.4000000000000000e+01,"NH",70434512.0000,71202198.0000,71202580.0000,73486127.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",215656891.0000,224126241.0000,219393391.0000,260365946.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6138846.0000,6172170.0000,6150896.0000,6267646.0000
"BRISTOL",1.7000000000000000e+01,"H",100951000.0000,103075000.0000,102704000.0000,106653000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",44418772.0000,45018815.0000,44859401.0000,45668292.0000
"BROOKLYN",1.9000000000000000e+01,"W",10084557.0000,10377189.0000,10174736.0000,10642858.0000
"BURLINGTON",2.0000000000000000e+01,"H",20725446.0000,20994129.0000,20922658.0000,21458600.0000
"CANAAN",2.1000000000000000e+01,"L",3459908.0000,3482194.0000,3480883.0000,3531104.0000
"CANTERBURY",2.2000000000000000e+01,"W",7064459.0000,7192763.0000,7219974.0000,7402793.0000
"CANTON",2.3000000000000000e+01,"H",25878675.0000,26196017.0000,25989319.0000,26810126.0000
"CHAPLIN",2.4000000000000000e+01,"W",4164405.0000,4262779.0000,4225247.0000,4361175.0000
"CHESHIRE",2.5000000000000000e+01,"NH",67304316.0000,67567688.0000,67485045.0000,67777671.0000
"CHESTER",2.6000000000000000e+01,"M",9255947.0000,9348861.0000,9328149.0000,9509847.0000
"CLINTON",2.7000000000000000e+01,"M",31614755.0000,31781777.0000,31678243.0000,32080849.0000
"COLCHESTER",2.8000000000000000e+01,"NL",27638224.0000,28363487.0000,28039183.0000,29331549.0000
"COLEBROOK",2.9000000000000000e+01,"L",4039591.0000,4124386.0000,4088575.0000,4293898.0000
"COLUMBIA",3.0000000000000000e+01,"T",10655169.0000,10760316.0000,10733948.0000,10884110.0000
"CORNWALL",3.1000000000000000e+01,"L",5224303.0000,5302174.0000,5283121.0000,5488848.0000
"COVENTRY",3.2000000000000000e+01,"T",21774153.0000,22253063.0000,22137909.0000,22797749.0000
"CROMWELL",3.3000000000000000e+01,"M",32056836.0000,32363161.0000,32235688.0000,32987111.0000
"DANBURY",3.4000000000000000e+01,"F",132134830.0000,134011435.0000,133727852.0000,139016860.0000
"DARIEN",3.5000000000000000e+01,"F",85015247.0000,85538313.0000,85405786.0000,86507737.0000
"DEEP RIVER",3.6000000000000000e+01,"M",10356058.0000,10509575.0000,10538582.0000,10774273.0000
"DERBY",3.7000000000000000e+01,"NH",21622851.0000,22173702.0000,22032642.0000,22997046.0000
"DURHAM",3.8000000000000000e+01,"M",19100432.0000,19335329.0000,19392455.0000,19741084.0000
"EAST GRANBY",3.9000000000000000e+01,"H",12774375.0000,12971408.0000,12868100.0000,13240208.0000
"EAST HADDAM",4.0000000000000000e+01,"M",18463529.0000,18609796.0000,18564772.0000,18742100.0000
"EAST HAMPTON",4.1000000000000000e+01,"M",23745910.0000,24026413.0000,23951338.0000,24285365.0000
"EAST HARTFORD",4.2000000000000000e+01,"H",99595000.0000,102173000.0000,101913000.0000,105581000.0000
"EAST HAVEN",4.3000000000000000e+01,"NH",46462068.0000,47489214.0000,47323992.0000,49549789.0000
"EAST LYME",4.4000000000000000e+01,"NL",39985901.0000,40451698.0000,40319714.0000,41008797.0000
"EAST WINDSOR",4.5000000000000000e+01,"H",20711420.0000,21336984.0000,21350190.0000,22547085.0000
"EASTFORD",4.6000000000000000e+01,"W",3101560.0000,3170934.0000,3174037.0000,3278336.0000
"EASTON",4.7000000000000000e+01,"F",32583227.0000,32748686.0000,32758254.0000,33227461.0000
"ELLINGTON",4.8000000000000000e+01,"T",27537730.0000,27840465.0000,27804422.0000,28649955.0000
