TANF07%,TANF06%,MUNICIPALITY,numbered,Sort ID,TANF RECIPIENTS FY 2005-06,TANF RECIPIENTS FY 2006-07
5.6111115566283613e-02,6.1548208085068848e-02,"HARTFORD",6.5000000000000000e+01,1,7.6750000000000000e+03,6.9970000000000000e+03
4.1829013041378198e-02,4.7745934632104331e-02,"NEW HAVEN",9.4000000000000000e+01,2,5.9310000000000000e+03,5.1960000000000000e+03
3.8965148201572750e-02,4.1096272858405843e-02,"WATERBURY",1.5200000000000000e+02,3,4.4160000000000000e+03,4.1870000000000000e+03
3.8120104438642298e-02,4.2057723519864511e-02,"NEW BRITAIN",9.0000000000000000e+01,4,2.9800000000000000e+03,2.7010000000000000e+03
3.2564763847723159e-02,3.3681050078909890e-02,"NEW LONDON",9.5000000000000000e+01,5,8.7500000000000000e+02,8.4600000000000000e+02
3.0113397732045358e-02,2.6795464090718184e-02,"WINDHAM",1.6400000000000000e+02,6,6.3800000000000000e+02,7.1700000000000000e+02
2.9377705079397246e-02,3.1281212454583616e-02,"BRIDGEPORT",1.5000000000000000e+01,7,4.3220000000000000e+03,4.0590000000000000e+03
2.4214132186996237e-02,2.6363514239656098e-02,"MERIDEN",8.1000000000000000e+01,8,1.5700000000000000e+03,1.4420000000000000e+03
2.3971063064535905e-02,2.3153635509053010e-02,"EAST HARTFORD",4.2000000000000000e+01,9,1.1330000000000000e+03,1.1730000000000000e+03
2.3456383212480773e-02,2.3428916721599649e-02,"NORWICH",1.0500000000000000e+02,10,8.5300000000000000e+02,8.5400000000000000e+02
2.0857908847184987e-02,2.3109919571045575e-02,"ANSONIA",2.0000000000000000e+00,11,4.3100000000000000e+02,3.8900000000000000e+02
1.7908847184986594e-02,1.5227882037533513e-02,"PUTNAM",1.1700000000000000e+02,12,1.4200000000000000e+02,1.6700000000000000e+02
1.4786065884134798e-02,1.6376372586141615e-02,"WEST HAVEN",1.5600000000000000e+02,13,8.6500000000000000e+02,7.8100000000000000e+02
1.3826765483691926e-02,1.5524502922067323e-02,"BRISTOL",1.7000000000000000e+01,14,9.5100000000000000e+02,8.4700000000000000e+02
1.2899607403252944e-02,1.4421921320407019e-02,"DERBY",3.7000000000000000e+01,15,1.8000000000000000e+02,1.6100000000000000e+02
1.2774050019735190e-02,1.3671104094154795e-02,"MANCHESTER",7.8000000000000000e+01,16,7.6200000000000000e+02,7.1200000000000000e+02
1.2104757056394593e-02,1.4367328468804797e-02,"KILLINGLY",7.0000000000000000e+01,17,2.5400000000000000e+02,2.1400000000000000e+02
1.1782223085388748e-02,1.0746423253706221e-02,"PLAINFIELD",1.1000000000000000e+02,18,1.6600000000000000e+02,1.8200000000000000e+02
1.1492315988136964e-02,1.2233755729307091e-02,"VERNON",1.4700000000000000e+02,19,3.6300000000000000e+02,3.4100000000000000e+02
1.0716677829872739e-02,1.3060951105157401e-02,"SPRAGUE",1.3400000000000000e+02,20,3.9000000000000000e+01,3.2000000000000000e+01
1.0520114458845313e-02,1.2708298266285138e-02,"MIDDLETOWN",8.4000000000000000e+01,21,6.0400000000000000e+02,5.0000000000000000e+02
9.6768465909090901e-03,1.0298295454545454e-02,"GRISWOLD",5.8000000000000000e+01,22,1.1600000000000000e+02,1.0900000000000000e+02
9.4347499373799784e-03,1.1883888564192480e-02,"TORRINGTON",1.4400000000000000e+02,23,4.2700000000000000e+02,3.3900000000000000e+02
8.9574898785425103e-03,9.4382591093117411e-03,"GROTON",5.9000000000000000e+01,24,3.7300000000000000e+02,3.5400000000000000e+02
8.9419296475418391e-03,9.8117671618941586e-03,"EAST HAVEN",4.3000000000000000e+01,25,2.8200000000000000e+02,2.5700000000000000e+02
8.8316467341306350e-03,9.7516099356025759e-03,"WINCHESTER",1.6300000000000000e+02,26,1.0600000000000000e+02,9.6000000000000000e+01
8.4552030814517894e-03,8.8936210190085491e-03,"NAUGATUCK",8.9000000000000000e+01,27,2.8400000000000000e+02,2.7000000000000000e+02
8.1867945550549819e-03,9.4463014096788263e-03,"BLOOMFIELD",1.1000000000000000e+01,28,1.9500000000000000e+02,1.6900000000000000e+02
7.6625707579732159e-03,8.5082148281098984e-03,"HAMDEN",6.3000000000000000e+01,29,4.9300000000000000e+02,4.4400000000000000e+02
7.2167234462878222e-03,7.3779910093333600e-03,"STRATFORD",1.3900000000000000e+02,30,3.6600000000000000e+02,3.5800000000000000e+02
7.1096527208094062e-03,6.5627563576702219e-03,"STERLING",1.3700000000000000e+02,31,2.4000000000000000e+01,2.6000000000000000e+01
6.8162453848338543e-03,6.2482249360976995e-03,"EAST WINDSOR",4.5000000000000000e+01,32,6.6000000000000000e+01,7.2000000000000000e+01
6.6671081970108396e-03,6.7995673002627108e-03,"ENFIELD",4.9000000000000000e+01,33,3.0800000000000000e+02,3.0200000000000000e+02
6.4265178420429558e-03,7.0184339590732281e-03,"STAFFORD",1.3500000000000000e+02,34,8.3000000000000000e+01,7.6000000000000000e+01
6.3904960637389740e-03,7.1018685383666888e-03,"NORWALK",1.0400000000000000e+02,35,5.9900000000000000e+02,5.3900000000000000e+02
6.1806839186691314e-03,7.4514787430683916e-03,"PLAINVILLE",1.1100000000000000e+02,36,1.2900000000000000e+02,1.0700000000000000e+02
5.9227258474723894e-03,6.4104797407936454e-03,"WINDSOR",1.6500000000000000e+02,37,1.8400000000000000e+02,1.7000000000000000e+02
5.8987558987558990e-03,7.0785070785070788e-03,"THOMPSON",1.4200000000000000e+02,38,6.6000000000000000e+01,5.5000000000000000e+01
5.7581573896353169e-03,2.5591810620601407e-03,"BROOKLYN",1.9000000000000000e+01,39,2.0000000000000000e+01,4.5000000000000000e+01
5.5902663597500821e-03,6.8234133508714235e-03,"PLYMOUTH",1.1200000000000000e+02,40,8.3000000000000000e+01,6.8000000000000000e+01
5.4880439043512351e-03,3.5280282242257936e-03,"CANTERBURY",2.2000000000000000e+01,41,1.8000000000000000e+01,2.8000000000000000e+01
5.4210929799583833e-03,5.3663344650093092e-03,"STONINGTON",1.3800000000000000e+02,42,9.8000000000000000e+01,9.9000000000000000e+01
5.3635280095351611e-03,6.5554231227651968e-03,"NORFOLK",9.9000000000000000e+01,43,1.1000000000000000e+01,9.0000000000000000e+00
5.1751592356687895e-03,7.1656050955414014e-03,"CHAPLIN",2.4000000000000000e+01,44,1.8000000000000000e+01,1.3000000000000000e+01
5.0863675278239413e-03,5.1367276023568517e-03,"DANBURY",3.4000000000000000e+01,45,4.0800000000000000e+02,4.0400000000000000e+02
5.0026055237102655e-03,6.7743616466909851e-03,"PORTLAND",1.1400000000000000e+02,46,6.5000000000000000e+01,4.8000000000000000e+01
4.9827520122652357e-03,5.3660406285933309e-03,"VOLUNTOWN",1.4800000000000000e+02,47,1.4000000000000000e+01,1.3000000000000000e+01
4.9463103537741773e-03,4.9797879196203645e-03,"STAMFORD",1.3600000000000000e+02,48,5.9500000000000000e+02,5.9100000000000000e+02
4.6608807457409196e-03,4.6608807457409196e-03,"WINDSOR LOCKS",1.6600000000000000e+02,49,5.8000000000000000e+01,5.8000000000000000e+01
4.5778229908443541e-03,5.6459816887080364e-03,"MONTVILLE",8.7000000000000000e+01,50,1.1100000000000000e+02,9.0000000000000000e+01
4.2464151640100927e-03,5.1080066465628658e-03,"SEYMOUR",1.2500000000000000e+02,51,8.3000000000000000e+01,6.9000000000000000e+01
4.1901692183722800e-03,2.9008863819500403e-03,"WILLINGTON",1.6100000000000000e+02,52,1.8000000000000000e+01,2.6000000000000000e+01
4.1322314049586778e-03,4.7225501770956314e-03,"NORTH CANAAN",1.0100000000000000e+02,53,1.6000000000000000e+01,1.4000000000000000e+01
4.0504050405040506e-03,3.8253825382538252e-03,"ASHFORD",3.0000000000000000e+00,54,1.7000000000000000e+01,1.8000000000000000e+01
3.8819620357272099e-03,4.7208606112445310e-03,"WEST HARTFORD",1.5500000000000000e+02,55,2.8700000000000000e+02,2.3600000000000000e+02
3.8483912829462568e-03,3.4456526603123460e-03,"WATERTOWN",1.5400000000000000e+02,56,7.7000000000000000e+01,8.6000000000000000e+01
3.6950602878257489e-03,2.5281991443018279e-03,"BOLTON",1.2000000000000000e+01,57,1.3000000000000000e+01,1.9000000000000000e+01
3.5816618911174787e-03,2.8653295128939827e-03,"LISBON",7.4000000000000000e+01,58,1.2000000000000000e+01,1.5000000000000000e+01
3.5089584773246849e-03,3.6152905523951298e-03,"WATERFORD",1.5300000000000000e+02,59,6.8000000000000000e+01,6.6000000000000000e+01
3.4155889012549411e-03,3.3004566911002801e-03,"WETHERSFIELD",1.6000000000000000e+02,60,8.6000000000000000e+01,8.9000000000000000e+01
3.3377473833148910e-03,4.4442832006095015e-03,"MILFORD",8.5000000000000000e+01,61,2.4500000000000000e+02,1.8400000000000000e+02
3.3226730905013082e-03,3.1150060223449766e-03,"NORTH HAVEN",1.0200000000000000e+02,62,7.5000000000000000e+01,8.0000000000000000e+01
3.3070592038192802e-03,3.4313847377974490e-03,"SHELTON",1.2700000000000000e+02,63,1.3800000000000000e+02,1.3300000000000000e+02
3.2819994950770010e-03,4.0393839939409240e-03,"THOMASTON",1.4100000000000000e+02,64,3.2000000000000000e+01,2.6000000000000000e+01
3.2663494993964352e-03,3.5503798906482992e-03,"SOUTHINGTON",1.3300000000000000e+02,65,1.5000000000000000e+02,1.3800000000000000e+02
3.2423318850917579e-03,3.8907982621101097e-03,"COLCHESTER",2.8000000000000000e+01,66,6.0000000000000000e+01,5.0000000000000000e+01
3.2321287349998283e-03,3.7135096104253342e-03,"BRANFORD",1.4000000000000000e+01,67,1.0800000000000000e+02,9.4000000000000000e+01
3.1288343558282207e-03,3.3128834355828220e-03,"WOLCOTT",1.6700000000000000e+02,68,5.4000000000000000e+01,5.1000000000000000e+01
3.1152647975077881e-03,2.8756290438533430e-03,"POMFRET",1.1300000000000000e+02,69,1.2000000000000000e+01,1.3000000000000000e+01
3.1125827814569539e-03,4.1059602649006627e-03,"LEDYARD",7.3000000000000000e+01,70,6.2000000000000000e+01,4.7000000000000000e+01
3.0058751195518514e-03,3.9622899303183492e-03,"LEBANON",7.2000000000000000e+01,71,2.9000000000000000e+01,2.2000000000000000e+01
2.9697624190064796e-03,4.0496760259179270e-03,"WASHINGTON",1.5100000000000000e+02,72,1.5000000000000000e+01,1.1000000000000000e+01
2.8016109262826126e-03,3.3269129749606023e-03,"BEACON FALLS",6.0000000000000000e+00,73,1.9000000000000000e+01,1.6000000000000000e+01
2.7663134411600671e-03,3.1232571109871725e-03,"WALLINGFORD",1.4900000000000000e+02,74,1.4000000000000000e+02,1.2400000000000000e+02
2.7202659815626419e-03,1.3601329907813209e-03,"WESTBROOK",1.5700000000000000e+02,75,9.0000000000000000e+00,1.8000000000000000e+01
