Municipality,numbered,NCE 2000-2001,ADM 2000-2001
"SPRAGUE",1.3400000000000000e+02,4256634.0000,5.5774000000000001e+02
"STAFFORD",1.3500000000000000e+02,16878937.0000,2.0255100000000000e+03
"STAMFORD",1.3600000000000000e+02,155159085.0000,1.5095470000000001e+04
"STERLING",1.3700000000000000e+02,4564704.0000,5.6272000000000003e+02
"STONINGTON",1.3800000000000000e+02,22298677.0000,2.4622700000000000e+03
"STRATFORD",1.3900000000000000e+02,63188300.0000,7.5370400000000000e+03
"SUFFIELD",1.4000000000000000e+02,15585392.0000,2.1577100000000000e+03
"THOMASTON",1.4100000000000000e+02,9922872.0000,1.3331600000000001e+03
"THOMPSON",1.4200000000000000e+02,10911052.0000,1.4161800000000001e+03
"TOLLAND",1.4300000000000000e+02,20880599.0000,2.7895799999999999e+03
"TORRINGTON",1.4400000000000000e+02,38830671.0000,5.0534700000000003e+03
"TRUMBULL",1.4500000000000000e+02,50698729.0000,6.2510100000000002e+03
"UNION",1.4600000000000000e+02,701116.0000,9.2000000000000000e+01
"VERNON",1.4700000000000000e+02,37444538.0000,4.1286599999999999e+03
"VOLUNTOWN",1.4800000000000000e+02,4276485.0000,5.1765999999999997e+02
"WALLINGFORD",1.4900000000000000e+02,58261646.0000,7.1825299999999997e+03
"WARREN",1.5000000000000000e+02,1738791.0000,1.7800000000000000e+02
"WASHINGTON",1.5100000000000000e+02,5620133.0000,5.0882999999999998e+02
"WATERBURY",1.5200000000000000e+02,165790039.0000,1.6119940000000001e+04
"WATERFORD",1.5300000000000000e+02,30378523.0000,3.0706700000000001e+03
"WATERTOWN",1.5400000000000000e+02,27029327.0000,3.6416800000000003e+03
"WEST HARTFORD",1.5500000000000000e+02,81171781.0000,9.4439300000000003e+03
"WEST HAVEN",1.5600000000000000e+02,68021496.0000,7.7455200000000004e+03
"WESTBROOK",1.5700000000000000e+02,8263102.0000,1.0640200000000000e+03
"WESTON",1.5800000000000000e+02,27616863.0000,2.3759200000000001e+03
"WESTPORT",1.5900000000000000e+02,55708076.0000,4.7842600000000002e+03
"WETHERSFIELD",1.6000000000000000e+02,29539694.0000,3.4852200000000003e+03
"WILLINGTON",1.6100000000000000e+02,8426050.0000,9.0449000000000001e+02
"WILTON",1.6200000000000000e+02,36590141.0000,3.9357200000000003e+03
"WINCHESTER",1.6300000000000000e+02,14920622.0000,1.5512800000000000e+03
"WINDHAM",1.6400000000000000e+02,35818795.0000,3.4862400000000002e+03
"WINDSOR",1.6500000000000000e+02,39366150.0000,4.7038400000000001e+03
"WINDSOR LOCKS",1.6600000000000000e+02,17052656.0000,2.1048400000000001e+03
"WOLCOTT",1.6700000000000000e+02,21429491.0000,3.0279600000000000e+03
"WOODBRIDGE",1.6800000000000000e+02,16549835.0000,1.7769000000000001e+03
"WOODBURY",1.6900000000000000e+02,12488093.0000,1.4773700000000001e+03
"WOODSTOCK",1.7000000000000000e+02,10116528.0000,1.3160000000000000e+03
