Municipality,numbered,SortID,2008 Population,2004 Population,Population0408Change
"BRIDGEPORT",1.5000000000000000e+01,1,1.3640500000000000e+05,1.4013200000000000e+05,-2.6596352010961093e-02
"HARTFORD",6.5000000000000000e+01,2,1.2406200000000000e+05,1.2505300000000000e+05,-7.9246399526600713e-03
"NEW HAVEN",9.4000000000000000e+01,3,1.2366900000000000e+05,1.2501200000000000e+05,-1.0742968675007200e-02
"STAMFORD",1.3600000000000000e+02,4,1.1930300000000000e+05,1.2016000000000000e+05,-7.1321571238348869e-03
"WATERBURY",1.5200000000000000e+02,5,1.0703700000000000e+05,1.0848700000000000e+05,-1.3365656714629403e-02
"NORWALK",1.0400000000000000e+02,6,8.3185000000000000e+04,8.4412000000000000e+04,-1.4535847983699000e-02
"DANBURY",3.4000000000000000e+01,7,7.9256000000000000e+04,7.8221000000000000e+04,1.3231740836859667e-02
"NEW BRITAIN",9.0000000000000000e+01,8,7.0486000000000000e+04,7.1832000000000000e+04,-1.8738166833723133e-02
"GREENWICH",5.7000000000000000e+01,9,6.1937000000000000e+04,6.2317000000000000e+04,-6.0978545180287880e-03
"BRISTOL",1.7000000000000000e+01,10,6.0927000000000000e+04,6.0994000000000000e+04,-1.0984687018395251e-03
"WEST HARTFORD",1.5500000000000000e+02,11,6.0495000000000000e+04,6.1392000000000000e+04,-1.4611024237685693e-02
"MERIDEN",8.1000000000000000e+01,12,5.9186000000000000e+04,5.9163000000000000e+04,3.8875648631746192e-04
"HAMDEN",6.3000000000000000e+01,13,5.7862000000000000e+04,5.8412000000000000e+04,-9.4158734506608228e-03
"FAIRFIELD",5.1000000000000000e+01,14,5.7345000000000000e+04,5.7861000000000000e+04,-8.9179239902525010e-03
"MANCHESTER",7.8000000000000000e+01,15,5.6385000000000000e+04,5.5563000000000000e+04,1.4794017601641380e-02
"MILFORD",8.5000000000000000e+01,16,5.5907000000000000e+04,5.4495000000000000e+04,2.5910634003119552e-02
"WEST HAVEN",1.5600000000000000e+02,17,5.2420000000000000e+04,5.3124000000000000e+04,-1.3252014155560576e-02
"STRATFORD",1.3900000000000000e+02,18,4.8853000000000000e+04,5.0309000000000000e+04,-2.8941143731737860e-02
"EAST HARTFORD",4.2000000000000000e+01,19,4.8571000000000000e+04,4.9416000000000000e+04,-1.7099724785494576e-02
"MIDDLETOWN",8.4000000000000000e+01,20,4.8030000000000000e+04,4.7141000000000000e+04,1.8858318661038161e-02
"ENFIELD",4.9000000000000000e+01,21,4.4895000000000000e+04,4.5567000000000000e+04,-1.4747514648758970e-02
"WALLINGFORD",1.4900000000000000e+02,22,4.4859000000000000e+04,4.4607000000000000e+04,5.6493375479184883e-03
"SOUTHINGTON",1.3300000000000000e+02,23,4.2250000000000000e+04,4.1723000000000000e+04,1.2630922992114661e-02
"SHELTON",1.2700000000000000e+02,24,3.9991000000000000e+04,3.9254000000000000e+04,1.8775156671931522e-02
"GROTON",5.9000000000000000e+01,25,3.9167000000000000e+04,4.0522000000000000e+04,-3.3438625931592712e-02
"NORWICH",1.0500000000000000e+02,26,3.6388000000000000e+04,3.6721000000000000e+04,-9.0683804907273763e-03
"TORRINGTON",1.4400000000000000e+02,27,3.5312000000000000e+04,3.5955000000000000e+04,-1.7883465442914755e-02
"TRUMBULL",1.4500000000000000e+02,28,3.4688000000000000e+04,3.5293000000000000e+04,-1.7142209503300938e-02
"GLASTONBURY",5.4000000000000000e+01,29,3.3263000000000000e+04,3.2852000000000000e+04,1.2510653841470839e-02
"NAUGATUCK",8.9000000000000000e+01,30,3.1931000000000000e+04,3.1802000000000000e+04,4.0563486573171499e-03
"VERNON",1.4700000000000000e+02,31,2.9839000000000000e+04,2.9338000000000000e+04,1.7076828686345354e-02
"NEWINGTON",9.7000000000000000e+01,32,2.9699000000000000e+04,2.9646000000000000e+04,1.7877622613506037e-03
"CHESHIRE",2.5000000000000000e+01,33,2.9066000000000000e+04,2.9303000000000000e+04,-8.0879090878067088e-03
"BRANFORD",1.4000000000000000e+01,34,2.8969000000000000e+04,2.9166000000000000e+04,-6.7544401014880337e-03
"WINDSOR",1.6500000000000000e+02,35,2.8851000000000000e+04,2.8652000000000000e+04,6.9454139327097585e-03
"EAST HAVEN",4.3000000000000000e+01,36,2.8590000000000000e+04,2.8808000000000000e+04,-7.5673424048875310e-03
"NEW MILFORD",9.6000000000000000e+01,37,2.8338000000000000e+04,2.8484000000000000e+04,-5.1256845948602723e-03
"NEWTOWN",9.8000000000000000e+01,38,2.6737000000000000e+04,2.6762000000000000e+04,-9.3416037665346391e-04
"WESTPORT",1.5900000000000000e+02,39,2.6592000000000000e+04,2.6564000000000000e+04,1.0540581237765397e-03
