TANF10%,TANF09%,MUNICIPALITY,numbered,2010 TANF RECIPIENTS,TANF RECIPIENTS FY 2008-09,SortID
5.4989521199419633e-02,5.5481218765113652e-02,"HARTFORD",6.5000000000000000e+01,6.8220000000000000e+03,6.8830000000000000e+03,1
4.0002613329848891e-02,3.8135949152067798e-02,"WATERBURY",1.5200000000000000e+02,4.2860000000000000e+03,4.0860000000000000e+03,2
3.6641719113227875e-02,3.3920167828995859e-02,"NEW BRITAIN",9.0000000000000000e+01,2.5850000000000000e+03,2.3930000000000000e+03,3
3.5741506527203440e-02,3.6000972999270249e-02,"NEW HAVEN",9.4000000000000000e+01,4.4080000000000000e+03,4.4400000000000000e+03,4
3.1643702860995236e-02,2.8230733577718787e-02,"WINDHAM",1.6400000000000000e+02,7.5100000000000000e+02,6.7000000000000000e+02,5
3.0171096853040025e-02,2.8490681332111214e-02,"NEW LONDON",9.5000000000000000e+01,7.9000000000000000e+02,7.4600000000000000e+02,6
2.9993153578347826e-02,2.6453407915628779e-02,"BRIDGEPORT",1.5000000000000000e+01,4.1180000000000000e+03,3.6320000000000000e+03,7
2.6283468435273887e-02,2.3444963017549607e-02,"NORWICH",1.0500000000000000e+02,9.6300000000000000e+02,8.5900000000000000e+02,8
2.2720730353250812e-02,2.1713204753875889e-02,"EAST HARTFORD",4.2000000000000000e+01,1.1050000000000000e+03,1.0560000000000000e+03,10
1.6893010930771779e-02,1.3249420337860219e-02,"SPRAGUE",1.3400000000000000e+02,5.1000000000000000e+01,4.0000000000000000e+01,11
1.6311980123150049e-02,1.6582046019228691e-02,"ANSONIA",2.0000000000000000e+00,3.0200000000000000e+02,3.0700000000000000e+02,12
1.5579671215214355e-02,1.7621145374449341e-02,"PUTNAM",1.1700000000000000e+02,1.4500000000000000e+02,1.6400000000000000e+02,13
1.4337916004391498e-02,1.3158110344601570e-02,"BRISTOL",1.7000000000000000e+01,8.7500000000000000e+02,8.0300000000000000e+02,14
1.4293821380435553e-02,1.3814996098460666e-02,"MANCHESTER",7.8000000000000000e+01,8.0600000000000000e+02,7.7900000000000000e+02,15
1.4049253128784821e-02,1.2999596285829633e-02,"DERBY",3.7000000000000000e+01,1.7400000000000000e+02,1.6100000000000000e+02,16
1.3507649933027714e-02,1.3828362291772785e-02,"WEST HAVEN",1.5600000000000000e+02,7.1600000000000000e+02,7.3300000000000000e+02,17
1.3415047446904655e-02,1.0873248983280615e-02,"TORRINGTON",1.4400000000000000e+02,4.7500000000000000e+02,3.8500000000000000e+02,18
1.2627897940681259e-02,1.1008936666234944e-02,"PLAINFIELD",1.1000000000000000e+02,1.9500000000000000e+02,1.7000000000000000e+02,19
1.2623417931217282e-02,1.0701742760585780e-02,"VERNON",1.4700000000000000e+02,3.8100000000000000e+02,3.2300000000000000e+02,20
1.2564505272604892e-02,1.1386582903298182e-02,"KILLINGLY",7.0000000000000000e+01,2.2400000000000000e+02,2.0300000000000000e+02,21
1.2524352908433064e-02,1.0576120233787921e-02,"WINCHESTER",1.6300000000000000e+02,1.3500000000000000e+02,1.1400000000000000e+02,22
1.1057602877043590e-02,9.7554926317094844e-03,"MIDDLETOWN",8.4000000000000000e+01,5.3500000000000000e+02,4.7200000000000000e+02,23
1.0514424748001390e-02,8.2551268682655547e-03,"GRISWOLD",5.8000000000000000e+01,1.2100000000000000e+02,9.5000000000000000e+01,24
1.0467497661247504e-02,8.8240499608100934e-03,"GROTON",5.9000000000000000e+01,4.1400000000000000e+02,3.4900000000000000e+02,25
9.3798124037519255e-03,7.7348453030939377e-03,"EAST HAVEN",4.3000000000000000e+01,2.6800000000000000e+02,2.2100000000000000e+02,26
8.6948645955982253e-03,6.8834344715152616e-03,"EAST WINDSOR",4.5000000000000000e+01,9.6000000000000000e+01,7.6000000000000000e+01,28
8.5219707057256986e-03,7.4567243675099865e-03,"STERLING",1.3700000000000000e+02,3.2000000000000000e+01,2.8000000000000000e+01,29
7.8399083554091791e-03,6.2409011718097419e-03,"NORWALK",1.0400000000000000e+02,6.5700000000000000e+02,5.2300000000000000e+02,30
7.7494607334025727e-03,6.2315251258288724e-03,"WINDSOR LOCKS",1.6600000000000000e+02,9.7000000000000000e+01,7.8000000000000000e+01,31
7.7309625048318517e-03,7.2960958639350596e-03,"BLOOMFIELD",1.1000000000000000e+01,1.6000000000000000e+02,1.5100000000000000e+02,32
7.6605654518712204e-03,6.7821539467233212e-03,"STRATFORD",1.3900000000000000e+02,3.7500000000000000e+02,3.3200000000000000e+02,33
7.4902229390839395e-03,7.9984091561899288e-03,"ENFIELD",4.9000000000000000e+01,3.3900000000000000e+02,3.6200000000000000e+02,34
7.4158192673652338e-03,6.9684612605172150e-03,"HAMDEN",6.3000000000000000e+01,4.3100000000000000e+02,4.0500000000000000e+02,35
7.1588366890380315e-03,2.9082774049217002e-03,"ASHFORD",3.0000000000000000e+00,3.2000000000000000e+01,1.3000000000000000e+01,36
7.1455434373824747e-03,8.1484267268396634e-03,"BROOKLYN",1.9000000000000000e+01,5.7000000000000000e+01,6.5000000000000000e+01,37
6.9087538967057037e-03,7.0772600893082823e-03,"STAFFORD",1.3500000000000000e+02,8.2000000000000000e+01,8.4000000000000000e+01,38
6.6338111182172727e-03,5.2794602661048618e-03,"DANBURY",3.4000000000000000e+01,5.2900000000000000e+02,4.2100000000000000e+02,39
6.4035827012377507e-03,4.7840959793763321e-03,"STAMFORD",1.3600000000000000e+02,7.7500000000000000e+02,5.7900000000000000e+02,40
6.3439849624060147e-03,6.3439849624060147e-03,"LISBON",7.4000000000000000e+01,2.7000000000000000e+01,2.7000000000000000e+01,41
6.3072999241745361e-03,6.7898256014337910e-03,"WINDSOR",1.6500000000000000e+02,1.8300000000000000e+02,1.9700000000000000e+02,42
6.2782521346057257e-03,4.9723756906077344e-03,"MONTVILLE",8.7000000000000000e+01,1.2500000000000000e+02,9.9000000000000000e+01,43
6.2658672284340734e-03,5.6176740668719277e-03,"STONINGTON",1.3800000000000000e+02,1.1600000000000000e+02,1.0400000000000000e+02,44
6.2402496099843996e-03,5.6552262090483621e-03,"CANTERBURY",2.2000000000000000e+01,3.2000000000000000e+01,2.9000000000000000e+01,46
5.8639562157935888e-03,5.0820953870211105e-03,"CHAPLIN",2.4000000000000000e+01,1.5000000000000000e+01,1.3000000000000000e+01,47
5.7303492269434536e-03,5.8384690236782354e-03,"THOMPSON",1.4200000000000000e+02,5.3000000000000000e+01,5.4000000000000000e+01,48
5.4282267792521112e-03,7.2376357056694813e-03,"NORFOLK",9.9000000000000000e+01,9.0000000000000000e+00,1.2000000000000000e+01,49
5.2716950527169504e-03,5.2716950527169504e-03,"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.3000000000000000e+01,50
5.2472250252270430e-03,4.2381432896064584e-03,"PRESTON",1.1500000000000000e+02,2.6000000000000000e+01,2.1000000000000000e+01,51
4.9186530457813087e-03,2.6485054861899358e-03,"VOLUNTOWN",1.4800000000000000e+02,1.3000000000000000e+01,7.0000000000000000e+00,52
4.8453936882371694e-03,3.3152693656359577e-03,"COLCHESTER",2.8000000000000000e+01,7.6000000000000000e+01,5.2000000000000000e+01,53
4.4616876818622695e-03,4.4616876818622695e-03,"BOLTON",1.2000000000000000e+01,2.3000000000000000e+01,2.3000000000000000e+01,54
4.1042974408498313e-03,4.8285852245292128e-03,"SALEM",1.2200000000000000e+02,1.7000000000000000e+01,2.0000000000000000e+01,55
4.0611562350692789e-03,2.1500238891543240e-03,"POMFRET",1.1300000000000000e+02,1.7000000000000000e+01,9.0000000000000000e+00,56
