MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,6.5022566000000000e+08,1.0239511000000000e+08,7.3079200000000000e+07,2.2666700000000000e+06,2.7478920000000000e+07,9.2268295000000000e+08,2.2422060000000000e+07,9.0026089000000000e+08,7.9611330000000000e+07,1.4837900000000000e+06,7.8127540000000000e+07,7.6698750000000000e+07,6.2776100000000000e+06,7.0421140000000000e+07,1.0789930300000000e+09,1.0488095700000000e+09,6.7237390000000000e+07
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,8.8462220000000000e+08,1.9194615000000000e+08,7.7970480000000000e+07,1.1929600000000000e+06,2.1911370000000000e+07,1.1967874100000000e+09,5.3500400000000000e+06,1.1914373700000000e+09,1.2399116000000000e+08,7.3076000000000000e+05,1.2326040000000000e+08,1.0808732000000000e+08,0.0000000000000000e+00,1.0808732000000000e+08,1.4288658900000000e+09,1.4227850900000000e+09,1.9144250000000000e+07
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,6.1586759700000000e+08,3.4071170000000000e+07,2.7211120000000000e+07,0.0000000000000000e+00,2.7351000000000000e+05,7.2486886700000000e+08,2.2730000000000000e+06,7.2259586700000000e+08,7.3071723000000000e+07,3.4469300000000000e+05,7.2727030000000000e+07,2.8992232000000000e+07,4.1793000000000000e+04,2.8950439000000000e+07,8.2693282200000000e+08,8.2427333600000000e+08,4.7445470000000000e+07
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,2.7594612000000000e+08,1.1991400000000000e+07,9.4641000000000000e+06,5.5300000000000000e+04,1.8777500000000000e+06,3.0981139000000000e+08,1.2630000000000000e+06,3.0854839000000000e+08,2.7718386000000000e+07,1.0960280000000000e+06,2.6622358000000000e+07,1.2638147000000000e+07,3.7613000000000000e+05,1.2262017000000000e+07,3.5016792300000000e+08,3.4743276500000000e+08,1.0476720000000000e+07
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,6.4169798000000000e+08,6.5106430000000000e+07,1.5115840000000000e+07,3.5766000000000000e+05,2.3247700000000000e+06,7.5359487000000000e+08,2.1221200000000000e+06,7.5147275000000000e+08,6.3346933000000000e+07,5.2679000000000000e+05,6.2820143000000000e+07,3.4466550000000000e+07,1.2331000000000000e+05,3.4343240000000000e+07,8.5140835300000000e+08,8.4863613300000000e+08,2.8992190000000000e+07
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,3.4821432000000000e+08,1.9700500000000000e+07,2.5313000000000000e+06,6.5750000000000000e+05,6.1990000000000000e+05,3.9431139000000000e+08,7.3342400000000000e+05,3.9357796600000000e+08,3.2984240000000000e+07,7.2142000000000000e+05,3.2262820000000000e+07,2.1368496000000000e+07,1.2120650000000000e+06,2.0156431000000000e+07,4.4866412600000000e+08,4.4599721700000000e+08,2.2587870000000000e+07
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,6.6744712500000000e+08,3.7570420000000000e+07,1.1951672000000000e+07,0.0000000000000000e+00,8.9340000000000000e+05,7.2535594700000000e+08,3.7936900000000000e+06,7.2156225700000000e+08,6.5079175000000000e+07,4.5566000000000000e+05,6.4623515000000000e+07,2.4285753000000000e+07,3.8400000000000000e+03,2.4281913000000000e+07,8.1472087500000000e+08,8.1046768500000000e+08,7.4933300000000000e+06
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,3.5982450000000000e+08,1.0374610000000000e+08,4.0719100000000000e+07,9.3900000000000000e+04,9.9537000000000000e+06,5.3222860000000000e+08,2.8539400000000000e+06,5.2937466000000000e+08,4.7842905000000000e+07,1.9580000000000000e+05,4.7647105000000000e+07,6.1753790000000000e+07,1.1050000000000000e+05,6.1643290000000000e+07,6.4182529500000000e+08,6.3866505500000000e+08,1.7891300000000000e+07
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.6298268400000000e+09,1.3063090000000000e+08,4.2731300000000000e+06,3.9226500000000000e+06,0.0000000000000000e+00,1.8282138300000000e+09,5.6875000000000000e+05,1.8276450800000000e+09,8.2875343000000000e+07,6.2000000000000000e+04,8.2813343000000000e+07,7.0383884000000000e+07,8.3858000000000000e+04,7.0300026000000000e+07,1.9814730570000000e+09,1.9807584490000000e+09,5.9560310000000000e+07
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.5543553760000000e+09,5.4452060700000000e+08,1.9737950000000000e+07,0.0000000000000000e+00,1.1782440000000000e+07,5.1679753430000000e+09,6.0318460000000000e+06,5.1619434970000000e+09,2.1901002300000000e+08,1.0917500000000000e+05,2.1890084800000000e+08,1.4420434100000000e+08,5.0000000000000000e+02,1.4420384100000000e+08,5.5311897070000000e+09,5.5250481860000000e+09,3.7578970000000000e+07
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,1.2900578890000000e+09,4.1696512000000000e+08,1.3357347000000000e+08,4.9220500000000000e+06,9.8300090000000000e+07,1.9511207990000000e+09,3.3160000000000000e+06,1.9478047990000000e+09,1.4526261800000000e+08,6.1929000000000000e+05,1.4464332800000000e+08,1.1717225100000000e+08,3.6396400000000000e+05,1.1680828700000000e+08,2.2135556680000000e+09,2.2092564140000000e+09,7.3021800000000000e+06
