MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,6.4448508700000000e+08,2.8501580000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0640620000000000e+08,4.3900000000000000e+05,7.0596720000000000e+08,2.4804820000000000e+07,2.4420000000000000e+04,2.4780400000000000e+07,6.5440600000000000e+06,3.2316000000000000e+05,6.2209000000000000e+06,7.3775508000000000e+08,7.3696850000000000e+08,5.9070955000000000e+07
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,3.5438142000000000e+08,1.8199680000000000e+07,1.3247300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.8985391000000000e+08,1.5165000000000000e+06,3.8833741000000000e+08,2.8661066000000000e+07,8.6750000000000000e+04,2.8574316000000000e+07,1.3444782000000000e+07,3.1272000000000000e+05,1.3132062000000000e+07,4.3195975800000000e+08,4.3004378800000000e+08,1.5948080000000000e+07
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,8.3756411000000000e+08,5.2180010000000000e+07,1.3098300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.1468537900000000e+09,1.1260000000000000e+06,1.1457277900000000e+09,3.1101730000000000e+07,8.5380000000000000e+04,3.1016350000000000e+07,1.9022210000000000e+07,5.8306000000000000e+05,1.8439150000000000e+07,1.1969777300000000e+09,1.1951832900000000e+09,2.5579984000000000e+08
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,1.0959661000000000e+08,1.0453200000000000e+06,3.3921000000000000e+05,4.1310000000000000e+04,0.0000000000000000e+00,1.1509292000000000e+08,4.2925000000000000e+05,1.1466367000000000e+08,1.0974269000000000e+07,9.7480000000000000e+04,1.0876789000000000e+07,3.4314230000000000e+06,3.6983000000000000e+05,3.0615930000000000e+06,1.2949861200000000e+08,1.2860205200000000e+08,4.0704700000000000e+06
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1.0562332900000000e+09,7.6716340000000000e+07,4.2171220000000000e+07,1.9751200000000000e+06,1.6500190000000000e+07,1.2294399700000000e+09,6.1075750000000000e+06,1.2233323950000000e+09,1.0046333000000000e+08,7.0857000000000000e+05,9.9754760000000000e+07,5.9817990000000000e+07,6.9020000000000000e+04,5.9748970000000000e+07,1.3897212900000000e+09,1.3828361250000000e+09,3.5843810000000000e+07
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,6.9008430000000000e+08,3.9357400000000000e+07,0.0000000000000000e+00,1.6000000000000000e+03,0.0000000000000000e+00,7.9767446000000000e+08,1.9100000000000000e+06,7.9576446000000000e+08,2.4219917000000000e+07,4.5940000000000000e+04,2.4173977000000000e+07,1.8354205000000000e+07,7.2122000000000000e+05,1.7632985000000000e+07,8.4024858200000000e+08,8.3757142200000000e+08,6.8231160000000000e+07
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,3.6497518800000000e+09,6.5441813000000000e+08,1.7509150000000000e+08,2.7512780000000000e+07,7.2365990000000000e+07,4.5974259100000000e+09,7.6085100000000000e+06,4.5898174000000000e+09,2.7357603000000000e+08,1.0401200000000000e+06,2.7253591000000000e+08,3.3692220000000000e+08,3.0376000000000000e+05,3.3661844000000000e+08,5.2079241400000000e+09,5.1989717500000000e+09,1.8285630000000000e+07
"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,2.3140337000000000e+08,4.6028000000000000e+06,9.4300000000000000e+05,4.1500000000000000e+05,1.6131000000000000e+06,2.4633167000000000e+08,7.1250000000000000e+05,2.4561917000000000e+08,2.2557370000000000e+07,5.2610000000000000e+04,2.2504760000000000e+07,5.5621190000000000e+06,3.5420000000000000e+04,5.5266990000000000e+06,2.7445115900000000e+08,2.7365062900000000e+08,7.3544000000000000e+06
"ANSONIA",2.0000000000000000e+00,2.0000000000000000e+00,9.0024150000000000e+08,1.0726360000000000e+08,1.9999100000000000e+07,3.3360000000000000e+05,1.6960600000000000e+07,1.0449226950000000e+09,7.4397780000000000e+06,1.0374829170000000e+09,8.5927568000000000e+07,6.0704000000000000e+05,8.5320528000000000e+07,4.7576689000000000e+07,1.6290000000000000e+04,4.7560399000000000e+07,1.1784269520000000e+09,1.1703638440000000e+09,1.2429500000000000e+05
"ASHFORD",3.0000000000000000e+00,3.0000000000000000e+00,2.6547935000000000e+08,2.5095300000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0614502000000000e+08,7.6317000000000000e+05,3.0538185000000000e+08,2.7565133000000000e+07,9.6425200000000000e+05,2.6600881000000000e+07,7.2674920000000000e+06,4.1307700000000000e+05,6.8544150000000000e+06,3.4097764500000000e+08,3.3883714600000000e+08,1.5570370000000000e+07
"AVON",4.0000000000000000e+00,4.0000000000000000e+00,2.0606910300000000e+09,2.5143733000000000e+08,2.9713370000000000e+07,3.0108000000000000e+05,3.2081120000000000e+07,2.3798635400000000e+09,4.8190900000000000e+06,2.3750444500000000e+09,1.4892541000000000e+08,6.4093000000000000e+05,1.4828448000000000e+08,9.7987270000000000e+07,3.0347000000000000e+05,9.7683800000000000e+07,2.6267762200000000e+09,2.6210127300000000e+09,5.6396100000000000e+06
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,2.7475609000000000e+08,1.3304270000000000e+07,4.0621400000000000e+06,0.0000000000000000e+00,2.1119000000000000e+06,3.3030593000000000e+08,9.5925000000000000e+05,3.2934668000000000e+08,2.7221860000000000e+07,1.3585000000000000e+05,2.7086010000000000e+07,1.3008722000000000e+07,4.7640000000000000e+04,1.2961082000000000e+07,3.7053651200000000e+08,3.6939377200000000e+08,3.6071530000000000e+07
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,4.1502128000000000e+08,1.0434070000000000e+07,3.1912300000000000e+07,0.0000000000000000e+00,7.7978000000000000e+05,4.7357814000000000e+08,3.0505310000000000e+06,4.7052760900000000e+08,3.8425774000000000e+07,4.0095000000000000e+05,3.8024824000000000e+07,2.0966450000000000e+07,1.9935400000000000e+05,2.0767096000000000e+07,5.3297036400000000e+08,5.2931952900000000e+08,1.5430710000000000e+07
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,1.4846132900000000e+09,2.6412120000000000e+08,1.3826680000000000e+08,3.5575000000000000e+06,0.0000000000000000e+00,1.9442419600000000e+09,6.1363190000000000e+06,1.9381056410000000e+09,1.6195861000000000e+08,3.8959300000000000e+06,1.5806268000000000e+08,1.9897066000000000e+08,2.1695000000000000e+05,1.9875371000000000e+08,2.3051712300000000e+09,2.2949220310000000e+09,5.3683170000000000e+07
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,5.1535089000000000e+08,1.4799580000000000e+07,1.9177560000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,5.5673201000000000e+08,4.7982300000000000e+06,5.5193378000000000e+08,4.1842256000000000e+07,6.5180000000000000e+04,4.1777076000000000e+07,2.7176113000000000e+07,2.1625800000000000e+05,2.6959855000000000e+07,6.2575037900000000e+08,6.2067071100000000e+08,7.4039800000000000e+06
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,1.6352318300000000e+09,2.2843779000000000e+08,9.0946500000000000e+07,0.0000000000000000e+00,2.3342260000000000e+07,2.0429422400000000e+09,6.4673000000000000e+06,2.0364749400000000e+09,1.2491009000000000e+08,3.5272000000000000e+05,1.2455737000000000e+08,1.4324471000000000e+08,1.1206000000000000e+05,1.4313265000000000e+08,2.3110970400000000e+09,2.3041649600000000e+09,6.4983860000000000e+07
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,3.2831160000000000e+08,2.0105700000000000e+07,3.0972000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,3.6456833000000000e+08,2.2889000000000000e+06,3.6227943000000000e+08,2.9788040000000000e+07,1.2120000000000000e+05,2.9666840000000000e+07,7.4768690000000000e+06,7.4412700000000000e+05,6.7327420000000000e+06,4.0183323900000000e+08,3.9867901200000000e+08,1.3053830000000000e+07
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,9.8770139700000000e+08,2.7643223900000000e+08,1.1871346400000000e+08,0.0000000000000000e+00,6.8161810000000000e+07,1.4529275900000000e+09,3.2870000000000000e+06,1.4496405900000000e+09,1.3460142600000000e+08,1.6568700000000000e+06,1.3294455600000000e+08,2.4193622800000000e+08,4.4061000000000000e+05,2.4149561800000000e+08,1.8294652440000000e+09,1.8240807640000000e+09,1.9186800000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.8745945000000000e+08,2.2577520000000000e+07,3.3949900000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.2666540000000000e+08,1.7934350000000000e+06,4.2487196500000000e+08,3.4348750000000000e+07,2.2510000000000000e+05,3.4123650000000000e+07,9.8091900000000000e+06,2.5806000000000000e+05,9.5511300000000000e+06,4.7082334000000000e+08,4.6854674500000000e+08,1.3233440000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.6250696000000000e+08,1.0363970000000000e+07,2.3224780000000000e+07,0.0000000000000000e+00,1.0877800000000000e+06,2.0781306000000000e+08,9.4141000000000000e+05,2.0687165000000000e+08,2.2620780000000000e+07,2.0188800000000000e+05,2.2418892000000000e+07,2.1218335000000000e+07,1.7607500000000000e+05,2.1042260000000000e+07,2.5165217500000000e+08,2.5033280200000000e+08,1.0629570000000000e+07
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.5201822100000000e+09,3.6542320000000000e+08,1.0587740000000000e+08,2.4031000000000000e+06,3.0158700000000000e+06,3.0159772800000000e+09,8.7440000000000000e+06,3.0072332800000000e+09,2.0496323700000000e+08,1.2274000000000000e+06,2.0373583700000000e+08,1.3947620700000000e+08,1.0388400000000000e+05,1.3937232300000000e+08,3.3604167240000000e+09,3.3503414400000000e+09,1.9075500000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4.0880342560000000e+09,9.1150809800000000e+08,2.9112199000000000e+08,4.2183110000000000e+07,3.0266346000000000e+08,5.7147235630000000e+09,1.5283968000000000e+07,5.6994395950000000e+09,3.7945328500000000e+08,4.8050240000000000e+06,3.7464826100000000e+08,7.0386324500000000e+08,6.8164070000000000e+06,6.9704683800000000e+08,6.7980400930000000e+09,6.7711346940000000e+09,7.9212649000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.6415622200000000e+08,3.0251000000000000e+06,7.9950000000000000e+05,5.6750000000000000e+05,0.0000000000000000e+00,3.9502650500000000e+08,7.1300000000000000e+05,3.9431350500000000e+08,1.5947080000000000e+07,4.6070000000000000e+04,1.5901010000000000e+07,3.3502060000000000e+06,1.7569900000000000e+05,3.1745070000000000e+06,4.1432379100000000e+08,4.1338902200000000e+08,2.6478183000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.8427185300000000e+09,4.4929114000000000e+08,2.4287748000000000e+08,3.0167900000000000e+06,1.3315306000000000e+08,3.7206401100000000e+09,3.4864050000000000e+07,3.6857760600000000e+09,3.2403085000000000e+08,2.0477100000000000e+06,3.2198314000000000e+08,3.7255250000000000e+08,2.6433700000000000e+06,3.6990913000000000e+08,4.4172234600000000e+09,4.3776683300000000e+09,4.9583110000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.9380078050000000e+09,2.4788079000000000e+08,1.1038120000000000e+08,3.7437600000000000e+06,5.9111900000000000e+06,2.3642624950000000e+09,3.9271200000000000e+06,2.3603353750000000e+09,1.2752537500000000e+08,9.2694000000000000e+05,1.2659843500000000e+08,8.7171223000000000e+07,1.0300000000000000e+04,8.7160923000000000e+07,2.5789590930000000e+09,2.5740947330000000e+09,5.8337750000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.8329351000000000e+08,2.8967110000000000e+07,3.7666200000000000e+06,1.0710000000000000e+05,1.4515110000000000e+07,4.5269092000000000e+08,1.4224050000000000e+06,4.5126851500000000e+08,4.6255646000000000e+07,9.3961000000000000e+05,4.5316036000000000e+07,1.5076577000000000e+07,4.3418000000000000e+05,1.4642397000000000e+07,5.1402314300000000e+08,5.1122694800000000e+08,2.2041470000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.6629057000000000e+08,1.3208860000000000e+07,3.4573700000000000e+06,0.0000000000000000e+00,3.4426000000000000e+05,8.3075897000000000e+08,7.9662000000000000e+05,8.2996235000000000e+08,6.9269710000000000e+07,1.2313000000000000e+05,6.9146580000000000e+07,1.1572947000000000e+07,1.3965000000000000e+05,1.1433297000000000e+07,9.1160162700000000e+08,9.1054222700000000e+08,4.7457910000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.1904145000000000e+08,4.7411500000000000e+06,1.0348600000000000e+07,2.4228000000000000e+06,0.0000000000000000e+00,1.6943840000000000e+08,1.8200000000000000e+05,1.6925640000000000e+08,9.1552000000000000e+06,1.8579000000000000e+05,8.9694100000000000e+06,1.0118880000000000e+07,2.3588200000000000e+05,9.8829980000000000e+06,1.8871248000000000e+08,1.8810880800000000e+08,3.2884400000000000e+07
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,2.8649120000000000e+08,8.4471640000000000e+06,3.2745000000000000e+06,3.4400000000000000e+04,1.5409000000000000e+06,3.1417175900000000e+08,3.0399000000000000e+06,3.1113185900000000e+08,3.6789090000000000e+07,2.8355000000000000e+05,3.6505540000000000e+07,8.4878020000000000e+06,4.9379000000000000e+05,7.9940120000000000e+06,3.5944865100000000e+08,3.5563141100000000e+08,1.4383595000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.4883558000000000e+08,1.3204320000000000e+08,7.8573300000000000e+06,1.3758000000000000e+05,7.8182200000000000e+06,9.9895073000000000e+08,1.0672500000000000e+06,9.9788348000000000e+08,7.3166615000000000e+07,1.5028000000000000e+05,7.3016335000000000e+07,4.0666340000000000e+07,7.1330000000000000e+04,4.0595010000000000e+07,1.1127836850000000e+09,1.1114948250000000e+09,2.2588200000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.3744152000000000e+08,6.3323000000000000e+06,1.4234000000000000e+06,0.0000000000000000e+00,2.8660000000000000e+05,1.4795842000000000e+08,3.3550000000000000e+05,1.4762292000000000e+08,1.3892320000000000e+07,1.3930000000000000e+05,1.3753020000000000e+07,8.4968600000000000e+06,2.0676000000000000e+05,8.2901000000000000e+06,1.7034760000000000e+08,1.6966604000000000e+08,2.4746000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.0948309700000000e+09,2.1543183000000000e+08,1.8154811000000000e+08,0.0000000000000000e+00,1.3386020000000000e+07,2.5301078100000000e+09,1.8000669000000000e+07,2.5121071410000000e+09,2.0488607900000000e+08,8.7934000000000000e+05,2.0400673900000000e+08,1.3718800300000000e+08,1.0081900000000000e+06,1.3617981300000000e+08,2.8721818920000000e+09,2.8522936930000000e+09,2.4910880000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.6349500000000000e+08,5.8060600000000000e+07,1.7580030000000000e+07,1.1204800000000000e+06,3.2277200000000000e+06,4.5772755000000000e+08,1.2982620000000000e+06,4.5642928800000000e+08,2.6214710000000000e+07,2.8536000000000000e+05,2.5929350000000000e+07,2.2827650000000000e+07,1.3110000000000000e+04,2.2814540000000000e+07,5.0676991000000000e+08,5.0517317800000000e+08,1.4243720000000000e+07
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.3048836600000000e+09,1.5231644800000000e+08,3.2033700000000000e+07,1.2662000000000000e+06,3.7559920000000000e+06,1.5186254900000000e+09,6.9343800000000000e+06,1.5116911100000000e+09,8.3353255000000000e+07,5.7975800000000000e+05,8.2773497000000000e+07,7.3111812000000000e+07,3.3557000000000000e+05,7.2776242000000000e+07,1.6750905570000000e+09,1.6672408490000000e+09,2.4369490000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,9.6715385000000000e+08,9.0586870000000000e+07,9.6093000000000000e+06,3.0980000000000000e+05,2.2732100000000000e+07,1.1334591510000000e+09,3.5721320000000000e+06,1.1298870190000000e+09,1.0356693800000000e+08,1.6429140000000000e+06,1.0192402400000000e+08,3.8103910000000000e+07,4.3121000000000000e+05,3.7672700000000000e+07,1.2751299990000000e+09,1.2694837430000000e+09,4.3067231000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.5547000000000000e+08,1.2409000000000000e+06,6.6020000000000000e+05,1.1645900000000000e+07,0.0000000000000000e+00,1.7090533000000000e+08,9.1950000000000000e+05,1.6998583000000000e+08,1.0303990000000000e+07,6.8670000000000000e+04,1.0235320000000000e+07,5.6716050000000000e+06,5.9830000000000000e+04,5.6117750000000000e+06,1.8688092500000000e+08,1.8583292500000000e+08,1.8883300000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.4189494000000000e+08,1.3826600000000000e+07,7.8091000000000000e+06,3.3900000000000000e+05,6.3490000000000000e+05,4.7698736000000000e+08,1.0805000000000000e+06,4.7590686000000000e+08,4.0145745000000000e+07,1.5060000000000000e+05,3.9995145000000000e+07,1.2038051000000000e+07,3.0148000000000000e+05,1.1736571000000000e+07,5.2917115600000000e+08,5.2763857600000000e+08,1.2482820000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.1195878000000000e+08,1.0625720000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3217858000000000e+08,3.8500000000000000e+05,4.3179358000000000e+08,1.3642230000000000e+07,6.0210000000000000e+04,1.3582020000000000e+07,7.8121800000000000e+06,3.4341000000000000e+05,7.4687700000000000e+06,4.5363299000000000e+08,4.5284437000000000e+08,1.0959408000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,7.2178056000000000e+08,1.9995810000000000e+07,2.6020800000000000e+06,3.4091000000000000e+05,0.0000000000000000e+00,7.6867461000000000e+08,2.0965000000000000e+06,7.6657811000000000e+08,7.5206860000000000e+07,2.7111400000000000e+05,7.4935746000000000e+07,1.8058575000000000e+07,7.5487000000000000e+05,1.7303705000000000e+07,8.6194004500000000e+08,8.5881756100000000e+08,2.3955250000000000e+07
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,9.5075682500000000e+08,2.0169610000000000e+08,3.3373160000000000e+07,0.0000000000000000e+00,2.0313300000000000e+06,1.2022212050000000e+09,3.8645000000000000e+06,1.1983567050000000e+09,9.4030069000000000e+07,4.0773000000000000e+05,9.3622339000000000e+07,7.0327550000000000e+07,2.3365000000000000e+05,7.0093900000000000e+07,1.3665788240000000e+09,1.3620729440000000e+09,1.4363790000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,5.3261065000000000e+09,1.6740073000000000e+09,4.3917530000000000e+08,4.5883000000000000e+06,2.4928220000000000e+08,7.6934743000000000e+09,1.3861574200000000e+09,6.3073168800000000e+09,4.4061570000000000e+08,7.9564700000000000e+05,4.3982005300000000e+08,5.3621835000000000e+08,9.9319800000000000e+06,5.2628637000000000e+08,8.6703083500000000e+09,7.2734233030000000e+09,3.1470000000000000e+05
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,5.7384763800000000e+09,4.1423027000000000e+08,0.0000000000000000e+00,3.6487300000000000e+06,0.0000000000000000e+00,6.3062907700000000e+09,1.2817500000000000e+06,6.3050090200000000e+09,2.1860284500000000e+08,9.0000000000000000e+03,2.1859384500000000e+08,7.8673790000000000e+07,1.4000000000000000e+04,7.8659790000000000e+07,6.6035674050000000e+09,6.6022626550000000e+09,1.4993539000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.1181833000000000e+08,2.9658510000000000e+07,1.3365100000000000e+07,4.5647000000000000e+05,2.2835600000000000e+06,4.7050232000000000e+08,9.0300000000000000e+05,4.6959932000000000e+08,3.0846022000000000e+07,1.9790000000000000e+05,3.0648122000000000e+07,2.2809533000000000e+07,1.1467600000000000e+05,2.2694857000000000e+07,5.2415787500000000e+08,5.2294229900000000e+08,1.2920350000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,6.3476062000000000e+08,1.3359210000000000e+08,1.4585550000000000e+07,6.0087000000000000e+05,2.5701620000000000e+07,8.1865247000000000e+08,4.5690800000000000e+06,8.1408339000000000e+08,5.8675769000000000e+07,6.7074000000000000e+05,5.8005029000000000e+07,4.0498820000000000e+07,2.8520000000000000e+04,4.0470300000000000e+07,9.1782705900000000e+08,9.1255871900000000e+08,9.4117100000000000e+06
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,5.6275192900000000e+08,1.9570200000000000e+07,1.4881160000000000e+07,0.0000000000000000e+00,1.7405500000000000e+06,6.9893204900000000e+08,3.7787400000000000e+06,6.9515330900000000e+08,5.1891834000000000e+07,2.6298000000000000e+05,5.1628854000000000e+07,4.1441227000000000e+07,5.5376400000000000e+05,4.0887463000000000e+07,7.9226511000000000e+08,7.8766962600000000e+08,9.9988210000000000e+07
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.7572100000000000e+08,2.1255200000000000e+07,6.9679200000000000e+07,3.9830000000000000e+05,0.0000000000000000e+00,4.6869670000000000e+08,1.2990000000000000e+06,4.6739770000000000e+08,4.4932413000000000e+07,1.8114200000000000e+05,4.4751271000000000e+07,5.8223770000000000e+07,0.0000000000000000e+00,5.8223770000000000e+07,5.7185288300000000e+08,5.7037274100000000e+08,1.6430000000000000e+06
