Municipality,numbered,Moody's
"ANDOVER",1,
"ANSONIA",2,"A1"
"ASHFORD",3,"Aa3"
"AVON",4,"Aaa"
"BARKHAMSTED",5," "
"BEACON FALLS",6," "
"BERLIN",7,"Aa2"
"BETHANY",8,"Aa2"
"BETHEL",9,"Aa2"
"BETHLEHEM",10," "
"BLOOMFIELD",11,"Aa2"
"BOLTON",12,"Aa3"
"BOZRAH",13,"A1"
"BRANFORD",14,"Aa1"
"BRIDGEPORT",15,"A1"
"BRIDGEWATER",16," "
"BRISTOL",17,"Aa2"
"BROOKFIELD",18,"Aa1"
"BROOKLYN",19,"A1"
"BURLINGTON",20,"Aa2"
"CANAAN",21," "
"CANTERBURY",22,"A1"
"CANTON",23,"Aa2"
"CHAPLIN",24," "
"CHESHIRE",25,"Aa1"
"CHESTER",26,"Aa3"
"CLINTON",27,"Aa2"
"COLCHESTER",28,"Aa2"
"COLEBROOK",29,"A1"
"COLUMBIA",30,"Aa2"
"CORNWALL",31,"Aa2"
"COVENTRY",32,"Aa3"
"CROMWELL",33," "
"DANBURY",34,"Aa1"
"DARIEN",35,"Aaa"
"DEEP RIVER",36," "
"DERBY",37,"Aa3"
"DURHAM",38," "
"EAST GRANBY",39,"Aa2"
"EAST HADDAM",40,"Aa2"
"EAST HAMPTON",41,"Aa3"
"EAST HARTFORD",42,"Aa2"
"EAST HAVEN",43,"A1"
"EAST LYME",44,"Aa2"
"EAST WINDSOR",45,"Aa2"
"EASTFORD",46," "
"EASTON",47,"Aaa"
"ELLINGTON",48,"Aa3"
"ENFIELD",49,"Aa2"
"ESSEX",50,"Aa2"
"FAIRFIELD",51,"Aaa"
"FARMINGTON",52,"Aaa"
"FRANKLIN",53," "
"GLASTONBURY",54,"Aaa"
"GOSHEN",55," "
"GRANBY",56,"Aa2"
"GREENWICH",57,"Aaa"
"GRISWOLD",58," "
"GROTON",59,"Aa2"
"GROTON (City of)",60,"Aa2"
"GUILFORD",61,"Aa2"
"HADDAM",62," "
"HAMDEN",63,"Aa3"
"HAMPTON",64," "
"HARTFORD",65,"Aa3"
"HARTLAND",66,"A1"
"HARWINTON",67," "
"HEBRON",68,"Aa2"
"KENT",69,"Aa2"
