Municipality,EQUALIZED NET GRAND LIST GLYR 2003
"ANDOVER",338067466.0000
"ANSONIA",1468210137.0488
"ASHFORD",357420207.8192
"AVON",2970536021.4286
"BARKHAMSTED",405928702.8571
"BEACON FALLS",623924698.3357
"BERLIN",2739970750.8497
"BETHANY",706083835.7143
"BETHEL",2875465606.0000
"BETHLEHEM",487090255.7143
"BLOOMFIELD",2536505710.8363
"BOLTON",536578192.8571
"BOZRAH",336715991.0000
"BRANFORD",5161084755.6993
"BRIDGEPORT",7427595160.0000
"BRIDGEWATER",442869590.0000
"BRISTOL",5389611884.6503
"BROOKFIELD",3252510245.0000
"BROOKLYN",687706225.0000
"BURLINGTON",1010504631.4286
"CANAAN",195774692.4711
"CANTERBURY",473445906.6283
"CANTON",1088101041.4286
"CHAPLIN",170256362.8571
"CHESHIRE",3461274785.7143
"CHESTER",574697440.0000
"CLINTON",2112065902.0000
"COLCHESTER",1531606678.9793
"COLEBROOK",237978490.0441
"COLUMBIA",642917548.0000
"CORNWALL",467607392.3572
"COVENTRY",1198057066.0000
"CROMWELL",1583870661.7936
"DANBURY",9469435689.3496
"DARIEN",8889571515.7143
"DEEP RIVER",727752479.0996
"DERBY",1209433600.5132
"DURHAM",989395535.4605
"EAST GRANBY",677680455.7143
"EAST HADDAM",1187804658.4437
"EAST HAMPTON",1349793195.9931
"EAST HARTFORD",4202990710.3881
"EAST HAVEN",2777647541.0000
"EAST LYME",2785989192.0000
"EAST WINDSOR",1170239172.0000
"EASTFORD",172574544.8506
"EASTON",2096318624.1225
"ELLINGTON",1468173216.0000
"ENFIELD",4035621297.6260
"ESSEX",1412372140.0000
"FAIRFIELD",14931692089.6884
"FARMINGTON",4311609830.0000
"FRANKLIN",233496675.7143
"GLASTONBURY",5101833622.0963
"GOSHEN",677978396.0000
"GRANBY",1325608721.1358
"GREENWICH",42401517748.1171
"GRISWOLD",951675297.7808
"GROTON",5512999225.0000
"GROTON (City of)",
"GUILFORD",4186279012.2416
"HADDAM",1091294022.6900
"HAMDEN",5871457875.1299
"HAMPTON",163096722.8571
"HARTFORD",7516844095.0000
"HARTLAND",245096952.7238
"HARWINTON",629068331.4286
"HEBRON",1020869269.0000
"KENT",637266394.2857
"KILLINGLY",1583128180.3431
"KILLINGWORTH",1005072452.0000
"LEBANON",649121365.7143
"LEDYARD",1548634487.0000
"LISBON",483460289.0000
"LITCHFIELD",1191187708.5714
"LYME",707249808.5714
"MADISON",4090891285.0123
"MANCHESTER",5303642498.4488
"MANSFIELD",1192413028.5774
"MARLBOROUGH",744649119.8653
"MERIDEN",4325518736.1741
"MIDDLEBURY",1316670068.0607
"MIDDLEFIELD",591040963.0157
"MIDDLETOWN",4582120071.0000
"MILFORD",9253413600.7875
"MONROE",2882295437.1429
"MONTVILLE",1917668059.0000
"MORRIS",482418415.5225
"NAUGATUCK",2506127234.7367
"NEW BRITAIN",3588382135.9119
"NEW CANAAN",9367732785.7143
"NEW FAIRFIELD",2518368387.0000
"NEW HARTFORD",769085160.0000
"NEW HAVEN",7789399968.0000
"NEW LONDON",1822817954.0000
"NEW MILFORD",4365228995.0000
"NEWINGTON",3505059414.1061
"NEWTOWN",4947025867.0000
"NORFOLK",285847695.7143
"NORTH BRANFORD",1768184166.0000
"NORTH CANAAN",437040223.0000
"NORTH HAVEN",4048248184.0000
"NORTH STONINGTON",782761265.0000
"NORWALK",10506546590.0000
"NORWICH",2502935567.1429
"OLD LYME",2096600541.3941
"OLD SAYBROOK",2642204518.5714
"ORANGE",2913358759.0000
"OXFORD",1573618147.0000
"PLAINFIELD",1150451351.0000
"PLAINVILLE",1884378411.2332
"PLYMOUTH",1002187894.0000
"POMFRET",470889152.1376
"PORTLAND",1028445647.0000
"PRESTON",518633247.8735
"PROSPECT",1083971517.0000
"PUTNAM",677162885.7143
"REDDING",2516728187.4441
"RIDGEFIELD",7234094500.8907
"ROCKY HILL",2203211200.0000
"ROXBURY",868997578.0000
"SALEM",508719759.0000
"SALISBURY",1261254846.8092
"SCOTLAND",128268134.2857
"SEYMOUR",1754319513.8050
"SHARON",738961825.7143
"SHELTON",6773869930.0000
"SHERMAN",903492082.8571
"SIMSBURY",3346109612.4782
"SOMERS",1058500807.3145
"SOUTH WINDSOR",3274707719.0435
"SOUTHBURY",3302064453.0595
"SOUTHINGTON",4994767172.2966
"SPRAGUE",294158591.1100
"STAFFORD",1061266385.8209
"STAMFORD",29834627040.0000
"STERLING",329401172.9513
"STONINGTON",3725561932.0000
"STRATFORD",6733739529.3550
"SUFFIELD",1464463172.8571
"THOMASTON",806643143.0000
"THOMPSON",889723631.1817
"TOLLAND",1612776581.3492
"TORRINGTON",2650701710.0000
"TRUMBULL",7130216788.0945
"UNION",89970827.1429
"VERNON",2374852632.4699
"VOLUNTOWN",284622942.5057
"WALLINGFORD",5968895784.0000
"WARREN",407815727.8292
"WASHINGTON",1303858828.5714
"WATERBURY",5843956065.0000
"WATERFORD",4294825829.3534
"WATERTOWN",2277721680.0000
"WEST HARTFORD",8194628368.0000
"WEST HAVEN",4119699824.4730
"WESTBROOK",1564365630.2239
"WESTON",3367091901.4286
"WESTPORT",13092699520.9816
"WETHERSFIELD",2795283342.8571
"WILLINGTON",531638438.5714
"WILTON",6341196562.0000
"WINCHESTER",961405534.0000
"WINDHAM",1199138959.0000
"WINDSOR",3264253914.2857
"WINDSOR LOCKS",1592022881.4286
"WOLCOTT",1597984020.0000
"WOODBRIDGE",1769327007.4753
"WOODBURY",1387415138.5714
"WOODSTOCK",919372226.0000
,
