Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),On-Behalf Payments (OBP) - Teachers Retirement Plan,OBP Allocation From POB Contribution,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2008 Population,Moody's_Bond_Ratings_July_2008,area lmt,EGL,TANF08 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY08
"ANDOVER","VR",2.0080000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",6175109.0000,1621410.0000,7909007.0000,269059.0000,3810247.0000,7190202.0000,11242906.0000,8829049.0000,219345.0000,10741358.0000,0.0000,0.0000,140072.0000,140072.0000,361476.0000,931099.0000,361476.0000,0.0000,5079107.3700,1380000.0000,6459107.3700,1373979.0000,1091082.8859,5175.0000,0.0000,1019023.0000,"Y",1013848.0000,"N","N",7124778.0000,7051152.0000,9.8966620433647201e-01,7243054.0000,7112376.0000,9.8195816295170513e-01,3.1830000000000000e+03,"A3",1.5450000000000001e+01,384665337.1429,3.0000000000000000e+00,3.9919151086407277e-02,2.6300000000000001e+01,6.4213999999999999e+02,"Capital Region COG",269050981.0000
"ANSONIA","VR",2.0080000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",28065084.0000,24745883.0000,52819196.0000,-1215701.0000,32920804.0000,25899905.0000,63693255.0000,38418010.0000,8551261.0000,63057989.0000,0.0000,0.0000,0.0000,0.0000,635266.0000,915743.0000,635266.0000,0.0000,,31928555.0000,31928555.0000,8783762.0000,6975224.7973,1244911.0000,498120.0000,7468559.0000,"N",6223648.0000,"N","N",26265607.0000,25240318.0000,9.6096458003045582e-01,28153698.0000,25865350.0000,9.1871945205919303e-01,1.8503000000000000e+04,"A3",6.0300000000000002e+00,1799272623.8184,3.5200000000000000e+02,6.9361277445109781e-02,3.2320000000000000e+01,2.8674299999999998e+03,"Valley COG",810574013.0000
"ASHFORD","VR",2.0080000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",10483673.0000,3824226.0000,14750188.0000,724503.0000,6761186.0000,8284714.0000,15701866.0000,11716666.0000,847307.0000,15206197.0000,0.0000,0.0000,1456593.0000,1456593.0000,-960924.0000,816993.0000,-960924.0000,0.0000,3787620.4300,4460000.0000,8247620.4300,1573000.0000,1249126.3545,0.0000,0.0000,2228626.0000,"N",2228626.0000,"N","N",8265539.0000,8111938.0000,9.8141669889888605e-01,8600952.0000,8198514.0000,9.5321006325811375e-01,4.4670000000000000e+03,"A2",3.8800000000000004e+01,527896482.6732,2.5000000000000000e+01,4.6546546546546545e-02,3.3700000000000003e+01,7.1078999999999996e+02,"Windham Region COG",243807748.0000
"AVON","VR",2.0080000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",100992393.0000,12623398.0000,113615791.0000,10200834.0000,18352155.0000,57607095.0000,79648987.0000,54645090.0000,4960243.0000,76896853.0000,1225653.0000,1225653.0000,3078993.0000,3078993.0000,898794.0000,-529274.0000,898794.0000,0.0000,,15285000.0000,15285000.0000,16039746.0000,12737234.2331,0.0000,187558.0000,4676227.0000,"N",4676227.0000,"N","N",57350435.0000,57311269.0000,9.9931707579898910e-01,57419563.0000,57371321.0000,9.9915983338291869e-01,1.7328000000000000e+04,"Aaa",2.3120000000000001e+01,3890796198.6480,1.1000000000000000e+01,3.5509983810037775e-02,2.5550000000000001e+01,3.5965599999999999e+03,"Capital Region COG",2226999410.0000
"BARKHAMSTED","VR",2.0080000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",4117076.0000,3413481.0000,7530557.0000,338527.0000,2988431.0000,8022185.0000,11359764.0000,8995197.0000,235200.0000,11040510.0000,0.0000,0.0000,511862.0000,511862.0000,-192608.0000,-206957.0000,-192608.0000,0.0000,2179822.6624,210000.0000,2389822.6624,1160259.0000,921366.8754,8241.0000,0.0000,1489507.0000,"N",1481266.0000,"N","N",8025972.0000,7867978.0000,9.8031465846130539e-01,8307519.0000,7949294.0000,9.5687942453095809e-01,3.6620000000000000e+03,"A2",3.6219999999999999e+01,529848357.0085,8.0000000000000000e+00,4.6910239061795221e-02,2.6699999999999999e+01,6.5694000000000005e+02,"Litchfield Hills Cncl of Elected Ofcls",298562286.0000
"BEACON FALLS","VR",2.0080000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",6136273.0000,2459769.0000,9213705.0000,-341919.0000,4381003.0000,11700499.0000,16470685.0000,11687971.0000,282441.0000,16677796.0000,367235.0000,384979.0000,0.0000,0.0000,160124.0000,-19011.0000,177868.0000,0.0000,10442959.1878,3199664.0000,13642623.1878,0.0000,0.0000,0.0000,0.0000,1389120.0000,"N",1389120.0000,"N","N",11401531.0000,11014184.0000,9.6602675552958628e-01,12171682.0000,11245244.0000,9.2388578669735211e-01,5.8070000000000000e+03,,9.7699999999999996e+00,726986145.7143,1.3000000000000000e+01,5.6253740275284264e-02,2.2680000000000000e+01,1.0690500000000000e+03,"COG of Central Naugatuck Valley",502739205.0000
"BERLIN","VR",2.0080000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",58306096.0000,19214369.0000,77672359.0000,-1544109.0000,22335205.0000,49846526.0000,77805572.0000,50558499.0000,2288358.0000,75715807.0000,230497.0000,230497.0000,1972155.0000,1972155.0000,348107.0000,1315886.0000,348107.0000,0.0000,,8095000.0000,8095000.0000,13980947.0000,11102332.7140,0.0000,2000000.0000,9519032.0000,"N",9519032.0000,"N","N",49549590.0000,48988081.0000,9.8866773670579311e-01,50574676.0000,49427123.0000,9.7730973105986874e-01,2.0364000000000000e+04,"Aa3",2.6449999999999999e+01,3342194267.3368,2.9000000000000000e+01,4.6273830155979204e-02,2.8740000000000002e+01,3.3133200000000002e+03,"Central CT RPA",1706709332.0000
"BETHANY","VR",2.0080000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",16619367.0000,5477254.0000,22096621.0000,329708.0000,2873616.0000,15424401.0000,19515310.0000,14630594.0000,839423.0000,19329336.0000,0.0000,0.0000,550100.0000,550100.0000,-364126.0000,342739.0000,-364126.0000,0.0000,11748870.1845,8084457.0000,19833327.1845,358534.0000,0.0000,122535.0000,0.0000,2722132.0000,"N",2599597.0000,"N","N",15477255.0000,15295795.0000,9.8827569875924381e-01,15761595.0000,15433263.0000,9.7916885949677046e-01,5.5750000000000000e+03,"A1",2.0960000000000001e+01,963959762.1827,5.0000000000000000e+00,4.2075292628914900e-02,2.9300000000000001e+01,1.0878399999999999e+03,"South Central Regional COG",526357363.0000
"BETHEL","VR",2.0080000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",54094588.0000,4385941.0000,62234609.0000,7435177.0000,19369857.0000,48320481.0000,69170956.0000,46027926.0000,3842837.0000,68162769.0000,0.0000,0.0000,403000.0000,403000.0000,605187.0000,538558.0000,605187.0000,0.0000,,20817271.0000,20817271.0000,10067189.0000,7994399.9339,919552.0000,0.0000,6857079.0000,"N",5937527.0000,"Y","N",47942582.0000,47368484.0000,9.8802530076498596e-01,48742370.0000,47904934.0000,9.8281913661563847e-01,1.8438000000000000e+04,"Aa3",1.6789999999999999e+01,3434114106.6496,4.1000000000000000e+01,4.2732665925101963e-02,2.8150000000000002e+01,3.1580700000000002e+03,"Housatonic Council of Elected Ofcls",1672256958.0000
"BETHLEHEM","VR",2.0080000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",4162911.0000,2044414.0000,6207325.0000,780489.0000,1448822.0000,8194503.0000,10149423.0000,7118979.0000,167049.0000,9511953.0000,10055.0000,10055.0000,656190.0000,656190.0000,-8665.0000,107729.0000,-8665.0000,0.0000,1811254.1371,318593.0000,2129847.1371,0.0000,0.0000,8188.0000,150000.0000,483741.0000,"N",475553.0000,"N","N",8194664.0000,8021625.0000,9.7888394203838014e-01,8465587.0000,8127857.0000,9.6010554259261649e-01,3.5600000000000000e+03,,1.9359999999999999e+01,588761185.8916,3.0000000000000000e+00,4.5275590551181105e-02,2.3039999999999999e+01,5.3119000000000005e+02,"COG of Central Naugatuck Valley",355434832.0000
