MUNICIPALITY,TANF Recipients FY 2002-03,TANF Recipients FY 2003-04
"ANDOVER",1.0000000000000000e+01,1.3000000000000000e+01
"ANSONIA",4.5200000000000000e+02,4.7200000000000000e+02
"ASHFORD",2.8000000000000000e+01,2.7000000000000000e+01
"AVON",8.0000000000000000e+00,1.1000000000000000e+01
"BARKHAMSTED",1.6000000000000000e+01,1.1000000000000000e+01
"BEACON FALLS",1.5000000000000000e+01,1.9000000000000000e+01
"BERLIN",3.1000000000000000e+01,3.8000000000000000e+01
"BETHANY",7.0000000000000000e+00,7.0000000000000000e+00
"BETHEL",2.8000000000000000e+01,2.3000000000000000e+01
"BETHLEHEM",2.0000000000000000e+00,2.0000000000000000e+00
"BLOOMFIELD",2.3100000000000000e+02,2.1900000000000000e+02
"BOLTON",1.4000000000000000e+01,1.1000000000000000e+01
"BOZRAH",1.4000000000000000e+01,1.6000000000000000e+01
"BRANFORD",1.4500000000000000e+02,1.6800000000000000e+02
"BRIDGEPORT",5.2800000000000000e+03,5.1220000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00,2.0000000000000000e+00
"BRISTOL",9.4800000000000000e+02,9.9800000000000000e+02
"BROOKFIELD",2.7000000000000000e+01,2.0000000000000000e+01
"BROOKLYN",1.8000000000000000e+01,3.4000000000000000e+01
"BURLINGTON",2.0000000000000000e+01,2.9000000000000000e+01
"CANAAN",4.3890000000000002e+00,3.0000000000000000e+00
"CANTERBURY",2.5000000000000000e+01,2.1000000000000000e+01
"CANTON",1.2000000000000000e+01,1.7000000000000000e+01
"CHAPLIN",2.1000000000000000e+01,2.1000000000000000e+01
"CHESHIRE",1.8000000000000000e+01,2.2000000000000000e+01
"CHESTER",1.9000000000000000e+01,1.0000000000000000e+01
"CLINTON",6.7000000000000000e+01,5.7000000000000000e+01
"COLCHESTER",5.0000000000000000e+01,4.9000000000000000e+01
"COLEBROOK",2.0000000000000000e+00,2.0000000000000000e+00
"COLUMBIA",8.0000000000000000e+00,1.0000000000000000e+01
"CORNWALL",2.0000000000000000e+00,3.0000000000000000e+00
"COVENTRY",3.5000000000000000e+01,3.5000000000000000e+01
"CROMWELL",2.1000000000000000e+01,3.9000000000000000e+01
"DANBURY",4.7000000000000000e+02,4.5600000000000000e+02
"DARIEN",5.0000000000000000e+00,4.0000000000000000e+00
"DEEP RIVER",2.6000000000000000e+01,1.7000000000000000e+01
"DERBY",1.7500000000000000e+02,1.8900000000000000e+02
"DURHAM",1.7000000000000000e+01,1.0000000000000000e+01
"EAST GRANBY",2.0000000000000000e+01,1.5000000000000000e+01
"EAST HADDAM",2.3000000000000000e+01,2.8000000000000000e+01
"EAST HAMPTON",3.8000000000000000e+01,4.6000000000000000e+01
"EAST HARTFORD",1.0750000000000000e+03,1.1410000000000000e+03
"EAST HAVEN",2.7300000000000000e+02,2.9400000000000000e+02
"EAST LYME",5.1000000000000000e+01,4.4000000000000000e+01
"EAST WINDSOR",9.5000000000000000e+01,7.4000000000000000e+01
"EASTFORD",0.0000000000000000e+00,3.0000000000000000e+00
"EASTON",1.0000000000000000e+00,2.0000000000000000e+00
"ELLINGTON",3.1000000000000000e+01,3.3000000000000000e+01
"ENFIELD",3.1900000000000000e+02,3.7500000000000000e+02
"ESSEX",6.0000000000000000e+00,7.0000000000000000e+00
"FAIRFIELD",6.8000000000000000e+01,1.0500000000000000e+02
"FARMINGTON",4.8000000000000000e+01,5.7000000000000000e+01
"FRANKLIN",4.0000000000000000e+00,1.0000000000000000e+01
"GLASTONBURY",4.5000000000000000e+01,5.2000000000000000e+01
"GOSHEN",5.0000000000000000e+00,5.0000000000000000e+00
"GRANBY",9.0000000000000000e+00,1.1000000000000000e+01
"GREENWICH",8.0000000000000000e+01,9.8000000000000000e+01
"GRISWOLD",8.2000000000000000e+01,9.9000000000000000e+01
"GROTON",3.8600000000000000e+02,4.0600000000000000e+02
"GROTON (City of)",,
"GUILFORD",4.7000000000000000e+01,3.6000000000000000e+01
"HADDAM",1.1000000000000000e+01,1.3000000000000000e+01
"HAMDEN",5.1800000000000000e+02,5.4600000000000000e+02
"HAMPTON",6.0000000000000000e+00,1.1000000000000000e+01
"HARTFORD",9.5490000000000000e+03,9.0650000000000000e+03
"HARTLAND",0.0000000000000000e+00,2.0000000000000000e+00
"HARWINTON",8.0000000000000000e+00,8.0000000000000000e+00
"HEBRON",1.0000000000000000e+01,6.0000000000000000e+00
"KENT",2.0000000000000000e+00,7.0000000000000000e+00
"KILLINGLY",2.9300000000000000e+02,2.9900000000000000e+02
"KILLINGWORTH",7.0000000000000000e+00,7.0000000000000000e+00
"LEBANON",1.4000000000000000e+01,1.6000000000000000e+01
"LEDYARD",4.6000000000000000e+01,5.7000000000000000e+01
"LISBON",1.3000000000000000e+01,9.0000000000000000e+00
"LITCHFIELD",1.2000000000000000e+01,1.3000000000000000e+01
"LYME",0.0000000000000000e+00,1.0000000000000000e+00
"MADISON",1.9000000000000000e+01,1.6000000000000000e+01
"MANCHESTER",7.7800000000000000e+02,8.4300000000000000e+02
"MANSFIELD",5.3000000000000000e+01,5.7000000000000000e+01
"MARLBOROUGH",5.0000000000000000e+00,9.0000000000000000e+00
"MERIDEN",1.9300000000000000e+03,1.8580000000000000e+03
"MIDDLEBURY",1.0000000000000000e+01,8.0000000000000000e+00
"MIDDLEFIELD",6.0000000000000000e+00,9.0000000000000000e+00
"MIDDLETOWN",6.5900000000000000e+02,6.2400000000000000e+02
"MILFORD",2.4800000000000000e+02,2.5800000000000000e+02
"MONROE",1.7000000000000000e+01,2.9000000000000000e+01
"MONTVILLE",8.7000000000000000e+01,9.7000000000000000e+01
"MORRIS",1.1000000000000000e+01,3.0000000000000000e+00
"NAUGATUCK",3.2600000000000000e+02,3.2100000000000000e+02
"NEW BRITAIN",3.2880000000000000e+03,3.2190000000000000e+03
"NEW CANAAN",8.0000000000000000e+00,5.0000000000000000e+00
"NEW FAIRFIELD",2.8000000000000000e+01,2.0000000000000000e+01
"NEW HARTFORD",1.6000000000000000e+01,1.2000000000000000e+01
"NEW HAVEN",7.3890000000000000e+03,7.1060000000000000e+03
"NEW LONDON",8.6900000000000000e+02,8.5200000000000000e+02
"NEW MILFORD",7.4000000000000000e+01,8.2000000000000000e+01
"NEWINGTON",1.0200000000000000e+02,9.5000000000000000e+01
"NEWTOWN",1.9000000000000000e+01,2.4000000000000000e+01
"NORFOLK",8.0000000000000000e+00,6.0000000000000000e+00
"NORTH BRANFORD",4.3000000000000000e+01,4.6000000000000000e+01
"NORTH CANAAN",1.4611000000000001e+01,1.4000000000000000e+01
"NORTH HAVEN",6.8000000000000000e+01,7.1000000000000000e+01
"NORTH STONINGTON",2.9000000000000000e+01,1.2000000000000000e+01
"NORWALK",8.8300000000000000e+02,8.4600000000000000e+02
"NORWICH",7.5900000000000000e+02,8.3300000000000000e+02
"OLD LYME",7.0000000000000000e+00,7.0000000000000000e+00
"OLD SAYBROOK",2.7000000000000000e+01,3.4000000000000000e+01
"ORANGE",1.5000000000000000e+01,1.0000000000000000e+01
"OXFORD",1.1000000000000000e+01,1.2000000000000000e+01
"PLAINFIELD",1.5600000000000000e+02,1.7000000000000000e+02
"PLAINVILLE",1.2900000000000000e+02,1.1500000000000000e+02
"PLYMOUTH",1.0100000000000000e+02,1.0300000000000000e+02
"POMFRET",8.0000000000000000e+00,5.0000000000000000e+00
"PORTLAND",5.4000000000000000e+01,5.0000000000000000e+01
"PRESTON",1.7000000000000000e+01,2.8000000000000000e+01
