Entity,Initials,DBplans,DCplans,CSplans,Comment,NPO
"ANDOVER","IT",0,0,1,,0
"ANSONIA","IT",2,0,1,,0
"ASHFORD","IT",0,1,0,,0
"BEACON FALLS","IT",0,0,1,,0
"BERLIN","IT",1,1,0,,0
"BOZRAH","IT",0,0,1,,0
"BRANFORD","IT",1,0,1,,0
"BRIDGEPORT","IT",4,0,1,,0
"BROOKLYN","IT",1,0,0,,0
"BURLINGTON","IT",2,0,0,,0
"CANAAN","IT",0,1,0,,0
"CANTERBURY","IT",0,0,1,,0
"CHAPLIN","IT",0,0,0,,0
"CLINTON","IT",2,0,1,,0
"COLEBROOK","IT",0,1,0,,0
"COLUMBIA","IT",0,1,0,,0
"CORNWALL","IT",0,1,0,,0
"DEEP RIVER","IT",2,0,0,,0
"DERBY","IT",1,0,1,,0
"DURHAM","IT",1,1,0,,0
"EAST HADDAM","IT",0,1,1,,0
"EAST HAVEN","IT",0,0,1,,0
"EAST WINDSOR","IT",1,0,0,,0
"EASTON","IT",1,0,1,,0
"FAIRFIELD","IT",2,0,0,,0
"FRANKLIN","IT",0,0,0,,0
"GUILFORD","IT",3,0,0,,0
"HAMPTON","IT",0,1,0,,0
"HARTLAND","IT",0,1,0,,0
"HARWINTON","IT",1,0,0,,0
"HEBRON","IT",0,1,0,,0
"KILLINGWORTH","IT",2,0,0,,0
"LEBANON","IT",0,0,1,,0
"LISBON","IT",0,0,0,,0
"MADISON","IT",3,1,0,,0
"MANCHESTER","IT",1,1,1,,0
"MARLBOROUGH","IT",0,0,0,,0
"MIDDLEFIELD","IT",0,0,1,,0
"MILFORD","IT",1,0,0,,0
"MONTVILLE","IT",0,0,1,,0
"NEW FAIRFIELD","IT",2,0,1,,0
"NEW HARTFORD","IT",1,0,0,,0
"NEW HAVEN","IT",2,0,0,,0
"NEW LONDON","IT",2,2,1,,0
"NEW MILFORD","IT",1,0,0,,0
"NEWINGTON","IT",4,1,0,,0
"NORTH CANAAN","IT",0,0,0,,0
"NORTH HAVEN","IT",5,0,0,,0
"OLD LYME","IT",0,1,0,,0
"PLAINFIELD","IT",1,0,0,,0
"PLYMOUTH","IT",2,0,1,,0
"POMFRET","IT",0,1,0,,0
"PORTLAND","IT",2,0,0,,0
"PRESTON","IT",0,0,1,,0
"PUTNAM","IT",1,0,0,,0
"RIDGEFIELD","IT",3,1,0,,0
"ROCKY HILL","IT",4,0,0,,0
"ROXBURY","IT",0,1,0,,0
"BARKHAMSTED","VR",0,1,0,,0
