MUNICIPALITY,Numbered,Sept10 Labor Force,Sept10 Unemployed
"ANDOVER",1.0000000000000000e+00,1.9840000000000000e+03,1.1400000000000000e+02
"ANSONIA",2.0000000000000000e+00,1.0206000000000000e+04,1.1330000000000000e+03
"ASHFORD",3.0000000000000000e+00,2.6940000000000000e+03,1.9400000000000000e+02
"AVON",4.0000000000000000e+00,9.3170000000000000e+03,5.2100000000000000e+02
"BARKHAMSTED",5.0000000000000000e+00,2.2860000000000000e+03,2.0600000000000000e+02
"BEACON FALLS",6.0000000000000000e+00,3.3610000000000000e+03,3.2000000000000000e+02
"BERLIN",7.0000000000000000e+00,1.1661000000000000e+04,8.2700000000000000e+02
"BETHANY",8.0000000000000000e+00,3.1830000000000000e+03,2.1000000000000000e+02
"BETHEL",9.0000000000000000e+00,1.0782000000000000e+04,7.7100000000000000e+02
"BETHLEHEM",1.0000000000000000e+01,1.9960000000000000e+03,1.4200000000000000e+02
"BLOOMFIELD",1.1000000000000000e+01,1.0470000000000000e+04,1.0570000000000000e+03
"BOLTON",1.2000000000000000e+01,3.0770000000000000e+03,1.9600000000000000e+02
"BOZRAH",1.3000000000000000e+01,1.5130000000000000e+03,1.1700000000000000e+02
"BRANFORD",1.4000000000000000e+01,1.7596000000000000e+04,1.3230000000000000e+03
"BRIDGEPORT",1.5000000000000000e+01,6.4352000000000000e+04,8.5830000000000000e+03
"BRIDGEWATER",1.6000000000000000e+01,1.0230000000000000e+03,5.9000000000000000e+01
"BRISTOL",1.7000000000000000e+01,3.5033000000000000e+04,3.2230000000000000e+03
"BROOKFIELD",1.8000000000000000e+01,9.2610000000000000e+03,6.5800000000000000e+02
"BROOKLYN",1.9000000000000000e+01,4.0020000000000000e+03,3.6200000000000000e+02
"BURLINGTON",2.0000000000000000e+01,5.4490000000000000e+03,3.5400000000000000e+02
"CANAAN",2.1000000000000000e+01,6.0000000000000000e+02,4.3000000000000000e+01
"CANTERBURY",2.2000000000000000e+01,3.2870000000000000e+03,2.5900000000000000e+02
"CANTON",2.3000000000000000e+01,5.9260000000000000e+03,4.2700000000000000e+02
"CHAPLIN",2.4000000000000000e+01,1.4930000000000000e+03,9.5000000000000000e+01
"CHESHIRE",2.5000000000000000e+01,1.4883000000000000e+04,1.0310000000000000e+03
"CHESTER",2.6000000000000000e+01,2.2790000000000000e+03,1.3300000000000000e+02
"CLINTON",2.7000000000000000e+01,8.0060000000000000e+03,5.3600000000000000e+02
