MUNICIPALITY,Numbered,TOWN CODE,YR LAST REVAL,YR Of Next Reval,Phase-In,Notes
"ANDOVER",1.0000000000000000e+00,"1",2.0060000000000000e+03,"2011",,
"ANSONIA",2.0000000000000000e+00,"2",2.0070000000000000e+03,"2012",,
"ASHFORD",3.0000000000000000e+00,"3",2.0070000000000000e+03,"2012",,
"AVON",4.0000000000000000e+00,"4",2.0080000000000000e+03,"2013",,
"BARKHAMSTED",5.0000000000000000e+00,"5",2.0080000000000000e+03,"2013",,
"BEACON FALLS",6.0000000000000000e+00,"6",2.0060000000000000e+03,"2011",,
"BERLIN",7.0000000000000000e+00,"7",2.0070000000000000e+03,"2012",,
"BETHANY",8.0000000000000000e+00,"8",2.0080000000000000e+03,"2013",,
"BETHEL",9.0000000000000000e+00,"9",2.0070000000000000e+03,"2012",,
"BETHLEHEM",1.0000000000000000e+01,"10",2.0080000000000000e+03,"2013",,
"BLOOMFIELD",1.1000000000000000e+01,"11",2.0090000000000000e+03,"2014",,
"BOLTON",1.2000000000000000e+01,"12",2.0080000000000000e+03,"2013",,
"BOZRAH",1.3000000000000000e+01,"13",2.0070000000000000e+03,"2012",,
"BRANFORD",1.4000000000000000e+01,"14",2.0090000000000000e+03,"2014",,
"BRIDGEPORT",1.5000000000000000e+01,"15",2.0080000000000000e+03,"2013",,
"BRIDGEWATER",1.6000000000000000e+01,"16",2.0060000000000000e+03,"2011",,
"BRISTOL",1.7000000000000000e+01,"17",2.0070000000000000e+03,"2012",,
"BROOKFIELD",1.8000000000000000e+01,"18",2.0060000000000000e+03,"2011",,
"BROOKLYN",1.9000000000000000e+01,"19",2.0090000000000000e+03,"2014",,
"BURLINGTON",2.0000000000000000e+01,"20",2.0080000000000000e+03,"2013",,
"CANAAN",2.1000000000000000e+01,"21",2.0070000000000000e+03,"2012",,
"CANTERBURY",2.2000000000000000e+01,"22",2.0090000000000000e+03,"2014",,
"CANTON",2.3000000000000000e+01,"23",2.0080000000000000e+03,"2013",,
"CHAPLIN",2.4000000000000000e+01,"24",2.0080000000000000e+03,"2013",,
"CHESHIRE",2.5000000000000000e+01,"25",2.0080000000000000e+03,"2013",,
"CHESTER",2.6000000000000000e+01,"26",2.0080000000000000e+03,"2013",,
"CLINTON",2.7000000000000000e+01,"27",2.0050000000000000e+03,"2010",,
"COLCHESTER",2.8000000000000000e+01,"28",2.0060000000000000e+03,"2011",,
"COLEBROOK",2.9000000000000000e+01,"29",2.0050000000000000e+03,"2010",,
"COLUMBIA",3.0000000000000000e+01,"30",2.0060000000000000e+03,"2011",,
