MUNICIPALITY,Numbered,Sept09 Labor Force,Sept09 Unemployed
"PLYMOUTH",1.1200000000000000e+02,6.9540000000000000e+03,6.7800000000000000e+02
"POMFRET",1.1300000000000000e+02,2.2970000000000000e+03,2.0700000000000000e+02
"PORTLAND",1.1400000000000000e+02,5.4390000000000000e+03,3.9000000000000000e+02
"PRESTON",1.1500000000000000e+02,2.9490000000000000e+03,1.9500000000000000e+02
"PROSPECT",1.1600000000000000e+02,5.2340000000000000e+03,4.0600000000000000e+02
"PUTNAM",1.1700000000000000e+02,5.2620000000000000e+03,4.9000000000000000e+02
"REDDING",1.1800000000000000e+02,4.6920000000000000e+03,3.0100000000000000e+02
"RIDGEFIELD",1.1900000000000000e+02,1.1824000000000000e+04,7.7700000000000000e+02
"ROCKY HILL",1.2000000000000000e+02,1.0917000000000000e+04,7.5200000000000000e+02
"ROXBURY",1.2100000000000000e+02,1.3540000000000000e+03,7.4000000000000000e+01
"SALEM",1.2200000000000000e+02,2.6780000000000000e+03,1.6700000000000000e+02
"SALISBURY",1.2300000000000000e+02,1.9220000000000000e+03,1.0600000000000000e+02
"SCOTLAND",1.2400000000000000e+02,1.0120000000000000e+03,4.9000000000000000e+01
"SEYMOUR",1.2500000000000000e+02,9.3310000000000000e+03,7.4600000000000000e+02
"SHARON",1.2600000000000000e+02,1.5380000000000000e+03,8.2000000000000000e+01
"SHELTON",1.2700000000000000e+02,2.3101000000000000e+04,1.6950000000000000e+03
"SHERMAN",1.2800000000000000e+02,2.1460000000000000e+03,1.3800000000000000e+02
"SIMSBURY",1.2900000000000000e+02,1.2242000000000000e+04,7.7100000000000000e+02
"SOMERS",1.3000000000000000e+02,4.8570000000000000e+03,4.3600000000000000e+02
"SOUTH WINDSOR",1.3100000000000000e+02,1.5008000000000000e+04,1.0100000000000000e+03
"SOUTHBURY",1.3200000000000000e+02,9.1500000000000000e+03,6.2900000000000000e+02
"SOUTHINGTON",1.3300000000000000e+02,2.4553000000000000e+04,1.7270000000000000e+03
"SPRAGUE",1.3400000000000000e+02,1.8480000000000000e+03,1.6000000000000000e+02
"STAFFORD",1.3500000000000000e+02,6.9230000000000000e+03,5.5200000000000000e+02
"STAMFORD",1.3600000000000000e+02,6.7291000000000000e+04,5.1210000000000000e+03
"STERLING",1.3700000000000000e+02,2.1060000000000000e+03,1.9200000000000000e+02
"STONINGTON",1.3800000000000000e+02,1.0740000000000000e+04,6.0000000000000000e+02
"STRATFORD",1.3900000000000000e+02,2.6201000000000000e+04,2.4980000000000000e+03
"SUFFIELD",1.4000000000000000e+02,7.5920000000000000e+03,5.6300000000000000e+02
"THOMASTON",1.4100000000000000e+02,4.6970000000000000e+03,4.4300000000000000e+02
"THOMPSON",1.4200000000000000e+02,5.4400000000000000e+03,5.3900000000000000e+02
