MUNICIPALITY,TANF RECIPIENTS FY 2006-07
"ANDOVER",4.0000000000000000e+00
"ANSONIA",3.8900000000000000e+02
"ASHFORD",1.8000000000000000e+01
"AVON",8.0000000000000000e+00
"BARKHAMSTED",7.0000000000000000e+00
"BEACON FALLS",1.6000000000000000e+01
"BERLIN",2.6000000000000000e+01
"BETHANY",8.0000000000000000e+00
"BETHEL",3.6000000000000000e+01
"BETHLEHEM",3.0000000000000000e+00
"BLOOMFIELD",1.6900000000000000e+02
"BOLTON",1.9000000000000000e+01
"BOZRAH",4.0000000000000000e+00
"BRANFORD",9.4000000000000000e+01
"BRIDGEPORT",4.0590000000000000e+03
"BRIDGEWATER",0.0000000000000000e+00
"BRISTOL",8.4700000000000000e+02
"BROOKFIELD",1.4000000000000000e+01
"BROOKLYN",4.5000000000000000e+01
"BURLINGTON",1.1000000000000000e+01
"CANAAN",3.0000000000000000e+00
"CANTERBURY",2.8000000000000000e+01
"CANTON",1.1000000000000000e+01
"CHAPLIN",1.3000000000000000e+01
"CHESHIRE",4.3000000000000000e+01
"CHESTER",8.0000000000000000e+00
"CLINTON",2.6000000000000000e+01
"COLCHESTER",5.0000000000000000e+01
"COLEBROOK",0.0000000000000000e+00
"COLUMBIA",8.0000000000000000e+00
"CORNWALL",0.0000000000000000e+00
"COVENTRY",3.2000000000000000e+01
"CROMWELL",3.5000000000000000e+01
"DANBURY",4.0400000000000000e+02
"DARIEN",4.0000000000000000e+00
"DEEP RIVER",5.0000000000000000e+00
"DERBY",1.6100000000000000e+02
"DURHAM",6.0000000000000000e+00
"EAST GRANBY",8.0000000000000000e+00
"EAST HADDAM",1.9000000000000000e+01
"EAST HAMPTON",2.9000000000000000e+01
"EAST HARTFORD",1.1730000000000000e+03
"EAST HAVEN",2.5700000000000000e+02
"EAST LYME",3.5000000000000000e+01
"EAST WINDSOR",7.2000000000000000e+01
"EASTFORD",2.0000000000000000e+00
"EASTON",0.0000000000000000e+00
"ELLINGTON",3.2000000000000000e+01
"ENFIELD",3.0200000000000000e+02
"ESSEX",1.0000000000000000e+01
