Municipality,October2007 Unemployed,October2007 Labor Force
"ANDOVER",6.2000000000000000e+01,2.0150000000000000e+03
"ANSONIA",5.0800000000000000e+02,1.0204000000000000e+04
"ASHFORD",9.3000000000000000e+01,2.6530000000000000e+03
"AVON",2.7700000000000000e+02,9.3280000000000000e+03
"BARKHAMSTED",8.1000000000000000e+01,2.2650000000000000e+03
"BEACON FALLS",1.5200000000000000e+02,3.3180000000000000e+03
"BERLIN",3.8700000000000000e+02,1.1185000000000000e+04
"BETHANY",1.1000000000000000e+02,3.1420000000000000e+03
"BETHEL",3.3200000000000000e+02,1.1127000000000000e+04
"BETHLEHEM",7.1000000000000000e+01,2.1110000000000000e+03
"BLOOMFIELD",5.2100000000000000e+02,1.0205000000000000e+04
"BOLTON",9.4000000000000000e+01,3.1100000000000000e+03
"BOZRAH",6.1000000000000000e+01,1.5050000000000000e+03
"BRANFORD",6.5400000000000000e+02,1.7627000000000000e+04
"BRIDGEPORT",4.0610000000000000e+03,6.4019000000000000e+04
"BRIDGEWATER",3.3000000000000000e+01,1.0680000000000000e+03
"BRISTOL",1.5970000000000000e+03,3.4785000000000000e+04
"BROOKFIELD",3.2500000000000000e+02,9.2760000000000000e+03
"BROOKLYN",1.9400000000000000e+02,3.9400000000000000e+03
"BURLINGTON",1.7500000000000000e+02,5.4230000000000000e+03
"CANAAN",2.0000000000000000e+01,6.3000000000000000e+02
"CANTERBURY",1.2400000000000000e+02,3.2320000000000000e+03
"CANTON",1.6600000000000000e+02,5.7670000000000000e+03
"CHAPLIN",5.5000000000000000e+01,1.4560000000000000e+03
"CHESHIRE",5.1100000000000000e+02,1.4915000000000000e+04
"CHESTER",6.9000000000000000e+01,2.3100000000000000e+03
"CLINTON",2.8000000000000000e+02,8.0730000000000000e+03
"COLCHESTER",2.8100000000000000e+02,8.8500000000000000e+03
"COLEBROOK",1.7000000000000000e+01,8.6400000000000000e+02
"COLUMBIA",1.0300000000000000e+02,3.1020000000000000e+03
"CORNWALL",2.0000000000000000e+01,8.6100000000000000e+02
"COVENTRY",2.6200000000000000e+02,7.1270000000000000e+03
"CROMWELL",2.7200000000000000e+02,7.9430000000000000e+03
"DANBURY",1.5450000000000000e+03,4.5175000000000000e+04
"DARIEN",2.9200000000000000e+02,9.4940000000000000e+03
"DEEP RIVER",9.0000000000000000e+01,2.6310000000000000e+03
"DERBY",3.4000000000000000e+02,7.0540000000000000e+03
"DURHAM",1.1800000000000000e+02,4.2730000000000000e+03
"EAST GRANBY",9.8000000000000000e+01,2.9710000000000000e+03
"EAST HADDAM",1.8200000000000000e+02,5.2330000000000000e+03
"EAST HAMPTON",2.8600000000000000e+02,6.9390000000000000e+03
"EAST HARTFORD",1.4440000000000000e+03,2.5807000000000000e+04
"EAST HAVEN",7.9500000000000000e+02,1.6399000000000000e+04
"EAST LYME",3.1000000000000000e+02,9.7810000000000000e+03
"EAST WINDSOR",2.3600000000000000e+02,6.2440000000000000e+03
