MUNICIPALITY,Sept 2008 Labor Force,Sept 2008 Unemployed
"ANDOVER",1.9750000000000000e+03,7.3000000000000000e+01
"ANSONIA",1.0058000000000000e+04,7.4800000000000000e+02
"ASHFORD",2.6460000000000000e+03,1.1000000000000000e+02
"AVON",9.2880000000000000e+03,3.3500000000000000e+02
"BARKHAMSTED",2.2030000000000000e+03,8.4000000000000000e+01
"BEACON FALLS",3.3110000000000000e+03,1.8600000000000000e+02
"BERLIN",1.1508000000000000e+04,5.4400000000000000e+02
"BETHANY",3.1530000000000000e+03,1.3700000000000000e+02
"BETHEL",1.0806000000000000e+04,4.7700000000000000e+02
"BETHLEHEM",2.0310000000000000e+03,7.8000000000000000e+01
"BLOOMFIELD",1.0288000000000000e+04,7.2600000000000000e+02
"BOLTON",3.0730000000000000e+03,1.4300000000000000e+02
"BOZRAH",1.5020000000000000e+03,8.7000000000000000e+01
"BRANFORD",1.7430000000000000e+04,8.8500000000000000e+02
"BRIDGEPORT",6.2828000000000000e+04,5.6260000000000000e+03
"BRIDGEWATER",1.0310000000000000e+03,3.4000000000000000e+01
"BRISTOL",3.4533000000000000e+04,2.1760000000000000e+03
"BROOKFIELD",9.1370000000000000e+03,4.2700000000000000e+02
"BROOKLYN",3.9460000000000000e+03,2.8500000000000000e+02
"BURLINGTON",5.4120000000000000e+03,2.3200000000000000e+02
"CANAAN",6.1300000000000000e+02,2.5000000000000000e+01
"CANTERBURY",3.2690000000000000e+03,2.0200000000000000e+02
"CANTON",5.8100000000000000e+03,2.2500000000000000e+02
"CHAPLIN",1.4850000000000000e+03,7.9000000000000000e+01
"CHESHIRE",1.4624000000000000e+04,6.6000000000000000e+02
"CHESTER",2.2810000000000000e+03,8.8000000000000000e+01
"CLINTON",7.9910000000000000e+03,3.8600000000000000e+02
"COLCHESTER",8.9470000000000000e+03,4.7400000000000000e+02
"COLEBROOK",8.4100000000000000e+02,2.6000000000000000e+01
"COLUMBIA",3.0790000000000000e+03,1.3700000000000000e+02
"CORNWALL",8.3900000000000000e+02,2.8000000000000000e+01
"COVENTRY",7.0780000000000000e+03,3.3600000000000000e+02
"CROMWELL",7.9180000000000000e+03,4.0800000000000000e+02
"DANBURY",4.4646000000000000e+04,2.0820000000000000e+03
"DARIEN",9.2080000000000000e+03,3.7100000000000000e+02
"DEEP RIVER",2.5840000000000000e+03,1.2000000000000000e+02
"DERBY",6.9720000000000000e+03,5.1000000000000000e+02
"DURHAM",4.3000000000000000e+03,1.6200000000000000e+02
"EAST GRANBY",2.9810000000000000e+03,1.2300000000000000e+02
"EAST HADDAM",5.1960000000000000e+03,2.1200000000000000e+02
"EAST HAMPTON",7.1090000000000000e+03,3.8600000000000000e+02
"EAST HARTFORD",2.5611000000000000e+04,1.9180000000000000e+03
"EAST HAVEN",1.6254000000000000e+04,1.0530000000000000e+03
"EAST LYME",9.8860000000000000e+03,4.9200000000000000e+02
"EAST WINDSOR",6.3090000000000000e+03,3.7500000000000000e+02
"EASTFORD",1.0200000000000000e+03,4.9000000000000000e+01
"EASTON",3.7710000000000000e+03,1.8500000000000000e+02
"ELLINGTON",8.8630000000000000e+03,4.1500000000000000e+02
"ENFIELD",2.4083000000000000e+04,1.4010000000000000e+03
"ESSEX",3.7850000000000000e+03,1.5000000000000000e+02
"FAIRFIELD",2.8551000000000000e+04,1.3980000000000000e+03
"FARMINGTON",1.3119000000000000e+04,6.0000000000000000e+02
"FRANKLIN",1.1980000000000000e+03,6.4000000000000000e+01
"GLASTONBURY",1.8458000000000000e+04,7.7000000000000000e+02
"GOSHEN",1.6540000000000000e+03,6.7000000000000000e+01
"GRANBY",6.3570000000000000e+03,2.2900000000000000e+02
"GREENWICH",3.0485000000000000e+04,1.3140000000000000e+03
"GRISWOLD",7.3180000000000000e+03,4.4400000000000000e+02
"GROTON",2.0700000000000000e+04,1.1810000000000000e+03
"GROTON (City of)",,
"GUILFORD",1.3110000000000000e+04,5.8400000000000000e+02
"HADDAM",4.9390000000000000e+03,2.1000000000000000e+02
"HAMDEN",3.0965000000000000e+04,1.7800000000000000e+03
"HAMPTON",1.2610000000000000e+03,8.3000000000000000e+01
"HARTFORD",4.9972000000000000e+04,5.5730000000000000e+03
"HARTLAND",1.2060000000000000e+03,4.5000000000000000e+01
"HARWINTON",3.1700000000000000e+03,1.3400000000000000e+02
"HEBRON",5.5640000000000000e+03,2.4900000000000000e+02
"KENT",1.6150000000000000e+03,5.8000000000000000e+01
"KILLINGLY",9.5980000000000000e+03,7.4100000000000000e+02
"KILLINGWORTH",3.6310000000000000e+03,1.5800000000000000e+02
"LEBANON",4.3830000000000000e+03,2.2000000000000000e+02
"LEDYARD",8.6680000000000000e+03,4.2700000000000000e+02
"LISBON",2.6090000000000000e+03,1.4300000000000000e+02
"LITCHFIELD",4.4640000000000000e+03,1.9900000000000000e+02
"LYME",1.1480000000000000e+03,4.1000000000000000e+01
"MADISON",1.0144000000000000e+04,4.1600000000000000e+02
"MANCHESTER",3.2683000000000000e+04,2.0130000000000000e+03
"MANSFIELD",1.3257000000000000e+04,6.1100000000000000e+02
"MARLBOROUGH",3.6780000000000000e+03,1.5700000000000000e+02
"MERIDEN",3.1782000000000000e+04,2.2070000000000000e+03
"MIDDLEBURY",3.8950000000000000e+03,1.7700000000000000e+02
"MIDDLEFIELD",2.3890000000000000e+03,1.1100000000000000e+02
"MIDDLETOWN",2.6980000000000000e+04,1.4610000000000000e+03
"MILFORD",3.2358000000000000e+04,1.7380000000000000e+03
"MONROE",1.0646000000000000e+04,5.0900000000000000e+02
"MONTVILLE",1.1145000000000000e+04,6.3400000000000000e+02
"MORRIS",1.3110000000000000e+03,6.5000000000000000e+01
"NAUGATUCK",1.7101000000000000e+04,1.1260000000000000e+03
"NEW BRITAIN",3.5005000000000000e+04,2.9540000000000000e+03
"NEW CANAAN",9.0300000000000000e+03,4.0800000000000000e+02
"NEW FAIRFIELD",7.5910000000000000e+03,3.5200000000000000e+02
"NEW HARTFORD",3.8240000000000000e+03,1.7200000000000000e+02
"NEW HAVEN",5.6155000000000000e+04,4.9450000000000000e+03
"NEW LONDON",1.3805000000000000e+04,1.0210000000000000e+03
"NEW MILFORD",1.6351000000000000e+04,7.5500000000000000e+02
"NEWINGTON",1.6789000000000000e+04,8.2900000000000000e+02
"NEWTOWN",1.4323000000000000e+04,5.9900000000000000e+02
"NORFOLK",9.5700000000000000e+02,4.0000000000000000e+01
"NORTH BRANFORD",8.4050000000000000e+03,4.0300000000000000e+02
"NORTH CANAAN",1.7420000000000000e+03,7.2000000000000000e+01
"NORTH HAVEN",1.3302000000000000e+04,7.2200000000000000e+02
"NORTH STONINGTON",3.3230000000000000e+03,1.6300000000000000e+02
"NORWALK",4.8488000000000000e+04,2.3210000000000000e+03
"NORWICH",2.0991000000000000e+04,1.4210000000000000e+03
"OLD LYME",4.2390000000000000e+03,1.8100000000000000e+02
"OLD SAYBROOK",5.5220000000000000e+03,2.5400000000000000e+02
"ORANGE",7.2920000000000000e+03,3.1400000000000000e+02
"OXFORD",7.4550000000000000e+03,3.4300000000000000e+02
"PLAINFIELD",8.4930000000000000e+03,6.7000000000000000e+02
"PLAINVILLE",1.0107000000000000e+04,5.5800000000000000e+02
"PLYMOUTH",6.8620000000000000e+03,4.4000000000000000e+02
"POMFRET",2.2730000000000000e+03,1.1100000000000000e+02
"PORTLAND",5.4080000000000000e+03,2.6600000000000000e+02
"PRESTON",2.9280000000000000e+03,1.6900000000000000e+02
"PROSPECT",5.2430000000000000e+03,2.6500000000000000e+02
"PUTNAM",5.2360000000000000e+03,3.5400000000000000e+02
"REDDING",4.7140000000000000e+03,1.9300000000000000e+02
"RIDGEFIELD",1.1722000000000000e+04,4.6700000000000000e+02
"ROCKY HILL",1.0881000000000000e+04,5.4000000000000000e+02
"ROXBURY",1.3890000000000000e+03,4.6000000000000000e+01
"SALEM",2.6470000000000000e+03,1.2200000000000000e+02
"SALISBURY",1.9790000000000000e+03,6.5000000000000000e+01
"SCOTLAND",1.0160000000000000e+03,3.3000000000000000e+01
"SEYMOUR",9.3430000000000000e+03,5.5100000000000000e+02
"SHARON",1.5860000000000000e+03,5.9000000000000000e+01
"SHELTON",2.3182000000000000e+04,1.2360000000000000e+03
"SHERMAN",2.1450000000000000e+03,7.5000000000000000e+01
"SIMSBURY",1.2225000000000000e+04,5.0700000000000000e+02
"SOMERS",4.7380000000000000e+03,2.5400000000000000e+02
"SOUTH WINDSOR",1.4871000000000000e+04,6.1200000000000000e+02
"SOUTHBURY",9.1520000000000000e+03,4.3000000000000000e+02
"SOUTHINGTON",2.4328000000000000e+04,1.1120000000000000e+03
"SPRAGUE",1.8220000000000000e+03,1.2100000000000000e+02
"STAFFORD",6.9360000000000000e+03,4.3300000000000000e+02
"STAMFORD",6.6390000000000000e+04,3.1230000000000000e+03
"STERLING",2.1150000000000000e+03,1.4500000000000000e+02
"STONINGTON",1.0680000000000000e+04,4.7600000000000000e+02
"STRATFORD",2.6058000000000000e+04,1.6880000000000000e+03
