Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"ANDOVER",1.0000000000000000e+00,"T",7425329.0000,7513565.0000,7486684.0000,7637065.0000
"ANSONIA",2.0000000000000000e+00,"NH",28314350.0000,29438985.0000,29197850.0000,31694257.0000
"ASHFORD",3.0000000000000000e+00,"W",8240025.0000,8383943.0000,8356115.0000,8778726.0000
"AVON",4.0000000000000000e+00,"H",60173614.0000,60286570.0000,60194717.0000,60322014.0000
"BARKHAMSTED",5.0000000000000000e+00,"L",7979125.0000,8149315.0000,8063583.0000,8495699.0000
"BEACON FALLS",6.0000000000000000e+00,"NH",12246268.0000,12704408.0000,12516154.0000,13187350.0000
"BERLIN",7.0000000000000000e+00,"H",49989264.0000,50792134.0000,50350675.0000,51858572.0000
"BETHANY",8.0000000000000000e+00,"NH",16071367.0000,16232993.0000,16230521.0000,16539447.0000
"BETHEL",9.0000000000000000e+00,"F",47822441.0000,48529233.0000,48346645.0000,49321293.0000
"BETHLEHEM",1.0000000000000000e+01,"L",8002186.0000,8197003.0000,8112696.0000,8535699.0000
"BLOOMFIELD",1.1000000000000000e+01,"H",59337787.0000,60370599.0000,60181763.0000,62313559.0000
"BOLTON",1.2000000000000000e+01,"T",12502894.0000,12648028.0000,12607442.0000,12853245.0000
"BOZRAH",1.3000000000000000e+01,"NL",4556112.0000,4657752.0000,4611075.0000,4862520.0000
"BRANFORD",1.4000000000000000e+01,"NH",76057882.0000,77010522.0000,76746405.0000,79148486.0000
"BRIDGEPORT",1.5000000000000000e+01,"F",243126091.0000,250083276.0000,244761031.0000,282051375.0000
"BRIDGEWATER",1.6000000000000000e+01,"L",6302844.0000,6345365.0000,6343259.0000,6494624.0000
"BRISTOL",1.7000000000000000e+01,"H",108099000.0000,110104000.0000,109967000.0000,113891000.0000
"BROOKFIELD",1.8000000000000000e+01,"F",47042795.0000,47616362.0000,47367857.0000,48319027.0000
"BROOKLYN",1.9000000000000000e+01,"W",10896784.0000,11313479.0000,11129971.0000,11875416.0000
"BURLINGTON",2.0000000000000000e+01,"H",22492366.0000,22852521.0000,22766720.0000,23507071.0000
"CANAAN",2.1000000000000000e+01,"L",3518137.0000,3561777.0000,3535635.0000,3605553.0000
"CANTERBURY",2.2000000000000000e+01,"W",7540208.0000,7766561.0000,7681050.0000,8013324.0000
"CANTON",2.3000000000000000e+01,"H",28273607.0000,28601886.0000,28502374.0000,29286434.0000
"CHAPLIN",2.4000000000000000e+01,"W",4634102.0000,4755876.0000,4724458.0000,4877032.0000
"CHESHIRE",2.5000000000000000e+01,"NH",70787990.0000,71072332.0000,71015553.0000,71342403.0000
"CHESTER",2.6000000000000000e+01,"M",10158718.0000,10314055.0000,10213160.0000,10497203.0000
"CLINTON",2.7000000000000000e+01,"M",34290064.0000,34582861.0000,34508033.0000,35086712.0000
"COLCHESTER",2.8000000000000000e+01,"NL",28468875.0000,28929185.0000,29189724.0000,30182156.0000
"COLEBROOK",2.9000000000000000e+01,"L",4303508.0000,4379600.0000,4408130.0000,4549808.0000
"COLUMBIA",3.0000000000000000e+01,"T",11265889.0000,11438102.0000,11365615.0000,11671325.0000
"CORNWALL",3.1000000000000000e+01,"L",5354070.0000,5416627.0000,5395825.0000,5602966.0000
"COVENTRY",3.2000000000000000e+01,"T",23522202.0000,24067778.0000,23891650.0000,24779275.0000
"CROMWELL",3.3000000000000000e+01,"M",35011177.0000,35341525.0000,35176600.0000,36049650.0000
"DANBURY",3.4000000000000000e+01,"F",150822994.0000,153576576.0000,152533222.0000,159288817.0000
"DARIEN",3.5000000000000000e+01,"F",95204297.0000,96009567.0000,95588642.0000,97070964.0000
"DEEP RIVER",3.6000000000000000e+01,"M",10965901.0000,11170153.0000,11084263.0000,11440742.0000
"DERBY",3.7000000000000000e+01,"NH",23143785.0000,23770599.0000,23608401.0000,24927679.0000
"DURHAM",3.8000000000000000e+01,"M",19868374.0000,20127191.0000,20103434.0000,20443283.0000
"EAST GRANBY",3.9000000000000000e+01,"H",14156773.0000,14367008.0000,14376418.0000,14786037.0000
"EAST HADDAM",4.0000000000000000e+01,"M",19846310.0000,20064556.0000,20017205.0000,20291827.0000
"EAST HAMPTON",4.1000000000000000e+01,"M",26429212.0000,26929975.0000,26722972.0000,27406671.0000
"EAST HARTFORD",4.2000000000000000e+01,"H",96764000.0000,99128000.0000,99200000.0000,102796000.0000
"EAST HAVEN",4.3000000000000000e+01,"NH",48724546.0000,49838834.0000,49364955.0000,51576451.0000
"EAST LYME",4.4000000000000000e+01,"NL",43079515.0000,43667884.0000,43394689.0000,44348520.0000
"EAST WINDSOR",4.5000000000000000e+01,"H",21324580.0000,22097869.0000,21744386.0000,23264505.0000
"EASTFORD",4.6000000000000000e+01,"W",3083455.0000,3145356.0000,3157487.0000,3261452.0000
"EASTON",4.7000000000000000e+01,"F",35453602.0000,35768293.0000,35656447.0000,36282592.0000
"ELLINGTON",4.8000000000000000e+01,"T",29682760.0000,30171558.0000,29923555.0000,31009743.0000
"ENFIELD",4.9000000000000000e+01,"H",74118000.0000,75592000.0000,76091000.0000,79571000.0000
"ESSEX",5.0000000000000000e+01,"M",17871117.0000,18102020.0000,18031358.0000,18374807.0000
"FAIRFIELD",5.1000000000000000e+01,"F",215786000.0000,218377000.0000,217229000.0000,221279000.0000
"FARMINGTON",5.2000000000000000e+01,"H",70715115.0000,70893322.0000,70897977.0000,71154779.0000
"FRANKLIN",5.3000000000000000e+01,"NL",3974492.0000,4071770.0000,4048796.0000,4212304.0000
"GLASTONBURY",5.4000000000000000e+01,"H",114581091.0000,115587894.0000,114898539.0000,115905342.0000
"GOSHEN",5.5000000000000000e+01,"L",8587587.0000,8634293.0000,8642581.0000,8733318.0000
"GRANBY",5.6000000000000000e+01,"H",30222246.0000,30523880.0000,30516308.0000,30934394.0000
"GREENWICH",5.7000000000000000e+01,"F",268507098.0000,270320121.0000,269275852.0000,272712032.0000
"GRISWOLD",5.8000000000000000e+01,"NL",13292677.0000,13613843.0000,13632782.0000,14363130.0000
