Municipality,numbered,Comptroller Town Code,County,Total Permits,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"Tolland",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","14","29"
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"Hartford",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"New Haven",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","4","39"
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"Hartford",6.4000000000000000e+01,6.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"6","58","10"
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"New London",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","6","37"
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"Tolland",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","10","33"
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"Fairfield",3.5000000000000000e+01,7.0000000000000000e+00,4.0000000000000000e+00,8.0000000000000000e+00,1.6000000000000000e+01,"106","-71","49"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"Windham",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","4","39"
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"New London",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","13","30"
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"Fairfield",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","10","33"
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"Hartford",2.4000000000000000e+01,2.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","19","25"
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"Litchfield",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","4","39"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"Windham",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"10","2","41"
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"Tolland",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","6","37"
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"Fairfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","-1","44"
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"Tolland",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","1","42"
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"Tolland",2.7000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,"14","13","30"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"New London",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","0","43"
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"New Haven",4.6000000000000000e+01,1.5000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,2.9000000000000000e+01,"3","43","12"
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","1","42"
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"Litchfield",6.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","6","37"
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"New Haven",3.7000000000000000e+01,3.3000000000000000e+01,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"20","17","27"
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"New London",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","4","39"
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"Litchfield",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","22","22"
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"Hartford",2.1000000000000000e+01,1.2000000000000000e+01,2.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,"3","18","26"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"New Haven",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"8","12","31"
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"Middlesex",1.3000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,"9","4","39"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"Fairfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","-1","44"
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"Fairfield",3.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"55","-23","48"
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"Hartford",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","9","34"
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"Tolland",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"1","11","32"
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"Fairfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","0","43"
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"Litchfield",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","5","38"
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"Windham",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"7","7","36"
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"Hartford",9.1000000000000000e+01,9.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","91","6"
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"Hartford",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","14","29"
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"New Haven",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","9","34"
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"Litchfield",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","10","33"
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"Windham",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","9","34"
