Municipality,numbered,Comptroller Town Code,County,Total Permits,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"New Haven",1.3000000000000000e+01,8.0000000000000000e+00,2.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"New London",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"Hartford",5.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+01,"9","41","13"
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"Windham",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","3","40"
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"Fairfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," "," ","NR"
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"Tolland",7.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+01," "," ","NR"
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"Hartford",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"4","5","38"
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","3","40"
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"Fairfield",3.0000000000000000e+01,3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"21","9","34"
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"Hartford",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"3","20","24"
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"New London",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"0","0","43"
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"Hartford",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"5","22","22"
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"Litchfield",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,"2","5","38"
