Municipality,SortID,numbered,2009 Population,2005 Population,Population0509Change
"BRIDGEPORT",1,1.5000000000000000e+01,1.3729800000000000e+05,1.3900800000000000e+05,-1.2301450276243095e-02
"HARTFORD",2,6.5000000000000000e+01,1.2406000000000000e+05,1.2439700000000000e+05,-2.7090685466691321e-03
"NEW HAVEN",3,9.4000000000000000e+01,1.2333000000000000e+05,1.2479100000000000e+05,-1.1707575065509531e-02
"STAMFORD",4,1.3600000000000000e+02,1.2102600000000000e+05,1.2004500000000000e+05,8.1719355241784333e-03
"WATERBURY",5,1.5200000000000000e+02,1.0714300000000000e+05,1.0790200000000000e+05,-7.0341606272358252e-03
"NORWALK",6,1.0400000000000000e+02,8.3802000000000000e+04,8.4437000000000000e+04,-7.5203998247213898e-03
"DANBURY",7,3.4000000000000000e+01,7.9743000000000000e+04,7.8736000000000000e+04,1.2789575289575290e-02
"NEW BRITAIN",8,9.0000000000000000e+01,7.0548000000000000e+04,7.1254000000000000e+04,-9.9082156791197688e-03
"GREENWICH",9,5.7000000000000000e+01,6.2368000000000000e+04,6.2236000000000000e+04,2.1209589305225271e-03
"BRISTOL",10,1.7000000000000000e+01,6.1027000000000000e+04,6.1353000000000000e+04,-5.3135136016168732e-03
"WEST HARTFORD",11,1.5500000000000000e+02,6.0852000000000000e+04,6.1173000000000000e+04,-5.2474130743955663e-03
"MERIDEN",12,8.1000000000000000e+01,5.9186000000000000e+04,5.9653000000000000e+04,-7.8286087874876367e-03
"HAMDEN",13,6.3000000000000000e+01,5.8119000000000000e+04,5.8180000000000000e+04,-1.0484702646957717e-03
"FAIRFIELD",14,5.1000000000000000e+01,5.7578000000000000e+04,5.7813000000000000e+04,-4.0648297095808904e-03
"MILFORD",15,8.5000000000000000e+01,5.6424000000000000e+04,5.4802000000000000e+04,2.9597459946717274e-02
"MANCHESTER",16,7.8000000000000000e+01,5.6388000000000000e+04,5.5572000000000000e+04,1.4683653638522998e-02
"WEST HAVEN",17,1.5600000000000000e+02,5.3007000000000000e+04,5.2923000000000000e+04,1.5872116093191995e-03
"STRATFORD",18,1.3900000000000000e+02,4.8952000000000000e+04,4.9943000000000000e+04,-1.9842620587469717e-02
"EAST HARTFORD",19,4.2000000000000000e+01,4.8634000000000000e+04,4.9173000000000000e+04,-1.0961299900351820e-02
"MIDDLETOWN",20,8.4000000000000000e+01,4.8383000000000000e+04,4.7438000000000000e+04,1.9920738648340992e-02
"ENFIELD",21,4.9000000000000000e+01,4.5259000000000000e+04,4.5441000000000000e+04,-4.0051935476772080e-03
"WALLINGFORD",22,1.4900000000000000e+02,4.4881000000000000e+04,4.4736000000000000e+04,3.2412374821173106e-03
"SOUTHINGTON",23,1.3300000000000000e+02,4.2534000000000000e+04,4.2077000000000000e+04,1.0861040473417781e-02
"SHELTON",24,1.2700000000000000e+02,4.0305000000000000e+04,3.9477000000000000e+04,2.0974238163994224e-02
"GROTON",25,5.9000000000000000e+01,3.9551000000000000e+04,4.1366000000000000e+04,-4.3876613644055505e-02
"NORWICH",26,1.0500000000000000e+02,3.6639000000000000e+04,3.6598000000000000e+04,1.1202797967102027e-03
"TORRINGTON",27,1.4400000000000000e+02,3.5408000000000000e+04,3.5995000000000000e+04,-1.6307820530629253e-02
"TRUMBULL",28,1.4500000000000000e+02,3.4918000000000000e+04,3.5299000000000000e+04,-1.0793506898212414e-02
"GLASTONBURY",29,5.4000000000000000e+01,3.3353000000000000e+04,3.3089000000000000e+04,7.9784822750763092e-03
"NAUGATUCK",30,8.9000000000000000e+01,3.2019000000000000e+04,3.1864000000000000e+04,4.8644238011549086e-03
"VERNON",31,1.4700000000000000e+02,3.0182000000000000e+04,2.9491000000000000e+04,2.3430877216778001e-02
"NEWINGTON",32,9.7000000000000000e+01,2.9818000000000000e+04,2.9676000000000000e+04,4.7850114570696855e-03
"CHESHIRE",33,2.5000000000000000e+01,2.9142000000000000e+04,2.9097000000000000e+04,1.5465511908444171e-03
"WINDSOR",34,1.6500000000000000e+02,2.9014000000000000e+04,2.8778000000000000e+04,8.2007088748349433e-03
"BRANFORD",35,1.4000000000000000e+01,2.9014000000000000e+04,2.9089000000000000e+04,-2.5782942005569114e-03
"EAST HAVEN",36,4.3000000000000000e+01,2.8572000000000000e+04,2.8755000000000000e+04,-6.3641105894627018e-03
"NEW MILFORD",37,9.6000000000000000e+01,2.8505000000000000e+04,2.8667000000000000e+04,-5.6510970802665086e-03
"NEWTOWN",38,9.8000000000000000e+01,2.6842000000000000e+04,2.6996000000000000e+04,-5.7045488220477105e-03
"WESTPORT",39,1.5900000000000000e+02,2.6799000000000000e+04,2.6615000000000000e+04,6.9133947022355811e-03
"SOUTH WINDSOR",40,1.3100000000000000e+02,2.6258000000000000e+04,2.5985000000000000e+04,1.0506061189147585e-02
"NEW LONDON",41,9.5000000000000000e+01,2.6184000000000000e+04,2.6174000000000000e+04,3.8205853136700542e-04
"WETHERSFIELD",42,1.6000000000000000e+02,2.5767000000000000e+04,2.6220000000000000e+04,-1.7276887871853545e-02
"MANSFIELD",43,7.9000000000000000e+01,2.5268000000000000e+04,2.4558000000000000e+04,2.8911149116377554e-02
"FARMINGTON",44,5.2000000000000000e+01,2.5144000000000000e+04,2.4941000000000000e+04,8.1392085321358408e-03
"RIDGEFIELD",45,1.1900000000000000e+02,2.4228000000000000e+04,2.4210000000000000e+04,7.4349442379182155e-04
"NORTH HAVEN",46,1.0200000000000000e+02,2.3916000000000000e+04,2.3908000000000000e+04,3.3461602810774636e-04
"WINDHAM",47,1.6400000000000000e+02,2.3733000000000000e+04,2.3503000000000000e+04,9.7859847679019705e-03
"SIMSBURY",48,1.2900000000000000e+02,2.3648000000000000e+04,2.3656000000000000e+04,-3.3818058843422386e-04
"GUILFORD",49,6.1000000000000000e+01,2.2469000000000000e+04,2.2307000000000000e+04,7.2622943470659436e-03
"WATERTOWN",50,1.5400000000000000e+02,2.2217000000000000e+04,2.2330000000000000e+04,-5.0604567845947152e-03
"BLOOMFIELD",51,1.1000000000000000e+01,2.0696000000000000e+04,2.0581000000000000e+04,5.5876779553957531e-03
"BERLIN",52,7.0000000000000000e+00,2.0467000000000000e+04,1.9590000000000000e+04,4.4767738642164372e-02
"DARIEN",53,3.5000000000000000e+01,2.0292000000000000e+04,2.0452000000000000e+04,-7.8231957754742818e-03
"NEW CANAAN",54,9.1000000000000000e+01,2.0000000000000000e+04,1.9984000000000000e+04,8.0064051240992789e-04
"MONTVILLE",55,8.7000000000000000e+01,1.9910000000000000e+04,1.9612000000000000e+04,1.5194778706914134e-02
"SOUTHBURY",56,1.3200000000000000e+02,1.9706000000000000e+04,1.9677000000000000e+04,1.4738019006962444e-03
"MONROE",57,8.6000000000000000e+01,1.9435000000000000e+04,1.9650000000000000e+04,-1.0941475826972011e-02
"EAST LYME",58,4.4000000000000000e+01,1.9203000000000000e+04,1.8459000000000000e+04,4.0305542012026650e-02
"WATERFORD",59,1.5300000000000000e+02,1.8897000000000000e+04,1.8940000000000000e+04,-2.2703273495248153e-03
"ROCKY HILL",60,1.2000000000000000e+02,1.8827000000000000e+04,1.8760000000000000e+04,3.5714285714285713e-03
"MADISON",61,7.7000000000000000e+01,1.8824000000000000e+04,1.8812000000000000e+04,6.3789070805868591e-04
"BETHEL",62,9.0000000000000000e+00,1.8534000000000000e+04,1.8760000000000000e+04,-1.2046908315565033e-02
"ANSONIA",63,2.0000000000000000e+00,1.8514000000000000e+04,1.8744000000000000e+04,-1.2270593256508750e-02
"STONINGTON",64,1.3800000000000000e+02,1.8513000000000000e+04,1.8336000000000000e+04,9.6531413612565443e-03
"KILLINGLY",65,7.0000000000000000e+01,1.7828000000000000e+04,1.7386000000000000e+04,2.5422753939951685e-02
"WILTON",66,1.6200000000000000e+02,1.7771000000000000e+04,1.7960000000000000e+04,-1.0523385300668152e-02
"AVON",67,4.0000000000000000e+00,1.7357000000000000e+04,1.7209000000000000e+04,8.6001510837352552e-03
"PLAINVILLE",68,1.1100000000000000e+02,1.7284000000000000e+04,1.7382000000000000e+04,-5.6380163387412269e-03
"BROOKFIELD",69,1.8000000000000000e+01,1.6680000000000000e+04,1.6354000000000000e+04,1.9933961110431699e-02
"WOLCOTT",70,1.6700000000000000e+02,1.6462000000000000e+04,1.6228000000000000e+04,1.4419521814148385e-02
"SEYMOUR",71,1.2500000000000000e+02,1.6320000000000000e+04,1.6144000000000000e+04,1.0901883052527254e-02
"COLCHESTER",72,2.8000000000000000e+01,1.5685000000000000e+04,1.5389000000000000e+04,1.9234518162323737e-02
"PLAINFIELD",73,1.1000000000000000e+02,1.5442000000000000e+04,1.5443000000000000e+04,-6.4754257592436704e-05
"LEDYARD",74,7.3000000000000000e+01,1.5172000000000000e+04,1.5172000000000000e+04,0.0000000000000000e+00
"SUFFIELD",75,1.4000000000000000e+02,1.5163000000000000e+04,1.4704000000000000e+04,3.1215995647442873e-02
"ELLINGTON",76,4.8000000000000000e+01,1.4829000000000000e+04,1.4217000000000000e+04,4.3047056341000214e-02
"TOLLAND",77,1.4300000000000000e+02,1.4823000000000000e+04,1.4571000000000000e+04,1.7294626312538603e-02
"NORTH BRANFORD",78,1.0000000000000000e+02,1.4387000000000000e+04,1.4398000000000000e+04,-7.6399499930545906e-04
"NEW FAIRFIELD",79,9.2000000000000000e+01,1.4099000000000000e+04,1.4261000000000000e+04,-1.1359652198303065e-02
"ORANGE",80,1.0800000000000000e+02,1.3772000000000000e+04,1.3970000000000000e+04,-1.4173228346456693e-02
"CROMWELL",81,3.3000000000000000e+01,1.3669000000000000e+04,1.3594000000000000e+04,5.5171399146682360e-03
"CLINTON",82,2.7000000000000000e+01,1.3609000000000000e+04,1.3612000000000000e+04,-2.2039377020276226e-04
"OXFORD",83,1.0900000000000000e+02,1.2890000000000000e+04,1.1709000000000000e+04,1.0086258433683491e-01
"EAST HAMPTON",84,4.1000000000000000e+01,1.2766000000000000e+04,1.2194000000000000e+04,4.6908315565031986e-02
"WINDSOR LOCKS",85,1.6600000000000000e+02,1.2517000000000000e+04,1.2411000000000000e+04,8.5408105712674234e-03
"DERBY",86,3.7000000000000000e+01,1.2385000000000000e+04,1.2536000000000000e+04,-1.2045309508615189e-02
