Municipality,Land Area
"ANDOVER",1.5460000000000001e+01
"ANSONIA",6.0300000000000002e+00
"ASHFORD",3.8789999999999999e+01
"AVON",2.3120000000000001e+01
"BARKHAMSTED",3.6219999999999999e+01
"BEACON FALLS",9.7799999999999994e+00
"BERLIN",2.6449999999999999e+01
"BETHANY",2.0969999999999999e+01
"BETHEL",1.6789999999999999e+01
"BETHLEHEM",1.9359999999999999e+01
"BLOOMFIELD",2.6010000000000002e+01
"BOLTON",1.4410000000000000e+01
"BOZRAH",1.9969999999999999e+01
"BRANFORD",2.1980000000000000e+01
"BRIDGEPORT",1.6000000000000000e+01
"BRIDGEWATER",1.6230000000000000e+01
"BRISTOL",2.6510000000000002e+01
"BROOKFIELD",1.9800000000000001e+01
"BROOKLYN",2.8969999999999999e+01
"BURLINGTON",2.9800000000000001e+01
"CANAAN",3.2950000000000003e+01
"CANTERBURY",3.9899999999999999e+01
"CANTON",2.4570000000000000e+01
"CHAPLIN",1.9430000000000000e+01
"CHESHIRE",3.2910000000000004e+01
"CHESTER",1.6030000000000001e+01
"CLINTON",1.6280000000000001e+01
"COLCHESTER",4.9060000000000002e+01
"COLEBROOK",3.1470000000000002e+01
"COLUMBIA",2.1359999999999999e+01
"CORNWALL",4.6009999999999998e+01
"COVENTRY",3.7719999999999999e+01
"CROMWELL",1.2390000000000001e+01
"DANBURY",4.2109999999999999e+01
"DARIEN",1.2859999999999999e+01
"DEEP RIVER",1.3550000000000001e+01
"DERBY",4.9800000000000004e+00
"DURHAM",2.3600000000000001e+01
"EAST GRANBY",1.7480000000000000e+01
"EAST HADDAM",5.4329999999999998e+01
"EAST HAMPTON",3.5590000000000003e+01
"EAST HARTFORD",1.8020000000000000e+01
"EAST HAVEN",1.2260000000000000e+01
"EAST LYME",3.4030000000000001e+01
"EAST WINDSOR",2.6289999999999999e+01
"EASTFORD",2.8890000000000001e+01
"EASTON",2.7420000000000002e+01
"ELLINGTON",3.4049999999999997e+01
"ENFIELD",3.3380000000000003e+01
"ESSEX",1.0359999999999999e+01
"FAIRFIELD",3.0030000000000001e+01
"FARMINGTON",2.8060000000000002e+01
"FRANKLIN",1.9510000000000002e+01
"GLASTONBURY",5.1370000000000005e+01
"GOSHEN",4.3660000000000004e+01
"GRANBY",4.0689999999999998e+01
"GREENWICH",4.7829999999999998e+01
"GRISWOLD",3.4950000000000003e+01
"GROTON",3.1300000000000001e+01
"GUILFORD",4.7050000000000004e+01
"HADDAM",4.4030000000000001e+01
"HAMDEN",3.2780000000000001e+01
"HAMPTON",2.5000000000000000e+01
"HARTFORD",1.7309999999999999e+01
"HARTLAND",3.3030000000000001e+01
"HARWINTON",3.0750000000000000e+01
"HEBRON",3.6899999999999999e+01
"KENT",4.8469999999999999e+01
"KILLINGLY",4.8520000000000003e+01
"KILLINGWORTH",3.5329999999999998e+01
"LEBANON",5.4109999999999999e+01
"LEDYARD",3.8140000000000001e+01
"LISBON",1.6260000000000002e+01
"LITCHFIELD",5.6060000000000002e+01
"LYME",3.1850000000000001e+01
"MADISON",3.6200000000000003e+01
"MANCHESTER",2.7260000000000002e+01
"MANSFIELD",4.4460000000000001e+01
"MARLBOROUGH",2.3280000000000001e+01
"MERIDEN",2.3750000000000000e+01
"MIDDLEBURY",1.7750000000000000e+01
"MIDDLEFIELD",1.2700000000000001e+01
"MIDDLETOWN",4.0899999999999999e+01
"MILFORD",2.2559999999999999e+01
"MONROE",2.6129999999999999e+01
"MONTVILLE",4.2020000000000003e+01
"MORRIS",1.7190000000000001e+01
"NAUGATUCK",1.6390000000000001e+01
"NEW BRITAIN",1.3340000000000000e+01
"NEW CANAAN",2.2129999999999999e+01
"NEW FAIRFIELD",2.0460000000000001e+01
"NEW HARTFORD",3.7030000000000001e+01
"NEW HAVEN",1.8850000000000001e+01
"NEW LONDON",5.5400000000000000e+00
"NEW MILFORD",6.1590000000000003e+01
"NEWINGTON",1.3180000000000000e+01
"NEWTOWN",5.7759999999999998e+01
"NORFOLK",4.5310000000000002e+01
"NORTH BRANFORD",2.4920000000000002e+01
"NORTH CANAAN",1.9449999999999999e+01
"NORTH HAVEN",2.0770000000000000e+01
"NORTH STONINGTON",5.4310000000000002e+01
"NORWALK",2.2809999999999999e+01
"NORWICH",2.8330000000000002e+01
"OLD LYME",2.3100000000000001e+01
"OLD SAYBROOK",1.5040000000000001e+01
"ORANGE",1.7190000000000001e+01
"OXFORD",3.2890000000000001e+01
"PLAINFIELD",4.2270000000000003e+01
"PLAINVILLE",9.7599999999999998e+00
"PLYMOUTH",2.1719999999999999e+01
"POMFRET",4.0300000000000004e+01
"PORTLAND",2.3400000000000002e+01
"PRESTON",3.0900000000000002e+01
"PROSPECT",1.4320000000000000e+01
"PUTNAM",2.0289999999999999e+01
"REDDING",3.1500000000000000e+01
"RIDGEFIELD",3.4430000000000000e+01
"ROCKY HILL",1.3450000000000001e+01
"ROXBURY",2.6230000000000000e+01
"SALEM",2.8949999999999999e+01
"SALISBURY",5.7320000000000000e+01
"SCOTLAND",1.8609999999999999e+01
"SEYMOUR",1.4570000000000000e+01
"SHARON",5.8700000000000003e+01
"SHELTON",3.0570000000000000e+01
"SHERMAN",2.1800000000000001e+01
"SIMSBURY",3.3880000000000003e+01
"SOMERS",2.8340000000000000e+01
"SOUTH WINDSOR",2.7960000000000001e+01
"SOUTHBURY",3.9060000000000002e+01
"SOUTHINGTON",3.5990000000000002e+01
"SPRAGUE",1.3210000000000001e+01
"STAFFORD",5.7960000000000001e+01
"STAMFORD",3.7750000000000000e+01
"STERLING",2.7230000000000000e+01
"STONINGTON",3.8689999999999998e+01
"STRATFORD",1.7590000000000000e+01
"SUFFIELD",4.2210000000000001e+01
"THOMASTON",1.2010000000000000e+01
"THOMPSON",4.6939999999999998e+01
"TOLLAND",3.9710000000000001e+01
"TORRINGTON",3.9789999999999999e+01
"TRUMBULL",2.3289999999999999e+01
"UNION",2.8710000000000001e+01
"VERNON",1.7730000000000000e+01
"VOLUNTOWN",3.8920000000000002e+01
"WALLINGFORD",3.9020000000000003e+01
"WARREN",2.6310000000000002e+01
"WASHINGTON",3.8189999999999998e+01
"WATERBURY",2.8570000000000000e+01
"WATERFORD",3.2750000000000000e+01
"WATERTOWN",2.9150000000000002e+01
"WEST HARTFORD",2.1980000000000000e+01
"WEST HAVEN",1.0840000000000000e+01
"WESTBROOK",1.5720000000000001e+01
"WESTON",1.9800000000000001e+01
"WESTPORT",2.0010000000000002e+01
"WETHERSFIELD",1.2390000000000001e+01
"WILLINGTON",3.3270000000000003e+01
"WILTON",2.6949999999999999e+01
"WINCHESTER",3.2280000000000001e+01
"WINDHAM",2.7070000000000000e+01
"WINDSOR",2.9629999999999999e+01
"WINDSOR LOCKS",9.0299999999999994e+00
"WOLCOTT",2.0430000000000000e+01
"WOODBRIDGE",1.8830000000000002e+01
"WOODBURY",3.6469999999999999e+01
"WOODSTOCK",6.0539999999999999e+01
