Municipality,Sept2007 Labor Force,Sept2007 Unemployed
"SHELTON",2.3171000000000000e+04,9.2600000000000000e+02
"SHERMAN",2.1710000000000000e+03,7.1000000000000000e+01
"SIMSBURY",1.1762000000000000e+04,3.9900000000000000e+02
"SOMERS",4.7220000000000000e+03,2.2800000000000000e+02
"SOUTH WINDSOR",1.4329000000000000e+04,4.7700000000000000e+02
"SOUTHBURY",9.1600000000000000e+03,3.4500000000000000e+02
"SOUTHINGTON",2.3382000000000000e+04,9.0200000000000000e+02
"SPRAGUE",1.8270000000000000e+03,9.5000000000000000e+01
"STAFFORD",6.6710000000000000e+03,3.2700000000000000e+02
"STAMFORD",6.6775000000000000e+04,2.4330000000000000e+03
"STERLING",2.0620000000000000e+03,9.9000000000000000e+01
"STONINGTON",1.0672000000000000e+04,3.4200000000000000e+02
"STRATFORD",2.6094000000000000e+04,1.2230000000000000e+03
"SUFFIELD",7.5050000000000000e+03,3.0200000000000000e+02
"THOMASTON",4.5190000000000000e+03,2.2000000000000000e+02
"THOMPSON",5.3320000000000000e+03,2.6600000000000000e+02
"TOLLAND",8.0740000000000000e+03,2.6000000000000000e+02
"TORRINGTON",1.9477000000000000e+04,9.0900000000000000e+02
"TRUMBULL",1.7971000000000000e+04,6.5800000000000000e+02
"UNION",4.4900000000000000e+02,9.0000000000000000e+00
"VERNON",1.6754000000000000e+04,7.4200000000000000e+02
"VOLUNTOWN",1.6400000000000000e+03,7.7000000000000000e+01
"WALLINGFORD",2.5360000000000000e+04,1.0050000000000000e+03
"WARREN",7.5900000000000000e+02,2.8000000000000000e+01
"WASHINGTON",1.9780000000000000e+03,6.6000000000000000e+01
"WATERBURY",4.9879000000000000e+04,3.6560000000000000e+03
"WATERFORD",1.0580000000000000e+04,3.9100000000000000e+02
"WATERTOWN",1.2409000000000000e+04,5.2900000000000000e+02
"WEST HARTFORD",2.8656000000000000e+04,1.2420000000000000e+03
"WEST HAVEN",2.9653000000000000e+04,1.5620000000000000e+03
"WESTBROOK",3.6810000000000000e+03,1.2400000000000000e+02
"WESTON",4.9480000000000000e+03,1.2700000000000000e+02
"WESTPORT",1.2809000000000000e+04,3.9900000000000000e+02
"WETHERSFIELD",1.3082000000000000e+04,6.1400000000000000e+02
"WILLINGTON",3.8150000000000000e+03,1.3700000000000000e+02
"WILTON",8.3950000000000000e+03,2.6000000000000000e+02
"WINCHESTER",6.0630000000000000e+03,2.7400000000000000e+02
"WINDHAM",1.2032000000000000e+04,7.5100000000000000e+02
"WINDSOR",1.5675000000000000e+04,6.9100000000000000e+02
"WINDSOR LOCKS",7.0500000000000000e+03,3.1800000000000000e+02
"WOLCOTT",9.0220000000000000e+03,3.8300000000000000e+02
"WOODBRIDGE",4.9440000000000000e+03,1.6600000000000000e+02
"WOODBURY",5.5930000000000000e+03,1.8500000000000000e+02
"WOODSTOCK",4.6600000000000000e+03,1.9000000000000000e+02
