Municipality,Sept2007 Labor Force,Sept2007 Unemployed
"ANDOVER",1.9470000000000000e+03,8.7000000000000000e+01
"ANSONIA",1.0036000000000000e+04,5.9800000000000000e+02
"ASHFORD",2.5200000000000000e+03,8.2000000000000000e+01
"AVON",8.8630000000000000e+03,2.4300000000000000e+02
"BARKHAMSTED",2.1500000000000000e+03,7.0000000000000000e+01
"BEACON FALLS",3.3060000000000000e+03,1.5000000000000000e+02
"BERLIN",1.0726000000000000e+04,4.4200000000000000e+02
"BETHANY",3.1320000000000000e+03,1.1800000000000000e+02
"BETHEL",1.0785000000000000e+04,3.2800000000000000e+02
"BETHLEHEM",2.0440000000000000e+03,6.9000000000000000e+01
"BLOOMFIELD",9.7640000000000000e+03,5.4200000000000000e+02
"BOLTON",2.9820000000000000e+03,1.1000000000000000e+02
"BOZRAH",1.5050000000000000e+03,7.4000000000000000e+01
"BRANFORD",1.7408000000000000e+04,6.9500000000000000e+02
"BRIDGEPORT",6.2546000000000000e+04,4.2410000000000000e+03
"BRIDGEWATER",1.0460000000000000e+03,3.5000000000000000e+01
"BRISTOL",3.3261000000000000e+04,1.6540000000000000e+03
"BROOKFIELD",9.1050000000000000e+03,3.3600000000000000e+02
"BROOKLYN",3.8830000000000000e+03,2.0100000000000000e+02
"BURLINGTON",5.1560000000000000e+03,1.5800000000000000e+02
"CANAAN",6.1500000000000000e+02,2.1000000000000000e+01
"CANTERBURY",3.2640000000000000e+03,1.4200000000000000e+02
"CANTON",5.5120000000000000e+03,1.7800000000000000e+02
"CHAPLIN",1.4530000000000000e+03,5.4000000000000000e+01
"CHESHIRE",1.4623000000000000e+04,5.3800000000000000e+02
"CHESTER",2.2840000000000000e+03,6.9000000000000000e+01
"CLINTON",7.9750000000000000e+03,2.7900000000000000e+02
"COLCHESTER",8.5170000000000000e+03,3.5600000000000000e+02
"COLEBROOK",8.4800000000000000e+02,2.1000000000000000e+01
"COLUMBIA",2.9590000000000000e+03,1.0300000000000000e+02
"CORNWALL",8.3900000000000000e+02,2.0000000000000000e+01
"COVENTRY",6.8100000000000000e+03,2.7300000000000000e+02
"CROMWELL",7.6060000000000000e+03,3.0000000000000000e+02
"DANBURY",4.4517000000000000e+04,1.5940000000000000e+03
"DARIEN",9.2530000000000000e+03,2.6100000000000000e+02
"DEEP RIVER",2.5860000000000000e+03,9.0000000000000000e+01
"DERBY",6.9100000000000000e+03,3.7000000000000000e+02
"DURHAM",4.2860000000000000e+03,1.3900000000000000e+02
"EAST GRANBY",2.8360000000000000e+03,1.0000000000000000e+02
"EAST HADDAM",4.9830000000000000e+03,1.7300000000000000e+02
"EAST HAMPTON",6.6880000000000000e+03,3.5200000000000000e+02
"EAST HARTFORD",2.4735000000000000e+04,1.5330000000000000e+03
"EAST HAVEN",1.6185000000000000e+04,8.2400000000000000e+02
"EAST LYME",9.6910000000000000e+03,3.2500000000000000e+02
"EAST WINDSOR",6.1680000000000000e+03,2.7400000000000000e+02
"EASTFORD",1.0000000000000000e+03,2.7000000000000000e+01
"EASTON",3.7810000000000000e+03,1.2300000000000000e+02
"ELLINGTON",8.3770000000000000e+03,3.0200000000000000e+02
"ENFIELD",2.4007000000000000e+04,1.2150000000000000e+03
"ESSEX",3.8050000000000000e+03,1.3000000000000000e+02
"FAIRFIELD",2.8601000000000000e+04,1.0350000000000000e+03
"FARMINGTON",1.2532000000000000e+04,4.6100000000000000e+02
"FRANKLIN",1.1970000000000000e+03,4.1000000000000000e+01
"GLASTONBURY",1.7716000000000000e+04,6.0400000000000000e+02
"GOSHEN",1.6450000000000000e+03,6.0000000000000000e+01
"GRANBY",6.0690000000000000e+03,1.9400000000000000e+02
"GREENWICH",3.0539000000000000e+04,9.7000000000000000e+02
"GRISWOLD",7.2390000000000000e+03,3.2600000000000000e+02
"GROTON",1.9336000000000000e+04,8.0300000000000000e+02
"GROTON (City of)",,
"GUILFORD",1.3039000000000000e+04,4.2600000000000000e+02
"HADDAM",4.6450000000000000e+03,1.5500000000000000e+02
"HAMDEN",3.0900000000000000e+04,1.3900000000000000e+03
"HAMPTON",1.2120000000000000e+03,5.1000000000000000e+01
"HARTFORD",4.7378000000000000e+04,4.3780000000000000e+03
"HARTLAND",1.1600000000000000e+03,3.2000000000000000e+01
"HARWINTON",3.0570000000000000e+03,1.0800000000000000e+02
"HEBRON",5.3470000000000000e+03,2.1100000000000000e+02
"KENT",1.6280000000000000e+03,5.7000000000000000e+01
"KILLINGLY",9.5170000000000000e+03,5.4300000000000000e+02
"KILLINGWORTH",3.5980000000000000e+03,1.0100000000000000e+02
"LEBANON",4.1990000000000000e+03,1.7400000000000000e+02
"LEDYARD",8.6700000000000000e+03,2.9000000000000000e+02
"LISBON",2.6050000000000000e+03,1.0800000000000000e+02
"LITCHFIELD",4.4870000000000000e+03,1.7100000000000000e+02
"LYME",1.1660000000000000e+03,3.7000000000000000e+01
"MADISON",1.0095000000000000e+04,3.0300000000000000e+02
"MANCHESTER",3.1066000000000000e+04,1.4740000000000000e+03
"MANSFIELD",1.2588000000000000e+04,4.8500000000000000e+02
"MARLBOROUGH",3.4880000000000000e+03,1.1800000000000000e+02
"MERIDEN",3.1664000000000000e+04,1.7240000000000000e+03
"MIDDLEBURY",3.8780000000000000e+03,1.4100000000000000e+02
"MIDDLEFIELD",2.3280000000000000e+03,1.0200000000000000e+02
"MIDDLETOWN",2.5690000000000000e+04,1.1190000000000000e+03
"MILFORD",3.1898000000000000e+04,1.1990000000000000e+03
"MONROE",1.0695000000000000e+04,3.7000000000000000e+02
"MONTVILLE",1.1114000000000000e+04,4.6900000000000000e+02
"MORRIS",1.3300000000000000e+03,6.0000000000000000e+01
"NAUGATUCK",1.7081000000000000e+04,7.8300000000000000e+02
"NEW BRITAIN",3.3674000000000000e+04,2.3320000000000000e+03
"NEW CANAAN",8.9940000000000000e+03,2.6100000000000000e+02
"NEW FAIRFIELD",7.6240000000000000e+03,2.6700000000000000e+02
"NEW HARTFORD",3.6740000000000000e+03,1.2800000000000000e+02
"NEW HAVEN",5.5656000000000000e+04,3.9740000000000000e+03
"NEW LONDON",1.3795000000000000e+04,7.6500000000000000e+02
"NEW MILFORD",1.6404000000000000e+04,5.5900000000000000e+02
"NEWINGTON",1.6207000000000000e+04,7.0000000000000000e+02
"NEWTOWN",1.4397000000000000e+04,4.3000000000000000e+02
"NORFOLK",9.6900000000000000e+02,3.5000000000000000e+01
"NORTH BRANFORD",8.4260000000000000e+03,3.2900000000000000e+02
"NORTH CANAAN",1.7630000000000000e+03,7.1000000000000000e+01
"NORTH HAVEN",1.3203000000000000e+04,5.0000000000000000e+02
"NORTH STONINGTON",3.3140000000000000e+03,1.0200000000000000e+02
"NORWALK",4.8873000000000000e+04,1.8220000000000000e+03
"NORWICH",2.0961000000000000e+04,1.0750000000000000e+03
"OLD LYME",4.2840000000000000e+03,1.3400000000000000e+02
"OLD SAYBROOK",5.5280000000000000e+03,1.9900000000000000e+02
"ORANGE",7.2990000000000000e+03,2.4100000000000000e+02
"OXFORD",7.3090000000000000e+03,2.4900000000000000e+02
"PLAINFIELD",8.4070000000000000e+03,4.7000000000000000e+02
"PLAINVILLE",9.8290000000000000e+03,4.6800000000000000e+02
"PLYMOUTH",6.6480000000000000e+03,3.3100000000000000e+02
"POMFRET",2.2850000000000000e+03,8.6000000000000000e+01
"PORTLAND",5.2020000000000000e+03,2.1300000000000000e+02
"PRESTON",2.9030000000000000e+03,1.0200000000000000e+02
"PROSPECT",5.2890000000000000e+03,2.0600000000000000e+02
"PUTNAM",5.2030000000000000e+03,2.9000000000000000e+02
"REDDING",4.7190000000000000e+03,1.1900000000000000e+02
"RIDGEFIELD",1.1791000000000000e+04,3.5900000000000000e+02
"ROCKY HILL",1.0407000000000000e+04,4.0500000000000000e+02
"ROXBURY",1.4020000000000000e+03,4.0000000000000000e+01
"SALEM",2.6540000000000000e+03,8.8000000000000000e+01
"SALISBURY",2.0090000000000000e+03,6.1000000000000000e+01
"SCOTLAND",1.0080000000000000e+03,2.4000000000000000e+01
"SEYMOUR",9.3040000000000000e+03,4.3400000000000000e+02
"SHARON",1.5970000000000000e+03,4.6000000000000000e+01
