MUNICIPALITY,Numbered,2008 Labor Force,2008 Unemployed,2008 Unemp Rate,2007 Labor Force,2007 Unemployed,2007 Unemp Rate,2006 Labor Force,2006 Unemployed,2006 Unemp Rate,2005 Labor Force,2005 Unemployed,2005 Unemp Rate
"ANDOVER",1,1.9790000000000000e+03,7.9000000000000000e+01,3.9919151086407277e-02,1.9560000000000000e+03,6.7000000000000000e+01,3.4253578732106341e-02,1.9490000000000000e+03,6.6000000000000000e+01,3.3863519753719859e-02,1.9350000000000000e+03,8.1000000000000000e+01,4.1860465116279069e-02
"ANSONIA",2,1.0020000000000000e+04,6.9500000000000000e+02,6.9361277445109781e-02,9.9220000000000000e+03,5.5700000000000000e+02,5.6137875428341061e-02,9.7800000000000000e+03,5.2500000000000000e+02,5.3680981595092027e-02,9.7260000000000000e+03,5.9200000000000000e+02,6.0867777092329836e-02
"ASHFORD",3,2.6640000000000000e+03,1.2400000000000000e+02,4.6546546546546545e-02,2.6200000000000000e+03,1.0100000000000000e+02,3.8549618320610685e-02,2.5800000000000000e+03,9.8000000000000000e+01,3.7984496124031007e-02,2.5280000000000000e+03,9.9000000000000000e+01,3.9161392405063292e-02
"AVON",4,9.2650000000000000e+03,3.2900000000000000e+02,3.5509983810037775e-02,9.1690000000000000e+03,2.7600000000000000e+02,3.0101428727233068e-02,9.0540000000000000e+03,2.6700000000000000e+02,2.9489728296885353e-02,8.8640000000000000e+03,2.7600000000000000e+02,3.1137184115523464e-02
"BARKHAMSTED",5,2.2170000000000000e+03,1.0400000000000000e+02,4.6910239061795221e-02,2.1930000000000000e+03,8.8000000000000000e+01,4.0127678978568171e-02,2.1970000000000000e+03,9.3000000000000000e+01,4.2330450614474283e-02,2.1630000000000000e+03,9.0000000000000000e+01,4.1608876560332873e-02
"BEACON FALLS",6,3.3420000000000000e+03,1.8800000000000000e+02,5.6253740275284264e-02,3.3150000000000000e+03,1.4600000000000000e+02,4.4042232277526398e-02,3.2620000000000000e+03,1.4000000000000000e+02,4.2918454935622317e-02,3.1810000000000000e+03,1.4800000000000000e+02,4.6526249607041811e-02
"BERLIN",7,1.1540000000000000e+04,5.3400000000000000e+02,4.6273830155979204e-02,1.1314000000000000e+04,4.2300000000000000e+02,3.7387307760296980e-02,1.1113000000000000e+04,4.1900000000000000e+02,3.7703590389633765e-02,1.0710000000000000e+04,4.6400000000000000e+02,4.3323996265172734e-02
"BETHANY",8,3.1610000000000000e+03,1.3300000000000000e+02,4.2075292628914900e-02,3.1300000000000000e+03,1.0900000000000000e+02,3.4824281150159744e-02,3.0640000000000000e+03,9.8000000000000000e+01,3.1984334203655353e-02,3.0010000000000000e+03,1.1100000000000000e+02,3.6987670776407862e-02
"BETHEL",9,1.0788000000000000e+04,4.6100000000000000e+02,4.2732665925101963e-02,1.0742000000000000e+04,3.5200000000000000e+02,3.2768571960528764e-02,1.0629000000000000e+04,3.5300000000000000e+02,3.3211026437106030e-02,1.0648000000000000e+04,3.8300000000000000e+02,3.5969196093163035e-02
"BETHLEHEM",10,2.0320000000000000e+03,9.2000000000000000e+01,4.5275590551181105e-02,2.0070000000000000e+03,7.5000000000000000e+01,3.7369207772795218e-02,1.9960000000000000e+03,6.9000000000000000e+01,3.4569138276553106e-02,1.9860000000000000e+03,7.7000000000000000e+01,3.8771399798590130e-02
"BLOOMFIELD",11,1.0215000000000000e+04,6.5300000000000000e+02,6.3925599608418995e-02,1.0023000000000000e+04,5.2500000000000000e+02,5.2379527087698295e-02,9.8880000000000000e+03,5.2900000000000000e+02,5.3499190938511326e-02,9.7600000000000000e+03,5.7200000000000000e+02,5.8606557377049180e-02
"BOLTON",12,3.0550000000000000e+03,1.2800000000000000e+02,4.1898527004909987e-02,3.0060000000000000e+03,9.6000000000000000e+01,3.1936127744510975e-02,2.9850000000000000e+03,9.6000000000000000e+01,3.2160804020100506e-02,2.9710000000000000e+03,1.0900000000000000e+02,3.6687983843823629e-02
"BOZRAH",13,1.5090000000000000e+03,7.8000000000000000e+01,5.1689860834990060e-02,1.4720000000000000e+03,6.7000000000000000e+01,4.5516304347826088e-02,1.4700000000000000e+03,6.7000000000000000e+01,4.5578231292517007e-02,1.4580000000000000e+03,7.0000000000000000e+01,4.8010973936899862e-02
"BRANFORD",14,1.7408000000000000e+04,8.3100000000000000e+02,4.7736672794117647e-02,1.7247000000000000e+04,6.7400000000000000e+02,3.9079260161187450e-02,1.7046000000000000e+04,5.9800000000000000e+02,3.5081544057256837e-02,1.6862000000000000e+04,6.8100000000000000e+02,4.0386668248131898e-02
"BRIDGEPORT",15,6.2752000000000000e+04,5.4340000000000000e+03,8.6594849566547685e-02,6.1940000000000000e+04,4.3980000000000000e+03,7.1004197610590888e-02,6.1382000000000000e+04,4.2040000000000000e+03,6.8489133622234535e-02,6.1174000000000000e+04,4.6950000000000000e+03,7.6748291757936377e-02
"BRIDGEWATER",16,1.0310000000000000e+03,3.7000000000000000e+01,3.5887487875848688e-02,1.0330000000000000e+03,3.1000000000000000e+01,3.0009680542110357e-02,1.0220000000000000e+03,2.8000000000000000e+01,2.7397260273972601e-02,1.0140000000000000e+03,3.0000000000000000e+01,2.9585798816568046e-02
"BRISTOL",17,3.4407000000000000e+04,2.0920000000000000e+03,6.0801581073618743e-02,3.3866000000000000e+04,1.7260000000000000e+03,5.0965570188389535e-02,3.3564000000000000e+04,1.6390000000000000e+03,4.8832081992611132e-02,3.3290000000000000e+04,1.8000000000000000e+03,5.4070291378792427e-02
"BROOKFIELD",18,9.2840000000000000e+03,4.1000000000000000e+02,4.4161999138302453e-02,9.0760000000000000e+03,3.1600000000000000e+02,3.4817100044072277e-02,8.9070000000000000e+03,2.9000000000000000e+02,3.2558661726731782e-02,8.8170000000000000e+03,3.0500000000000000e+02,3.4592264942724285e-02
"BROOKLYN",19,3.9340000000000000e+03,2.6000000000000000e+02,6.6090493136756481e-02,3.8620000000000000e+03,1.9900000000000000e+02,5.1527705851890211e-02,3.7650000000000000e+03,1.7200000000000000e+02,4.5683930942895086e-02,3.6750000000000000e+03,1.6100000000000000e+02,4.3809523809523812e-02
"BURLINGTON",20,5.4040000000000000e+03,2.2900000000000000e+02,4.2376017764618801e-02,5.3290000000000000e+03,1.8400000000000000e+02,3.4528054043910676e-02,5.2590000000000000e+03,1.7400000000000000e+02,3.3086138049058758e-02,5.1710000000000000e+03,1.9100000000000000e+02,3.6936762715142138e-02
"CANAAN",21,6.1100000000000000e+02,2.8000000000000000e+01,4.5826513911620292e-02,6.0400000000000000e+02,2.2000000000000000e+01,3.6423841059602648e-02,6.0200000000000000e+02,2.3000000000000000e+01,3.8205980066445183e-02,5.9500000000000000e+02,2.4000000000000000e+01,4.0336134453781515e-02
"CANTERBURY",22,3.2910000000000000e+03,1.8700000000000000e+02,5.6821634761470681e-02,3.1880000000000000e+03,1.4300000000000000e+02,4.4855708908406525e-02,3.2140000000000000e+03,1.5200000000000000e+02,4.7293092719352829e-02,3.1400000000000000e+03,1.5300000000000000e+02,4.8726114649681532e-02
"CANTON",23,5.8100000000000000e+03,2.2300000000000000e+02,3.8382099827882959e-02,5.7270000000000000e+03,1.7900000000000000e+02,3.1255456609044878e-02,5.6480000000000000e+03,1.7100000000000000e+02,3.0276203966005666e-02,5.5060000000000000e+03,1.9100000000000000e+02,3.4689429713040322e-02
"CHAPLIN",24,1.5020000000000000e+03,8.2000000000000000e+01,5.4593874833555260e-02,1.4600000000000000e+03,6.3000000000000000e+01,4.3150684931506852e-02,1.4380000000000000e+03,6.7000000000000000e+01,4.6592489568845617e-02,1.3920000000000000e+03,6.3000000000000000e+01,4.5258620689655173e-02
"CHESHIRE",25,1.4759000000000000e+04,6.4800000000000000e+02,4.3905413645910968e-02,1.4524000000000000e+04,5.3600000000000000e+02,3.6904434040209308e-02,1.4358000000000000e+04,4.9700000000000000e+02,3.4614848864744391e-02,1.4294000000000000e+04,5.6300000000000000e+02,3.9387155449839097e-02
"CHESTER",26,2.2800000000000000e+03,9.4000000000000000e+01,4.1228070175438600e-02,2.2730000000000000e+03,7.6000000000000000e+01,3.3435987681478221e-02,2.2480000000000000e+03,6.8000000000000000e+01,3.0249110320284697e-02,2.2130000000000000e+03,7.7000000000000000e+01,3.4794396746497966e-02
"CLINTON",27,7.9790000000000000e+03,3.6900000000000000e+02,4.6246396791577889e-02,7.9210000000000000e+03,3.0300000000000000e+02,3.8252745865421031e-02,7.8540000000000000e+03,2.8000000000000000e+02,3.5650623885918005e-02,7.7510000000000000e+03,3.2200000000000000e+02,4.1543026706231452e-02
"COLCHESTER",28,8.9430000000000000e+03,4.3700000000000000e+02,4.8865034104886504e-02,8.7400000000000000e+03,3.2300000000000000e+02,3.6956521739130437e-02,8.5960000000000000e+03,3.2900000000000000e+02,3.8273615635179156e-02,8.4900000000000000e+03,3.5900000000000000e+02,4.2285041224970552e-02
"COLEBROOK",29,8.2800000000000000e+02,2.6000000000000000e+01,3.1400966183574880e-02,8.2700000000000000e+02,2.0000000000000000e+01,2.4183796856106408e-02,8.2500000000000000e+02,1.8000000000000000e+01,2.1818181818181820e-02,8.1600000000000000e+02,2.4000000000000000e+01,2.9411764705882353e-02
"COLUMBIA",30,3.0690000000000000e+03,1.3900000000000000e+02,4.5291625936787226e-02,3.0310000000000000e+03,1.0800000000000000e+02,3.5631804684922469e-02,3.0130000000000000e+03,1.0500000000000000e+02,3.4848987719880521e-02,2.9570000000000000e+03,1.1100000000000000e+02,3.7538045316198851e-02
"CORNWALL",31,8.3500000000000000e+02,3.1000000000000000e+01,3.7125748502994015e-02,8.2600000000000000e+02,2.3000000000000000e+01,2.7845036319612590e-02,8.2500000000000000e+02,2.6000000000000000e+01,3.1515151515151517e-02,8.1200000000000000e+02,2.5000000000000000e+01,3.0788177339901478e-02
"COVENTRY",32,7.0800000000000000e+03,3.4000000000000000e+02,4.8022598870056499e-02,6.9860000000000000e+03,2.8900000000000000e+02,4.1368451188090467e-02,6.8880000000000000e+03,2.6200000000000000e+02,3.8037166085946574e-02,6.8060000000000000e+03,2.9300000000000000e+02,4.3050249779606233e-02
"CROMWELL",33,7.9010000000000000e+03,3.7700000000000000e+02,4.7715479053284396e-02,7.7510000000000000e+03,2.9200000000000000e+02,3.7672558379563924e-02,7.6500000000000000e+03,2.8500000000000000e+02,3.7254901960784313e-02,7.5920000000000000e+03,3.1400000000000000e+02,4.1359325605900950e-02
"DANBURY",34,4.4835000000000000e+04,2.0870000000000000e+03,4.6548455447752872e-02,4.4437000000000000e+04,1.6250000000000000e+03,3.6568625244728495e-02,4.3714000000000000e+04,1.5310000000000000e+03,3.5023104726174682e-02,4.3183000000000000e+04,1.6950000000000000e+03,3.9251557325799505e-02
"DARIEN",35,9.1950000000000000e+03,3.5100000000000000e+02,3.8172920065252858e-02,9.1460000000000000e+03,2.5700000000000000e+02,2.8099715722720315e-02,9.0770000000000000e+03,2.5900000000000000e+02,2.8533656494436489e-02,8.9630000000000000e+03,2.9500000000000000e+02,3.2913087136003570e-02
"DEEP RIVER",36,2.5890000000000000e+03,1.2100000000000000e+02,4.6736191579760528e-02,2.5610000000000000e+03,9.2000000000000000e+01,3.5923467395548615e-02,2.5460000000000000e+03,9.0000000000000000e+01,3.5349567949725061e-02,2.5290000000000000e+03,1.0700000000000000e+02,4.2309213127718466e-02
"DERBY",37,6.9210000000000000e+03,4.5400000000000000e+02,6.5597457014882246e-02,6.8520000000000000e+03,3.5200000000000000e+02,5.1371862230005838e-02,6.7580000000000000e+03,3.4500000000000000e+02,5.1050606688369339e-02,6.7090000000000000e+03,3.8400000000000000e+02,5.7236547920703533e-02
"DURHAM",38,4.3480000000000000e+03,1.6700000000000000e+02,3.8408463661453542e-02,4.2880000000000000e+03,1.4300000000000000e+02,3.3348880597014928e-02,4.2200000000000000e+03,1.3800000000000000e+02,3.2701421800947865e-02,4.1060000000000000e+03,1.4600000000000000e+02,3.5557720409157334e-02
"EAST GRANBY",39,2.9960000000000000e+03,1.2500000000000000e+02,4.1722296395193592e-02,2.9440000000000000e+03,1.0600000000000000e+02,3.6005434782608696e-02,2.8820000000000000e+03,1.0000000000000000e+02,3.4698126301179737e-02,2.8350000000000000e+03,1.0800000000000000e+02,3.8095238095238099e-02
"EAST HADDAM",40,5.2270000000000000e+03,2.2600000000000000e+02,4.3237038454180220e-02,5.1400000000000000e+03,1.8900000000000000e+02,3.6770428015564204e-02,5.0620000000000000e+03,1.6700000000000000e+02,3.2990912682734096e-02,4.9880000000000000e+03,1.9600000000000000e+02,3.9294306335204490e-02
"EAST HAMPTON",41,7.1930000000000000e+03,4.0700000000000000e+02,5.6582788822466284e-02,7.0130000000000000e+03,3.3500000000000000e+02,4.7768430058462853e-02,6.8660000000000000e+03,3.1300000000000000e+02,4.5586950189338768e-02,6.6920000000000000e+03,3.7900000000000000e+02,5.6634787806335921e-02
"EAST HARTFORD",42,2.5392000000000000e+04,1.7980000000000000e+03,7.0809703843730309e-02,2.5056000000000000e+04,1.5220000000000000e+03,6.0743933588761172e-02,2.4811000000000000e+04,1.4530000000000000e+03,5.8562734271089434e-02,2.4700000000000000e+04,1.5840000000000000e+03,6.4129554655870447e-02
"EAST HAVEN",43,1.6181000000000000e+04,9.6500000000000000e+02,5.9637846857425375e-02,1.6042000000000000e+04,8.1500000000000000e+02,5.0804139134771227e-02,1.5863000000000000e+04,7.4600000000000000e+02,4.7027674462585892e-02,1.5693000000000000e+04,8.1700000000000000e+02,5.2061428662460968e-02
"EAST LYME",44,1.0102000000000000e+04,4.6000000000000000e+02,4.5535537517323303e-02,9.6620000000000000e+03,3.3800000000000000e+02,3.4982405299109919e-02,9.5270000000000000e+03,3.4100000000000000e+02,3.5793009341870470e-02,9.4680000000000000e+03,3.6500000000000000e+02,3.8550908322771443e-02
"EAST WINDSOR",45,6.3850000000000000e+03,3.8300000000000000e+02,5.9984338292873925e-02,6.2120000000000000e+03,3.0100000000000000e+02,4.8454603992273020e-02,6.1140000000000000e+03,2.9200000000000000e+02,4.7759241086032057e-02,6.0130000000000000e+03,3.2100000000000000e+02,5.3384333943123231e-02
"EASTFORD",46,1.0210000000000000e+03,4.6000000000000000e+01,4.5053868756121447e-02,9.9900000000000000e+02,3.5000000000000000e+01,3.5035035035035036e-02,9.8800000000000000e+02,3.5000000000000000e+01,3.5425101214574900e-02,9.6400000000000000e+02,4.1000000000000000e+01,4.2531120331950209e-02
"EASTON",47,3.7440000000000000e+03,1.5600000000000000e+02,4.1666666666666664e-02,3.7350000000000000e+03,1.2700000000000000e+02,3.4002677376171353e-02,3.6990000000000000e+03,1.1200000000000000e+02,3.0278453636117870e-02,3.6540000000000000e+03,1.1400000000000000e+02,3.1198686371100164e-02
"ELLINGTON",48,8.9270000000000000e+03,4.0900000000000000e+02,4.5816063627198388e-02,8.7230000000000000e+03,3.3200000000000000e+02,3.8060300355382326e-02,8.5790000000000000e+03,3.2300000000000000e+02,3.7650075766406339e-02,8.3780000000000000e+03,3.3300000000000000e+02,3.9746956314156125e-02
"ENFIELD",49,2.3777000000000000e+04,1.3290000000000000e+03,5.5894351684400892e-02,2.3716000000000000e+04,1.1220000000000000e+03,4.7309833024118737e-02,2.3643000000000000e+04,1.1300000000000000e+03,4.7794273146385825e-02,2.3462000000000000e+04,1.1390000000000000e+03,4.8546585968800612e-02
"ESSEX",50,3.8180000000000000e+03,1.5800000000000000e+02,4.1382922996333157e-02,3.7700000000000000e+03,1.2900000000000000e+02,3.4217506631299736e-02,3.7360000000000000e+03,1.2000000000000000e+02,3.2119914346895075e-02,3.6950000000000000e+03,1.3700000000000000e+02,3.7077131258457373e-02
"FAIRFIELD",51,2.8479000000000000e+04,1.3100000000000000e+03,4.5998806137855966e-02,2.8346000000000000e+04,1.0320000000000000e+03,3.6407253227968672e-02,2.8005000000000000e+04,9.7200000000000000e+02,3.4708087841456882e-02,2.7557000000000000e+04,1.0720000000000000e+03,3.8901186631345938e-02
"FARMINGTON",52,1.3075000000000000e+04,5.6100000000000000e+02,4.2906309751434037e-02,1.2895000000000000e+04,4.6000000000000000e+02,3.5672741372625050e-02,1.2694000000000000e+04,4.3400000000000000e+02,3.4189380809831416e-02,1.2507000000000000e+04,4.8100000000000000e+02,3.8458463260574081e-02
"FRANKLIN",53,1.2060000000000000e+03,6.1000000000000000e+01,5.0580431177446102e-02,1.1670000000000000e+03,4.2000000000000000e+01,3.5989717223650387e-02,1.1800000000000000e+03,4.6000000000000000e+01,3.8983050847457630e-02,1.1720000000000000e+03,4.5000000000000000e+01,3.8395904436860070e-02
"GLASTONBURY",54,1.8416000000000000e+04,7.0600000000000000e+02,3.8336229365768894e-02,1.8153000000000000e+04,5.8400000000000000e+02,3.2170991020767918e-02,1.7852000000000000e+04,5.4700000000000000e+02,3.0640824557472551e-02,1.7655000000000000e+04,6.0700000000000000e+02,3.4381195128858677e-02
"GOSHEN",55,1.6630000000000000e+03,7.4000000000000000e+01,4.4497895369813592e-02,1.6280000000000000e+03,5.8000000000000000e+01,3.5626535626535630e-02,1.5950000000000000e+03,4.9000000000000000e+01,3.0721003134796237e-02,1.5570000000000000e+03,6.3000000000000000e+01,4.0462427745664740e-02
"GRANBY",56,6.3650000000000000e+03,2.4400000000000000e+02,3.8334642576590729e-02,6.2970000000000000e+03,2.1000000000000000e+02,3.3349213911386372e-02,6.1910000000000000e+03,1.9500000000000000e+02,3.1497334840898075e-02,6.0790000000000000e+03,2.2500000000000000e+02,3.7012666556999509e-02
"GREENWICH",57,3.0530000000000000e+04,1.2070000000000000e+03,3.9534883720930232e-02,3.0244000000000000e+04,9.0000000000000000e+02,2.9757968522682185e-02,2.9889000000000000e+04,8.9200000000000000e+02,2.9843755227675732e-02,2.9452000000000000e+04,9.6200000000000000e+02,3.2663316582914576e-02
"GRISWOLD",58,7.3580000000000000e+03,4.2200000000000000e+02,5.7352541451481380e-02,7.1630000000000000e+03,3.4000000000000000e+02,4.7466145469775234e-02,7.1020000000000000e+03,3.2300000000000000e+02,4.5480146437623208e-02,7.0110000000000000e+03,3.4800000000000000e+02,4.9636285836542574e-02
