Municipality,2003 NGL for FYE 2005,2004 NGL for FYE 2006,2005 NGL for FYE 2007,2006 NGL for FYE 2008,2007 NGL for FYE 2009,2008 NGL for FYE 2010,Numbered
"ANDOVER",1.6794266200000000e+08,1.7537241600000000e+08,1.7709753200000000e+08,2.6905098100000000e+08,2.7296648400000000e+08,2.7337606900000000e+08,1
"ANSONIA",7.7977813000000000e+08,7.9197783100000000e+08,8.0330523600000000e+08,8.1057401300000000e+08,1.1688655370000000e+09,1.1648022580000000e+09,2
"ASHFORD",2.2158712000000000e+08,2.3411409000000000e+08,2.4087540800000000e+08,2.4380774800000000e+08,3.3948475400000000e+08,3.3873322600000000e+08,3
"AVON",2.0628710750000000e+09,2.1288249900000000e+09,2.1875949900000000e+09,2.2269994100000000e+09,2.2648251900000000e+09,2.6058920300000000e+09,4
"BARKHAMSTED",2.8212363200000000e+08,2.8741555000000000e+08,2.9363148000000000e+08,2.9856228600000000e+08,3.0310598000000000e+08,3.6711149200000000e+08,5
"BEACON FALLS",2.9824823200000000e+08,3.1081141000000000e+08,3.2047726400000000e+08,5.0273920500000000e+08,5.1274665900000000e+08,5.2519514000000000e+08,6
"BETHANY",4.9283568500000000e+08,5.0852639100000000e+08,5.1828010700000000e+08,5.2635736300000000e+08,5.3804329100000000e+08,6.1670379800000000e+08,8
"BETHEL",1.5659524900000000e+09,1.5951898370000000e+09,1.6136141190000000e+09,1.6722569580000000e+09,2.2926013400000000e+09,2.2875325300000000e+09,9
"BETHLEHEM",3.4052434100000000e+08,3.4755970100000000e+08,3.5159961800000000e+08,3.5543483200000000e+08,3.6022746600000000e+08,3.9816116200000000e+08,10
"BLOOMFIELD",1.1408767110000000e+09,1.6572360310000000e+09,1.7155593770000000e+09,1.6957615190000000e+09,1.7231523190000000e+09,1.7556938780000000e+09,11
"BOLTON",3.7454208500000000e+08,3.8022062500000000e+08,3.8801412500000000e+08,3.9227904000000000e+08,4.0256171500000000e+08,4.6709778500000000e+08,12
"BRANFORD",2.7229427920000000e+09,3.2332145870000000e+09,3.2713349910000000e+09,3.2925603540000000e+09,3.3127701550000000e+09,3.3297670160000000e+09,14
"BRIDGEPORT",5.1661876620000000e+09,5.2509630970000000e+09,5.3293639110000000e+09,5.4138454530000000e+09,5.5402656090000000e+09,6.7412999920000000e+09,15
"BRIDGEWATER",3.0993912300000000e+08,3.1127518100000000e+08,3.1581442900000000e+08,4.0570178200000000e+08,4.0959164000000000e+08,4.1326299800000000e+08,16
"BRISTOL",2.8752683100000000e+09,2.9587166300000000e+09,2.9859022300000000e+09,3.0409431400000000e+09,4.2354357200000000e+09,4.2441380200000000e+09,17
"BROOKFIELD",1.7478769000000000e+09,1.7839022210000000e+09,1.8356995500000000e+09,2.5444449600000000e+09,2.5715249500000000e+09,2.5652980980000000e+09,18
"BROOKLYN",3.2094871600000000e+08,4.5998357300000000e+08,4.7880121700000000e+08,4.9563182200000000e+08,5.0441212100000000e+08,5.1046805000000000e+08,19
"BURLINGTON",7.0686146900000000e+08,7.3478550800000000e+08,7.5060869200000000e+08,7.6506721000000000e+08,7.7760335600000000e+08,9.0993508300000000e+08,20
"CANAAN",1.1310676000000000e+08,1.1391445000000000e+08,1.1753807500000000e+08,1.2087591500000000e+08,1.8572397000000000e+08,1.8628616200000000e+08,21
