Municipality,Sept2008 LABOR FORCE,Sept2008 UNEMPLOYED
"ANDOVER",2.0060000000000000e+03,7.6000000000000000e+01
"ANSONIA",1.0202000000000000e+04,7.6900000000000000e+02
"ASHFORD",2.6540000000000000e+03,1.1100000000000000e+02
"AVON",9.3460000000000000e+03,3.4100000000000000e+02
"BARKHAMSTED",2.2430000000000000e+03,8.7000000000000000e+01
"BEACON FALLS",3.3260000000000000e+03,1.9000000000000000e+02
"BERLIN",1.1519000000000000e+04,5.6000000000000000e+02
"BETHANY",3.1320000000000000e+03,1.4000000000000000e+02
"BETHEL",1.0969000000000000e+04,4.8900000000000000e+02
"BETHLEHEM",2.0230000000000000e+03,8.1000000000000000e+01
"BLOOMFIELD",1.0337000000000000e+04,7.4700000000000000e+02
"BOLTON",3.1090000000000000e+03,1.4800000000000000e+02
"BOZRAH",1.5070000000000000e+03,8.9000000000000000e+01
"BRANFORD",1.7492000000000000e+04,9.0200000000000000e+02
"BRIDGEPORT",6.4057000000000000e+04,5.7790000000000000e+03
"BRIDGEWATER",1.0500000000000000e+03,3.6000000000000000e+01
"BRISTOL",3.4946000000000000e+04,2.2300000000000000e+03
"BROOKFIELD",9.2220000000000000e+03,4.3400000000000000e+02
"BROOKLYN",3.9150000000000000e+03,2.9100000000000000e+02
"BURLINGTON",5.4500000000000000e+03,2.3900000000000000e+02
"CANAAN",6.1000000000000000e+02,2.6000000000000000e+01
"CANTERBURY",3.3000000000000000e+03,2.0700000000000000e+02
"CANTON",5.8440000000000000e+03,2.3100000000000000e+02
"CHAPLIN",1.4870000000000000e+03,8.2000000000000000e+01
"CHESHIRE",1.4659000000000000e+04,6.7800000000000000e+02
"CHESTER",2.2870000000000000e+03,8.8000000000000000e+01
"CLINTON",8.0300000000000000e+03,3.9100000000000000e+02
"COLCHESTER",8.9540000000000000e+03,4.8200000000000000e+02
"COLEBROOK",8.3900000000000000e+02,2.6000000000000000e+01
"COLUMBIA",3.1210000000000000e+03,1.4100000000000000e+02
"CORNWALL",8.3500000000000000e+02,2.9000000000000000e+01
"COVENTRY",7.1320000000000000e+03,3.4200000000000000e+02
"CROMWELL",7.9660000000000000e+03,4.1800000000000000e+02
"DANBURY",4.5144000000000000e+04,2.1250000000000000e+03
"DARIEN",9.3690000000000000e+03,3.8100000000000000e+02
"DEEP RIVER",2.6010000000000000e+03,1.2300000000000000e+02
"DERBY",7.0600000000000000e+03,5.2300000000000000e+02
"DURHAM",4.2830000000000000e+03,1.6600000000000000e+02
"EAST GRANBY",2.9760000000000000e+03,1.2500000000000000e+02
"EAST HADDAM",5.2300000000000000e+03,2.1400000000000000e+02
"EAST HAMPTON",7.1090000000000000e+03,3.9400000000000000e+02
"EAST HARTFORD",2.5894000000000000e+04,1.9570000000000000e+03
"EAST HAVEN",1.6318000000000000e+04,1.0700000000000000e+03
"EAST LYME",9.7780000000000000e+03,4.9700000000000000e+02
"EAST WINDSOR",6.2220000000000000e+03,3.7900000000000000e+02
"EASTFORD",1.0270000000000000e+03,5.0000000000000000e+01
"EASTON",3.8470000000000000e+03,1.9100000000000000e+02
"ELLINGTON",8.8840000000000000e+03,4.2300000000000000e+02
"ENFIELD",2.4029000000000000e+04,1.4370000000000000e+03
"ESSEX",3.8020000000000000e+03,1.5500000000000000e+02
"FAIRFIELD",2.8985000000000000e+04,1.4320000000000000e+03
"FARMINGTON",1.3172000000000000e+04,6.0800000000000000e+02
"FRANKLIN",1.2130000000000000e+03,6.7000000000000000e+01
"GLASTONBURY",1.8514000000000000e+04,7.8000000000000000e+02
"GOSHEN",1.6290000000000000e+03,7.1000000000000000e+01
"GRANBY",6.3820000000000000e+03,2.3700000000000000e+02
"GREENWICH",3.0895000000000000e+04,1.3400000000000000e+03
"GRISWOLD",7.3040000000000000e+03,4.5400000000000000e+02
"GROTON",1.9534000000000000e+04,1.1690000000000000e+03
"GROTON (City of)",,
"GUILFORD",1.3118000000000000e+04,5.9800000000000000e+02
"HADDAM",4.9350000000000000e+03,2.1300000000000000e+02
"HAMDEN",3.1124000000000000e+04,1.8310000000000000e+03
"HAMPTON",1.2510000000000000e+03,8.5000000000000000e+01
