Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2007 Population,Moody's_Bond_Ratings_July_2007,area lmt,EGL,TANF07 Recipients,empl,ACMR,enrollmt,RPA Identifier,ACGLFY07
"BOLTON","VR",2.0070000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",12157240.0000,4353093.0000,18071677.0000,559503.0000,4053413.0000,11930071.0000,16717158.0000,11395676.0000,942885.0000,15920098.0000,0.0000,0.0000,364256.0000,364256.0000,432804.0000,-75253.0000,432804.0000,0.0000,,5083000.0000,5083000.0000,174117.0000,740480.0000,1433688.0000,"Y",1259571.0000,"N","N",11881057.0000,11772278.0000,9.9084433312625297e-01,12056665.0000,11868851.0000,9.8442239209599003e-01,5.1160000000000000e+03,"A2",1.4410000000000000e+01,687955444.5799,1.9000000000000000e+01,3.1936127744510975e-02,3.0520000000000000e+01,9.2125999999999999e+02,"Capital Region COG",388014125.0000
"BOZRAH","KE",2.0070000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",3740664.0000,2512104.0000,6462768.0000,1096739.0000,2273793.0000,4642084.0000,7315470.0000,4439958.0000,358505.0000,7035994.0000,40000.0000,405000.0000,0.0000,0.0000,319476.0000,296899.0000,684476.0000,0.0000,,2253334.0000,2253334.0000,30688.0000,0.0000,1027903.0000,"N",997215.0000,"N","N",4632080.0000,4515691.0000,9.7487327507296939e-01,4834042.0000,4588623.0000,9.4923109894369972e-01,2.4440000000000000e+03,"Baa1",1.9960000000000001e+01,397447711.0584,4.0000000000000000e+00,4.5516304347826088e-02,2.5000000000000000e+01,3.9113000000000000e+02,"Southeastern CT COG",183326253.0000
"BRANFORD","KE",2.0070000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",80923813.0000,28730429.0000,109916059.0000,4554650.0000,6989557.0000,72110546.0000,86362652.0000,45013856.0000,6905303.0000,81058201.0000,100000.0000,100000.0000,3854090.0000,3854090.0000,1550361.0000,993294.0000,1550361.0000,0.0000,,53161247.0000,53161247.0000,376475.0000,0.0000,16615004.0000,"N",16238529.0000,"N","N",71202198.0000,70434512.0000,9.8921822610026733e-01,73486127.0000,71202580.0000,9.6892546806827906e-01,2.8984000000000000e+04,"Aa2",2.1989999999999998e+01,5672083833.3750,9.4000000000000000e+01,3.9079260161187450e-02,2.1760000000000002e+01,3.6504300000000003e+03,"South Central Regional COG",3271334991.0000
"BRIDGEPORT","KE",2.0070000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",209090671.0000,-168193991.0000,44057892.0000,64738897.0000,203566550.0000,228593633.0000,461411919.0000,211764417.0000,65431539.0000,461485340.0000,500000.0000,500000.0000,0.0000,0.0000,426579.0000,-5623439.0000,426579.0000,0.0000,,716803247.0000,716803247.0000,0.0000,0.0000,29241106.0000,"N",29241106.0000,"N","Y",224126241.0000,215656891.0000,9.6221169836154974e-01,260365946.0000,219393391.0000,8.4263473918359511e-01,1.3669500000000000e+05,"Baa1",1.6000000000000000e+01,11612526333.4089,4.0590000000000000e+03,7.1004197610590888e-02,4.2280000000000001e+01,2.2224650000000001e+04,"Greater Bridgeport RPA",5329363911.0000
"BRIDGEWATER","VR",2.0070000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",2826681.0000,4880971.0000,8650456.0000,841694.0000,184356.0000,6148622.0000,6762439.0000,4519993.0000,5271.0000,6247824.0000,0.0000,0.0000,616100.0000,616100.0000,-101485.0000,117457.0000,-101485.0000,0.0000,606384.9928,0.0000,606384.9928,0.0000,175000.0000,1269118.0000,"N",1269118.0000,"N","N",6172170.0000,6138846.0000,9.9460092641647913e-01,6267646.0000,6150896.0000,9.8137259187899251e-01,1.8840000000000000e+03,,1.6230000000000000e+01,635975455.5686,0.0000000000000000e+00,3.0009680542110357e-02,1.9500000000000000e+01,2.5679000000000002e+02,"Housatonic Council of Elected Ofcls",315814429.0000
"BRISTOL","VR",2.0070000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",200700000.0000,51656000.0000,252766000.0000,8946000.0000,53364000.0000,103802000.0000,165267000.0000,87131000.0000,6954000.0000,137236000.0000,2195000.0000,2195000.0000,29991000.0000,29991000.0000,235000.0000,2703000.0000,235000.0000,0.0000,,59762000.0000,59762000.0000,1419000.0000,8983000.0000,27721000.0000,"N",26302000.0000,"N","N",103075000.0000,100951000.0000,9.7939364540383211e-01,106653000.0000,102704000.0000,9.6297338096443608e-01,6.0911000000000000e+04,"Aa3",2.6510000000000002e+01,6511100191.8294,8.4700000000000000e+02,5.0965570188389535e-02,3.4210000000000001e+01,9.1215400000000009e+03,"Central CT RPA",2985902230.0000
"BROOKFIELD","VR",2.0070000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",18946692.0000,10962009.0000,29908701.0000,6597079.0000,4221621.0000,45226773.0000,51713795.0000,34316860.0000,3721984.0000,49477593.0000,0.0000,0.0000,2090803.0000,2090803.0000,145399.0000,-265977.0000,145399.0000,0.0000,,43188263.0000,43188263.0000,0.0000,0.0000,4083405.0000,"N",4083405.0000,"N","N",45018815.0000,44418772.0000,9.8667128399536952e-01,45668292.0000,44859401.0000,9.8228768879729511e-01,1.6413000000000000e+04,"Aa2",1.9800000000000001e+01,3916401649.5277,1.4000000000000000e+01,3.4817100044072277e-02,2.4579999999999998e+01,3.0664400000000001e+03,"Housatonic Council of Elected Ofcls",1835699550.0000
"BROOKLYN","KE",2.0070000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",12384768.0000,6080260.0000,18465028.0000,1787834.0000,7697320.0000,10301988.0000,19231644.0000,14303377.0000,1726433.0000,19307863.0000,0.0000,300000.0000,300000.0000,300000.0000,-376219.0000,-397620.0000,-76219.0000,0.0000,,8021276.0000,8021276.0000,17438.0000,230990.0000,1003952.0000,"N",986514.0000,"N","N",10377189.0000,10084557.0000,9.7180045578817154e-01,10642858.0000,10174736.0000,9.5601538609272063e-01,7.8860000000000000e+03,"A3",2.8969999999999999e+01,850170501.6598,4.5000000000000000e+01,5.1527705851890211e-02,2.1410000000000000e+01,1.3735500000000000e+03,"Northeastern CT COG",478801217.0000
"BURLINGTON","KE",2.0070000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",10334493.0000,4546595.0000,15019841.0000,415618.0000,3902055.0000,21007377.0000,26130043.0000,19290326.0000,487079.0000,25892422.0000,0.0000,0.0000,108011.0000,108011.0000,129610.0000,-627332.0000,129610.0000,0.0000,15882548.0189,6262685.0000,22145233.0189,0.0000,297809.0000,2664346.0000,"N",2664346.0000,"N","N",20994129.0000,20725446.0000,9.8720199347160342e-01,21458600.0000,20922658.0000,9.7502437251265228e-01,9.1430000000000000e+03,"A2",2.9789999999999999e+01,1349086748.6131,1.1000000000000000e+01,3.4528054043910676e-02,2.7820000000000000e+01,1.8580500000000000e+03,"Central CT RPA",750608692.0000
"CANAAN","KE",2.0070000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",2810914.0000,1615740.0000,4650972.0000,182382.0000,662654.0000,3495986.0000,4364375.0000,2964982.0000,106976.0000,4317152.0000,0.0000,0.0000,46000.0000,46000.0000,1223.0000,23973.0000,1223.0000,0.0000,546283.2085,985250.0000,1531533.2085,0.0000,0.0000,655511.0000,"N",655511.0000,"N","N",3482194.0000,3459908.0000,9.9360001194649117e-01,3531104.0000,3480883.0000,9.8577753586413763e-01,1.0940000000000000e+03,"Baa1",3.2939999999999998e+01,265056592.3280,3.0000000000000000e+00,3.6423841059602648e-02,2.9500000000000000e+01,1.5095000000000002e+02,"Northwestern CT COG",117538075.0000
"CANTERBURY","KE",2.0070000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8300716.0000,3127779.0000,11438258.0000,181524.0000,6042062.0000,7334231.0000,13762196.0000,10486071.0000,620359.0000,13141467.0000,0.0000,0.0000,364376.0000,364376.0000,256353.0000,-19131.0000,256353.0000,0.0000,,1820000.0000,1820000.0000,15214.0000,291376.0000,2117699.0000,"N",2102485.0000,"N","N",7192763.0000,7064459.0000,9.8216207040326509e-01,7402793.0000,7219974.0000,9.7530405078191429e-01,5.1000000000000000e+03,"A3",3.9890000000000001e+01,621373258.6136,2.8000000000000000e+01,4.4855708908406525e-02,2.1250000000000000e+01,8.2500000000000000e+02,"Northeastern CT COG",335799701.0000
"CANTON","VR",2.0070000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",55257947.0000,8644931.0000,63927978.0000,4533078.0000,4368195.0000,26203584.0000,32094109.0000,20582466.0000,2520141.0000,30586090.0000,35306.0000,35306.0000,667224.0000,667224.0000,876101.0000,657200.0000,876101.0000,0.0000,,18675568.0000,18675568.0000,9788.0000,0.0000,3629994.0000,"N",3620206.0000,"N","N",26196017.0000,25878675.0000,9.8788586829822256e-01,26810126.0000,25989319.0000,9.6938444078927488e-01,1.0086000000000000e+04,"A1",2.4559999999999999e+01,1623312521.6661,1.1000000000000000e+01,3.1255456609044878e-02,2.8910000000000000e+01,1.7342200000000000e+03,"Capital Region COG",890612513.0000
"CHAPLIN","KE",2.0070000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",4536305.0000,1684445.0000,6226675.0000,144552.0000,2627308.0000,4302633.0000,7129482.0000,5366747.0000,373415.0000,6958950.0000,0.0000,0.0000,193245.0000,193245.0000,-22713.0000,172669.0000,-22713.0000,0.0000,0.0000,1287990.0000,1287990.0000,169189.0000,0.0000,828179.0000,"Y",658990.0000,"N","N",4262779.0000,4164405.0000,9.7692256624141205e-01,4361175.0000,4225247.0000,9.6883225277591478e-01,2.5280000000000000e+03,"A3",1.9440000000000001e+01,255113405.1130,1.3000000000000000e+01,4.3150684931506852e-02,3.3799999999999997e+01,3.5037000000000000e+02,"Windham Region COG",125126770.0000
"CHESHIRE","VR",2.0070000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",78069638.0000,16328966.0000,94577224.0000,7409002.0000,19550029.0000,67953935.0000,91481164.0000,57588979.0000,10512941.0000,89655280.0000,1075292.0000,1075292.0000,1629900.0000,1629900.0000,1271276.0000,810008.0000,1271276.0000,0.0000,,79496249.0000,79496249.0000,908005.0000,550000.0000,9895814.0000,"N",8987809.0000,"N","Y",67567688.0000,67304316.0000,9.9610210134761457e-01,67777671.0000,67485045.0000,9.9568256041137793e-01,2.8833000000000000e+04,"Aa2",3.2909999999999997e+01,4475907982.5693,4.3000000000000000e+01,3.6904434040209308e-02,2.7149999999999999e+01,5.1412399999999998e+03,"COG of Central Naugatuck Valley",2481073314.0000
"CHESTER","VR",2.0070000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",5160503.0000,3643544.0000,8804047.0000,419820.0000,1101272.0000,9408545.0000,11117134.0000,7384983.0000,468765.0000,11059627.0000,116000.0000,116000.0000,149188.0000,149188.0000,24319.0000,387238.0000,24319.0000,0.0000,4803955.3718,2270000.0000,7073955.3718,0.0000,253837.0000,1768359.0000,"N",1768359.0000,"N","N",9348861.0000,9255947.0000,9.9006146310229659e-01,9509847.0000,9328149.0000,9.8089369892070821e-01,3.8340000000000000e+03,"A2",1.6030000000000001e+01,770999602.2517,8.0000000000000000e+00,3.3435987681478221e-02,2.2370000000000001e+01,5.7518000000000006e+02,"CT River Estuary RPA",415247902.0000
"CLINTON","KE",2.0070000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",37643837.0000,5221034.0000,42864871.0000,1720655.0000,9340640.0000,31819683.0000,42707544.0000,27684255.0000,2068380.0000,40274853.0000,0.0000,0.0000,2270822.0000,2270822.0000,161869.0000,107783.0000,161869.0000,0.0000,,13994630.0000,13994630.0000,135687.0000,250000.0000,5377192.0000,"N",5241505.0000,"N","N",31781777.0000,31614755.0000,9.9474472431167082e-01,32080849.0000,31678243.0000,9.8745026978556583e-01,1.3578000000000000e+04,"A1",1.6280000000000001e+01,2338812235.7143,2.6000000000000000e+01,3.8252745865421031e-02,1.9570000000000000e+01,2.1306700000000001e+03,"CT River Estuary RPA",1628277385.0000
"COLCHESTER","VR",2.0070000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",62606766.0000,9525568.0000,72132334.0000,1109894.0000,16604214.0000,28315301.0000,46878639.0000,33976567.0000,5140434.0000,47439990.0000,1295.0000,1295.0000,411160.0000,411160.0000,-971216.0000,450671.0000,-971216.0000,0.0000,,27860000.0000,27860000.0000,174322.0000,725400.0000,5029527.0000,"N",4855205.0000,"N","N",28363487.0000,27638224.0000,9.7442969547432590e-01,29331549.0000,28039183.0000,9.5593938799481748e-01,1.5495000000000000e+04,"A1",4.9060000000000002e+01,1865719424.8417,5.0000000000000000e+01,3.6956521739130437e-02,3.2469999999999999e+01,3.2666599999999999e+03,"Southeastern CT COG",860496640.0000
"COLEBROOK","KE",2.0070000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",3425034.0000,2589007.0000,6016201.0000,280580.0000,762763.0000,4145793.0000,5088736.0000,3405853.0000,206970.0000,4914337.0000,4661.0000,4661.0000,276200.0000,276200.0000,-97140.0000,236945.0000,-97140.0000,0.0000,967580.4613,1219100.0000,2186680.4613,0.0000,0.0000,1441932.0000,"N",1441932.0000,"N","N",4124386.0000,4039591.0000,9.7944057612454316e-01,4293898.0000,4088575.0000,9.5218260890221429e-01,1.5290000000000000e+03,"A3",3.1489999999999998e+01,260320430.0000,0.0000000000000000e+00,2.4183796856106408e-02,2.2590000000000000e+01,2.5654000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls",181857201.0000
"COLUMBIA","KE",2.0070000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",6729230.0000,5805115.0000,12543942.0000,-75164.0000,3516645.0000,10816296.0000,14952962.0000,11165125.0000,1054733.0000,15012892.0000,0.0000,0.0000,454205.0000,454205.0000,-514135.0000,545630.0000,-514135.0000,0.0000,,5905000.0000,5905000.0000,70518.0000,1137963.0000,2132917.0000,"Y",2062399.0000,"N","N",10760316.0000,10655169.0000,9.9022826095441807e-01,10884110.0000,10733948.0000,9.8620355729591125e-01,5.3310000000000000e+03,"A1",2.1350000000000001e+01,784831010.4852,8.0000000000000000e+00,3.5631804684922469e-02,3.0300000000000001e+01,9.1710000000000002e+02,"Windham Region COG",352818338.0000
"CORNWALL","KE",2.0070000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5284080.0000,2450295.0000,7944423.0000,484769.0000,542507.0000,5423449.0000,6186393.0000,3770035.0000,418607.0000,5577677.0000,0.0000,0.0000,424500.0000,424500.0000,184216.0000,326343.0000,184216.0000,0.0000,640176.5029,2920000.0000,3560176.5029,0.0000,225570.0000,1483893.0000,"Y",1483893.0000,"N","N",5302174.0000,5224303.0000,9.8531338277468827e-01,5488848.0000,5283121.0000,9.6251909325964213e-01,1.4800000000000000e+03,"A1",4.6000000000000000e+01,633961864.7443,0.0000000000000000e+00,2.7845036319612590e-02,2.1800000000000001e+01,2.0159999999999999e+02,"Northwestern CT COG",243453334.0000
"COVENTRY","VR",2.0070000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",92916023.0000,3464711.0000,96383534.0000,6405806.0000,9893591.0000,22390138.0000,33255204.0000,22712102.0000,2779444.0000,33062631.0000,145298.0000,145298.0000,71479.0000,71479.0000,266392.0000,555867.0000,266392.0000,0.0000,,18779811.0000,18779811.0000,199230.0000,0.0000,2296170.0000,"N",2096940.0000,"N","N",22253063.0000,21774153.0000,9.7847891771123818e-01,22797749.0000,22137909.0000,9.7105679161569858e-01,1.2192000000000000e+04,"A2",3.7719999999999999e+01,1397105332.6167,3.2000000000000000e+01,4.1368451188090467e-02,2.6920000000000002e+01,2.1158200000000002e+03,"Windham Region COG",821309320.0000
"CROMWELL","VR",2.0070000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",82378615.0000,11008614.0000,93396664.0000,2951253.0000,5367574.0000,32427042.0000,39574010.0000,24063006.0000,4492606.0000,38354384.0000,795874.0000,795874.0000,886500.0000,886500.0000,1129000.0000,-443590.0000,1129000.0000,0.0000,,26535000.0000,26535000.0000,604962.0000,326950.0000,4560380.0000,"N",3955418.0000,"N","N",32363161.0000,32056836.0000,9.9053476265807283e-01,32987111.0000,32235688.0000,9.7722070902177516e-01,1.3552000000000000e+04,"A1",1.2390000000000001e+01,1948854576.0069,3.5000000000000000e+01,3.7672558379563924e-02,3.1289999999999999e+01,1.9968600000000001e+03,"Midstate RPA",1023962920.0000
"DANBURY","VR",2.0070000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",140825731.0000,21605547.0000,163830326.0000,10695025.0000,36546992.0000,133943860.0000,186746620.0000,107317345.0000,8904084.0000,181531008.0000,0.0000,1034240.0000,2237551.0000,2237551.0000,2978061.0000,3396727.0000,4012301.0000,0.0000,,101361855.0000,101361855.0000,6915844.0000,0.0000,28319673.0000,"N",21403829.0000,"N","N",134011435.0000,132134830.0000,9.8599668005942931e-01,139016860.0000,133727852.0000,9.6195419749805888e-01,7.9226000000000000e+04,"Aa2",4.2109999999999999e+01,12534548686.4900,4.0400000000000000e+02,3.6568625244728495e-02,2.2050000000000001e+01,9.8846499999999996e+03,"Housatonic Council of Elected Ofcls",6077532420.0000
